concept,Right angle,Angle bisector theorem,Arc length,Skew lines,Rigid transformation,Perpendicular,Star polygon,Self-similarity,Hendecagon,Exterior angle theorem,Circle,Right triangle,Symmetry,Dodecagon,Arc (geometry),Convex polygon,Scaling (geometry),Collinearity,Altitude (triangle),Slope,Parallelogram,Pentagon,Bisection,Nonagon,Rectangle,Inverse trigonometric functions,Diameter,Face (geometry),Cross section (geometry),Chord (geometry),Cone,Diagonal,Edge (geometry),Distance,Coordinate system,Trigonometric functions,Pythagorean triple,Similarity (geometry),Rhombus,Midpoint,Octagon,Reflection (mathematics),Concentric,Secant line,Sine,Prism (geometry),Parallel (geometry),Line segment,Special right triangles,Cylinder (geometry),Vertex (geometry),Trapezoid,Heptagon,Polygon,Reflection symmetry,Isosceles triangle,Line (geometry),Quadrilateral,Rotational symmetry,Tangent,Triangle inequality,Cartesian coordinate system,Internal and external angle,Circumference,Rotation (mathematics),Decagon,Scale factor,Congruence (geometry),Point (geometry),Geometry,Radius,Space (mathematics),Angle,Triangle,Two-dimensional space,Translation (geometry),Sphere,Grade (slope),Tessellation,Kite (geometry),Pythagorean theorem,Transversal (geometry),Plane (geometry),Square,Pyramid (geometry),Hexagon,Polyhedron,Equilateral triangle,Acute and obtuse triangles
Circle,0.012174163034615191,0.005404777018488239,0.0044298366213882,0.0,0.0,0.027524272173488632,0.0,0.0,0.0,0.0,0.35935310261432635,0.0,0.00913297936853097,0.0,0.0,0.0037889860211497714,0.0,0.0,0.0,0.008394407066384333,0.0013933047310421666,0.0,0.0,0.0,0.0014374124104573054,0.0,0.05936436589545131,0.0,0.0,0.0,0.0,0.003907109894584202,0.0,0.06633228151663108,0.004197203533192167,0.003992006606961534,0.0,0.0,0.001482665871090164,0.016111315680460637,0.0,0.0,0.005404777018488239,0.0,0.015233806806537242,0.0,0.0,0.01341151003645963,0.0,0.0,0.0,0.0017284474011596855,0.0,0.0182864130662234,0.0036424060922191103,0.0,0.0,0.012539742579379499,0.0032222631360921275,0.04172681013531686,0.0,0.0031020664958709577,0.0,0.03587556057475314,0.0,0.0,0.0,0.0,0.0,0.012891603945776249,0.0934456309466717,0.0,0.06454028141020024,0.009685393985999803,0.0,0.0,0.017697011078243053,0.0,0.0,0.0,0.005512103651116692,0.0,0.0,0.011050081894327407,0.0,0.0,0.0,0.0,0.0
Right triangle,0.0424800582484445,0.0,0.0,0.0,0.0,0.0026678372555863686,0.0,0.0,0.0,0.0,0.052664344059733616,0.1333269011775323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019917667771796266,0.0,0.0,0.0,0.0,0.0,0.0,0.010063361858212301,0.0,0.04178866490691648,0.013929554968972161,0.0,0.0,0.02810910395314409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002924850593057685,0.026254089276273915,0.0,0.0,0.0,0.0,0.0,0.0,0.0037402426495764672,0.0,0.0,0.0,0.006423526466387951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024990816159660813,0.08994913265006109,0.0,0.21019076045080815,0.10842832912695524,0.0,0.0,0.0,0.0,0.0,0.0,0.02885058506754694,0.0,0.0,0.008763121038054617,0.0,0.0,0.0,0.0,0.003983533554359253
Symmetry,0.0,0.0,0.0,0.0,0.0,0.004718916435956534,0.0,0.03645187183939817,0.0,0.0,0.008871771221532187,0.0,0.9019062636622414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004299768363538729,0.0,0.0,0.0,0.008871771221532187,0.0,0.007046142684861261,0.0,0.0,0.0,0.0,0.012057425158555549,0.0,0.00890012379395658,0.0,0.0,0.0,0.0,0.004575538763471797,0.0,0.0,0.0,0.0,0.0,0.02350592770686123,0.0,0.0,0.0,0.0,0.0,0.0,0.005334025850890643,0.0,0.0033195449399153172,0.03372163059570596,0.0,0.0,0.004299768363538729,0.07955178667169382,0.0,0.0,0.0,0.0,0.00922606262092666,0.0,0.0,0.0,0.0,0.0,0.026522511343640025,0.0,0.0,0.016597724699576585,0.004981555688139684,0.0,0.0,0.02048000878812805,0.0,0.026700371381869738,0.0,0.005670156802403192,0.0,0.0,0.006200143702193482,0.0,0.0,0.0,0.0,0.0
Dodecagon,0.0,0.0,0.0,0.0,0.0,0.0039896293503996145,0.03075323076824978,0.0,0.006352699619881018,0.0,0.003750339652738606,0.0,0.0774435136908842,0.3176349809940509,0.0,0.0,0.0,0.0,0.0,0.0,0.014541034829421883,0.022373451485648323,0.0,0.006785927709900676,0.003750339652738606,0.0,0.0,0.0,0.0,0.0,0.0,0.015291007360168172,0.0,0.007524650116708744,0.0,0.0,0.0,0.0,0.0038684100454807004,0.0,0.023828773443348987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01803870560483017,0.005593362871412081,0.05613048716584081,0.0,0.0,0.0,0.007270517414710942,0.016814354910153467,0.012808122469343248,0.0,0.0,0.0,0.0,0.0,0.3628881230653474,0.0,0.0,0.0,0.00560589444308755,0.016814354910153467,0.0,0.028065243582920407,0.012635036699917923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00786290951323628,0.0,0.05752631810438147,0.00780021657951072,0.005256508452531526,0.0
Arc (geometry),0.0,0.0,0.1614429346461477,0.0,0.0,0.01393203900139548,0.0,0.0,0.0,0.0,0.3012177562358309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08321158980217107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030548439527491377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011181694219267915,0.0,0.0,0.0,0.16343310928498653,0.0,0.0,0.0,0.0,0.0,0.026101519100090183,0.14679198731086357,0.0,0.1078061737629641,0.007353725063444294,0.0,0.0,0.020154929283554588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Convex polygon,0.0,0.0,0.0,0.0,0.0,0.0,0.009020947692019936,0.0,0.009317292775825494,0.0,0.022001992629399825,0.0,0.0,0.009317292775825494,0.0,0.15224145832979782,0.0,0.0,0.0,0.0,0.01599513831236407,0.03281439551228421,0.0,0.009952693974520992,0.022001992629399825,0.0,0.008737216929227963,0.0,0.0,0.0,0.0,0.022426810794913318,0.0,0.0,0.0,0.0,0.0,0.0,0.0056736680667050276,0.0,0.026211650787683886,0.0,0.0,0.0,0.0,0.0,0.0,0.019245516902319567,0.0,0.0,0.0,0.01984257616531319,0.008203598878071053,0.18111437192177968,0.0,0.0,0.0,0.010663425541576049,0.0,0.023481557860462625,0.0,0.0,0.0,0.0,0.0,0.09020947692019934,0.0,0.0,0.0,0.0,0.0,0.0,0.08232471450989985,0.030885645266466037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003844089095359959,0.0,0.02109298330493987,0.0,0.0,0.0
Scaling (geometry),0.0,0.0,0.0,0.0,0.0,0.02372212046183555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06511337373114336,0.0,0.0,0.0,0.021615051773464965,0.0,0.0,0.0,0.022299316854121443,0.0,0.03542114971308633,0.0,0.0,0.0,0.0,0.12122600429682875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28271181445666,0.0,0.0,0.044443127116369774,0.0,0.0,0.10012465278231064,0.02504241508091841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031168289962378044,0.0,0.0,0.0,0.0,0.0
Collinearity,0.0,0.0,0.0,0.0,0.0,0.005485740356799471,0.0,0.0,0.0,0.0,0.07735075533773375,0.0,0.0,0.0,0.0,0.0,0.0,0.3463217565325187,0.0,0.0,0.0,0.0,0.0,0.0,0.005156717022515584,0.0,0.0,0.0,0.0,0.0,0.02732564095922618,0.007008378373410413,0.0,0.031039181731423567,0.0,0.0,0.0,0.0,0.0,0.08091908300511355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012028448063949732,0.0,0.0,0.0,0.012401610103320745,0.0,0.0,0.0,0.0,0.0,0.07497721083920658,0.0,0.02641675259302045,0.01589203887923017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05138736572830255,0.023119738001461016,0.0,0.08875633283098577,0.06370164336208621,0.0,0.0,0.015872006810799238,0.0,0.0,0.0,0.0,0.0,0.0,0.010811500580699884,0.0,0.05932401554514339,0.0,0.0,0.0
Altitude (triangle),0.021905860758210407,0.0,0.0,0.0,0.0,0.013757342587584877,0.0,0.0,0.0,0.0,0.05431526393621429,0.026331018100891963,0.004108409214370515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03632589711514566,0.0,0.007183109067071851,0.0,0.0,0.0,0.017394160251882895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030165386994231297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038574916354566073,0.0,0.0,0.0,0.024291266752202716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309690929816184,0.07537469442482587,0.0,0.24000622098497448,0.15103951917143266,0.0,0.0,0.0,0.0,0.0,0.0,0.003306110235883992,0.0,0.0,0.0018075654053416733,0.0,0.0,0.0,0.010875534729375573,0.0
Slope,0.0,0.0,0.0,0.0,0.0,0.01300323640130245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5525922225225959,0.0,0.0,0.0,0.0,0.0,0.02132739597998548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07357435669670773,0.0,0.03394684136882845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039953731859319774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07305373556588372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01827106337006313,0.0,0.0,0.05488314300659991,0.0,0.0,0.0,0.0,0.050222578978726375,0.0,0.0,0.0,0.0,0.0,0.00427121010595551,0.0,0.0,0.0,0.0,0.0
Parallelogram,0.01934386043423978,0.0,0.0,0.0,0.0,0.0,0.004682152781325226,0.0,0.004835965108559945,0.0,0.002854929839454994,0.0032293713087983606,0.03627910143624068,0.004835965108559945,0.0,0.0037627646646020223,0.0,0.0,0.0,0.008336314283918006,0.2130840225003518,0.012773769879349387,0.0,0.0051657581182634905,0.025694368555094948,0.0,0.027209326077180504,0.0,0.0,0.0,0.0,0.07372135036390191,0.0,0.005728107355280013,0.0,0.0,0.0,0.0,0.01472405207622412,0.019199782423358628,0.013604663038590252,0.0,0.0,0.0,0.007564191268989945,0.0,0.0,0.0,0.0,0.0,0.0,0.017164858274492382,0.004257923293116463,0.006409363586410888,0.0,0.0,0.0,0.05257917438320369,0.012799854948905754,0.026812851536168397,0.0,0.0,0.0,0.005937881133191552,0.0,0.04682152781325226,0.0,0.0,0.0,0.002844975265234743,0.0,0.0,0.11323209002659237,0.03206122345999935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021947221478698726,0.0,0.010947915210176403,0.0,0.004001494323726422,0.0
Pentagon,0.0035027416450471778,0.0,0.0,0.0,0.0,0.010998978158996432,0.0033913337188044867,0.0,0.0035027416450471778,0.0,0.11786781765749904,0.0046781368834221855,0.05255468829610804,0.0035027416450471778,0.0,0.005450821995338267,0.0,0.0,0.0,0.0,0.004008806594577461,0.45027272037532834,0.0,0.003741614276135711,0.002067856450131562,0.0,0.0032846680185067527,0.0,0.0,0.0,0.0,0.042155659388934806,0.0,0.008297859777824178,0.0,0.0,0.0,0.0,0.00213295791981392,0.013906609324187077,0.009854004055520258,0.0,0.007775293254667291,0.0,0.03287295152989615,0.0,0.0,0.0024117189100651085,0.0,0.0,0.0,0.007459615099741801,0.0030840597285981394,0.03868642599149429,0.0,0.0,0.0,0.004008806594577461,0.004635536441395692,0.008827653331000987,0.0,0.0,0.0,0.0,0.0,0.033913337188044866,0.0,0.0,0.0,0.004121292489487924,0.07880411950372676,0.0,0.049518625269112694,0.01625560277182423,0.0,0.0,0.0,0.0,0.0,0.0,0.007929692971781907,0.0,0.0,0.008670877658706673,0.0,0.013216154952969844,0.008601742593946658,0.0,0.0
Bisection,0.008873612167452851,0.03939481915698095,0.0,0.0,0.0,0.08080582620809379,0.0,0.0,0.0,0.0,0.049766411899832934,0.0,0.004160579490108554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015233465059394356,0.0,0.03678717834835386,0.0,0.0,0.0,0.004160579490108554,0.0,0.0,0.0,0.0,0.046277546084741765,0.0,0.0,0.0,0.0,0.0,0.0,0.008105240095292897,0.07046015390921453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03665812743298966,0.0,0.0,0.0,0.0,0.0,0.003920224500471422,0.0,0.0,0.0,0.05839494939434503,0.0,0.0134180330631215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006525379775022546,0.005871679492434544,0.0,0.22933313327757818,0.07647874065982066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonagon,0.0,0.0,0.0,0.0,0.0,0.006911168953448152,0.01065466262837,0.0,0.011004676506880504,0.0,0.03248325683474383,0.0,0.10319547554206254,0.011004676506880504,0.0,0.0,0.0,0.0,0.0,0.0,0.012594597096349663,0.029067870040409238,0.02606965394765234,0.31738905981740173,0.0064966513669487665,0.0,0.0,0.0,0.0,0.0,0.0,0.026488359206590532,0.0,0.0,0.0,0.0,0.0,0.0,0.006701182755950819,0.0,0.030958642662618763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023436113581078572,0.009689290013469746,0.0340318701714153,0.0,0.009689290013469746,0.0,0.012594597096349663,0.0,0.022187298765791456,0.0,0.0,0.0,0.0,0.0,0.10654662628370001,0.0,0.0,0.0,0.003236999415956066,0.0582544579564372,0.0,0.09237221903669866,0.02188746514946412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004540262711055069,0.0,0.04982594481481859,0.0,0.00910576267367666,0.0
Rectangle,0.03203653676501602,0.0,0.0,0.0,0.0,0.007544857797317324,0.0,0.0,0.0,0.0,0.009456443823524278,0.005348357067293559,0.05632876243771608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022915670934619017,0.0,0.0,0.0,0.20567765316165307,0.0,0.0,0.0,0.0,0.0,0.0,0.04176913185299042,0.0,0.0,0.0,0.0,0.0,0.0,0.014631235702104655,0.010599306820154046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568555190983186,0.0,0.007076623023773627,0.0,0.0035259020965921423,0.0,0.06874701280385705,0.010599306820154046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01413520661867348,0.0,0.0,0.21583700222509564,0.014602095899618613,0.0,0.0,0.0036382823635069885,0.0,0.014229997355380433,0.0,0.0,0.0,0.0,0.018174060192962554,0.0,0.0,0.0,0.0,0.0
Inverse trigonometric functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01755478135324454,0.029785797071576362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39818702069015444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45096934212047374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3023262403999492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10866465605639619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006560089241910963,0.009838186383600431,0.0,0.11823230275357959,0.02710708228173881,0.0,0.0,0.0,0.0,0.0,0.0,0.022439343941425396,0.0,0.0,0.01533546181659558,0.0,0.0,0.0,0.0,0.0
Diameter,0.0,0.0,0.0,0.0,0.0,0.007979258700799229,0.0,0.0,0.0,0.0,0.08250747236024934,0.0,0.011914386721674494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007270517414710942,0.0,0.0,0.0,0.007500679305477212,0.0,0.6433768829704226,0.0,0.0,0.0,0.0,0.01019400490677878,0.0,0.09029580140050493,0.0,0.0,0.0,0.0,0.007736820090961401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01749592445665415,0.0,0.0,0.0,0.009019352802415085,0.0,0.005613048716584081,0.0,0.0,0.0,0.007270517414710942,0.0,0.025616244938686496,0.0,0.0,0.0,0.03120086631804288,0.0,0.0,0.0,0.0,0.0,0.018686314810291836,0.050443064730460396,0.0,0.022452194866336324,0.008423357799945283,0.0,0.0,0.06925966608348759,0.0,0.0,0.0,0.009587719684063578,0.0,0.0,0.005241939675490853,0.0,0.0,0.0,0.0,0.0
