,y_test,y_pred
357,1.0,0.89
358,1.0,0.97
359,0.0,0.01
360,0.0,0.65
361,1.0,0.48
362,1.0,0.78
363,0.0,0.19
364,1.0,0.45
365,0.0,0.02
366,0.0,0.3
367,0.0,0.0
368,0.0,0.07
369,0.0,0.0
370,0.0,0.2
371,1.0,0.58
372,1.0,0.16
373,0.0,0.04
374,0.0,0.02
375,1.0,0.98
376,0.0,0.21
377,0.0,0.23
378,0.0,0.56
379,0.0,0.12
380,1.0,1.0
381,0.0,0.03
382,0.0,0.39
383,0.0,0.27
384,0.0,0.0
385,0.0,0.0
386,0.0,0.24
387,0.0,0.09
388,0.0,0.19
389,0.0,0.15
390,1.0,0.64
391,0.0,0.28
392,0.0,0.0
393,0.0,0.01
394,0.0,0.08
395,0.0,0.0
396,0.0,0.01
397,1.0,0.75
398,0.0,0.05
399,0.0,0.05
400,0.0,0.13
401,0.0,0.02
402,0.0,0.01
403,0.0,0.45
404,1.0,0.93
405,1.0,0.67
406,0.0,0.08
407,0.0,0.1
408,1.0,0.03
409,1.0,0.47
410,0.0,0.78
411,0.0,0.08
412,0.0,0.0
413,0.0,0.0
414,1.0,0.59
415,0.0,0.0
416,1.0,0.62
417,0.0,0.65
418,0.0,0.04
419,0.0,0.12
420,0.0,0.06
421,0.0,0.0
422,0.0,0.04
423,0.0,0.06
424,1.0,0.76
425,0.0,0.53
426,0.0,0.05
427,0.0,0.77
428,0.0,0.37
429,0.0,0.87
430,0.0,0.15
431,1.0,0.96
432,0.0,0.05
433,0.0,0.05
434,1.0,0.39
435,1.0,0.32
436,0.0,0.0
437,0.0,0.3
438,0.0,0.65
439,0.0,0.41
440,0.0,0.1
441,0.0,0.62
442,1.0,0.77
443,1.0,0.57
444,0.0,0.07
445,0.0,0.25
446,0.0,0.09
447,0.0,0.01
448,0.0,0.0
449,0.0,0.0
450,1.0,0.86
451,1.0,0.92
452,0.0,0.14
453,0.0,0.01
454,0.0,0.09
455,0.0,0.13
456,0.0,0.6
457,0.0,0.04
458,1.0,0.74
459,1.0,1.0
460,1.0,0.35
461,0.0,0.55
462,0.0,0.43
463,0.0,0.0
464,0.0,0.33
465,0.0,0.01
466,0.0,0.03
467,1.0,0.92
468,0.0,0.0
469,0.0,0.75
470,0.0,0.03
471,0.0,0.03
472,0.0,0.39
473,0.0,0.15
474,0.0,0.02
475,0.0,0.03
476,0.0,0.01
477,0.0,0.19
478,0.0,0.94
479,0.0,0.04
480,1.0,0.82
481,1.0,0.96
482,0.0,0.44
483,0.0,0.06
484,1.0,0.52
485,0.0,0.33
486,0.0,0.14
487,0.0,0.23
488,0.0,0.2
489,0.0,0.16
490,1.0,0.37
491,1.0,0.3
492,1.0,0.78
493,0.0,0.0
494,0.0,0.0
495,1.0,0.19
496,1.0,0.58
497,0.0,0.0
498,0.0,0.01
499,1.0,0.29
500,0.0,0.0
501,1.0,0.71
502,0.0,0.38
503,0.0,0.01
504,1.0,0.49
505,0.0,0.52
506,0.0,0.29
507,0.0,0.23
508,0.0,0.08
509,0.0,0.0
510,0.0,0.09
511,0.0,0.24
512,0.0,0.13
513,0.0,0.03
514,0.0,0.4
515,1.0,0.14
516,1.0,0.08
517,0.0,0.1
518,0.0,0.14
519,0.0,0.0
520,0.0,0.22
521,1.0,0.27
522,0.0,0.06
523,0.0,0.3
524,1.0,0.69
525,0.0,0.16
526,0.0,0.0
527,0.0,0.0
528,0.0,0.04
529,0.0,0.02
530,1.0,0.08
531,1.0,0.97
532,1.0,0.39
533,0.0,0.0
534,0.0,0.0
535,1.0,0.6
536,0.0,0.31
537,1.0,0.29
538,0.0,0.24
539,0.0,0.41
540,0.0,0.07
541,0.0,0.05
542,0.0,0.0
543,1.0,0.47
544,0.0,0.13
545,1.0,0.67
546,0.0,0.12
547,0.0,0.0
548,1.0,0.28
549,1.0,0.83
550,0.0,0.92
551,0.0,0.13
552,0.0,0.01
553,0.0,0.01
554,1.0,0.26
555,0.0,0.33
556,0.0,0.15
557,1.0,0.82
558,0.0,0.11
559,0.0,0.13
560,0.0,0.02
561,1.0,0.78
562,0.0,0.06
563,0.0,0.23
564,1.0,0.33
565,0.0,0.0
566,0.0,0.07
567,0.0,0.03
568,1.0,0.42
569,1.0,0.63
570,0.0,0.07
571,0.0,0.15
572,0.0,0.52
573,0.0,0.77
574,0.0,0.13
575,0.0,0.17
576,1.0,0.23
577,0.0,0.0
578,0.0,0.54
579,1.0,0.23
580,0.0,0.01
581,0.0,0.31
582,0.0,0.02
583,0.0,0.09
584,0.0,0.0
585,0.0,0.12
586,0.0,0.02
587,0.0,0.0
588,0.0,0.64
589,0.0,0.0
590,0.0,0.33
591,1.0,0.45
592,0.0,0.01
593,1.0,0.49
594,0.0,0.08
595,0.0,0.0
596,0.0,0.05
597,0.0,0.0
598,0.0,0.02
599,0.0,0.0
