,concept,index,type
113,Ohm,10.2.4|19.2|19.2.1|19.2.3|19.3.2,2
114,Friction,,0
115,Phase velocity,11,3
116,Projectile motion,21.2|21.2.3,2
117,Power (physics),23.4,1
118,Reflection (physics),7.3,1
119,Euclidean vector,11,1
120,Free fall,4.2.2,1
121,Electrical conductor,9.6|19.2.2,2
122,Transmission medium,5.2,3
123,Field (physics),4.2.1|8.2|8.3.3|8.4|8.4.1|17.3|17.3.1|17.5.4|18.2|18.3|18.5|21.2.1,2
124,Interference (wave propagation),26.4,1
125,Field line,17.3.1,2
126,Crest (physics),6.2.1,2
127,Electrical resistance and conductance,10.4|19.3,1
128,Acceleration,3.5,1
129,Gravitational constant,,0
130,Length,5.3.1,2
131,Gravity of Earth,4|4.2|4.8,2
132,Ohmmeter,10.5.3,1
133,Musical tone,15.2.3,1
134,Frame of reference,3.2.1|21.5|21.5.2,1
135,Ohm's law,10.2.4|19.2,1
136,Pitch (music),15.2.1,1
137,Compass,8.4|11.4.2,2
138,Capacitor,28.4.1,1
139,Resultant force,12.2.6,2
140,Motion,3|3.6|3.6.2|3.6.3|3.9|3.9.1|3.12|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21|21.2|21.2.1|21.2.2|21.2.3,2
141,Voltmeter,10.5.1,1
142,Series and parallel circuits,10.3.3|10.3.4,1
143,Kinetic energy,4.4,1
144,Curved mirror,7.5.4|7.5.5|7.5.6,1
145,Physics,1,1
146,Free body diagram,12.2.5,1
147,Electric current,10.3|10.3.2,1
148,Ammeter,10.5.2,1
149,Magnification,7.5.8,1
150,Scalar multiplication,11.6.3,1
151,Compression (physics),14.3.1,2
152,Total internal reflection,7.6.1,1
