,concept,key_terms
37,Photoelectric effect,photoeffect|photoelectric|photo electric effect|photoemission|threshold frequency|photo-eletric effect|hertz effect|the photoelectric effect|photoelectron|photoelectricity|photoelectron effect|photoelectriceffect|photoelectrons|photoelectric effect equation|photoelectric effect|photo-electric effect|photoelectric emission
38,Sound,sounds|db|radiation of sound|frequency|sound propagation|sound waves|wave audio|sound wave|acoustic radiation|acoustic energy|characteristics of sound|sonida|airborne sound|sound|auditory range|sound production
39,Elasticity (physics),elastostatics|elastic body|elastic solid|elasticity|elasticity of materials|elastic|elasticity theory
40,Laser,laser
41,Electric field,electrical field|electric field strength|electrostatic fields|electric fields|electrostatic field|volts per metre|electric field vector|e-field|e field|electric field|electrical fields
42,Sound intensity,sound intensity level|acoustic intensity|acoustic intensity level|sound intensity|intensity level
43,Dielectric,dielectric material|paraelectric|dipolar polarization|dielectric relaxation|dielectric relaxation as a chemical rate process|dielectric properties|paraelectricity|relaxation time of electrons|dielectric level|dielectric materials|debye relaxation|dielectric polarization|dialectric|dielectric dispersion|dielectric response|dielectric|dielectric media|dielectrics|perfect dielectric|dielectric relaxation asa chemical rate process|ionic polarization|debye equation|dielectric medium
44,Coulomb's law,coulomb's law|coulomb law
45,Doppler effect,doppler effect
46,Standing wave,standing waves|standing-wave|stationary vibration|stationary waves|standing wave|stationary wave
47,Force,forc|forces|nonconservative force|physical force|elastic force|fource|force|amain|force vector|unit of force|attractive|pull
48,Refracting telescope,refractor|galilean telescope|refractive telescope|kepler refractor|refractor telescope|keplerian telescope|galileo telescope|refracting telescope
49,Telescope,telescopy|ground telescope|perspicil|🔭|astronomic telescope|telescope|telescopically|astronomical telescope|telescopes|telescopic observational astronomy
50,Le Sage's theory of gravitation,le sages theory of gravitation|kinetic theory of gravity|le sage theory of gravitation|push gravity|mock gravity|le sage's theory of gravitation|gravity|pushing gravity|lesage's theory of gravitation|lesage|shadow gravity|lesage gravity
51,Hardness,indent test|hardness tester|surface hardness|dynamic hardness|hard matter|hardness testing|absolute hardness|rebound hardness|hardness|durezza|softness|hardness tests
52,Newton's law of universal gravitation,newton law of gravitation|newton theory of gravitation|newtons laws of gravity|newton's theory|newtonian attraction|newtonian gravitation|gravitational force|newton’s law of gravitation|newton's law of gravitation|newton's universal law of gravitation|gravitation law|newtons law of gravity|law of gravitation|law of gravitational attraction|newton’s law of universal gravitation|classical gravitation|newtonian gravity|newton law of gravity|newton's law of gravity|newtonian gravitational field|gravity inverse square law|newton laws of gravity|newton's law of universal gravitation|law of universal gravity|universal gravitation|newton's theory of gravitation|law of universal gravitation|newton's theory of gravity|newton's gravitational law|universal gravity
53,Intensity (physics),intensity|specific intensity
54,Wave,wave motion|traveling wave|wave motion in fluids|waves|waving|travelling wave|progressive wave|wave|undulatory theory|billow|traveling waves|wave theory|periodic wave|wave motion in liquids
55,Scattering,scattering|deflection angle|scatterer|scattered radiation|coherent scattering|radiation scattering|multiple scattering|scattering state|scattering: optical imaging
56,Elastic collision,why balls bounce?|elastic collisions|elastic collision|elastic interaction|elastic interactions
57,Position (vector),position|point vector|radius vector|location vector|position vector|position function
58,Optical microscope,transmitted light microscope|light microscope|optical microscopy|binocular microscope|optical light microscope|optic microscopy|visible light microscope|optical microscope|compound microscope
59,Virtual image,virtual object|virtual image
60,Geometrical optics,optics|geometrical optics|geometric optics|ray optics
61,Snell's law,snells law|snel's law|descartes law|angle of refraction|laws of refraction|snell law|law of refraction|snell's law|snells' law|snell's law of refraction|snell’s law
62,Normal force,normal force|normal reaction
63,Insulator (electricity),electrical insulation|electrical insulator|non-conductor|nonconductor|insulator chain|creepage distance|glass insulator|electric insulation|nonconducting|creepage|insulation|glass insulators|nonconductors|non-conductors|electric insulator|telegraph insulators|insulator|electrical insulators|insulator string|non-conducting|electricity insulation|weathershed
64,Creep (deformation),creep
65,Inelastic collision,plastic collision|inelastic collisions|inelastic interaction|inelastic interactions|inelastic collision|perfectly inelastic collision
66,Contact force,contact force
67,Electromotive force,electromotive force
68,Rarefaction,rarify|rarefactions|rarifies|rarifaction|rarified|rarifying|rarefaction|rarefied air|rarifactions|rarefraction|rarefies|rarefying|rarefy|rarefied
69,Electrical polarity,electrical polarity|positive|negative
70,Hertz,㎑|hz|yottahertz|ghz|1 e3 hz|yoctohertz|field rate|hertez|khz|petahertz|decahertz|hertz|zeptohertz|reciprocal seconds|ehz|thz|nanohertz|attohertz|decihertz|dahz|㎐|mhz|khertz|megahertz|㎒|zhz|phz|gihz|millihertz|㎔|exahertz|hectohertz|tetrahertz|megacycles|femtohertz|centihertz|kilohertz|zettahertz|microhertz|㎓|gigahertz|picohertz
71,Fracture,fracture
72,Huygens–Fresnel principle,diffraction losses|huygens-fresnel principle|huyghens principle|huygens principle|huygens' wave theory|difraction losses|huygens–fresnel principle|huygens's principle|fresnel's principle|huygens' construction|huygens'-fresnel principle|huygens–fresnel equation|huygens' principle|huygens fresnel principle|huygen principle|huygen's principle|fresnel principle
73,Color,colour or color|incomplete list of colors and shades|list colors|colour|colo|colour science|colours|talk:list of colors: n–z|colorful|user:officialmrcoda/sandbox|wikipedia:colour or color|colourful|color science|color list|talk:list of colors: a–f|colur|shades of color|talk:list of colors: g–m|black|color|färg|colors|structural colour
74,Magnetic field,nonlinear magnetic field|magnetic field line|magnetic field vector|magnetic fields|amperes per metre|magnetizing field|magnetic field strength|magnetic field intensity|auxiliary magnetic field|applied magnetic field|strong magnetic field|amperes per meter|magnetic field density|magnetic field lines|b-field|h-field|magnetic force field|magnetic flux density|magnetic field|b-fields|magnetic field energy density|h field|effective magnetic field|magnetic lines of force|magnatic field
75,Voltage,voltages|electric potential difference|voltage difference|terminal potential difference|voltage|difference of electric potential|electric tension|difference in electrical potential|electrical voltage|potential difference|electrical tension|difference of potential|difference of electrical potential|difference in electric potential
76,Lever,levers|second-class lever|first-class lever|lever|fulcrum|third-class lever
77,Shock wave,shock wave
78,Distance,distances|proximities|directed distance|time distance|equi-distant|proximity|algebraic distance|distance|distance formula|distance in time
79,Electron,electron|mass of the electron|mass of electron|electron theory|mass of an electron|antipositron|negaton|negative electron|electron mass|electron movement|electron lepton|beta minus particle|electrons
80,Metre,meters|metrical form|measurement system in meters|femtometres|metre|exameter|terameter|zettameter|standard metre|meter|petameter|attometer|metres
81,Stiffness,stiffness|compliance|torsional rigidity|flexibility
82,Non-inertial reference frame,accelerated frame|non inertial frame|accelerated reference frame|noninertial reference frames|non-inertial frame of reference|noninertial frame|non-inertial reference frame|non-inertial frame|non-inertial frames of reference
83,Plane mirror,flat mirror|plane mirror
84,Gravitational field,newtonian gravitational field|gravitational fields|gravitational field|gravitation field
85,Collision,collision of bodies|closing speed|collisions|jostle|allision|collision|colliding|💥
86,Magnetism,magnetic properties|magnetic ordering|non-magnetic|magnetism|magnetize|magnetic property|magneticism|magnetisim|magneticist|magnetic attraction|magnetics|repulsive force|nonmagnetic|magnetic|speed of magnetism|magnetician|magnetic influence|magnetically
87,Tangential and normal components,tangential component|paralel component|perpendicular component|normal component|parallel component|tangential and normal components|tangent component
88,Electromagnetic radiation,e. m. radiation|magnetoelectric wave|electro magnetic energy|electronic smog|e-m waves|theory of radiation|electromagnetic emission|electromagnectic radiation|emag waves|electromagnetic waves|em radiation|electro-magnetic radiation|e.m. radiation|electromagnetic radiation|em wave|electromagnetic emissions|radiation emission|photon radiation|electromagnetic wave|electromagnetic wave theory|electrical smog|electromagnetic resonance|user:jason patton/micrometeorology|rf radiation|radiation emissions|em waves|electro magnetic waves
89,Subtractive color,subtractive color
90,Capacitance,stray capacitance|capacitence|elastance|self-capacitance|nominal capacity|electric capacitance|transcapacitance|electrical capacitance|capacatence|self capacitance|capacitance|electrical elastance
91,Specular reflection,specular|specularly reflected|specular refrector|the law of reflection|regular reflection|specular reflection|law of reflection
92,Deformation (engineering),plastic deformation|plastic deformation in solids|plastic flow|strain|deformation|elastic deformation
93,Joule,kilojoule|exajoule|hectojoule|attojoule|si unit of energy|petajoules|nanojoule|yottajoule|gigajoule|decajoule|joule|decijoule|centijoule|kilojoules|terajoules|list of converted amounts of joules|picojoule|megajoule|femtojoule|ocrajoule|zeptojoule|terajoule|joules|exajoules|μj|zetajoule|petajoule|yoctojoule|millijoule
94,Electromagnetic spectrum,electrocmagnetic spectrum|solar light|light spectrum|radiation spectrum|ir spectrum|spectral range|electro-magnetic spectrum|electromagentic spectra|stellar specta|electro magnetic spectrum|electromagnetic spectrum|electromagnetic frequency spectrum|electomagnetic spectrum|spectrum of light|em spectrum
95,Displacement (vector),displacement vector|displacement|pop
96,Electric charge,elementary electrostatic charge|electric charges|electrically charged|electrostatic charge|q|specific charge|charge|negative charge|electrically neutral|positive electricity|electrical charge|positive charge|negatively charged|electrification by friction|electric polarity|positive static charge|positively charged|electric charge
97,Mirror image,mirror reflection|mirror images|mirror image|mirror plane of symmetry
98,Pigment,pigment|pigments
99,Tension (physics),slackener|uniaxial tension|slacken|tensility|tensile|unbalanced forces|tension|tensile force|unbalanced force|slackening|slackeners|slackened|slackens
100,Refractive index,optical extinction coefficient|complex refractive index|refraction index|refractive indices|complex index of refraction|refracting index|index of refraction|refractive index|absolute refractive index|negative index of refraction|refractivity
101,Physical quantity,physical quantity|physical quantities
102,Direction (geometry),direction
103,Planet,planets|planet|major planets|planetary mass object
104,Scalar (mathematics),scalar
105,Temperature,absolute scale of temperature|surface temperature|temperature measure|hottest|temperature|tempurature|outside temperature|temperatures|temporature|air temperature|static temperature|temperture|temparature
106,Electrostatics,static eliminator|electrostatic interactions|electrostatic|coulombic attraction|charge-charge interaction|electrostatic repulsion|classical electrostatics|electrostatics
107,Kilogram,kilogram|international prototype kilogram|yactogram|international prototype of the kilogram|kg|micrograms|avogadro project|kilogrammes|kilograms|project avogadro|kilogramme|㎏|prototype kilogram|kilogramme des archives|killogram|teragram|standard kilogram|killagram|le grand k|milligramme|milligram|gigagrams|ipk|kilagram|kilogram prototype|gram|milligrams
108,Energy,energize|energisations|reenergiser|energetic|molar energy|reenergizational|energisational|reenergizations|energized|reenergising|energises|physical energy|energizes|reenergized|reenergised|energizing|reenergise|energizations|energizational|energisation|energy|energizers|energy quality|reenergizers|energising|reenergizes|energizer|total energy|reenergize|energies|reenergizing|reenergizer|reenergises|effort|energisers|energise|energy physics|energization|reenergization|energetically
109,Equations of motion,equations of motion|rotational form|vusat equations|davtu equations|vuxat|davtu|suvat equations|vusat|equation of motion|vuxat equations|formulas for constant acceleration|uvast|suvat|uniformly accelerated motion|motion equation
110,Dispersion (optics),chromatic dispersion|group velocity dispersion|dispersion|angular dispersion|pulse dispersion|optical dispersion|chromatic dispertion|normal dispersion|anomalous dispersion|disperion|pulse dispersion in fibre optics|dispersive and nondispersive media|dispersion of light|dispersion measure|material dispersion
111,Ray (optics),sagittal ray|light ray|meridional ray|incident light|tunneling ray|transverse ray|leaky ray|tangential ray|skew ray|ray|light rays|incident ray|chief ray|ray of light|leaky rays|reflected ray|tunneling rays|marginal ray|refracted ray
112,Fatigue (material),fatigue
113,Ohm,㏁|international ohm|megaohms|teraohm|gohm|milli-ohm|㏀|ohm|megohm|gigaohm|kilohm|kiloohm|kω|κω|megaohm|milliohm
114,Friction,contact friction|coefficient of friction|sliding friction|static friction|kinetic friction|limiting friction|angle of friction|friction coefficients|starting friction|frictional force|internal friction|coefficient of kinetic friction|force of friction|dynamic friction|friction coefficient|dry friction|frictionless|friction angle|coefficient of static friction|frictional coefficient|friction physics|coulomb friction|coulomb's law of friction|friction|coefficient of sliding friction
115,Phase velocity,phase velocity|propagation speed|phase velocity vector|phase velocities|phase speed|propagation velocity
116,Projectile motion,projectile motion
117,Power (physics),power
118,Reflection (physics),laws of reflection|reflective|reflection of sound|reflection|reflection of light|reflection of electromagnetic radiation|abnormal reflection|reflected light|sound reflection|angle of reflection
119,Euclidean vector,euclidean vectors|geometric vector|3d vector|spacial vector|physical vector|triangle law|vector components|relative vector|spatial vector|euclidian vector|vector methods|free vector|magnitude of resultant vector|vector|euclidean vector|euclid vector|vector subtraction|vector component|bound vector|vector addition|vector sum|three-vector|component
120,Free fall,free-fall|freefalling|free falling|highest sky dive|free-falling|falling from a plane|free-f+all|free fall|freeflight|freefall|falling
121,Electrical conductor,conductive|conductor|conductor current capacity|electrical conductors|transportation of electricity or heath|transportation of electricity|conductor material|electricity conductor|conductor of electricity|electrical conductor|printed circuits/conductor current capacity
122,Transmission medium,transmission media|unguided transmission media|transmission medium
123,Field (physics),static field|internal group|physical field|field physics|field|field theory|classical field|internal symmetries|relativistic field theory
124,Interference (wave propagation),complete destructive interference|interferogram|constructive interference|interference pattern|interference of waves|destructive interference|quantum interference|wave interference|optical interference|interference|interference fringe|phase cancellation|antisound|light interference
125,Field line,line of flux|field lines|fieldline|flux line|field line
126,Crest (physics),crest|wave crest|trough
127,Electrical resistance and conductance,electric resistnace|electric conductance|electrical-resistance|resistive|ac resistance|electrical resistance|electric resistance|resistance in wires|electrical conductance|electrical resistence|electrical resistance & conductance|resistance|electrical resistance and conductance
128,Acceleration,sluthers|accelleration|sluther|sluthering|second temporal derivative of displacement|accelerated|constant acceleration|instantaneous acceleration|centripetal acceleration|exceleration|tangential acceleration|accelerating|tangental acceleration|accelerative|accelerate|accelerated motion|radial acceleration|aceleration|decelerating|accelerates|constant acceleration formulae|accelerations|sluthered|acceleration|deceleration|uniform acceleration
129,Gravitational constant,constant of gravitation|gravitational constant|gravity constant|newton constant|newton's constant|gravitation constant|newtonian constant of gravitation|grav const|newtonian gravitational constant|gravitational field strength|newtonian constant|gravity's constant|newton's universal gravitation constant|universal gravitational constant|constant of gravity
130,Length,legnth|length dimension|lenght|width|breadth|length|lengths
131,Gravity of Earth,gravity on earth|earth gravity|earth's gravity|earth's gravitation|gravity of earth|gravity|gravity earth|earths gravitation force|little g|earths gravity|earth’s gravity
132,Ohmmeter,ohmmeter|measure resistance|resistance measurment
133,Musical tone,musical tone|tone
134,Frame of reference,frame of reference
135,Ohm's law,ohm's law|ohm’s law
136,Pitch (music),pitch
137,Compass,magnetic compass|compass
138,Capacitor,capacitor
139,Resultant force,total force|resultant force|net force
140,Motion,motion
141,Voltmeter,measure voltage|voltmeter|voltage measurment
142,Series and parallel circuits,circuit in parallel|circuit in series|series and parallel circuits|parallel circuit|series circuit
143,Kinetic energy,k.e.|kinetic energy|ke
144,Curved mirror,curved mirror|concave mirror|convex mirror
145,Physics,physics
146,Free body diagram,free body diagram|fbd
147,Electric current,current|electric current
148,Ammeter,current measurment|measure current|ammeter
149,Magnification,magnification
150,Scalar multiplication,dot product|dot multiplication|scalar product|scalar multiplication
151,Compression (physics),compression
152,Total internal reflection,tir|total internal reflection
