,topic_a,topic_b,score
71,Pigment,Electrical polarity,0.0011140670728466103
72,Photoelectric effect,Plasticity (physics),0.0011405018056878183
73,Electromagnetic spectrum,Mirror image,0.0011443452755449876
74,Color,Potential energy,0.0012004848289598098
75,Laser,Standing wave,0.0012065413193611163
76,Dispersion (optics),Joule,0.0012099284145406014
77,Scattering,Voltage,0.0012208898930156787
78,Newton's law of universal gravitation,Wave,0.0012357917546470974
79,Newton's law of universal gravitation,Gravitational field,0.0012642029856655432
80,Electric potential energy,Refraction,0.0012669530259639887
81,Scattering,Electrical polarity,0.0012683904852652402
82,Electromagnetic spectrum,Series and parallel circuits,0.0012738625007035443
83,Newton's law of universal gravitation,Free fall,0.001274309595401857
84,Electromagnetic radiation,Geometrical optics,0.001288435711190444
85,Electron,Electric current,0.0012911342441758267
86,Energy,Wave,0.001317312010982182
87,Electromagnetic radiation,Plane mirror,0.001324454854291688
88,Resonance (particle physics),Direction (geometry),0.0013479789076475453
89,Diffraction,Crest (physics),0.001376024787961071
90,Electromagnetic spectrum,Geometrical optics,0.0013768093493256323
91,Photoelectric effect,Strength of materials,0.0013850890592005671
92,Photoelectric effect,Specular reflection,0.0013850890592005671
93,Resonance (particle physics),Magnet,0.0014016439513864385
94,Electromagnetic radiation,Voltage,0.0014218610236777375
95,Newton's law of universal gravitation,Temperature,0.00142643335037435
96,Electron,Electrical resistance and conductance,0.0014303305378200427
97,Electric potential,Plane mirror,0.0014430601154905402
98,Power (physics),Voltage,0.0014650678716188145
99,Emission spectrum,Compression (physics),0.0015084218980063082
100,Pitch (music),Compass,0.001543260478618582
101,Newton's law of universal gravitation,Reflection (physics),0.0015755765535781226
102,Work (physics),Wave,0.001579067242049069
103,Dispersion (optics),Compression (physics),0.0015822584199155067
104,Emission spectrum,Standing wave,0.0015983658923599973
105,Sound,Compass,0.001613865466007531
106,Photoelectric effect,Compression (physics),0.0016274788081786192
107,Energy,Reflection (physics),0.0016795110587568822
108,Electric potential,Temperature,0.0017324117370757573
109,Resultant force,Wave,0.0017452848464752867
110,Lever,Wave,0.0017507049857500548
111,Dispersion (optics),Coulomb,0.0017587828323513202
112,Doppler effect,Crest (physics),0.001797813271916504
113,Photoelectric effect,Standing wave,0.0018709615585711886
114,Collision,Wavelength,0.0019004915175010726
115,Electromagnetic radiation,Virtual image,0.0019119535983950296
116,Color,Planet,0.0019218833079230723
117,Inelastic collision,Wavelength,0.0019365934065348844
118,Photoelectric effect,Electrical polarity,0.0019506121637477094
119,Laser,Electrical polarity,0.0019821552487691964
120,Electron,Tension (physics),0.0019953202610533682
121,Absorption spectroscopy,Standing wave,0.001997957365449997
122,Work (physics),Reflection (physics),0.002013236707349823
123,Scattering,Hertz,0.0020343504290056247
124,Energy level,Compression (physics),0.00203599575598054
125,Capacitor,Reflection (physics),0.002065098890762573
126,Capacitance,Reflection (physics),0.002065098890762573
127,Electromagnetic radiation,Angle of incidence,0.002082238872657633
128,Electric potential,Virtual image,0.002083169518064109
129,Electron,Compression (physics),0.0020946660023198685
130,Resonance (particle physics),Angle of incidence,0.0021186771874353427
131,Newton's law of universal gravitation,Ray (optics),0.0021416681468273938
132,Musical tone,Compass,0.0021645731388416473
133,Voltage,Light,0.002175434009930656
134,Diffraction,Coulomb,0.002198818689234362
135,Electromagnetic spectrum,Amplitude,0.0022072139948839872
136,Electromagnetic spectrum,Angle of incidence,0.0022250593665674515
137,Resultant force,Reflection (physics),0.002225156360755068
138,Lever,Reflection (physics),0.002232066784235674
139,Energy,Ray (optics),0.002282945458039032
140,Electron,Free fall,0.0022938347871005625
141,Absorption spectroscopy,Compression (physics),0.002306851843106362
142,Energy level,Standing wave,0.0023405956340020137
143,Pitch (music),Direction (geometry),0.0023589630883832048
144,Torque,Wave,0.0023686008630736037
145,Dielectric,Wave,0.0023719205446747346
146,Field line,Wave,0.002377974819166914
147,Normal force,Wave,0.0023933020338964012
148,Force,Wave,0.0023933020338964012
149,Insulator (electricity),Light,0.002395630614075318
150,Electron,Standing wave,0.0024080433789318745
151,Capacitor,Magnet,0.0024088033484860956
152,Capacitance,Magnet,0.0024088033484860956
153,Subtractive color,Potential energy,0.0024501554071907233
154,Pitch (music),Magnet,0.0024528769149262677
155,Sound,Direction (geometry),0.0024668869038465416
156,Newton's law of universal gravitation,Free body diagram,0.002548619190803714
157,Electric charge,Light,0.002549127108953811
158,Diffraction,Planet,0.002564503772106482
159,Sound,Magnet,0.0025650973378843135
160,Newton's laws of motion,Wave,0.002580958181831927
161,Voltage,Wave,0.0026157723010836057
162,Emission spectrum,Electrical polarity,0.0026258606250407143
163,Intensity (physics),Compass,0.002645589391917569
164,Sound intensity,Compass,0.002645589391917569
165,Interference (wave propagation),Coulomb,0.0026475571972413747
166,Dispersion (optics),Electric charge,0.002654994919748293
167,Absorption spectroscopy,Fracture,0.0026666435549057405
168,Power (physics),Wave,0.002672806978804427
169,Electric potential,Hertz,0.002728761376387927
170,Work (physics),Ray (optics),0.0027365759653905585
171,Newton's laws of motion,Series and parallel circuits,0.0027481853567919725
172,Electromotive force,Light,0.002761685054712733
173,Resonance (particle physics),Euclidean vector,0.0027621561196665583
174,Pigment,Potential energy,0.0028001776082179687
175,Electric potential energy,Telescope,0.002801351339010869
176,Capacitance,Ray (optics),0.0028070718013356697
177,Capacitor,Ray (optics),0.0028070718013356697
178,Color,Tension (physics),0.0028344992308225593
179,Electromagnetic spectrum,Electrical conductor,0.0028521343720867877
180,Emission spectrum,Deformation (engineering),0.0028715499018448923
181,Insulator (electricity),Wave,0.0028805397797958825
182,Electromagnetic radiation,Mirror image,0.002915330132509136
183,Electron,Elasticity (physics),0.002990393109470559
184,Resonance (particle physics),Crest (physics),0.0030068689811001176
185,Dispersion (optics),Deformation (engineering),0.003012110879858512
186,Dispersion (optics),Electrostatics,0.003016602903540035
187,Torque,Reflection (physics),0.0030198550610247357
188,Electric potential energy,Magnification,0.0030228989597365966
189,Resultant force,Ray (optics),0.003024636593326407
190,Newton's law of universal gravitation,Electrical polarity,0.003030882942396787
191,Lever,Ray (optics),0.0030340298746721413
192,Electromagnetic radiation,Hardness,0.003038221673018545
193,Normal force,Reflection (physics),0.003051347895839321
194,Force,Reflection (physics),0.003051347895839321
195,Electric charge,Wave,0.0030651061135866194
196,Dielectric,Light,0.003079057937216433
197,Energy,Voltage,0.003109825675776169
198,Sonic boom,Coulomb,0.0031260313895139125
199,Shock wave,Coulomb,0.0031260313895139125
200,Optical microscope,Mass,0.003128893418084195
201,Energy,Electrical polarity,0.0032308182093677006
202,Electromagnetic radiation,Series and parallel circuits,0.003245287774885811
203,Electromagnetic spectrum,Hardness,0.0032466129030766975
204,Deformation (engineering),Reflection (physics),0.003252151604180484
205,Electric field,Wave,0.003269715376354507
206,Absorption spectroscopy,Electrical polarity,0.0032823257813008933
207,Newton's laws of motion,Reflection (physics),0.0032906006871855744
208,Musical tone,Direction (geometry),0.00330867550058943
209,Diffraction,Electric charge,0.0033192571259978666
210,Electromotive force,Wave,0.0033206887625446286
211,Voltage,Reflection (physics),0.0033349870571545838
212,Power (physics),Reflection (physics),0.003407703597477732
213,Electric charge,Length,0.0034358350854737187
214,Musical tone,Magnet,0.003440398789766713
215,Electric potential energy,Optical microscope,0.00346550719955926
216,Electron,Gravitational field,0.0035340861909667555
217,Laser,Interference (wave propagation),0.003594417852673358
218,Laser,Pigment,0.003594417852673358
219,Electric potential energy,Compression (physics),0.003660993896255833
220,Insulator (electricity),Reflection (physics),0.0036725531802820088
221,Diffraction,Refraction,0.0036934901773865427
222,Energy level,Voltage,0.0037012240967212165
223,Pitch (music),Angle of incidence,0.00370768507801185
224,Absorption spectroscopy,Interference (wave propagation),0.0037381945667802926
225,Absorption spectroscopy,Pigment,0.0037381945667802926
226,Diffraction,Electrostatics,0.003771337040761791
227,Creep (deformation),Reflection (physics),0.00377481882628092
228,Electron,Temperature,0.003776499202566234
229,Energy level,Electrical polarity,0.003845225892172519
230,Telescope,Mass,0.003870704297609808
231,Work (physics),Electrical polarity,0.003872794870840339
232,Sound,Angle of incidence,0.0038773136415642256
233,Voltage,Magnet,0.0038900451820325695
234,Sonic boom,Angle of incidence,0.0039055133696097293
235,Shock wave,Angle of incidence,0.0039055133696097293
236,Electric charge,Reflection (physics),0.003907866603443342
237,Subtractive color,Planet,0.003922509194037433
238,Electric potential energy,Geometrical optics,0.003969044037303832
239,Capacitance,Electrical polarity,0.003972560386330007
240,Capacitor,Electrical polarity,0.003972560386330007
241,Series and parallel circuits,Light,0.00399271769012553
242,Interference (wave propagation),Electric charge,0.003996656539466819
243,Sound intensity,Direction (geometry),0.004043936722942637
244,Intensity (physics),Direction (geometry),0.004043936722942637
245,Ohm's law,Light,0.004050471413578675
246,Torque,Ray (optics),0.004104863948085839
247,Normal force,Ray (optics),0.004147671897355281
248,Force,Ray (optics),0.004147671897355281
249,Voltage,Displacement (vector),0.0041524149041195545
250,Intensity (physics),Magnet,0.004204931854159316
251,Sound intensity,Magnet,0.004204931854159316
252,Electric potential energy,Standing wave,0.00420870539858155
253,Interference (wave propagation),Mass,0.004217296992353184
254,Electromotive force,Reflection (physics),0.004233722499216511
255,Electromagnetic spectrum,Electric current,0.004248308842001491
256,Resultant force,Electrical polarity,0.0042804574888235325
257,Insulator (electricity),Magnet,0.004283794077720828
258,Strength of materials,Reflection (physics),0.004291806293500345
259,Lever,Electrical polarity,0.004293750835062116
260,Color,Joule,0.004334994988427785
261,Field line,Light,0.004340264531216492
262,Absorption spectroscopy,Deformation (engineering),0.004391503592196645
263,Voltmeter,Light,0.004418696087540373
264,Deformation (engineering),Ray (optics),0.00442062271332321
265,Electric field,Light,0.004445667971856833
266,Scattering,Mirror image,0.004465587436379492
267,Scattering,Series and parallel circuits,0.004469782930687634
268,Newton's laws of motion,Ray (optics),0.004472886233086638
269,Electric potential,Light,0.004481904498258948
270,Pigment,Planet,0.004482867650328494
271,Scattering,Hardness,0.004509184587606524
272,Electromagnetic spectrum,Compression (physics),0.004525265694018925
273,Voltage,Ray (optics),0.00453322025779654
274,Interference (wave propagation),Electrostatics,0.004540997661325421
275,Electric charge,Magnet,0.004558271858998137
276,Electric current,Light,0.004561393891790086
277,Scattering,Amplitude,0.004567542228102705
278,Insulator (electricity),Displacement (vector),0.004572720763416088
279,Power (physics),Ray (optics),0.004632063248195137
280,Insulator (electricity),Length,0.004635345713910991
281,Electromagnetic spectrum,Electrical resistance and conductance,0.004706316092393983
282,Sonic boom,Electric charge,0.004718943865876485
283,Shock wave,Electric charge,0.004718943865876485
284,Elasticity (physics),Wave,0.0047372017261472065
285,Free body diagram,Wave,0.0047372017261472065
286,Emission spectrum,Pigment,0.004761705883098255
287,Emission spectrum,Interference (wave propagation),0.004761705883098255
288,Plane mirror,Length,0.004782767789175225
289,Ohmmeter,Wave,0.004798019100916567
290,Series and parallel circuits,Wave,0.004800899632993138
291,Pitch (music),Euclidean vector,0.0048337732094164785
292,Electric charge,Displacement (vector),0.004865711095530957
293,Ohm's law,Wave,0.004870343518398788
294,Scattering,Huygens–Fresnel principle,0.0049268654397054785
295,Electromotive force,Magnet,0.0049383615372084145
296,Electrical resistance and conductance,Wave,0.004950927746524173
297,Insulator (electricity),Ray (optics),0.004992071090343011
298,Interference (wave propagation),Geometrical optics,0.005008598868965474
299,Electromagnetic spectrum,Coulomb,0.005030126251370418
300,Sound,Euclidean vector,0.005054920903678297
301,Newton's law of universal gravitation,Light,0.005065532046412885
302,Field line,Reflection (physics),0.005114653900382967
303,Creep (deformation),Ray (optics),0.005131079935107299
304,Laser,Crest (physics),0.005182917873161435
305,Musical tone,Angle of incidence,0.005200389460068569
306,Electroscope,Wave,0.005231544602167211
307,Pitch (music),Crest (physics),0.005262020716925207
308,Electromotive force,Displacement (vector),0.005271436471676253
309,Electric charge,Ray (optics),0.005311930675560273
310,Voltmeter,Wave,0.005313102020071406
311,Sonic boom,Electrostatics,0.005361659889275799
312,Shock wave,Electrostatics,0.005361659889275799
313,Power (physics),Series and parallel circuits,0.005363739516825161
314,Laser,Hertz,0.005365185384131647
315,Absorption spectroscopy,Crest (physics),0.0053902345880878924
316,Collision,Electrical polarity,0.00543443495646731
317,Fatigue (material),Reflection (physics),0.005449244581505099
318,Electric current,Wave,0.005484683857110787
319,Electric potential energy,Plane mirror,0.005498027709094566
320,Sound,Crest (physics),0.005502760962338253
321,Inelastic collision,Electrical polarity,0.005537667918021289
322,Newton's law of universal gravitation,Tension (physics),0.0055423689815385455
323,Sonic boom,Crest (physics),0.0055427825796182904
324,Shock wave,Crest (physics),0.0055427825796182904
325,Absorption spectroscopy,Hertz,0.005579792799496913
326,Reflection (physics),Length,0.005589656850214262
327,Resonance (particle physics),Planet,0.0056039156501586085
328,Electromagnetic radiation,Amplitude,0.005623090867497695
329,Color,Compression (physics),0.005668998461645119
330,Electric potential,Reflection (physics),0.0057020495293088605
331,Dispersion (optics),Gravity,0.005718730020919211
332,Electromotive force,Ray (optics),0.005754863893148739
333,Dispersion (optics),Compass,0.00576513474730309
334,Field line,Voltage,0.005768231652874456
335,Energy level,Hertz,0.005781838061384408
336,Subtractive color,Tension (physics),0.005785132347816072
337,Torque,Electrical polarity,0.0058091923062605095
338,Fracture,Reflection (physics),0.005809390253085704
339,Dielectric,Electrical polarity,0.005817334103858057
340,Field line,Electrical polarity,0.005832182719911638
341,Strength of materials,Ray (optics),0.005833816713170121
342,Dispersion (optics),Work (physics),0.005856578077344493
343,Electroscope,Length,0.005864307410327701
344,Force,Electrical polarity,0.005869773999755807
345,Normal force,Electrical polarity,0.005869773999755807
346,Absorption spectroscopy,Plasticity (physics),0.005873584299292265
347,Refractive index,Mass,0.005913576010237206
348,Electron,Hertz,0.005948450325854556
349,Dispersion (optics),Planet,0.005962766160479275
350,Voltage,Speed,0.006008859587990516
351,Free body diagram,Reflection (physics),0.00603971012204947
352,Elasticity (physics),Reflection (physics),0.00603971012204947
353,Doppler effect,Angle of incidence,0.006040039436361675
354,Ohmmeter,Reflection (physics),0.00611724942377765
355,Series and parallel circuits,Reflection (physics),0.006120921967136681
356,Electric potential,Amplitude,0.006126640051468269
357,Laser,Hardness,0.00612683965895514
358,Newton's laws of motion,Electrical conductor,0.006153092592523135
359,Electric charge,Gravity,0.006202202184399561
360,Ohm's law,Reflection (physics),0.006209459665517549
361,Electron,Coulomb,0.006242526077733384
362,Deformation (engineering),Electrical polarity,0.006256053252895933
363,Dispersion (optics),Amplitude,0.006277133973849929
364,Color,Coulomb,0.006301459385818854
365,Electron,Kinetic energy,0.006311266959440142
366,Electrical resistance and conductance,Reflection (physics),0.006312200778609702
367,Newton's laws of motion,Electrical polarity,0.006330016444063177
368,Intensity (physics),Angle of incidence,0.006356031562306029
369,Sound intensity,Angle of incidence,0.006356031562306029
370,Absorption spectroscopy,Hardness,0.006371913245313346
371,Voltage,Electrical polarity,0.006415400991902802
372,Total internal reflection,Mass,0.006420106207700733
373,Laser,Mirror image,0.006542361913595562
374,Power (physics),Electrical polarity,0.006555283323354755
375,Electromagnetic spectrum,Tension (physics),0.006565341091288867
376,Electric potential energy,Temperature,0.006600451105091611
377,Pigment,Tension (physics),0.006611579826075509
378,Insulator (electricity),Speed,0.0066170740730163245
379,Coulomb's law,Wave,0.006634596777510277
380,Electroscope,Reflection (physics),0.0066699741143091676
381,Dispersion (optics),Friction,0.006703039014307415
382,Electric potential energy,Electrical polarity,0.006713791735712234
383,Voltmeter,Reflection (physics),0.006773955998746417
384,Musical tone,Euclidean vector,0.006779837748272463
385,Electric potential,Electrical polarity,0.006804213173230245
386,Emission spectrum,Crest (physics),0.006866071653269926
387,Insulator (electricity),Frame of reference,0.006918278926126426
388,Field line,Ray (optics),0.006952306643317639
389,Electric potential,Wavelength,0.006960176984487979
390,Laser,Series and parallel circuits,0.006985075810521182
391,Specular reflection,Length,0.006991082568839991
392,Electric current,Reflection (physics),0.006992714797259612
393,Electromagnetic spectrum,Temperature,0.007023028074919804
394,Electric charge,Speed,0.0070410533253233015
395,Insulator (electricity),Electrical polarity,0.007064765443407503
396,Emission spectrum,Hertz,0.007107530580656186
397,Emission spectrum,Plasticity (physics),0.007107530580656186
398,Absorption spectroscopy,Specular reflection,0.007133208654882921
399,Absorption spectroscopy,Strength of materials,0.007133208654882921
400,Ohmmeter,Magnet,0.007135373013579508
401,Series and parallel circuits,Magnet,0.007139656796201379
402,Diffraction,Gravity,0.0071495185291705204
403,Lever,Light,0.0071761703990849204
404,Laser,Huygens–Fresnel principle,0.007218162731188798
405,Ohm's law,Magnet,0.007242930254572341
406,Refracting telescope,Mass,0.00725757055801839
407,Creep (deformation),Electrical polarity,0.007261490382825638
408,Electromagnetic radiation,Electrical conductor,0.007266087827338394
409,Electric charge,Frame of reference,0.007361557434721559
410,Electrical resistance and conductance,Magnet,0.0073627710710826725
411,Fatigue (material),Ray (optics),0.007407112982214468
412,Dispersion (optics),Plasticity (physics),0.0074554407629019775
413,Electric charge,Electrical polarity,0.007517429859336385
414,Dielectric,Speed,0.0075432666967928386
415,Electromagnetic spectrum,Free fall,0.007547564207276082
416,Ohmmeter,Displacement (vector),0.007616628563825237
417,Newton's law of universal gravitation,Potential energy,0.007618042715097643
418,Series and parallel circuits,Displacement (vector),0.007621201272360147
419,Electromotive force,Speed,0.007628168744382959
420,Optical microscope,Wavelength,0.007644017452608784
421,Energy,Light,0.007721436099109827
422,Series and parallel circuits,Length,0.007725576189851652
423,Ohm's law,Displacement (vector),0.007731440158458503
424,Photoelectric effect,Series and parallel circuits,0.007737609256987107
425,Electric potential,Ray (optics),0.007750748651863213
426,Electroscope,Magnet,0.007780090364065139
427,Electrical resistance and conductance,Displacement (vector),0.0078593638121214
428,Fracture,Ray (optics),0.007896656007775681
429,Voltmeter,Magnet,0.007901378459533464
430,Mirror image,Planet,0.00791681756707446
431,Electromagnetic radiation,Refraction,0.007932150677438047
432,Electric potential energy,Virtual image,0.007936830635197973
433,Electric field,Electrical polarity,0.008019251239878502
434,Dielectric,Reflection (physics),0.008037313272030378
435,Resonance (particle physics),Refraction,0.008070960017252075
436,Electromagnetic spectrum,Sound,0.008110894437602536
437,Emission spectrum,Hardness,0.008116532257691742
438,Electromotive force,Electrical polarity,0.00814426774540128
439,Electric current,Magnet,0.00815654634942313
440,Diffraction,Telescope,0.008166651361184227
441,Elasticity (physics),Ray (optics),0.008209727896171677
442,Free body diagram,Ray (optics),0.008209727896171677
443,Electric potential,Frequency,0.008236293764557243
444,Strength of materials,Electrical polarity,0.008256001561777745
445,Sound intensity,Euclidean vector,0.008286468358999677
446,Intensity (physics),Euclidean vector,0.008286468358999677
447,Electroscope,Displacement (vector),0.008304829808239109
448,Ohmmeter,Ray (optics),0.00831512642616462
449,Series and parallel circuits,Ray (optics),0.008320118483905018
450,Work (physics),Light,0.00837594909533007
451,Diffraction,Friction,0.008380095136374473
452,Voltmeter,Displacement (vector),0.008434298354682004
453,Ohm's law,Ray (optics),0.008440467043284817
454,Coulomb's law,Reflection (physics),0.008458799863149511
455,Electromagnetic spectrum,Refraction,0.008476215862463088
456,Refraction,Mass,0.008558488313940507
457,Electrical resistance and conductance,Ray (optics),0.00858012218652705
458,Interference (wave propagation),Gravity,0.008608603943286953
459,Electromagnetic spectrum,Deformation (engineering),0.008614649705534678
460,Electromagnetic spectrum,Electrostatics,0.008627496912038282
461,Emission spectrum,Mirror image,0.008666995460796512
462,Electric current,Displacement (vector),0.008706676411863583
463,Euclidean vector,Light,0.008751594854204403
464,Dispersion (optics),Direction (geometry),0.008812342606360888
465,Diffraction,Magnification,0.00881251900126601
466,Electric current,Length,0.008825917276871216
467,Subtractive color,Joule,0.00884760153132815
468,Emission spectrum,Amplitude,0.008864873507002224
469,Diffraction,Joule,0.008890413450843421
470,Electric charge,Physics,0.009016468121139168
471,Intensity (physics),Crest (physics),0.009020606943300353
472,Sound intensity,Crest (physics),0.009020606943300353
473,Electroscope,Ray (optics),0.00906644051559308
474,Dispersion (optics),Magnet,0.009163175062810657
475,Newton's laws of motion,Electric current,0.00916514941311976
476,Voltmeter,Ray (optics),0.009207782229037982
477,Optical microscope,Kilogram,0.00921283574186442
478,Emission spectrum,Series and parallel circuits,0.009253480798318468
479,Insulator (electricity),Physics,0.009270691427821982
480,Plasticity (physics),Reflection (physics),0.009295024404937124
481,Diffraction,Compass,0.009326963892013183
482,Electron,Electric charge,0.009423491472577499
483,Telescope,Wavelength,0.009456292449531122
484,Electric current,Ray (optics),0.009505139250218553
485,Color,Electric charge,0.009512455061880738
486,Emission spectrum,Huygens–Fresnel principle,0.009562262750475411
487,Torque,Light,0.009708936422291365
488,Work (physics),Potential energy,0.009734165691513655
489,Laser,Compression (physics),0.009764741759482729
490,Pitch (music),Planet,0.009806852387777567
491,Normal force,Light,0.009810186954119464
492,Force,Light,0.009810186954119464
493,Dispersion (optics),Hardness,0.009989578163312914
494,Scattering,Electrical conductor,0.010007690410338763
495,Resultant force,Light,0.010051138914396086
496,Interference (wave propagation),Friction,0.010090318633593753
497,Diffraction,Optical microscope,0.010102834547867673
498,Pigment,Joule,0.010111544607232167
499,Photoelectric effect,Mirror image,0.010145120971968942
500,Newton's laws of motion,Electrical resistance and conductance,0.01015323785919462
501,Sonic boom,Gravity,0.010164375740266523
502,Shock wave,Gravity,0.010164375740266523
503,Sound,Planet,0.010255521098444038
504,Coulomb's law,Newton's laws of motion,0.010322097558980519
505,Shock wave,Planet,0.010330109571979124
506,Sonic boom,Planet,0.010330109571979124
507,Strength of materials,Voltage,0.010366085585920561
508,Photoelectric effect,Amplitude,0.010376746421126534
509,Electric potential energy,Hertz,0.010396521598677778
510,Deformation (engineering),Light,0.010455777685544544
511,Fatigue (material),Electrical polarity,0.010482526167023849
512,Electron,Mechanical energy,0.010518778265733568
513,Newton's laws of motion,Light,0.010579392791186453
514,Electroscope,Gravity,0.010585962168003832
515,Electric charge,Mass,0.010634459520606793
516,Diffraction,Compression (physics),0.010672727968745818
517,Interference (wave propagation),Joule,0.010704783542852283
518,Electron,Electrostatics,0.010706962761479432
519,Laser,Electric field,0.010730370768263294
520,Resultant force,Potential energy,0.010758814711672986
521,Color,Deformation (engineering),0.010791948855695947
522,Lever,Potential energy,0.010792227179721661
523,Color,Electrostatics,0.010808043113763847
524,Electromagnetic radiation,Electric current,0.010822977159051539
525,Absorption spectroscopy,Mirror image,0.010833744325995641
526,Electric field,Speed,0.01089127253884115
527,Dielectric,Ray (optics),0.010925053296642007
528,Ohmmeter,Speed,0.0110218397319831
529,Series and parallel circuits,Speed,0.01102845678836054
530,Absorption spectroscopy,Amplitude,0.01108109188375278
531,Absorption spectroscopy,Electric field,0.011159585598993826
532,Fracture,Electrical polarity,0.011175326126691164
533,Ohm's law,Speed,0.011187980825095006
534,Photoelectric effect,Huygens–Fresnel principle,0.011193072940690118
535,Electric charge,Motion,0.011195004068246688
536,Laser,Fracture,0.011287714794540006
537,Electrical resistance and conductance,Speed,0.011373096062996807
538,Energy,Series and parallel circuits,0.01138533933528103
539,Telescope,Kilogram,0.011397052610709375
540,Sonic boom,Pitch (music),0.011457942541181751
541,Shock wave,Pitch (music),0.011457942541181751
542,Dispersion (optics),Elasticity (physics),0.01147381288842745
543,Coulomb's law,Ray (optics),0.011497976525579831
544,Doppler effect,Magnification,0.011513792308180882
545,Electromagnetic radiation,Compression (physics),0.01152855149342957
546,Series and parallel circuits,Frame of reference,0.011530464876877377
547,Absorption spectroscopy,Series and parallel circuits,0.011566850997898087
548,Subtractive color,Compression (physics),0.011570264695632144
549,Diffraction,Geometrical optics,0.011570772447733203
550,Electric field,Reflection (physics),0.01160459690003348
551,Elasticity (physics),Electrical polarity,0.011618384612521017
552,Free body diagram,Electrical polarity,0.011618384612521017
553,Electromagnetic spectrum,Gravitational field,0.011628449699328747
554,Scattering,Compression (physics),0.01175385582159958
555,Ohmmeter,Electrical polarity,0.011767544325795238
