,Unnamed: 0,type,concept,rank,score,match_concept_list,match_freq_list,first_concept_list,first_freq_list,theta_match_concepts,theta_match_freq,theta_first_concepts,theta_first_freq,rank_match_concepts,rank_match_freq,rank_first_concepts,rank_first_freq
12,113,1,Frame of reference,7.0,0.4692712243065632,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force|Speed|Light|Work (physics),12|2|1|1|2|6|1|2|1|2|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force|Speed|Light|Work (physics),12|2|1|1|2|6|1|2|1|2|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force|Speed|Light|Work (physics),12|2|1|1|2|6|1|2|1|2|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force|Speed|Light|Work (physics),12|2|1|1|2|6|1|2|1|2|2|1,Position (vector)|Motion,1|1,Position (vector)|Motion,1|1
13,59,2,Displacement (vector),8.0,0.2989567183109589,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Position (vector)|Physics|Frame of reference|Physical quantity,14|2|1|2,Position (vector)|Physics|Frame of reference|Physical quantity,14|2|1|2
14,54,2,Distance,8.0,0.2761797991157612,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Position (vector)|Physics|Frame of reference|Physical quantity,14|2|1|2,Position (vector)|Physics|Frame of reference|Physical quantity,14|2|1|2
15,85,2,Speed,9.0,0.3774873773819036,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry),19|9|5|3|4|3|7|2|3,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry),19|9|5|3|4|3|7|2|3,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry),19|9|5|3|4|3|7|2|3,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry),19|9|5|3|4|3|7|2|3,Position (vector)|Displacement (vector)|Motion|Distance,9|5|3|2,Position (vector)|Displacement (vector)|Motion|Distance,9|5|3|2
16,121,2,Velocity,9.0,0.5079622556965256,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry)|Metre,32|13|5|3|4|9|7|2|3|1,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry)|Metre,32|13|5|3|4|9|7|2|3|1,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry)|Metre,32|13|5|3|4|9|7|2|3|1,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry)|Metre,32|13|5|3|4|9|7|2|3|1,Position (vector)|Displacement (vector)|Motion|Distance|Metre,13|5|9|2|1,Position (vector)|Displacement (vector)|Motion|Distance|Metre,13|5|9|2|1
17,74,1,Acceleration,10.0,0.3448499667123737,Velocity|Euclidean vector|Motion|Direction (geometry)|Position (vector)|Acceleration|Speed|Work (physics),13|2|3|4|6|2|3|1,Velocity|Euclidean vector|Motion|Direction (geometry)|Position (vector)|Acceleration|Speed|Work (physics),13|2|3|4|6|2|3|1,Velocity|Euclidean vector|Motion|Direction (geometry)|Position (vector)|Acceleration|Speed|Work (physics),13|2|3|4|6|2|3|1,Velocity|Euclidean vector|Motion|Direction (geometry)|Position (vector)|Acceleration|Speed|Work (physics),13|2|3|4|6|2|3|1,Velocity|Motion|Position (vector)|Speed,13|3|6|3,Velocity|Motion|Position (vector)|Speed,13|3|6|3
18,37,1,Equations of motion,11.0,0.19363213004334429,Equations of motion|Free fall|Projectile motion|Velocity|Gravity,1|1|1|2|1,Motion|Work (physics)|Distance|Velocity|Force|Friction|Newton's laws of motion,6|1|1|1|2|1|1,Equations of motion|Free fall|Projectile motion|Velocity|Gravity,1|1|1|2|1,Motion|Work (physics)|Distance|Velocity|Force|Friction|Newton's laws of motion,6|1|1|1|2|1|1,Velocity,2,Motion|Distance|Velocity,6|1|1
19,31,2,Le Sage's theory of gravitation,12.0,0.17415397172169195,Force|Mass|Kilogram|Gravity|Work (physics)|Planet|Scalar (mathematics)|Euclidean vector|Field (physics)|Gravitational field|Free fall|Motion|Friction|Electrical |Electrical resistance and conductance|Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Kinetic energy|Velocity|Mechanical energy|Energy level|Tension (physics)|Distance|Metre,18|13|9|6|3|3|1|1|1|5|4|10|9|3|3|39|42|3|1|2|4|8|21|1|1|2|1,Force|Mass|Kilogram|Gravity|Work (physics)|Planet|Scalar (mathematics)|Euclidean vector|Field (physics)|Gravitational field|Free fall|Motion|Friction|Electrical |Electrical resistance and conductance|Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Kinetic energy|Velocity|Mechanical energy|Energy level|Tension (physics)|Distance|Metre,18|13|9|6|3|3|1|1|1|5|4|10|9|3|3|39|42|3|1|2|4|8|21|1|1|2|1,Force|Mass|Kilogram|Gravity|Work (physics)|Planet|Scalar (mathematics)|Euclidean vector|Field (physics)|Gravitational field|Free fall|Motion|Friction|Electrical |Electrical resistance and conductance|Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Kinetic energy|Velocity|Mechanical energy|Energy level|Tension (physics)|Distance|Metre,18|13|9|6|3|3|1|1|1|5|4|10|9|3|3|39|42|3|1|2|4|8|21|1|1|2|1,Force|Mass|Kilogram|Gravity|Work (physics)|Planet|Scalar (mathematics)|Euclidean vector|Field (physics)|Gravitational field|Free fall|Motion|Friction|Electrical |Electrical resistance and conductance|Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Kinetic energy|Velocity|Mechanical energy|Energy level|Tension (physics)|Distance|Metre,18|13|9|6|3|3|1|1|1|5|4|10|9|3|3|39|42|3|1|2|4|8|21|1|1|2|1,Kilogram|Motion|Position (vector)|Velocity|Tension (physics)|Distance|Metre,9|10|3|8|1|2|1,Kilogram|Motion|Position (vector)|Velocity|Tension (physics)|Distance|Metre,9|10|3|8|1|2|1
20,57,2,Gravity,12.0,0.29668340289751993,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Motion,5,Motion,5
21,27,2,Gravity of Earth,12.0,0.14015444857457854,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Motion,5,Motion,5
22,6,0,Planet,13.0,0.0,,,,,,,,,,,,
23,134,2,Mass,13.0,0.5975535957911468,Gravitational field|Force|Mass|Field (physics)|Strength of materials|Gravity|Euclidean vector|Direction (geometry)|Newton's laws of motion|Distance|Gravitational constant|Kilogram|Metre|Length,3|21|20|5|4|4|1|2|1|3|1|7|1|1,Mass|Kilogram|Planet|Scalar (mathematics)|Force|Euclidean vector,4|3|2|1|1|1,Gravitational field|Force|Mass|Field (physics)|Strength of materials|Gravity|Euclidean vector|Direction (geometry)|Newton's laws of motion|Distance|Gravitational constant|Kilogram|Metre|Length,3|21|20|5|4|4|1|2|1|3|1|7|1|1,Mass|Kilogram|Planet|Scalar (mathematics)|Force|Euclidean vector,4|3|2|1|1|1,Gravity|Distance|Kilogram|Metre|Length,4|3|7|1|1,Kilogram,3
24,46,1,Gravitational acceleration,14.0,0.2429562702454981,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Mass|Motion|Gravity,4|5|1,Mass|Motion|Gravity,4|5|1
25,104,1,Gravitational field,15.0,0.4460215084076111,Field (physics)|Mass|Force|Gravitational field,1|2|2|1,Field (physics)|Mass|Force|Gravitational field,1|2|2|1,Field (physics)|Mass|Force|Gravitational field,1|2|2|1,Field (physics)|Mass|Force|Gravitational field,1|2|2|1,Mass,2,Mass,2
26,75,2,Field (physics),15.0,0.3468319954149164,Electric charge|Position (vector)|Electric field|Magnet|Field (physics)|Direction (geometry)|Strength of materials|Capacitor|Voltage|Distance,8|3|5|1|5|2|1|1|1|1,Magnet|Field (physics)|Strength of materials|Direction (geometry)|Compass|Electrical polarity,27|25|1|3|2|1,Electric charge|Position (vector)|Electric field|Magnet|Field (physics)|Direction (geometry)|Strength of materials|Capacitor|Voltage|Distance,8|3|5|1|5|2|1|1|1|1,Magnet|Field (physics)|Strength of materials|Direction (geometry)|Compass|Electrical polarity,27|25|1|3|2|1,Position (vector)|Distance,3|1,,
27,61,1,Free fall,16.0,0.3023695646043987,Free fall|Motion|Gravitational field|Force|Friction|Gravity|Mass|Electrical |Electrical resistance and conductance,3|5|3|2|3|1|2|1|1,Free fall|Motion|Gravitational field|Force|Friction|Gravity|Mass|Electrical |Electrical resistance and conductance,3|5|3|2|3|1|2|1|1,Free fall|Motion|Gravitational field|Force|Friction|Gravity|Mass|Electrical |Electrical resistance and conductance,3|5|3|2|3|1|2|1|1,Free fall|Motion|Gravitational field|Force|Friction|Gravity|Mass|Electrical |Electrical resistance and conductance,3|5|3|2|3|1|2|1|1,Motion|Gravitational field|Gravity|Mass,5|3|1|2,Motion|Gravitational field|Gravity|Mass,5|3|1|2
28,10,0,Friction,16.0,0.0,,,,,,,,,,,,
29,116,1,Potential energy,17.0,0.4903736257517808,Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Mass|Kilogram|Force|Gravity,22|3|3|1|1|2|2|1|1,Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Mass|Kilogram|Force|Gravity,22|3|3|1|1|2|2|1|1,Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Mass|Kilogram|Force|Gravity,22|3|3|1|1|2|2|1|1,Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Mass|Kilogram|Force|Gravity,22|3|3|1|1|2|2|1|1,Position (vector)|Mass|Kilogram|Gravity,3|2|2|1,Position (vector)|Mass|Kilogram|Gravity,3|2|2|1
30,83,1,Kinetic energy,18.0,0.3745748045851949,Energy|Motion|Kinetic energy|Velocity|Mass|Kilogram|Joule,15|2|1|4|1|3|1,Energy|Motion|Kinetic energy|Velocity|Mass|Kilogram|Joule,15|2|1|4|1|3|1,Energy|Motion|Kinetic energy|Velocity|Mass|Kilogram|Joule,15|2|1|4|1|3|1,Energy|Motion|Kinetic energy|Velocity|Mass|Kilogram|Joule,15|2|1|4|1|3|1,Motion|Velocity|Mass|Kilogram,2|4|1|3,Motion|Velocity|Mass|Kilogram,2|4|1|3
31,150,1,Mechanical energy,19.0,0.7406989477754005,Energy level|Energy|Potential energy|Mechanical energy|Force|Gravitational field|Gravity|Electrical |Electrical resistance and conductance|Velocity|Free fall|Mass|Friction|Work (physics)|Tension (physics),1|11|4|14|10|1|2|2|2|3|1|1|5|2|1,Energy level|Energy|Potential energy|Mechanical energy|Force|Gravitational field|Gravity|Electrical |Electrical resistance and conductance|Velocity|Free fall|Mass|Friction|Work (physics)|Tension (physics),1|11|4|14|10|1|2|2|2|3|1|1|5|2|1,Energy level|Energy|Potential energy|Mechanical energy|Force|Gravitational field|Gravity|Electrical |Electrical resistance and conductance|Velocity|Free fall|Mass|Friction|Work (physics)|Tension (physics),1|11|4|14|10|1|2|2|2|3|1|1|5|2|1,Energy level|Energy|Potential energy|Mechanical energy|Force|Gravitational field|Gravity|Electrical |Electrical resistance and conductance|Velocity|Free fall|Mass|Friction|Work (physics)|Tension (physics),1|11|4|14|10|1|2|2|2|3|1|1|5|2|1,Potential energy|Gravitational field|Gravity|Velocity|Free fall|Mass|Friction|Tension (physics),4|1|2|3|1|1|5|1,Potential energy|Gravitational field|Gravity|Velocity|Free fall|Mass|Friction|Tension (physics),4|1|2|3|1|1|5|1
32,47,2,Motion graphs and derivatives,20.0,0.2435419141848808,Wave|Direction (geometry)|Motion|Position (vector)|Displacement (vector)|Velocity|Motion graphs and derivatives,8|1|2|3|1|3|3,Projectile motion|Motion|Direction (geometry)|Position (vector)|Velocity|Motion graphs and derivatives,3|3|1|1|2|1,Wave|Direction (geometry)|Motion|Position (vector)|Displacement (vector)|Velocity|Motion graphs and derivatives,8|1|2|3|1|3|3,Projectile motion|Motion|Direction (geometry)|Position (vector)|Velocity|Motion graphs and derivatives,3|3|1|1|2|1,Motion|Position (vector)|Displacement (vector)|Velocity,2|3|1|3,Motion|Position (vector)|Velocity,3|1|2
33,70,3,Transmission medium,21.0,0.3369089359851687,Wave|Sound|Position (vector),10|1|1,Wave|Sound|Position (vector),10|1|1,Wave|Sound|Position (vector),10|1|1,Wave|Sound|Position (vector),10|1|1,Position (vector),1,Position (vector),1
34,71,2,Amplitude,22.0,0.33946204634157656,Wave|Amplitude|Wavelength|Length|Displacement (vector)|Position (vector)|Distance|Crest (physics)|Metre,5|7|5|1|1|4|9|4|2,Amplitude|Displacement (vector)|Position (vector)|Length,4|2|1|2,Wave|Amplitude|Wavelength|Length|Displacement (vector)|Position (vector)|Distance|Crest (physics)|Metre,5|7|5|1|1|4|9|4|2,Amplitude|Displacement (vector)|Position (vector)|Length,4|2|1|2,Length|Displacement (vector)|Position (vector)|Distance|Metre,1|1|4|9|2,Displacement (vector)|Position (vector)|Length,2|1|2
35,82,2,Wave,23.0,0.3711301322756964,Wave|Motion|Direction (geometry)|Light|Sound|Position (vector)|Displacement (vector)|Wavelength|Amplitude|Frequency|Speed|Crest (physics)|Compression (physics)|Rarefaction|Distance|Hertz|Velocity|Motion graphs and derivatives|Diffraction|Planet|Hardness,75|9|7|5|16|8|3|10|4|5|3|1|12|9|3|1|3|3|2|1|1,Electric charge|Wave|Electric field|Magnet|Field (physics)|Sound|Speed,1|6|4|3|4|1|1,Wave|Motion|Direction (geometry)|Light|Sound|Position (vector)|Displacement (vector)|Wavelength|Amplitude|Frequency|Speed|Crest (physics)|Compression (physics)|Rarefaction|Distance|Hertz|Velocity|Motion graphs and derivatives|Diffraction|Planet|Hardness,75|9|7|5|16|8|3|10|4|5|3|1|12|9|3|1|3|3|2|1|1,Electric charge|Wave|Electric field|Magnet|Field (physics)|Sound|Speed,1|6|4|3|4|1|1,Motion|Position (vector)|Displacement (vector)|Amplitude|Speed|Distance|Hertz|Velocity|Motion graphs and derivatives|Planet,9|8|3|4|3|3|1|3|3|1,Field (physics)|Speed,4|1
36,109,1,Transverse wave,23.0,0.4583480218039476,Wave|Direction (geometry)|Displacement (vector)|Position (vector)|Motion|Crest (physics)|Amplitude|Wavelength|Length|Distance|Metre|Frequency|Speed,33|2|5|5|3|14|7|12|1|16|2|4|3,Wave|Direction (geometry)|Displacement (vector)|Position (vector)|Motion|Crest (physics)|Amplitude|Wavelength|Length|Distance|Metre|Frequency|Speed,33|2|5|5|3|14|7|12|1|16|2|4|3,Wave|Direction (geometry)|Displacement (vector)|Position (vector)|Motion|Crest (physics)|Amplitude|Wavelength|Length|Distance|Metre|Frequency|Speed,33|2|5|5|3|14|7|12|1|16|2|4|3,Wave|Direction (geometry)|Displacement (vector)|Position (vector)|Motion|Crest (physics)|Amplitude|Wavelength|Length|Distance|Metre|Frequency|Speed,33|2|5|5|3|14|7|12|1|16|2|4|3,Displacement (vector)|Position (vector)|Motion|Amplitude|Length|Distance|Metre|Speed,5|5|3|7|1|16|2|3,Displacement (vector)|Position (vector)|Motion|Amplitude|Length|Distance|Metre|Speed,5|5|3|7|1|16|2|3
37,67,2,Crest (physics),24.0,0.3259502591982288,Wave|Crest (physics)|Displacement (vector),4|6|2,Wave|Crest (physics)|Displacement (vector),4|6|2,Wave|Crest (physics)|Displacement (vector),4|6|2,Wave|Crest (physics)|Displacement (vector),4|6|2,Wave|Displacement (vector),4|2,Wave|Displacement (vector),4|2
38,51,2,Wavelength,25.0,0.25833810096922616,Energy|Speed|Light|Wavelength|Mass|Velocity|Physics|Work (physics)|Electron|Diffraction|Wave|Distance,2|1|2|13|2|4|1|1|6|4|2|1,Energy|Speed|Light|Wavelength|Mass|Velocity|Physics|Work (physics)|Electron|Diffraction|Wave|Distance,2|1|2|13|2|4|1|1|6|4|2|1,Energy|Speed|Light|Wavelength|Mass|Velocity|Physics|Work (physics)|Electron|Diffraction|Wave|Distance,2|1|2|13|2|4|1|1|6|4|2|1,Energy|Speed|Light|Wavelength|Mass|Velocity|Physics|Work (physics)|Electron|Diffraction|Wave|Distance,2|1|2|13|2|4|1|1|6|4|2|1,Speed|Mass|Velocity|Physics|Wave|Distance,1|2|4|1|2|1,Speed|Mass|Velocity|Physics|Wave|Distance,1|2|4|1|2|1
39,76,2,Frequency,26.0,0.359303473201787,Wave|Wavelength|Frequency,7|5|3,Wave|Wavelength|Frequency,7|5|3,Wave|Wavelength|Frequency,7|5|3,Wave|Wavelength|Frequency,7|5|3,Wave|Wavelength,7|5,Wave|Wavelength,7|5
40,136,1,Standing wave,27.0,0.6000951686373576,Reflection (physics)|Wave|Direction (geometry)|Frequency|Wavelength|Standing wave|Amplitude|Position (vector)|Crest (physics)|Motion,5|24|1|1|2|10|3|1|1|3,Reflection (physics)|Wave|Direction (geometry)|Frequency|Wavelength|Standing wave|Amplitude|Position (vector)|Crest (physics)|Motion,5|24|1|1|2|10|3|1|1|3,Reflection (physics)|Wave|Direction (geometry)|Frequency|Wavelength|Standing wave|Amplitude|Position (vector)|Crest (physics)|Motion,5|24|1|1|2|10|3|1|1|3,Reflection (physics)|Wave|Direction (geometry)|Frequency|Wavelength|Standing wave|Amplitude|Position (vector)|Crest (physics)|Motion,5|24|1|1|2|10|3|1|1|3,Wave|Frequency|Wavelength|Amplitude|Position (vector)|Crest (physics)|Motion,24|1|2|3|1|1|3,Wave|Frequency|Wavelength|Amplitude|Position (vector)|Crest (physics)|Motion,24|1|2|3|1|1|3
