,type,concept,rank,score,match_index,first_index,rank_pos,match_concept_list,match_freq_list,first_concept_list,first_freq_list
25,2,Length,2.0,0.11924469381737204,5.3.1,5.3.1,2.1,Amplitude|Displacement (vector)|Position (vector)|Length,4|2|1|2,Amplitude|Displacement (vector)|Position (vector)|Length,4|2|1|2
26,1,Resonance (particle physics),80.0,0.12099238745903715,16.4,16.4,16.4,Resonance (particle physics)|Amplitude|Frequency|Speed|Sound|Length,4|1|4|1|2|1,Resonance (particle physics)|Amplitude|Frequency|Speed|Sound|Length,4|1|4|1|2|1
27,2,Gravity of Earth,12.0,0.14015444857457854,4.2,4.2,4,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1
28,2,Subtractive color,106.0,0.14331268474918304,25.3.2,25.3.2,25.3.2,Color|Light,6|2,Color|Light,6|2
29,2,Compression (physics),75.0,0.15446332107540608,14.3.1,14.3.1,14.3.1,Compression (physics)|Wave|Rarefaction,3|1|1,Compression (physics)|Wave|Rarefaction,3|1|1
30,1,Capacitance,113.0,0.1565594502976151,28.4.1,28.4.1,28.4.1,Capacitance|Capacitor|Electrical |Electrical resistance and conductance|Frequency,6|6|1|1|8,Capacitance|Capacitor|Electrical |Electrical resistance and conductance|Frequency,6|6|1|1|8
31,2,Le Sage's theory of gravitation,12.0,0.17415397172169195,4,4,4,Force|Mass|Kilogram|Gravity|Work (physics)|Planet|Scalar (mathematics)|Euclidean vector|Field (physics)|Gravitational field|Free fall|Motion|Friction|Electrical |Electrical resistance and conductance|Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Kinetic energy|Velocity|Mechanical energy|Energy level|Tension (physics)|Distance|Metre,18|13|9|6|3|3|1|1|1|5|4|10|9|3|3|39|42|3|1|2|4|8|21|1|1|2|1,Force|Mass|Kilogram|Gravity|Work (physics)|Planet|Scalar (mathematics)|Euclidean vector|Field (physics)|Gravitational field|Free fall|Motion|Friction|Electrical |Electrical resistance and conductance|Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Kinetic energy|Velocity|Mechanical energy|Energy level|Tension (physics)|Distance|Metre,18|13|9|6|3|3|1|1|1|5|4|10|9|3|3|39|42|3|1|2|4|8|21|1|1|2|1
32,2,Dispersion (optics),105.0,0.1790560100675121,25.2.1,25.2.1,25.2.1,Light|Wavelength|Color|Speed|Frequency|Refraction,22|1|4|3|5|4,Light|Wavelength|Color|Speed|Frequency|Refraction,22|1|4|3|5|4
33,2,Rarefaction,75.0,0.1883101816140791,14.3.1,14.3.1,14.3.1,Compression (physics)|Wave|Rarefaction,3|1|1,Compression (physics)|Wave|Rarefaction,3|1|1
34,1,Direction (geometry),62.0,0.188809266412984,11.4,11.4,11.4,Euclidean vector|Direction (geometry)|Compass,10|10|2,Euclidean vector|Direction (geometry)|Compass,10|10|2
35,1,Musical tone,78.0,0.18918742379524506,15.2.3,15.2.3,15.2.3,Musical tone|Sound|Wave|Standing wave|Physics,1|6|3|1|1,Musical tone|Sound|Wave|Standing wave|Physics,1|6|3|1|1
36,1,Series and parallel circuits,54.0,0.19312390171597488,10.3.4,10.3.4,10.3.3,Electric current|Electric charge|Electrical |Electrical resistance and conductance,2|4|1|1,Electric current|Electric charge|Electrical |Electrical resistance and conductance,2|4|1|1
37,1,Equations of motion,11.0,0.19363213004334429,21.2.2,3.9,3.9,Equations of motion|Free fall|Projectile motion|Velocity|Gravity,1|1|1|2|1,Motion|Work (physics)|Distance|Velocity|Force|Friction|Newton's laws of motion,6|1|1|1|2|1|1
38,1,Scalar multiplication,63.0,0.19828559631353795,11.6.3,11.6.3,11.6.3,Euclidean vector|Scalar (mathematics)|Work (physics),2|1|1,Euclidean vector|Scalar (mathematics)|Work (physics),2|1|1
39,2,Fracture,96.0,0.20613871593838407,22.3,22.3,22.3,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering)|Fracture|Creep (deformation)|Fatigue (material),9|5|8|3|3|6|4,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering)|Fracture|Creep (deformation)|Fatigue (material),9|5|8|3|3|6|4
40,2,Fatigue (material),97.0,0.21402996065843333,22.3.2,22.3.2,22.3.2,Plasticity (physics)|Elasticity (physics)|Fracture|Force|Creep (deformation)|Deformation (engineering)|Fatigue (material),1|1|3|5|6|2|4,Plasticity (physics)|Elasticity (physics)|Fracture|Force|Creep (deformation)|Deformation (engineering)|Fatigue (material),1|1|3|5|6|2|4
41,2,Deformation (engineering),94.0,0.22132962129042627,22.2,22.2,22.2,Deformation (engineering)|Force|Compression (physics)|Tension (physics)|Direction (geometry)|Hooke's law|Elasticity (physics)|Metre|Work (physics)|Fracture|Plasticity (physics),2|14|4|2|1|11|4|1|1|3|3,Deformation (engineering)|Force|Compression (physics)|Tension (physics)|Direction (geometry)|Hooke's law|Elasticity (physics)|Metre|Work (physics)|Fracture|Plasticity (physics),2|14|4|2|1|11|4|1|1|3|3
42,2,Scattering,116.0,0.2243139660113573,31.2,31.2,31.2,Electron|Energy level|Energy|Light|Wavelength|Strength of materials|Scattering|Direction (geometry)|Reflection (physics)|Geometrical optics|Ray (optics)|Refraction|Optical microscope|Color|Specular reflection|Plasticity (physics),12|10|15|32|18|1|10|5|10|2|3|2|1|5|1|1,Electron|Energy level|Energy|Light|Wavelength|Strength of materials|Scattering|Direction (geometry)|Reflection (physics)|Geometrical optics|Ray (optics)|Refraction|Optical microscope|Color|Specular reflection|Plasticity (physics),12|10|15|32|18|1|10|5|10|2|3|2|1|5|1|1
43,2,Strength of materials,98.0,0.2349503967222089,22.4,22.4,22.4,Strength of materials|Force|Metre|Stiffness|Hardness|Deformation (engineering)|Electrical |Electrical resistance and conductance|Energy|Plasticity (physics)|Fracture|Crystallinity|Work (physics)|Temperature|Color,3|4|2|4|4|4|1|1|1|3|2|1|4|4|1,Strength of materials|Force|Metre|Stiffness|Hardness|Deformation (engineering)|Electrical |Electrical resistance and conductance|Energy|Plasticity (physics)|Fracture|Crystallinity|Work (physics)|Temperature|Color,3|4|2|4|4|4|1|1|1|3|2|1|4|4|1
44,2,Shock wave,111.0,0.2399802903911013,26.6,26.6,26.6,Wave|Speed|Sound|Direction (geometry)|Wavelength|Doppler effect|Frequency|Work (physics)|Sonic boom|Distance,14|23|34|4|2|2|1|2|3|1,Wave|Speed|Sound|Direction (geometry)|Wavelength|Doppler effect|Frequency|Work (physics)|Sonic boom|Distance,14|23|34|4|2|2|1|2|3|1
45,1,Work (physics),100.0,0.2420440061361994,23.2,23.2,23.2,Work (physics)|Force|Displacement (vector)|Distance|Direction (geometry)|Motion|Euclidean vector|Physical quantity|Joule|Position (vector)|Energy|Physics,20|19|8|1|10|7|3|1|3|3|2|2,Work (physics)|Force|Displacement (vector)|Distance|Direction (geometry)|Motion|Euclidean vector|Physical quantity|Joule|Position (vector)|Energy|Physics,20|19|8|1|10|7|3|1|3|3|2|2
46,1,Gravitational acceleration,14.0,0.2429562702454981,4.2,4.2,4.2,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1
47,2,Motion graphs and derivatives,20.0,0.2435419141848808,14.4,21.2.3,4.6,Wave|Direction (geometry)|Motion|Position (vector)|Displacement (vector)|Velocity|Motion graphs and derivatives,8|1|2|3|1|3|3,Projectile motion|Motion|Direction (geometry)|Position (vector)|Velocity|Motion graphs and derivatives,3|3|1|1|2|1
48,1,Interference (wave propagation),109.0,0.2478146361650821,26.4,26.4,26.4,Wave|Displacement (vector)|Direction (geometry)|Crest (physics)|Work (physics)|Mirror image,15|10|4|18|1|1,Wave|Displacement (vector)|Direction (geometry)|Crest (physics)|Work (physics)|Mirror image,15|10|4|18|1|1
49,1,Insulator (electricity),88.0,0.25048015042312954,20.2.2,20.2.2,20.2.2,Energy|Insulator (electricity)|Electron|Electric current|Temperature|Position (vector)|Electric charge,8|6|5|1|2|1|1,Energy|Insulator (electricity)|Electron|Electric current|Temperature|Position (vector)|Electric charge,8|6|5|1|2|1|1
50,1,Power (physics),102.0,0.2543931399929088,23.4,23.4,23.4,Work (physics)|Energy|Length|Power (physics)|Field (physics),8|2|1|13|1,Work (physics)|Energy|Length|Power (physics)|Field (physics),8|2|1|13|1
51,2,Wavelength,25.0,0.25833810096922616,27.2,27.2,6.2.2,Energy|Speed|Light|Wavelength|Mass|Velocity|Physics|Work (physics)|Electron|Diffraction|Wave|Distance,2|1|2|13|2|4|1|1|6|4|2|1,Energy|Speed|Light|Wavelength|Mass|Velocity|Physics|Work (physics)|Electron|Diffraction|Wave|Distance,2|1|2|13|2|4|1|1|6|4|2|1
52,2,Resultant force,66.0,0.26093942946863224,12.2.6,12.2.6,12.2.6,Force|Free body diagram|Length|Euclidean vector|Direction (geometry)|Motion|Frame of reference|Position (vector)|Work (physics),14|3|2|6|8|1|1|3|1,Force|Free body diagram|Length|Euclidean vector|Direction (geometry)|Motion|Frame of reference|Position (vector)|Work (physics),14|3|2|6|8|1|1|3|1
53,2,Elasticity (physics),91.0,0.27317662341994337,22.3.1,22.3.1,21.4.1,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering),8|4|3|1,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering),8|4|3|1
54,2,Distance,8.0,0.2761797991157612,3.3,3.3,3.3,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2
55,2,Pigment,107.0,0.2839378009009477,25.4.3,25.4.3,25.4,Pigment|Color|Light,4|6|1,Pigment|Color|Light,4|6|1
56,2,Electrical conductor,48.0,0.2889248250028433,19.2.2,19.2.2,9.6,Temperature|Ohm|Electrical |Electrical resistance and conductance|Electrical conductor|Light|Voltage|Electric current,8|4|6|6|8|2|4|5,Temperature|Ohm|Electrical |Electrical resistance and conductance|Electrical conductor|Light|Voltage|Electric current,8|4|6|6|8|2|4|5
57,2,Gravity,12.0,0.29668340289751993,4.2,4.2,4,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1
58,2,Intensity (physics),79.0,0.2968781015717413,15.4.1,15.4.1,15.4.1,Amplitude|Energy|Power (physics)|Joule|Sound|Compression (physics)|Distance,1|2|1|1|6|1|1,Amplitude|Energy|Power (physics)|Joule|Sound|Compression (physics)|Distance,1|2|1|1|6|1|1
59,2,Displacement (vector),8.0,0.2989567183109589,3.3,3.3,3.3,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2
60,1,Sound intensity,79.0,0.30156975973986044,15.4.1,15.4.1,15.4.1,Amplitude|Energy|Power (physics)|Joule|Sound|Compression (physics)|Distance,1|2|1|1|6|1|1,Amplitude|Energy|Power (physics)|Joule|Sound|Compression (physics)|Distance,1|2|1|1|6|1|1
61,1,Free fall,16.0,0.3023695646043987,4.2.2,4.2.2,4.2.2,Free fall|Motion|Gravitational field|Force|Friction|Gravity|Mass|Electrical |Electrical resistance and conductance,3|5|3|2|3|1|2|1|1,Free fall|Motion|Gravitational field|Force|Friction|Gravity|Mass|Electrical |Electrical resistance and conductance,3|5|3|2|3|1|2|1|1
62,1,Capacitor,113.0,0.3069581075527299,28.4.1,28.4.1,28.4.1,Capacitance|Capacitor|Electrical |Electrical resistance and conductance|Frequency,6|6|1|1|8,Capacitance|Capacitor|Electrical |Electrical resistance and conductance|Frequency,6|6|1|1|8
63,1,Huygens–Fresnel principle,108.0,0.3089628839096904,26.3,26.3,26.3,Wave|Huygens–Fresnel principle|Light,4|2|1,Wave|Huygens–Fresnel principle|Light,4|2|1
64,1,Inelastic collision,92.0,0.3090985705616242,21.4.2,21.4.2,21.4.2,Energy|Collision|Deformation (engineering)|Force|Physics|Work (physics)|Laser|Electric current|Field (physics)|Metre|Optical microscope|Electron,24|4|1|2|5|4|1|2|2|1|1|1,Energy|Collision|Deformation (engineering)|Force|Physics|Work (physics)|Laser|Electric current|Field (physics)|Metre|Optical microscope|Electron,24|4|1|2|5|4|1|2|2|1|1|1
65,2,Electric field,82.0,0.31582942827748445,17.3|17.5.4,17.3|17.5.4,17.3,Electric charge|Force|Electric field|Direction (geometry)|Position (vector)|Magnet|Field (physics)|Euclidean vector|Length|Work (physics)|Distance|Reflection (physics)|Electron|Strength of materials|Coulomb|Capacitor|Voltage,97|27|24|14|20|1|24|3|1|1|3|1|1|4|2|1|1,Electric charge|Force|Electric field|Direction (geometry)|Position (vector)|Magnet|Field (physics)|Euclidean vector|Length|Work (physics)|Distance|Reflection (physics)|Electron|Strength of materials|Coulomb|Capacitor|Voltage,97|27|24|14|20|1|24|3|1|1|3|1|1|4|2|1|1
66,2,Scalar (mathematics),61.0,0.3247156044195587,11.2|11.6.3,11.2|11.6.3,11.2,Scalar (mathematics)|Euclidean vector|Direction (geometry)|Physics|Velocity|Speed|Work (physics),8|10|6|1|2|1|1,Scalar (mathematics)|Euclidean vector|Direction (geometry)|Physics|Velocity|Speed|Work (physics),8|10|6|1|2|1|1
67,2,Crest (physics),24.0,0.3259502591982288,6.2.1,6.2.1,6.2.1,Wave|Crest (physics)|Displacement (vector),4|6|2,Wave|Crest (physics)|Displacement (vector),4|6|2
68,1,Dielectric,86.0,0.3317555544028268,17.5.2,17.5.2,17.5.2,Electric field|Capacitor|Dielectric|Field (physics)|Voltage|Capacitance|Electric charge,3|8|6|2|5|3|4,Electric field|Capacitor|Dielectric|Field (physics)|Voltage|Capacitance|Electric charge,3|8|6|2|5|3|4
69,1,Torque,70.0,0.3349015814336451,12.6.1,12.6.1,12.6.1,Force|Motion|Distance|Torque|Euclidean vector|Tangential and normal components|Direction (geometry)|Position (vector),9|2|2|11|1|1|3|1,Force|Motion|Distance|Torque|Euclidean vector|Tangential and normal components|Direction (geometry)|Position (vector),9|2|2|11|1|1|3|1
70,3,Transmission medium,21.0,0.3369089359851687,5.2,5.2,5.2,Wave|Sound|Position (vector),10|1|1,Wave|Sound|Position (vector),10|1|1
71,2,Amplitude,22.0,0.33946204634157656,6.2.2,5.3.1,5.3.1,Wave|Amplitude|Wavelength|Length|Displacement (vector)|Position (vector)|Distance|Crest (physics)|Metre,5|7|5|1|1|4|9|4|2,Amplitude|Displacement (vector)|Position (vector)|Length,4|2|1|2
72,2,Motion,5.0,0.34230035430526506,3,3,3,Position (vector)|Displacement (vector)|Speed|Velocity|Motion|Direction (geometry)|Frame of reference|Length|Euclidean vector|Physics|Distance|Scalar (mathematics)|Physical quantity|Acceleration|Work (physics)|Metre|Force|Friction|Newton's laws of motion,64|28|15|68|35|29|8|1|9|2|17|7|2|2|3|6|2|1|1,Position (vector)|Displacement (vector)|Speed|Velocity|Motion|Direction (geometry)|Frame of reference|Length|Euclidean vector|Physics|Distance|Scalar (mathematics)|Physical quantity|Acceleration|Work (physics)|Metre|Force|Friction|Newton's laws of motion,64|28|15|68|35|29|8|1|9|2|17|7|2|2|3|6|2|1|1
73,1,Diffraction,110.0,0.34456652376485675,26.5,26.5,26.5,Wave|Diffraction|Sound|Light|Wavelength|Huygens–Fresnel principle|Distance|Mirror image|Position (vector)|Work (physics),28|14|6|8|11|1|2|1|1|1,Wave|Diffraction|Sound|Light|Wavelength|Huygens–Fresnel principle|Distance|Mirror image|Position (vector)|Work (physics),28|14|6|8|11|1|2|1|1|1
74,1,Acceleration,10.0,0.3448499667123737,3.5,3.5,3.5,Velocity|Euclidean vector|Motion|Direction (geometry)|Position (vector)|Acceleration|Speed|Work (physics),13|2|3|4|6|2|3|1,Velocity|Euclidean vector|Motion|Direction (geometry)|Position (vector)|Acceleration|Speed|Work (physics),13|2|3|4|6|2|3|1
75,2,Field (physics),15.0,0.3468319954149164,17.3.1|17.5.4,8.3.3,4.2.1,Electric charge|Position (vector)|Electric field|Magnet|Field (physics)|Direction (geometry)|Strength of materials|Capacitor|Voltage|Distance,8|3|5|1|5|2|1|1|1|1,Magnet|Field (physics)|Strength of materials|Direction (geometry)|Compass|Electrical polarity,27|25|1|3|2|1
76,2,Frequency,26.0,0.359303473201787,14.3.3,14.3.3,6.2.4,Wave|Wavelength|Frequency,7|5|3,Wave|Wavelength|Frequency,7|5|3
77,1,Electromotive force,52.0,0.3640025003379252,10.2.5,10.2.5,10.2.5,Voltage|Force|Electromotive force|Potential energy|Electric charge,4|1|3|3|1,Voltage|Force|Electromotive force|Potential energy|Electric charge,4|1|3|3|1
78,1,Geometrical optics,28.0,0.364394734984031,7,13,7,Light|Hardness|Ray (optics)|Wave|Crest (physics)|Geometrical optics|Telescope|Optical microscope|Work (physics)|Distance|Reflection (physics)|Physics|Direction (geometry)|Mirror image|Sound|Angle of incidence|Specular reflection|Speed|Refraction|Snell's law|Wavelength|Plane mirror|Curved mirror|Real image|Virtual image|Length|Position (vector)|Magnification|Power (physics)|Plasticity (physics)|Laser,127|1|105|10|1|27|1|1|3|11|71|2|2|1|1|27|16|19|54|8|1|12|26|5|7|5|3|4|1|1|2,Light|Reflection (physics)|Refraction|Work (physics)|Telescope|Optical microscope|Curved mirror|Direction (geometry)|Ray (optics)|Geometrical optics|Position (vector)|Distance|Length|Real image|Virtual image|Magnification|Crystallinity|Stiffness|Planet|Plane mirror|Metre,52|6|7|3|18|4|2|13|87|9|14|33|12|4|3|10|3|1|2|1|1
79,2,Plasticity (physics),96.0,0.3658689378074551,22.3.1,22.3.1,22.3,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering),8|4|3|1,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering),8|4|3|1
80,1,Newton's law of universal gravitation,68.0,0.3659900046585794,12.4.1,12.4.1,12.4.1,Newton's laws of motion|Mass|Force|Direction (geometry)|Distance|Gravitational constant|Kilogram|Metre|Gravity|Length,1|17|12|1|3|1|7|1|3|1,Newton's laws of motion|Mass|Force|Direction (geometry)|Distance|Gravitational constant|Kilogram|Metre|Gravity|Length,1|17|12|1|3|1|7|1|3|1
81,1,Physics,1.0,0.3665391021307541,1,1,1,Physics|Work (physics)|Field (physics)|Wave|Energy level,7|1|1|2|1,Physics|Work (physics)|Field (physics)|Wave|Energy level,7|1|1|2|1
82,2,Wave,23.0,0.3711301322756964,14,30.3,6,Wave|Motion|Direction (geometry)|Light|Sound|Position (vector)|Displacement (vector)|Wavelength|Amplitude|Frequency|Speed|Crest (physics)|Compression (physics)|Rarefaction|Distance|Hertz|Velocity|Motion graphs and derivatives|Diffraction|Planet|Hardness,75|9|7|5|16|8|3|10|4|5|3|1|12|9|3|1|3|3|2|1|1,Electric charge|Wave|Electric field|Magnet|Field (physics)|Sound|Speed,1|6|4|3|4|1|1
83,1,Kinetic energy,18.0,0.3745748045851949,4.4,4.4,4.4,Energy|Motion|Kinetic energy|Velocity|Mass|Kilogram|Joule,15|2|1|4|1|3|1,Energy|Motion|Kinetic energy|Velocity|Mass|Kilogram|Joule,15|2|1|4|1|3|1
84,2,Creep (deformation),96.0,0.3749242823589949,22.3.2,22.3.2,22.3,Plasticity (physics)|Elasticity (physics)|Fracture|Force|Creep (deformation)|Deformation (engineering)|Fatigue (material),1|1|3|5|6|2|4,Plasticity (physics)|Elasticity (physics)|Fracture|Force|Creep (deformation)|Deformation (engineering)|Fatigue (material),1|1|3|5|6|2|4
85,2,Speed,9.0,0.3774873773819036,3.4,3.4,3.4,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry),19|9|5|3|4|3|7|2|3,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry),19|9|5|3|4|3|7|2|3
86,3,Tension (physics),1.0,0.3800293612187355,12.2,12.2,1,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3
87,1,Electrostatics,45.0,0.3801757759854614,17,17,9,Force|Electric charge|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor|Electric field|Magnet|Euclidean vector|Length|Work (physics)|Reflection (physics)|Electron|Strength of materials|Electric potential energy|Energy|Potential energy|Electric potential|Voltage|Joule|Power (physics)|Collision|Metre|Electric current|Wave|Sound|Light|Speed|Capacitor|Electrical polarity|Capacitance|Dielectric|Electromotive force|Insulator (electricity),44|192|10|16|14|2|2|1|31|20|36|2|44|1|3|1|5|1|10|4|3|4|4|3|24|1|3|1|1|6|1|3|1|2|29|1|11|12|1|1,Force|Electric charge|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor|Electric field|Magnet|Euclidean vector|Length|Work (physics)|Reflection (physics)|Electron|Strength of materials|Electric potential energy|Energy|Potential energy|Electric potential|Voltage|Joule|Power (physics)|Collision|Metre|Electric current|Wave|Sound|Light|Speed|Capacitor|Electrical polarity|Capacitance|Dielectric|Electromotive force|Insulator (electricity),44|192|10|16|14|2|2|1|31|20|36|2|44|1|3|1|5|1|10|4|3|4|4|3|24|1|3|1|1|6|1|3|1|2|29|1|11|12|1|1
88,1,Optical microscope,74.0,0.38156821515311945,13.6,13.6,13.6,Telescope|Distance|Work (physics)|Optical microscope|Magnification|Light|Length|Ray (optics),2|1|1|2|2|1|1|2,Telescope|Distance|Work (physics)|Optical microscope|Magnification|Light|Length|Ray (optics),2|1|1|2|2|1|1|2
89,1,Absorption spectroscopy,120.0,0.3864066007043191,31.4.2,31.4.2,31.4.2,Energy|Electron|Energy level|Scattering|Absorption spectroscopy|Light|Wavelength|Emission spectrum,3|2|5|1|5|3|2|4,Energy|Electron|Energy level|Scattering|Absorption spectroscopy|Light|Wavelength|Emission spectrum,3|2|5|1|5|3|2|4
90,1,Color,104.0,0.3936024213124496,25,25,25,Light|Electromagnetic radiation|Wave|Amplitude|Frequency|Wavelength|Velocity|Speed|Color|Refraction|Work (physics)|Hardness|Pigment|Electron|Reflection (physics)|Plasticity (physics),64|3|3|1|21|9|3|6|51|4|1|1|9|1|7|1,Light|Electromagnetic radiation|Wave|Amplitude|Frequency|Wavelength|Velocity|Speed|Color|Refraction|Work (physics)|Hardness|Pigment|Electron|Reflection (physics)|Plasticity (physics),64|3|3|1|21|9|3|6|51|4|1|1|9|1|7|1
91,1,Voltmeter,57.0,0.4002894038098661,10.5.1,10.5.1,10.5.1,Voltmeter|Voltage|Metre,7|4|1,Voltmeter|Voltage|Metre,7|4|1
92,2,Sonic boom,111.0,0.4014444755463929,26.6,26.6,26.6,Wave|Speed|Sound|Direction (geometry)|Wavelength|Doppler effect|Frequency|Work (physics)|Sonic boom|Distance,14|23|34|4|2|2|1|2|3|1,Wave|Speed|Sound|Direction (geometry)|Wavelength|Doppler effect|Frequency|Work (physics)|Sonic boom|Distance,14|23|34|4|2|2|1|2|3|1
93,1,Ammeter,58.0,0.4068635498093735,10.5.2,10.5.2,10.5.2,Ammeter|Electric current,2|2,Ammeter|Electric current,2|2
