,concept,type,index,hr_index,mc_index,score
54,Wave,2,6|6.2|6.2.5|6.4|6.4.1|6.4.2|6.4.3|6.4.5|14|14.2|14.3|14.3.4|14.5|14.6|14.7|14.8|15.2|16.2|16.3|26.6|27|30.3|30.5.1,6|14|15.2|16.2|16.3|26.6|27|30.3|30.5.1,6|14|15.2|16.2|30.3|30.5.1,0.15745578852869563
55,Scattering,2,31.2,31.2,31.2,0.3177143795477188
56,Elastic collision,1,21.4.1,21.4.1,21.4.1,0.1331940211230797
57,Position (vector),1,3.2.2,3.2.2,3.2.2,0.1645669015135631
58,Optical microscope,1,13.6,13.6,13.6,0.4164962333102433
59,Virtual image,0,,,,0.0
60,Geometrical optics,2,7|7.6|7.6.2|13|31,7|13|31,7|13,0.3801612095291696
61,Snell's law,1,7.4.2,7.4.2,7.4.2,0.4645735570030032
62,Normal force,3,12.2|12.2.1,,,0.0
63,Insulator (electricity),1,20.2.2,20.2.2,20.2.2,0.3355985156587876
64,Creep (deformation),2,22.3|22.3.2,22.3.2,22.3.2,0.383070167744013
65,Inelastic collision,1,21.4.2,21.4.2,21.4.2,0.4368311408037173
66,Contact force,3,12.2|12.2.1,,,0.0
67,Electromotive force,1,10.2.5,10.2.5,10.2.5,0.37344136577327863
68,Rarefaction,2,14.3.1,14.3.1,14.3.1,0.2156719652788561
69,Electrical polarity,0,,,,0.0
70,Hertz,0,,,,0.0
71,Fracture,2,22.3|22.3.2,22.3.2,22.3.2,0.22154738813230773
72,Huygens–Fresnel principle,1,26.3,26.3,26.3,0.3185874248737158
73,Color,2,25|25.2|25.3.1|25.3.2|25.3.3|25.3.4|25.3.5|25.4.1|25.4.2|25.4.3|31.4.3,25.3.4|31.4.3,25.3.4,0.47443460197036047
74,Magnetic field,1,8.2,8.2,8.2,0.6968036275105807
75,Voltage,1,10.2|10.2.1,10.2,10.2,0.5106978946823769
76,Lever,2,12.6|12.6.2|12.6.3,12.6,12.6,0.49099700138296865
77,Shock wave,2,26.6,26.6,26.6,0.2453024431970052
78,Distance,2,3.3|3.3.2,3.3,3.3,0.30877686457656267
79,Electron,2,20|27.3|27.3.1|27.3.2|29|29.5|31.2.1,20|27.3|29|31.2.1,20|27.3|31.2.1,0.49724120790579684
80,Metre,2,10.5.4,10.5.4,10.5.4,0.08122067732483591
81,Stiffness,0,,,,0.0
82,Non-inertial reference frame,3,3.2.1|3.5|21.5|21.5.2,,,0.0
83,Plane mirror,1,7.5.2,7.5.2,7.5.2,0.509029700344676
84,Gravitational field,1,4.2.1,4.2.1,4.2.1,0.4919161312446443
85,Collision,2,21.4|21.4.1|21.4.2,21.4,21.4,0.6118489812661523
86,Magnetism,2,8|8.2|8.3|8.3.1|8.3.2|8.3.3|8.4|8.4.1|18.2|18.3|18.5,8|18.2|18.3|18.5,8|18.2|18.5,0.609604103367955
87,Tangential and normal components,0,,,,0.0
88,Electromagnetic radiation,1,30,30,30,0.5922797645580463
89,Subtractive color,2,25.3.2,25.3.2,25.3.2,0.13333516466286338
90,Capacitance,1,28.4.1,28.4.1,28.4.1,0.21127135022660587
91,Specular reflection,1,7.3.2,7.3.2,7.3.2,0.5661075657212067
92,Deformation (engineering),2,22.2,22.2,22.2,0.2614083539921444
93,Joule,0,,,,0.0
94,Electromagnetic spectrum,1,30.4,30.4,30.4,0.5022121982791563
95,Displacement (vector),2,3.3|3.3.2|14.4,3.3|14.4,3.3|14.4,0.35337499426160396
96,Electric charge,2,9.2|9.3|9.4|9.5|9.7|10.3.1|17.2|17.3|17.3.2|17.3.3|18.5,9.2|9.3|9.4|9.5|9.7|10.3.1|17.2|17.3|18.5,9.2|9.3|9.4|9.5|9.7|10.3.1|17.2|17.3,0.3793922525170619
97,Mirror image,3,7.3|7.5|7.5.2,,,0.0
98,Pigment,2,25.4|25.4.3,25.4.3,25.4.3,0.28364632062567835
99,Tension (physics),3,1|12.2|12.2.1,,,0.0
100,Refractive index,1,7.4|7.4.1,7.4,7.4,0.6410822757425887
101,Physical quantity,3,1,,,0.0
102,Direction (geometry),1,11.4,11.4,11.4,0.23233266118179863
103,Planet,0,,,,0.0
104,Scalar (mathematics),2,11.2|11.6.3,11.2|11.6.3,11.2|11.6.3,0.34729506044325376
105,Temperature,0,,,,0.0
106,Electrostatics,2,9|17|17.8,9|17,17,0.463498195037477
107,Kilogram,0,,,,0.0
108,Energy,1,23.3,23.3,23.3,0.6607149143485915
109,Equations of motion,1,3.9|21.2.2,3.9|21.2.2,3.9|21.2.2,0.27587066678623695
110,Dispersion (optics),2,25.2.1,25.2.1,25.2.1,0.24331929293559154
111,Ray (optics),2,7.2|7.2.2|7.5.3,7.2.2|7.5.3,7.2.2,0.46686321331321934
112,Fatigue (material),2,22.3.2,22.3.2,22.3.2,0.22627096441325018
113,Ohm,2,10.2.4|19.2|19.2.1|19.2.3|19.3.2,10.2.4|19.2,10.2.4|19.2,0.2815523345942933
114,Friction,0,,,,0.0
115,Phase velocity,3,11,,,0.0
116,Projectile motion,2,21.2|21.2.3,21.2,21.2,0.107078767426439
117,Power (physics),1,23.4,23.4,23.4,0.31020836893053483
118,Reflection (physics),1,7.3,7.3,7.3,0.7253596071294732
119,Euclidean vector,1,11,11,11,0.4875563615927542
120,Free fall,1,4.2.2,4.2.2,4.2.2,0.37352307667995793
121,Electrical conductor,2,9.6|19.2.2,9.6|19.2.2,9.6|19.2.2,0.33130142471902924
122,Transmission medium,3,5.2,,,0.0
123,Field (physics),2,4.2.1|8.2|8.3.3|8.4|8.4.1|17.3|17.3.1|17.5.4|18.2|18.3|18.5|21.2.1,4.2.1|8.2|8.3.3|8.4|17.3.1|17.5.4|18.2|18.3|18.5|21.2.1,4.2.1|17.3.1|17.5.4,0.1737458318509644
124,Interference (wave propagation),1,26.4,26.4,26.4,0.2767276653880713
125,Field line,2,17.3.1,17.3.1,17.3.1,0.6084759098749712
126,Crest (physics),2,6.2.1,6.2.1,6.2.1,0.32047312833322456
127,Electrical resistance and conductance,1,10.4|19.3,10.4|19.3,10.4|19.3,0.482015700978131
128,Acceleration,1,3.5,3.5,3.5,0.4160813017678529
129,Gravitational constant,0,,,,0.0
130,Length,2,5.3.1,5.3.1,5.3.1,0.14156645636575044
131,Gravity of Earth,2,4|4.2|4.8,4.2,4.2,0.1850422106496864
132,Ohmmeter,1,10.5.3,10.5.3,10.5.3,0.5322646917019641
133,Musical tone,1,15.2.3,15.2.3,15.2.3,0.2091652376026445
134,Frame of reference,1,3.2.1|21.5|21.5.2,3.2.1|21.5,21.5,0.5227378271777424
135,Ohm's law,1,10.2.4|19.2,10.2.4|19.2,10.2.4|19.2,0.46463902220535935
136,Pitch (music),1,15.2.1,15.2.1,15.2.1,0.5977923449321958
137,Compass,2,8.4|11.4.2,8.4|11.4.2,8.4|11.4.2,0.5517081402746384
138,Capacitor,1,28.4.1,28.4.1,28.4.1,0.31903544228405617
139,Resultant force,2,12.2.6,12.2.6,12.2.6,0.270365158636746
140,Motion,2,3|3.6|3.6.2|3.6.3|3.9|3.9.1|3.12|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21|21.2|21.2.1|21.2.2|21.2.3,3|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21,3|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21,0.23997178298806504
141,Voltmeter,1,10.5.1,10.5.1,10.5.1,0.439252839473332
142,Series and parallel circuits,1,10.3.3|10.3.4,10.3.4,10.3.4,0.23590378796974498
143,Kinetic energy,1,4.4,4.4,4.4,0.4533456796079297
144,Curved mirror,1,7.5.4|7.5.5|7.5.6,7.5.4|7.5.6,7.5.4|7.5.6,0.6683397075121121
145,Physics,1,1,1,1,0.4042409399652548
146,Free body diagram,1,12.2.5,12.2.5,12.2.5,0.46106041236252626
147,Electric current,1,10.3|10.3.2,10.3.2,10.3.2,0.41218439362908493
148,Ammeter,1,10.5.2,10.5.2,10.5.2,0.456106811859934
149,Magnification,1,7.5.8,7.5.8,7.5.8,0.4817438613816475
150,Scalar multiplication,1,11.6.3,11.6.3,11.6.3,0.2817885866755835
151,Compression (physics),2,14.3.1,14.3.1,14.3.1,0.27127027496662975
152,Total internal reflection,1,7.6.1,7.6.1,7.6.1,0.5537720426664507
