,Unnamed: 0,Unnamed: 0.1,concept,type,index,hr_index,mc_index,score,single_index,single_score,first_index,first_score
122,122,122,Field (physics),2,4.2.1|8.2|8.3.3|8.4|8.4.1|17.3|17.3.1|17.5.4|18.2|18.3|18.5|21.2.1,4.2.1|8.2|8.3.3|8.4|17.3.1|17.5.4|18.2|18.3|18.5|21.2.1,4.2.1|8.3.3|17.3.1|17.5.4|18.5,0.17526323639671848,17.3.1|17.5.4,0.3468319954149164,8.3.3,0.3138356265691513
20,20,20,Frequency,2,6.2.4|14.3.3,6.2.4|14.3.3,14.3.3,0.359303473201787,14.3.3,0.359303473201787,14.3.3,0.359303473201787
13,13,13,Plasticity (physics),2,22.3|22.3.1,22.3.1,22.3.1,0.3658689378074551,22.3.1,0.3658689378074551,22.3.1,0.3658689378074551
53,53,53,Wave,2,6|6.2|6.2.5|6.4|6.4.1|6.4.2|6.4.3|6.4.5|14|14.2|14.3|14.3.4|14.5|14.6|15.2|16.2|16.3|26.6|27|30.3,6.4.3|14|15.2|16.2|16.3|26.6|27|30.3,6.4.3|14|30.3,0.1920996937939572,14,0.3711301322756964,30.3,0.2403757985636049
63,63,63,Creep (deformation),2,22.3|22.3.2,22.3.2,22.3.2,0.3749242823589949,22.3.2,0.3749242823589949,22.3.2,0.3749242823589949
28,28,28,Speed,2,3.4|3.4.1|5.3.2|6.2.5|14.3.4|15.3,3.4|5.3.2|6.2.5|14.3.4|15.3,3.4|5.3.2|6.2.5|14.3.4,0.32681241425087193,3.4,0.3774873773819036,3.4,0.3774873773819036
0,0,0,Sonic boom,2,26.6,26.6,26.6,0.4014444755463929,26.6,0.4014444755463929,26.6,0.4014444755463929
7,7,7,Electric potential energy,2,17.4,17.4,17.4,0.4096634622576561,17.4,0.4096634622576561,17.4,0.4096634622576561
75,75,75,Lever,2,12.6|12.6.2|12.6.3,12.6,12.6,0.4119322346895042,12.6,0.4119322346895042,12.6,0.4119322346895042
16,16,16,Light,2,7.2|24.3|25.2|25.2.1|25.3|29.4.2|31.2|31.2.2,7.2|24.3|25.2|25.3|29.4.2|31.2,7.2|24.3|25.2|29.4.2|31.2,0.3859894051320757,25.2,0.4180450435741981,7.2,0.3558403410545794
110,110,110,Ray (optics),2,7.2|7.2.2|7.5.3|30.6.3|30.6.4,7.2.2|7.5.3|30.6.3|30.6.4,7.2.2|7.5.3|30.6.3,0.3923686997833624,7.2.2|7.5.3,0.4503698646794566,30.6.3,0.2266449010664836
78,78,78,Electron,2,27.3|27.3.1|27.3.2|31.2.1,27.3|31.2.1,27.3|31.2.1,0.5121298189465725,27.3,0.4602092699686455,27.3,0.4602092699686455
15,15,15,Velocity,2,3.4|3.4.1|3.6.2|5.4|14.4|21.5.4,3.4|3.6.2|5.4|14.4|21.5.4,3.4|3.6.2|21.5.4,0.29851485423235546,3.4|3.6.2,0.5079622556965256,3.4|3.6.2,0.5079622556965256
136,136,136,Compass,2,8.4|11.4.2,8.4|11.4.2,8.4|11.4.2,0.5118230248458023,8.4,0.5101071421741621,8.4,0.5101071421741621
43,43,43,Coulomb's law,2,17.2,17.2,17.2,0.5691900280058331,17.2,0.5691900280058331,17.2,0.5691900280058331
84,84,84,Collision,2,21.4|21.4.1|21.4.2,21.4,21.4,0.5752009708090621,21.4,0.5752009708090621,21.4,0.5752009708090621
95,95,95,Electric charge,2,9.2|9.3|9.4|9.5|10.3.1|17.2|17.3|17.3.2|17.3.3,9.2|9.3|9.4|9.5|10.3.1|17.2|17.3,9.2|9.3|9.4|10.3.1|17.2,0.3535145193707704,9.2|9.3|9.4,0.5792078602562774,9.2|9.3|9.4,0.5792078602562774
23,23,23,Mass,2,4.1.1|12.4,4.1.1|12.4,4.1.1|12.4,0.6064875068981196,12.4,0.5975535957911468,4.1.1,0.4460962080823887
124,124,124,Field line,2,17.3.1,17.3.1,17.3.1,0.5978777991625465,17.3.1,0.5978777991625465,17.3.1,0.5978777991625465
11,11,11,Energy level,2,31.2.1,31.2.1,31.2.1,0.6301581758123387,31.2.1,0.6301581758123387,31.2.1,0.6301581758123387
3,3,3,Magnet,2,8.3|8.3.1,8.3,8.3,0.6569739953578504,8.3,0.6569739953578504,8.3,0.6569739953578504
