,Unnamed: 0,topic_a,topic_b,relation,tfidf_score
74,74,Acceleration,Work (physics),0,0.0
75,75,Reflection (physics),Total internal reflection,0,0.0
76,76,Power (physics),Energy,1,0.4711093239183428
77,77,Absorption spectroscopy,Planet,0,0.2949794268410414
78,78,Refractive index,Laser,0,0.0
79,79,Gravity,Doppler effect,0,0.0
80,80,Amplitude,Doppler effect,0,0.0
81,81,Wave,Tension (physics),0,0.0
82,82,Intensity (physics),Velocity,0,0.4531504322169844
83,83,Gravity of Earth,Torque,0,0.0
84,84,Deformation (engineering),Elasticity (physics),0,0.4735339033524559
85,85,Acceleration,Electric potential,0,0.0
86,86,Work (physics),Position (vector),1,0.5741302511754087
87,87,Magnetic field,Mirror image,0,0.0
88,88,Electromagnetic spectrum,Wavelength,1,0.7436543573405046
89,89,Emission spectrum,Frequency,1,0.08860539369455281
90,90,Potential energy,Power (physics),0,0.0
91,91,Specular reflection,Wave,1,0.33607566413658463
92,92,Energy,Power (physics),0,0.0
93,93,Le Sage's theory of gravitation,Collision,0,0.0
94,94,Specular reflection,Euclidean vector,0,0.0
95,95,Electron,Absorption spectroscopy,0,0.0
96,96,Total internal reflection,Light,1,0.3765888333959892
97,97,Physics,Rarefaction,0,0.0
98,98,Plasticity (physics),Hardness,0,0.0
99,99,Physics,Gravitational acceleration,0,0.0
100,100,Speed,Magnetic field,0,0.0
101,101,Energy level,Physics,1,3.4877659459745067
102,102,Magnetic field,Magnet,1,0.0
103,103,Elasticity (physics),Wave,0,0.004737201726147207
104,104,Phase velocity,Dispersion (optics),0,0.0
105,105,Physics,Wavelength,0,0.0
106,106,Fracture,Strength of materials,0,0.0
107,107,Diffraction,Wave,1,0.8379991782897329
108,108,Free fall,Displacement (vector),1,0.0
109,109,Force,Sound intensity,0,0.0
110,110,Wavelength,Dispersion (optics),0,0.0
111,111,Temperature,Electrical resistance and conductance,0,0.0
112,112,Magnetic field,Absorption spectroscopy,0,0.0
113,113,Field (physics),Planet,0,0.0
114,114,Le Sage's theory of gravitation,Speed,1,0.0
115,115,Inelastic collision,Physics,1,0.775753126058406
116,116,Energy,Sound intensity,0,0.0
117,117,Energy level,Wavelength,0,0.2134892891886616
118,118,Electromagnetic radiation,Magnet,1,0.08826841169908926
119,119,Euclidean vector,Electrostatics,0,0.0
120,120,Friction,Hooke's law,0,0.0
121,121,Le Sage's theory of gravitation,Elastic collision,0,0.0
122,122,Hertz,Velocity,0,0.0
123,123,Doppler effect,Speed,1,0.16444467682922415
124,124,Newton's law of universal gravitation,Gravitational constant,0,0.0
125,125,Wave,Transverse wave,0,0.0
126,126,Refractive index,Speed,1,0.676049415764095
127,127,Laser,Doppler effect,0,0.0
128,128,Acceleration,Non-inertial reference frame,0,0.0
129,129,Magnetic field,Electric current,1,0.0
130,130,Newton's law of universal gravitation,Gravitational field,0,0.0012642029856655432
131,131,Potential energy,Torque,0,0.0
132,132,Gravitational acceleration,Force,1,0.0
133,133,Free fall,Physics,1,0.29526864752552995
134,134,Photoelectric effect,Kinetic energy,0,0.11205805089890658
135,135,Position (vector),Motion,0,0.0
136,136,Energy,Electromotive force,0,0.0
137,137,Dispersion (optics),Light,1,0.8284029257910508
138,138,Newton's laws of motion,Gravity of Earth,0,0.0
139,139,Light,Wavelength,0,0.0
140,140,Force,Plasticity (physics),0,0.0
141,141,Newton's law of universal gravitation,Kilogram,0,2.449770707174124
142,142,Doppler effect,Physics,1,0.4675194871076549
143,143,Total internal reflection,Laser,0,0.0
144,144,Electrical conductor,Metre,0,0.0
145,145,Telescope,Reflection (physics),0,0.36020668777703924
146,146,Energy,Hertz,0,0.0
147,147,Wavelength,Interference (wave propagation),0,0.0
148,148,Magnet,Electric field,0,0.0
149,149,Work (physics),Joule,0,0.2065930648514825
150,150,Non-inertial reference frame,Motion,1,0.9025023479890378
151,151,Photoelectric effect,Hertz,0,0.06275963207025673
152,152,Inertial frame of reference,Collision,0,0.0
153,153,Light,Plane mirror,0,0.0
154,154,Speed,Snell's law,0,0.0
155,155,Electromotive force,Physics,1,0.2736034355830077
156,156,Magnification,Refracting telescope,0,0.0
157,157,Force,Projectile motion,0,0.0
158,158,Force,Hardness,0,0.0
159,159,Snell's law,Velocity,0,0.03778088582750863
160,160,Velocity,Elastic collision,0,0.0
161,161,Power (physics),Kilogram,0,0.4056407392661995
162,162,Magnetic field,Energy,0,0.0
163,163,Joule,Mechanical energy,0,0.0
164,164,Speed,Motion,1,0.2850007414702225
165,165,Mass,Electron,0,0.0
166,166,Force,Potential energy,0,0.014753518993626404
167,167,Virtual image,Ray (optics),1,0.0
168,168,Electric field,Mass,0,0.0339824998486312
169,169,Refractive index,Temperature,0,0.0
170,170,Field line,Magnetic field,0,0.0
171,171,Newton's laws of motion,Work (physics),0,0.0
172,172,Equations of motion,Motion,1,1.3537535219835568
173,173,Electrostatics,Field line,0,0.0
174,174,Diffraction,Huygens–Fresnel principle,0,0.07340226000485307
175,175,Force,Elasticity (physics),0,0.0
176,176,Energy,Potential energy,0,0.3887564896931758
177,177,Electric field,Coulomb,0,0.029140782922784093
178,178,Electric field,Electric current,0,0.0
179,179,Wave,Total internal reflection,0,0.0
180,180,Frequency,Energy,0,0.0
181,181,Lever,Length,0,0.22139145275072053
182,182,Physics,Transmission medium,0,0.0
183,183,Intensity (physics),Laser,0,0.0
184,184,Magnetism,Length,0,0.0
185,185,Light,Refracting telescope,0,0.0
186,186,Physics,Shock wave,0,0.0
187,187,Photoelectric effect,Electromagnetic radiation,0,0.0
188,188,Dielectric,Hertz,0,0.0
189,189,Magnetic field,Voltage,0,0.0
190,190,Tension (physics),Mass,0,0.0
191,191,Interference (wave propagation),Electron,0,0.0
192,192,Euclidean vector,Force,0,0.0
193,193,Contact force,Force,1,0.0
194,194,Standing wave,Frequency,1,0.06432262281732844
195,195,Magnetic field,Dielectric,0,0.0
196,196,Interference (wave propagation),Huygens–Fresnel principle,0,0.0
197,197,Amplitude,Refractive index,0,0.0
198,198,Specular reflection,Refractive index,0,0.0
199,199,Speed,Electron,0,0.0
200,200,Gravitational acceleration,Planet,0,0.0
201,201,Distance,Free fall,0,0.0
202,202,Acceleration,Velocity,1,1.2786442049600646
203,203,Velocity,Metre,0,0.6301625458966899
204,204,Capacitance,Voltage,1,0.024187533033814646
205,205,Refractive index,Mass,0,0.005913576010237206
206,206,Electrostatics,Electrical conductor,0,0.0
207,207,Sonic boom,Physics,1,0.19344737504750048
208,208,Frame of reference,Electromagnetic spectrum,0,0.0
209,209,Capacitor,Laser,0,0.0
210,210,Ohm,Coulomb,0,0.0
211,211,Electric field,Physics,1,0.0744048658909483
212,212,Magnetic field,Torque,0,0.0
213,213,Physics,Displacement (vector),0,0.0
214,214,Intensity (physics),Wave,0,1.013119628073819
215,215,Wave,Energy,0,0.0
216,216,Capacitor,Dielectric,0,0.0
217,217,Geometrical optics,Snell's law,0,0.0
218,218,Wave,Doppler effect,0,0.0
219,219,Ohm's law,Voltage,1,1.8619141721094024
220,220,Power (physics),Intensity (physics),0,0.0
221,221,Le Sage's theory of gravitation,Energy,0,0.0
222,222,Capacitance,Electric current,0,0.2953214810894145
223,223,Hooke's law,Stiffness,0,0.0
224,224,Electromagnetic spectrum,Electric field,1,0.042645183483937116
225,225,Physics,Emission spectrum,0,0.0
226,226,Total internal reflection,Physics,1,0.7454041513961567
227,227,Snell's law,Motion,1,0.1326470098902852
228,228,Motion,Energy,0,0.0
229,229,Energy,Sonic boom,0,0.0
230,230,Magnetic field,Gravity of Earth,0,0.0
231,231,Electron,Electromagnetic radiation,0,0.0
232,232,Acceleration,Torque,0,0.0
233,233,Physics,Electric field,0,0.0
234,234,Diffraction,Interference (wave propagation),0,0.0
235,235,Fatigue (material),Deformation (engineering),1,1.1664545331736955
236,236,Force,Stiffness,0,0.0
237,237,Distance,Gravity of Earth,0,0.0
238,238,Electric potential,Force,1,0.10792450677107514
239,239,Electric charge,Capacitance,0,0.0
240,240,Friction,Mass,0,0.0
241,241,Elastic collision,Physics,1,0.0
242,242,Free fall,Gravitational field,0,0.9920689526526506
243,243,Energy,Laser,0,0.0
244,244,Electric field,Wavelength,0,0.0
245,245,Elasticity (physics),Hardness,0,0.0
246,246,Force,Elastic collision,0,0.0
247,247,Refraction,Absorption spectroscopy,0,0.0
248,248,Refraction,Electromagnetic spectrum,0,0.0
249,249,Electric potential energy,Field (physics),1,0.1041516979388755
250,250,Newton's laws of motion,Contact force,0,0.0
251,251,Coulomb's law,Dielectric,0,0.0
252,252,Projectile motion,Velocity,1,0.0
253,253,Electron,Distance,0,1.33032833671074
254,254,Le Sage's theory of gravitation,Wavelength,0,0.0
255,255,Collision,Le Sage's theory of gravitation,0,0.0
256,256,Gravity of Earth,Force,1,0.0
257,257,Magnetic field,Potential energy,0,0.0
258,258,Intensity (physics),Physics,1,0.3148261201753439
259,259,Electric field,Force,0,0.275477671362459
260,260,Physics,Wave,0,0.0
261,261,Refractive index,Snell's law,0,0.0
262,262,Amplitude,Huygens–Fresnel principle,0,0.0
263,263,Motion,Electrostatics,0,0.0
264,264,Acceleration,Field (physics),0,0.0
265,265,Scattering,Velocity,0,0.30224708662006905
266,266,Hardness,Deformation (engineering),1,0.0
267,267,Electron,Specular reflection,0,0.0
268,268,Standing wave,Voltage,0,0.0
269,269,Doppler effect,Wavelength,1,0.332601508995284
270,270,Diffraction,Dispersion (optics),0,0.0
271,271,Inelastic collision,Elastic collision,0,0.0
272,272,Magnetism,Coulomb,0,0.0
273,273,Gravitational acceleration,Gravity,1,0.26259852480479057
274,274,Refractive index,Telescope,0,0.0
275,275,Energy,Mechanical energy,0,0.3093380957347379
276,276,Elastic collision,Energy,1,0.0
277,277,Wave,Intensity (physics),0,0.0
278,278,Mass,Distance,0,0.0
279,279,Equations of motion,Field (physics),0,0.0
280,280,Displacement (vector),Work (physics),0,0.0
281,281,Kinetic energy,Mechanical energy,0,0.0
282,282,Gravitational field,Newton's law of universal gravitation,1,0.0
283,283,Velocity,Wave,0,0.0
284,284,Mirror image,Distance,0,0.14839472552824284
285,285,Gravity,Gravitational acceleration,0,0.0
286,286,Potential energy,Euclidean vector,1,0.0
287,287,Wave,Elasticity (physics),0,0.0
288,288,Pitch (music),Hertz,0,0.5386868419363702
289,289,Speed,Shock wave,0,0.0
290,290,Doppler effect,Frequency,1,0.3935824822738628
291,291,Speed,Electromagnetic spectrum,0,0.0
292,292,Electron,Electrostatics,0,0.010706962761479432
293,293,Electric potential,Coulomb's law,1,0.0
294,294,Euclidean vector,Gravitational acceleration,0,0.0
295,295,Frequency,Doppler effect,0,0.0
296,296,Fracture,Elasticity (physics),0,0.9618657411846758
297,297,Temperature,Kilogram,0,0.0
298,298,Distance,Elastic collision,0,0.0
299,299,Gravitational acceleration,Motion,1,0.9025023479890378
300,300,Physics,Doppler effect,0,0.0
301,301,Potential energy,Metre,0,0.6894989789154247
302,302,Displacement (vector),Distance,1,0.0
303,303,Displacement (vector),Projectile motion,0,0.0
304,304,Electric potential,Capacitance,0,0.0
305,305,Motion,Newton's laws of motion,0,0.0
306,306,Speed,Rarefaction,0,0.0
307,307,Pigment,Wavelength,0,0.7701637453810722
308,308,Wave,Physics,1,0.05840353591096264
309,309,Temperature,Wavelength,0,0.0
310,310,Interference (wave propagation),Crest (physics),0,1.4419352689634082
311,311,Wave,Electromagnetic spectrum,0,0.0
312,312,Electrical conductor,Electric current,1,0.0
313,313,Motion,Elastic collision,0,0.0
314,314,Inertial frame of reference,Velocity,0,0.0
315,315,Work (physics),Electrostatics,0,0.08763732779660359
316,316,Force,Magnet,0,0.403472418558601
317,317,Force,Torque,0,0.0
318,318,Absorption spectroscopy,Energy,1,1.0159425781939224
319,319,Motion,Inertial frame of reference,0,0.0
320,320,Capacitance,Distance,0,0.2395426227746532
321,321,Coulomb's law,Emission spectrum,0,0.0
322,322,Position (vector),Free fall,0,0.0
323,323,Deformation (engineering),Creep (deformation),0,0.0
324,324,Shock wave,Energy,1,0.0
325,325,Electrical resistance and conductance,Energy,0,0.0
326,326,Motion,Mass,0,0.0
327,327,Magnet,Euclidean vector,0,0.0
328,328,Voltage,Electric current,0,0.0
329,329,Snell's law,Light,1,0.8237880730537263
330,330,Magnetism,Physics,1,0.04926697616536083
331,331,Force,Creep (deformation),0,0.0
332,332,Dielectric,Velocity,0,0.036581889078827465
333,333,Velocity,Speed,0,0.0
334,334,Energy,Temperature,0,0.06276937875948653
335,335,Euclidean vector,Gravity of Earth,0,0.0
336,336,Electrical conductor,Electroscope,0,0.0
337,337,Electrical resistance and conductance,Ohm,0,0.0
338,338,Amplitude,Voltage,0,0.0
339,339,Energy,Dielectric,0,0.0
340,340,Wave,Mass,0,0.0
341,341,Energy,Equations of motion,0,0.0
342,342,Physics,Contact force,0,0.0
343,343,Energy,Transverse wave,0,0.0
344,344,Magnet,Mass,0,0.0
345,345,Speed,Gravity of Earth,0,0.0
346,346,Energy,Electrostatics,0,0.0731100623473393
347,347,Gravitational acceleration,Physics,1,0.324795512278083
348,348,Gravity,Physics,1,0.649591024556166
349,349,Mirror image,Length,0,0.09425514681537396
350,350,Diffraction,Specular reflection,0,0.0
351,351,Projectile motion,Motion,1,0.0
352,352,Potential energy,Work (physics),1,0.0
353,353,Motion,Temperature,0,0.0
354,354,Photoelectric effect,Color,0,0.02642034395973039
355,355,Deformation (engineering),Hardness,0,0.0
356,356,Intensity (physics),Speed,0,0.4109513595950655
357,357,Electric potential energy,Coulomb,0,0.03286809236639601
358,358,Specular reflection,Refraction,0,0.0
359,359,Refractive index,Frequency,0,0.0
360,360,Lever,Energy,0,0.0
361,361,Electromagnetic radiation,Laser,0,0.0
362,362,Emission spectrum,Magnet,1,0.23357038335154165
363,363,Snell's law,Telescope,0,0.0
364,364,Velocity,Equations of motion,0,0.0
365,365,Electron,Electrical conductor,0,0.0008668127703863575
366,366,Interference (wave propagation),Ray (optics),0,0.09054918916264867
367,367,Energy,Energy level,0,0.0
368,368,Refraction,Length,0,0.0622279828958629
369,369,Joule,Coulomb,0,0.0
370,370,Dielectric,Coulomb's law,1,0.0
371,371,Magnetism,Force,1,0.0
372,372,Sonic boom,Wave,1,0.6225192895393347
373,373,Series and parallel circuits,Ohm's law,1,0.0
374,374,Wave,Frequency,0,0.0
375,375,Creep (deformation),Force,1,1.2370988019517837
376,376,Telescope,Optical microscope,0,0.0
377,377,Stiffness,Hooke's law,0,0.0
378,378,Ohm,Electromotive force,0,0.0
379,379,Kinetic energy,Physics,1,0.1916759536483414
380,380,Electrostatics,Electric field,1,0.0
381,381,Physics,Electromagnetic spectrum,0,0.0
382,382,Electron,Potential energy,0,0.01321933305606834
383,383,Torque,Speed,0,0.030691286426406623
384,384,Scattering,Wavelength,1,0.3380247078820475
385,385,Electric potential,Motion,1,0.1843044893634343
386,386,Electrostatics,Motion,1,0.06580974966584012
387,387,Emission spectrum,Magnetic field,1,0.0
388,388,Force,Emission spectrum,0,0.0
389,389,Hooke's law,Mass,0,0.0
390,390,Sonic boom,Hertz,0,0.12208606086158165
391,391,Photoelectric effect,Light,1,1.4085148750317606
392,392,Displacement (vector),Free fall,0,0.0
393,393,Electron,Le Sage's theory of gravitation,0,0.0
394,394,Force,Electrostatics,0,0.13282689253225566
395,395,Elasticity (physics),Energy,0,0.0
396,396,Energy,Emission spectrum,0,0.0
397,397,Elastic collision,Distance,1,0.0
398,398,Torque,Lever,1,0.0
399,399,Amplitude,Distance,0,0.0
400,400,Frequency,Interference (wave propagation),0,0.0
401,401,Tension (physics),Physics,1,0.0
402,402,Color,Dispersion (optics),0,0.0
403,403,Physics,Newton's law of universal gravitation,0,0.0
404,404,Diffraction,Wavelength,0,0.3781293342409345
405,405,Gravitational constant,Newton's law of universal gravitation,1,0.0
406,406,Motion,Gravity of Earth,0,0.0
407,407,Field (physics),Dielectric,0,0.0
408,408,Magnetic field,Temperature,0,0.0
409,409,Tension (physics),Compression (physics),0,0.0
410,410,Electric potential,Gravity,0,0.10210748469192513
411,411,Specular reflection,Light,1,0.4791442147445698
412,412,Ray (optics),Light,1,0.0
413,413,Distance,Lever,0,0.0
414,414,Force,Length,0,0.3026532845158786
415,415,Physics,Refractive index,0,0.0
416,416,Refractive index,Color,0,0.0
417,417,Total internal reflection,Wave,1,0.15555502168607627
418,418,Total internal reflection,Reflection (physics),1,0.5789036053559559
419,419,Sound,Sound intensity,0,0.0
420,420,Torque,Energy,0,0.0
421,421,Electrical resistance and conductance,Metre,0,0.1759059767654369
422,422,Field (physics),Electrostatics,0,0.0
423,423,Gravity of Earth,Free fall,0,0.0
424,424,Position (vector),Electric potential,0,0.0
425,425,Diffraction,Transverse wave,0,0.0
426,426,Dielectric,Reflection (physics),0,0.008037313272030378
427,427,Interference (wave propagation),Energy,0,0.0
428,428,Force,Inelastic collision,0,0.0
429,429,Mirror image,Physics,1,0.8651046409988957
430,430,Energy,Electromagnetic radiation,0,0.0
431,431,Magnetism,Field (physics),0,1.925022065226576
432,432,Friction,Deformation (engineering),0,0.0
433,433,Temperature,Velocity,0,0.0
434,434,Elasticity (physics),Strength of materials,0,0.0
435,435,Gravity of Earth,Motion,1,1.805004695978076
436,436,Displacement (vector),Position (vector),1,0.9303960880072628
437,437,Intensity (physics),Power (physics),1,0.0
438,438,Physics,Motion graphs and derivatives,0,0.0
439,439,Magnetic field,Physics,1,0.0
440,440,Curved mirror,Geometrical optics,0,0.1750656832031937
441,441,Interference (wave propagation),Standing wave,0,0.0
442,442,Physics,Elastic collision,0,0.0
443,443,Speed,Inelastic collision,0,0.0
444,444,Energy,Mirror image,0,0.0
445,445,Wave,Dispersion (optics),0,0.0
446,446,Distance,Physics,0,0.20835348243398447
447,447,Force,Fatigue (material),0,0.0
448,448,Mass,Collision,0,0.0
449,449,Electromotive force,Magnetic field,1,0.0
450,450,Electromagnetic radiation,Energy,1,0.2850409354800057
451,451,Normal force,Physics,1,0.21185729916111495
452,452,Electric field,Wave,0,0.003269715376354507
453,453,Speed,Refraction,0,0.0
454,454,Gravity of Earth,Newton's law of universal gravitation,0,0.0
455,455,Refraction,Snell's law,0,0.0
456,456,Dielectric,Energy,1,0.0
457,457,Sound intensity,Velocity,0,0.4531504322169844
458,458,Electromagnetic radiation,Transverse wave,0,0.0
459,459,Gravitational field,Mass,1,2.251291798606496
460,460,Magnification,Virtual image,0,2.6255692766818632
461,461,Motion,Force,0,0.0
462,462,Dielectric,Physics,1,0.19543102541643406
463,463,Mass,Gravity of Earth,0,0.0
464,464,Voltmeter,Voltage,1,2.031179096846621
465,465,Transmission medium,Electromagnetic spectrum,0,0.0
466,466,Shock wave,Velocity,0,0.2784418318441712
467,467,Electric field,Electric potential,0,0.0
468,468,Position (vector),Electric potential energy,0,0.0
469,469,Hertz,Kilogram,0,0.0
470,470,Electron,Field (physics),0,0.2668533260071185
471,471,Joule,Velocity,0,0.0
472,472,Insulator (electricity),Dielectric,0,0.0
473,473,Mass,Velocity,0,0.0
474,474,Force,Le Sage's theory of gravitation,0,0.0
475,475,Force,Direction (geometry),0,0.3880245832021493
476,476,Inelastic collision,Mass,1,0.03827828274934006
477,477,Electromagnetic spectrum,Coulomb's law,1,0.0
478,478,Doppler effect,Relative velocity,1,0.0
479,479,Snell's law,Wavelength,1,0.04225308848525594
480,480,Speed,Dielectric,0,0.0
481,481,Magnet,Force,0,0.0
482,482,Physics,Energy,0,0.0
483,483,Mass,Absorption spectroscopy,0,0.0
484,484,Acceleration,Energy,0,0.0
485,485,Joule,Torque,0,0.0
486,486,Sound intensity,Physics,1,0.3148261201753439
487,487,Scalar multiplication,Scalar (mathematics),1,1.4435777800954437
488,488,Velocity,Length,0,0.09743865368342487
489,489,Velocity,Mechanical energy,0,0.0
490,490,Amplitude,Electromagnetic spectrum,0,0.0
491,491,Standing wave,Amplitude,1,0.2332538938159055
492,492,Electron,Dielectric,0,0.0
493,493,Refracting telescope,Refraction,1,0.8479967830530171
494,494,Dispersion (optics),Refracting telescope,0,0.0
495,495,Voltage,Power (physics),0,0.0
496,496,Equations of motion,Length,0,0.24359663420856226
497,497,Electric current,Electrical resistance and conductance,0,0.0
498,498,Emission spectrum,Electric current,1,0.13129926240239528
499,499,Amplitude,Electrical resistance and conductance,0,0.0
500,500,Distance,Equations of motion,0,0.0
501,501,Absorption spectroscopy,Electromagnetic spectrum,0,0.0
502,502,Electrical resistance and conductance,Ohm's law,1,0.0
503,503,Motion,Power (physics),0,0.0
504,504,Le Sage's theory of gravitation,Mass,1,0.0
505,505,Wavelength,Doppler effect,0,0.0
506,506,Wave,Length,0,0.02080210891437454
507,507,Normal force,Force,1,0.0
508,508,Telescope,Electromagnetic radiation,0,0.0
509,509,Curved mirror,Reflection (physics),0,0.6545869761802461
510,510,Voltage,Coulomb,0,0.08076159838600162
511,511,Friction,Normal force,0,0.0
512,512,Physics,Hardness,0,0.0
513,513,Euclidean vector,Inertial frame of reference,0,0.0
514,514,Voltage,Electrical resistance and conductance,0,0.0
515,515,Distance,Doppler effect,0,0.0
516,516,Coulomb's law,Electric field,0,0.0
517,517,Electromagnetic radiation,Dispersion (optics),0,0.0
518,518,Displacement (vector),Potential energy,0,0.0
519,519,Equations of motion,Force,1,0.0
520,520,Friction,Physics,1,0.0
521,521,Gravitational acceleration,Displacement (vector),1,0.0
522,522,Specular reflection,Mirror image,0,0.0
523,523,Electromagnetic spectrum,Reflection (physics),0,0.07504305995354985
524,524,Electron,Refractive index,0,0.0
525,525,Electric potential,Gravitational field,0,0.0
526,526,Coulomb's law,Electric potential energy,0,0.0
527,527,Magnet,Electromagnetic spectrum,0,0.0
528,528,Plasticity (physics),Hooke's law,0,0.0
529,529,Snell's law,Total internal reflection,0,0.0
530,530,Physics,Diffraction,0,0.0
531,531,Electromotive force,Joule,0,0.0
532,532,Deformation (engineering),Strength of materials,0,0.0
533,533,Virtual image,Plane mirror,0,0.0
534,534,Total internal reflection,Refraction,1,0.5653311887020114
535,535,Magnetic field,Coulomb,0,0.0
536,536,Sonic boom,Mass,0,0.12746469314677394
537,537,Gravitational constant,Physics,1,0.0
538,538,Equations of motion,Torque,0,0.0
539,539,Electromagnetic spectrum,Metre,0,0.41902254590759214
540,540,Motion,Acceleration,0,0.0
541,541,Angle of incidence,Reflection (physics),0,0.0
542,542,Intensity (physics),Sound intensity,0,0.0
543,543,Doppler effect,Wave,1,0.4054059584864394
544,544,Electric field,Electric potential energy,0,0.0
545,545,Magnetic field,Hertz,0,0.0
546,546,Motion graphs and derivatives,Euclidean vector,1,0.0
547,547,Capacitance,Energy,0,0.0
548,548,Wave,Dielectric,0,0.0
549,549,Force,Kilogram,0,0.3632214424819008
550,550,Shock wave,Force,0,0.0403657707190114
551,551,Interference (wave propagation),Electromagnetic spectrum,0,0.0
552,552,Virtual image,Optical microscope,0,0.0
553,553,Motion,Velocity,0,0.0
554,554,Free fall,Gravitational acceleration,1,0.0
555,555,Hooke's law,Distance,0,0.0
556,556,Transverse wave,Physics,1,0.1236742313545788
557,557,Field (physics),Emission spectrum,0,0.0
558,558,Refractive index,Wavelength,0,0.014447113464561437
559,559,Le Sage's theory of gravitation,Velocity,0,0.5785720384434682
560,560,Speed,Collision,0,0.0
561,561,Electron,Dispersion (optics),0,0.0
562,562,Electromagnetic radiation,Magnetic field,1,0.0
563,563,Inertial frame of reference,Speed,1,0.0
564,564,Acceleration,Electromagnetic radiation,0,0.0
565,565,Specular reflection,Angle of incidence,1,0.0
566,566,Magnet,Length,0,0.0
567,567,Mechanical energy,Position (vector),1,0.28634386778172355
568,568,Euclidean vector,Free fall,0,0.0
569,569,Intensity (physics),Interference (wave propagation),0,0.0
570,570,Wave,Le Sage's theory of gravitation,0,0.0
571,571,Voltage,Electric potential,0,0.0
572,572,Newton's laws of motion,Newton's law of universal gravitation,0,0.0
573,573,Acceleration,Direction (geometry),0,0.0
574,574,Photoelectric effect,Voltage,0,0.024650231757847342
575,575,Force,Physics,1,0.21185729916111495
576,576,Energy,Absorption spectroscopy,0,0.0
577,577,Physics,Electric potential,0,0.0
578,578,Gravity,Force,1,0.0
579,579,Inelastic collision,Velocity,0,0.046667110402205295
580,580,Speed,Mass,0,0.0
