,topic_a,topic_b
90,Programming language,Object-oriented programming
91,Object-oriented analysis and design,Object-oriented programming
92,Object-oriented programming,Machine learning
93,Software analytics,Object-oriented programming
94,Knowledge management,Object-oriented programming
95,Data warehouse,Object-oriented programming
96,Object-oriented programming,Parallel computing
97,Object-oriented programming,Information management
98,Combinatorial optimization,Object-oriented programming
99,Object-oriented programming,Artificial intelligence
100,Data structure,Object-oriented programming
101,Object-oriented programming,Analysis of algorithms
102,Object-oriented design,Object-oriented programming
103,Test automation,Object-oriented programming
105,Translator (computing),Compiler
106,Translator (computing),Information retrieval
107,Translator (computing),Assembly language
108,Translator (computing),Computational linguistics
109,Translator (computing),Operating system
110,Translator (computing),Computer architecture
111,Translator (computing),Programming language
112,Translator (computing),Machine learning
113,Translator (computing),Parallel computing
114,Translator (computing),Artificial intelligence
115,Translator (computing),Data structure
119,Network service,Compiler
120,Software development,Compiler
121,Information retrieval,Compiler
122,Compiler,Graphical model
123,Systems programming,Compiler
124,Assembly language,Compiler
125,Compiler,Database
126,Game theory,Compiler
127,Computational geometry,Compiler
128,Social network analysis,Compiler
129,Wireless network,Compiler
130,Distributed object,Compiler
131,Software metric,Compiler
132,Cryptography,Compiler
133,Natural language processing,Compiler
134,Compiler,Distributed computing
135,Software testing,Compiler
136,Compiler,Computer network
137,Data mining,Compiler
138,Robotics,Compiler
139,Broadband networks,Compiler
140,Information security,Compiler
141,Computational linguistics,Compiler
142,Software engineering,Compiler
143,Compiler,Operating system
144,Data integration,Compiler
145,Theory of computation,Compiler
146,Software architecture,Compiler
147,Data-intensive computing,Compiler
148,Network security,Compiler
149,Computer security,Compiler
150,Computer-aided software engineering,Compiler
151,Compiler,Computer graphics
152,Compiler,Computer architecture
153,Computer vision,Compiler
154,Software project management,Compiler
155,Modeling language,Compiler
156,Compiler,Algorithm
157,Microarchitecture,Compiler
158,Programming language,Compiler
159,Object-oriented analysis and design,Compiler
160,Machine learning,Compiler
161,Software analytics,Compiler
162,Internet protocol suite,Compiler
163,Knowledge management,Compiler
164,Data warehouse,Compiler
165,Parallel computing,Compiler
166,Discrete mathematics,Compiler
167,Parallel processing (DSP implementation),Compiler
168,Combinatorial optimization,Compiler
169,Artificial intelligence,Compiler
170,Data structure,Compiler
171,Mobile app development,Compiler
172,Analysis of algorithms,Compiler
173,Object-oriented design,Compiler
174,Test automation,Compiler
178,Network service,Software development
179,Information retrieval,Network service
180,Graphical model,Network service
181,Assembly language,Network service
182,Network service,Database
183,Game theory,Network service
184,Network service,Computational geometry
185,Social network analysis,Network service
186,Wireless network,Network service
187,Distributed object,Network service
188,Software metric,Network service
189,Network service,Cryptography
190,Natural language processing,Network service
191,Distributed computing,Network service
192,Software testing,Network service
193,Network service,Computer network
194,Network service,Data mining
195,Robotics,Network service
196,Broadband networks,Network service
197,Network service,Information security
198,Computational linguistics,Network service
199,Software engineering,Network service
200,Network service,Operating system
201,Data integration,Network service
202,Network service,Theory of computation
203,Software architecture,Network service
204,Network security,Network service
205,Network service,Computer security
206,Computer-aided software engineering,Network service
207,Network service,Computer graphics
208,Network service,Computer architecture
209,Network service,Computer vision
210,Software project management,Network service
211,Network service,Modeling language
212,Network service,Algorithm
213,Microarchitecture,Network service
214,Network service,Programming language
215,Object-oriented analysis and design,Network service
216,Network service,Machine learning
217,Software analytics,Network service
218,Internet protocol suite,Network service
219,Knowledge management,Network service
220,Data warehouse,Network service
221,Network service,Parallel computing
222,Network service,Information management
223,Network service,Discrete mathematics
224,Combinatorial optimization,Network service
225,Network service,Artificial intelligence
226,Network service,Data structure
227,Network service,Analysis of algorithms
228,Network service,Object-oriented design
229,Test automation,Network service
234,Information retrieval,Software development
235,Graphical model,Software development
236,Assembly language,Software development
237,Software development,Database
238,Game theory,Software development
239,Computational geometry,Software development
240,Social network analysis,Software development
241,Wireless network,Software development
242,Distributed object,Software development
243,Software metric,Software development
244,Software development,Cryptography
245,Natural language processing,Software development
246,Distributed computing,Software development
247,Software testing,Software development
248,Software development,Computer network
249,Data mining,Software development
250,Robotics,Software development
251,Broadband networks,Software development
252,Software development,Information security
253,Computational linguistics,Software development
254,Software engineering,Software development
255,Operating system,Software development
256,Data integration,Software development
257,Software development,Theory of computation
258,Software architecture,Software development
259,Data-intensive computing,Software development
260,Network security,Software development
261,Computer security,Software development
262,Computer-aided software engineering,Software development
263,Software development,Computer graphics
264,Computer architecture,Software development
265,Software development,Computer vision
266,Software project management,Software development
267,Modeling language,Software development
268,Software development,Algorithm
269,Microarchitecture,Software development
270,Software development,Programming language
271,Object-oriented analysis and design,Software development
272,Machine learning,Software development
273,Software analytics,Software development
274,Internet protocol suite,Software development
275,Knowledge management,Software development
276,Data warehouse,Software development
277,Parallel computing,Software development
278,Software development,Information management
279,Software development,Discrete mathematics
280,Combinatorial optimization,Software development
281,Data structure,Software development
282,Analysis of algorithms,Software development
283,Object-oriented design,Software development
284,Test automation,Software development
291,Graphical model,Information retrieval
292,Assembly language,Information retrieval
293,Information retrieval,Database
294,Game theory,Information retrieval
295,Information retrieval,Computational geometry
296,Social network analysis,Information retrieval
297,Wireless network,Information retrieval
298,Distributed object,Information retrieval
299,Software metric,Information retrieval
300,Information retrieval,Cryptography
301,Natural language processing,Information retrieval
302,Information retrieval,Distributed computing
303,Software testing,Information retrieval
304,Information retrieval,Computer network
305,Information retrieval,Data mining
306,Robotics,Information retrieval
307,Broadband networks,Information retrieval
308,Information retrieval,Information security
309,Computational linguistics,Information retrieval
310,Software engineering,Information retrieval
311,Information retrieval,Operating system
312,Data integration,Information retrieval
313,Information retrieval,Theory of computation
314,Software architecture,Information retrieval
315,Information retrieval,Network security
316,Information retrieval,Computer security
317,Computer-aided software engineering,Information retrieval
318,Information retrieval,Computer graphics
319,Information retrieval,Computer architecture
320,Information retrieval,Computer vision
321,Software project management,Information retrieval
322,Information retrieval,Modeling language
323,Information retrieval,Algorithm
324,Microarchitecture,Information retrieval
325,Information retrieval,Programming language
326,Object-oriented analysis and design,Information retrieval
327,Information retrieval,Machine learning
328,Software analytics,Information retrieval
329,Internet protocol suite,Information retrieval
330,Knowledge management,Information retrieval
331,Information retrieval,Data warehouse
332,Information retrieval,Parallel computing
333,Information management,Information retrieval
334,Information retrieval,Discrete mathematics
335,Combinatorial optimization,Information retrieval
336,Information retrieval,Artificial intelligence
337,Information retrieval,Data structure
338,Information retrieval,Analysis of algorithms
339,Test automation,Information retrieval
346,Systems programming,Graphical model
347,Graphical model,Database
348,Graphical model,Game theory
349,Graphical model,Computational geometry
350,Social network analysis,Graphical model
351,Graphical model,Cryptography
352,Graphical model,Natural language processing
353,Graphical model,Distributed computing
354,Software testing,Graphical model
355,Graphical model,Computer network
356,Graphical model,Data mining
357,Information security,Graphical model
358,Graphical model,Computational linguistics
359,Graphical model,Software engineering
360,Graphical model,Operating system
361,Data integration,Graphical model
362,Graphical model,Theory of computation
363,Data-intensive computing,Graphical model
364,Graphical model,Network security
365,Graphical model,Computer security
366,Graphical model,Computer graphics
367,Graphical model,Computer architecture
368,Graphical model,Computer vision
369,Graphical model,Modeling language
370,Graphical model,Algorithm
371,Microarchitecture,Graphical model
372,Graphical model,Programming language
373,Graphical model,Machine learning
374,Software analytics,Graphical model
375,Graphical model,Data warehouse
376,Graphical model,Parallel computing
377,Graphical model,Discrete mathematics
378,Parallel processing (DSP implementation),Graphical model
379,Combinatorial optimization,Graphical model
380,Graphical model,Artificial intelligence
381,Mobile app development,Graphical model
382,Graphical model,Analysis of algorithms
386,Systems programming,Database
387,Systems programming,Distributed computing
388,Systems programming,Computer network
389,Systems programming,Operating system
390,Systems programming,Computer graphics
391,Systems programming,Computer architecture
392,Systems programming,Algorithm
400,Assembly language,Database
401,Assembly language,Computational geometry
402,Distributed object,Assembly language
403,Assembly language,Cryptography
404,Assembly language,Natural language processing
405,Assembly language,Distributed computing
406,Assembly language,Software testing
407,Assembly language,Computer network
408,Assembly language,Data mining
409,Assembly language,Information security
410,Computational linguistics,Assembly language
411,Assembly language,Software engineering
412,Assembly language,Operating system
413,Assembly language,Theory of computation
414,Assembly language,Software architecture
415,Data-intensive computing,Assembly language
416,Assembly language,Network security
417,Assembly language,Computer security
418,Assembly language,Computer graphics
419,Assembly language,Computer architecture
420,Assembly language,Computer vision
421,Assembly language,Modeling language
422,Assembly language,Algorithm
423,Microarchitecture,Assembly language
424,Assembly language,Programming language
425,Assembly language,Machine learning
426,Data warehouse,Assembly language
427,Assembly language,Parallel computing
428,Assembly language,Discrete mathematics
429,Assembly language,Artificial intelligence
430,Assembly language,Analysis of algorithms
431,Object-oriented design,Assembly language
432,Test automation,Assembly language
442,Game theory,Database
443,Computational geometry,Database
444,Social network analysis,Database
445,Wireless network,Database
446,Distributed object,Database
447,Software metric,Database
448,Database,Cryptography
449,Natural language processing,Database
450,Distributed computing,Database
451,Software testing,Database
452,Database,Computer network
453,Data mining,Database
454,Robotics,Database
455,Broadband networks,Database
456,Information security,Database
457,Computational linguistics,Database
458,Software engineering,Database
459,Operating system,Database
460,Data integration,Database
461,Database,Theory of computation
462,Software architecture,Database
463,Data-intensive computing,Database
464,Network security,Database
465,Computer security,Database
466,Computer-aided software engineering,Database
467,Database,Computer graphics
468,Computer architecture,Database
469,Database,Computer vision
470,Software project management,Database
471,Modeling language,Database
472,Database,Algorithm
473,Microarchitecture,Database
474,Database,Programming language
475,Object-oriented analysis and design,Database
476,Machine learning,Database
477,Software analytics,Database
478,Internet protocol suite,Database
479,Knowledge management,Database
480,Data warehouse,Database
481,Information management,Database
482,Parallel processing (DSP implementation),Database
483,Combinatorial optimization,Database
484,Artificial intelligence,Database
485,Data structure,Database
486,Mobile app development,Database
487,Analysis of algorithms,Database
488,Database,Object-oriented design
489,Test automation,Database
497,Game theory,Computational geometry
498,Game theory,Social network analysis
499,Game theory,Cryptography
500,Natural language processing,Game theory
501,Game theory,Distributed computing
502,Software testing,Game theory
503,Game theory,Computer network
504,Game theory,Data mining
505,Robotics,Game theory
506,Game theory,Information security
507,Computational linguistics,Game theory
508,Game theory,Software engineering
509,Game theory,Operating system
510,Game theory,Theory of computation
511,Game theory,Network security
512,Game theory,Computer security
513,Game theory,Computer graphics
514,Game theory,Computer architecture
515,Game theory,Computer vision
516,Game theory,Modeling language
517,Game theory,Algorithm
518,Game theory,Programming language
519,Game theory,Machine learning
520,Software analytics,Game theory
521,Game theory,Parallel computing
522,Game theory,Discrete mathematics
523,Combinatorial optimization,Game theory
524,Game theory,Artificial intelligence
525,Game theory,Data structure
526,Game theory,Analysis of algorithms
537,Social network analysis,Computational geometry
538,Wireless network,Computational geometry
539,Distributed object,Computational geometry
540,Software metric,Computational geometry
541,Cryptography,Computational geometry
542,Natural language processing,Computational geometry
543,Distributed computing,Computational geometry
544,Software testing,Computational geometry
545,Computational geometry,Computer network
546,Data mining,Computational geometry
547,Robotics,Computational geometry
548,Broadband networks,Computational geometry
549,Computational geometry,Information security
550,Computational linguistics,Computational geometry
551,Software engineering,Computational geometry
552,Data integration,Computational geometry
553,Software architecture,Computational geometry
554,Data-intensive computing,Computational geometry
555,Network security,Computational geometry
556,Computer security,Computational geometry
557,Computer-aided software engineering,Computational geometry
558,Computer graphics,Computational geometry
559,Computer architecture,Computational geometry
560,Computer vision,Computational geometry
561,Software project management,Computational geometry
562,Computational geometry,Modeling language
563,Computational geometry,Algorithm
564,Microarchitecture,Computational geometry
565,Computational geometry,Programming language
566,Object-oriented analysis and design,Computational geometry
567,Machine learning,Computational geometry
568,Software analytics,Computational geometry
569,Internet protocol suite,Computational geometry
570,Knowledge management,Computational geometry
571,Data warehouse,Computational geometry
572,Computational geometry,Information management
573,Discrete mathematics,Computational geometry
574,Combinatorial optimization,Computational geometry
575,Data structure,Computational geometry
576,Analysis of algorithms,Computational geometry
577,Computational geometry,Object-oriented design
578,Test automation,Computational geometry
588,Wireless network,Social network analysis
589,Distributed object,Social network analysis
590,Social network analysis,Cryptography
591,Social network analysis,Natural language processing
592,Social network analysis,Distributed computing
593,Software testing,Social network analysis
594,Social network analysis,Computer network
595,Social network analysis,Data mining
596,Broadband networks,Social network analysis
597,Social network analysis,Information security
598,Computational linguistics,Social network analysis
599,Social network analysis,Software engineering
600,Social network analysis,Operating system
601,Social network analysis,Data integration
602,Social network analysis,Theory of computation
603,Software architecture,Social network analysis
604,Social network analysis,Network security
605,Social network analysis,Computer security
606,Social network analysis,Computer graphics
607,Social network analysis,Computer architecture
608,Social network analysis,Computer vision
609,Social network analysis,Modeling language
610,Social network analysis,Algorithm
611,Social network analysis,Programming language
612,Social network analysis,Machine learning
613,Internet protocol suite,Social network analysis
614,Knowledge management,Social network analysis
615,Social network analysis,Data warehouse
616,Social network analysis,Parallel computing
617,Information management,Social network analysis
618,Social network analysis,Discrete mathematics
619,Social network analysis,Combinatorial optimization
620,Social network analysis,Artificial intelligence
621,Social network analysis,Data structure
622,Social network analysis,Analysis of algorithms
631,Distributed object,Wireless network
632,Wireless network,Cryptography
633,Wireless network,Natural language processing
634,Wireless network,Distributed computing
635,Software testing,Wireless network
636,Wireless network,Computer network
637,Wireless network,Data mining
638,Broadband networks,Wireless network
639,Wireless network,Information security
640,Computational linguistics,Wireless network
641,Software engineering,Wireless network
642,Wireless network,Operating system
643,Wireless network,Theory of computation
644,Wireless network,Network security
645,Wireless network,Computer security
646,Wireless network,Computer graphics
647,Wireless network,Computer architecture
648,Wireless network,Computer vision
649,Wireless network,Modeling language
650,Wireless network,Algorithm
651,Wireless network,Programming language
652,Wireless network,Machine learning
653,Internet protocol suite,Wireless network
654,Wireless network,Parallel computing
655,Wireless network,Discrete mathematics
656,Wireless network,Combinatorial optimization
657,Wireless network,Artificial intelligence
658,Wireless network,Analysis of algorithms
670,Distributed object,Cryptography
671,Distributed object,Natural language processing
672,Distributed object,Distributed computing
673,Distributed object,Software testing
674,Distributed object,Computer network
675,Distributed object,Data mining
676,Distributed object,Information security
677,Distributed object,Software engineering
678,Distributed object,Operating system
679,Distributed object,Theory of computation
680,Distributed object,Software architecture
681,Distributed object,Network security
682,Distributed object,Computer security
683,Distributed object,Computer graphics
684,Distributed object,Computer architecture
685,Distributed object,Computer vision
686,Distributed object,Modeling language
687,Distributed object,Algorithm
688,Distributed object,Programming language
689,Distributed object,Object-oriented analysis and design
690,Distributed object,Machine learning
691,Distributed object,Internet protocol suite
692,Distributed object,Parallel computing
693,Distributed object,Discrete mathematics
694,Distributed object,Combinatorial optimization
695,Distributed object,Artificial intelligence
696,Distributed object,Data structure
697,Distributed object,Analysis of algorithms
698,Distributed object,Object-oriented design
706,Software metric,Cryptography
707,Software metric,Natural language processing
708,Software metric,Distributed computing
709,Software metric,Software testing
710,Software metric,Computer network
711,Software metric,Data mining
712,Software metric,Robotics
713,Software metric,Information security
714,Software metric,Software engineering
715,Software metric,Operating system
716,Software metric,Theory of computation
717,Software metric,Software architecture
718,Software metric,Network security
719,Software metric,Computer security
720,Software metric,Computer-aided software engineering
721,Software metric,Computer graphics
722,Software metric,Computer architecture
723,Software metric,Computer vision
724,Software metric,Software project management
725,Software metric,Modeling language
726,Software metric,Algorithm
727,Software metric,Programming language
728,Object-oriented analysis and design,Software metric
729,Software metric,Machine learning
730,Software metric,Parallel computing
731,Software metric,Discrete mathematics
732,Software metric,Artificial intelligence
733,Software metric,Data structure
734,Software metric,Analysis of algorithms
735,Software metric,Object-oriented design
736,Software metric,Test automation
752,Natural language processing,Cryptography
753,Distributed computing,Cryptography
754,Software testing,Cryptography
755,Cryptography,Computer network
756,Data mining,Cryptography
757,Robotics,Cryptography
758,Broadband networks,Cryptography
759,Cryptography,Information security
760,Computational linguistics,Cryptography
761,Software engineering,Cryptography
762,Operating system,Cryptography
763,Data integration,Cryptography
764,Cryptography,Theory of computation
765,Software architecture,Cryptography
766,Data-intensive computing,Cryptography
767,Network security,Cryptography
768,Cryptography,Computer security
769,Computer-aided software engineering,Cryptography
770,Computer architecture,Cryptography
771,Computer vision,Cryptography
772,Software project management,Cryptography
773,Cryptography,Modeling language
774,Cryptography,Algorithm
775,Microarchitecture,Cryptography
776,Cryptography,Programming language
777,Object-oriented analysis and design,Cryptography
778,Cryptography,Machine learning
779,Software analytics,Cryptography
780,Internet protocol suite,Cryptography
781,Knowledge management,Cryptography
782,Data warehouse,Cryptography
783,Cryptography,Parallel computing
784,Discrete mathematics,Cryptography
785,Combinatorial optimization,Cryptography
786,Cryptography,Artificial intelligence
787,Data structure,Cryptography
788,Cryptography,Analysis of algorithms
789,Test automation,Cryptography
806,Natural language processing,Distributed computing
807,Software testing,Natural language processing
808,Natural language processing,Computer network
809,Natural language processing,Data mining
810,Robotics,Natural language processing
811,Broadband networks,Natural language processing
812,Natural language processing,Information security
813,Natural language processing,Computational linguistics
814,Natural language processing,Software engineering
815,Natural language processing,Operating system
816,Data integration,Natural language processing
817,Natural language processing,Theory of computation
818,Software architecture,Natural language processing
819,Natural language processing,Network security
820,Natural language processing,Computer security
821,Computer-aided software engineering,Natural language processing
822,Natural language processing,Computer graphics
823,Natural language processing,Computer architecture
824,Natural language processing,Computer vision
825,Software project management,Natural language processing
826,Natural language processing,Modeling language
827,Natural language processing,Algorithm
828,Microarchitecture,Natural language processing
829,Natural language processing,Programming language
830,Object-oriented analysis and design,Natural language processing
831,Natural language processing,Machine learning
832,Software analytics,Natural language processing
833,Internet protocol suite,Natural language processing
834,Knowledge management,Natural language processing
835,Data warehouse,Natural language processing
836,Natural language processing,Parallel computing
837,Natural language processing,Discrete mathematics
838,Combinatorial optimization,Natural language processing
839,Natural language processing,Artificial intelligence
840,Data structure,Natural language processing
841,Natural language processing,Analysis of algorithms
842,Test automation,Natural language processing
861,Software testing,Distributed computing
862,Distributed computing,Computer network
863,Distributed computing,Data mining
864,Robotics,Distributed computing
865,Broadband networks,Distributed computing
866,Information security,Distributed computing
867,Computational linguistics,Distributed computing
868,Distributed computing,Operating system
869,Data integration,Distributed computing
870,Distributed computing,Theory of computation
871,Software architecture,Distributed computing
872,Data-intensive computing,Distributed computing
873,Network security,Distributed computing
874,Distributed computing,Computer security
875,Computer-aided software engineering,Distributed computing
876,Distributed computing,Computer graphics
877,Distributed computing,Computer architecture
878,Distributed computing,Computer vision
879,Software project management,Distributed computing
880,Distributed computing,Modeling language
881,Distributed computing,Algorithm
882,Microarchitecture,Distributed computing
883,Distributed computing,Programming language
884,Object-oriented analysis and design,Distributed computing
885,Distributed computing,Machine learning
886,Software analytics,Distributed computing
887,Internet protocol suite,Distributed computing
888,Knowledge management,Distributed computing
889,Data warehouse,Distributed computing
890,Distributed computing,Parallel computing
891,Distributed computing,Discrete mathematics
892,Parallel processing (DSP implementation),Distributed computing
893,Combinatorial optimization,Distributed computing
894,Distributed computing,Artificial intelligence
895,Distributed computing,Data structure
896,Mobile app development,Distributed computing
897,Distributed computing,Analysis of algorithms
898,Distributed computing,Object-oriented design
899,Test automation,Distributed computing
917,Software testing,Computer network
918,Software testing,Data mining
919,Software testing,Robotics
920,Software testing,Information security
921,Software testing,Software engineering
922,Software testing,Operating system
923,Software testing,Data integration
924,Software testing,Theory of computation
925,Software architecture,Software testing
926,Data-intensive computing,Software testing
927,Software testing,Network security
928,Software testing,Computer security
929,Computer-aided software engineering,Software testing
930,Software testing,Computer graphics
931,Software testing,Computer architecture
932,Software testing,Computer vision
933,Software project management,Software testing
934,Modeling language,Software testing
935,Software testing,Algorithm
936,Software testing,Microarchitecture
937,Software testing,Programming language
938,Object-oriented analysis and design,Software testing
939,Software testing,Machine learning
940,Software analytics,Software testing
941,Software testing,Internet protocol suite
942,Software testing,Knowledge management
943,Software testing,Data warehouse
944,Software testing,Parallel computing
945,Software testing,Information management
946,Software testing,Discrete mathematics
947,Combinatorial optimization,Software testing
948,Software testing,Artificial intelligence
949,Software testing,Data structure
950,Software testing,Analysis of algorithms
951,Object-oriented design,Software testing
952,Test automation,Software testing
973,Data mining,Computer network
974,Robotics,Computer network
975,Broadband networks,Computer network
976,Information security,Computer network
977,Computational linguistics,Computer network
978,Software engineering,Computer network
979,Operating system,Computer network
980,Data integration,Computer network
981,Computer network,Theory of computation
982,Software architecture,Computer network
983,Data-intensive computing,Computer network
984,Network security,Computer network
985,Computer security,Computer network
986,Computer-aided software engineering,Computer network
987,Computer graphics,Computer network
988,Computer architecture,Computer network
989,Computer vision,Computer network
990,Software project management,Computer network
991,Modeling language,Computer network
992,Computer network,Algorithm
993,Microarchitecture,Computer network
994,Computer network,Programming language
995,Object-oriented analysis and design,Computer network
996,Machine learning,Computer network
997,Software analytics,Computer network
998,Internet protocol suite,Computer network
999,Knowledge management,Computer network
1000,Data warehouse,Computer network
1001,Parallel computing,Computer network
1002,Computer network,Information management
1003,Discrete mathematics,Computer network
1004,Parallel processing (DSP implementation),Computer network
1005,Combinatorial optimization,Computer network
1006,Artificial intelligence,Computer network
1007,Data structure,Computer network
1008,Mobile app development,Computer network
1009,Analysis of algorithms,Computer network
1010,Computer network,Object-oriented design
1011,Test automation,Computer network
1032,Robotics,Data mining
1033,Broadband networks,Data mining
1034,Data mining,Information security
1035,Computational linguistics,Data mining
1036,Software engineering,Data mining
1037,Data mining,Operating system
1038,Data integration,Data mining
1039,Data mining,Theory of computation
1040,Software architecture,Data mining
1041,Data-intensive computing,Data mining
1042,Network security,Data mining
1043,Data mining,Computer security
1044,Computer-aided software engineering,Data mining
1045,Data mining,Computer graphics
1046,Data mining,Computer vision
1047,Software project management,Data mining
1048,Data mining,Modeling language
1049,Data mining,Algorithm
1050,Microarchitecture,Data mining
1051,Data mining,Programming language
1052,Object-oriented analysis and design,Data mining
1053,Data mining,Machine learning
1054,Software analytics,Data mining
1055,Internet protocol suite,Data mining
1056,Knowledge management,Data mining
1057,Data warehouse,Data mining
1058,Data mining,Parallel computing
1059,Information management,Data mining
1060,Combinatorial optimization,Data mining
1061,Data mining,Artificial intelligence
1062,Data mining,Data structure
1063,Data mining,Object-oriented design
1064,Test automation,Data mining
1081,Robotics,Information security
1082,Computational linguistics,Robotics
1083,Robotics,Software engineering
1084,Robotics,Operating system
1085,Robotics,Theory of computation
1086,Software architecture,Robotics
1087,Robotics,Network security
1088,Robotics,Computer security
1089,Robotics,Computer graphics
1090,Robotics,Computer architecture
1091,Robotics,Computer vision
1092,Software project management,Robotics
1093,Robotics,Modeling language
1094,Robotics,Algorithm
1095,Robotics,Programming language
1096,Object-oriented analysis and design,Robotics
1097,Robotics,Machine learning
1098,Software analytics,Robotics
1099,Robotics,Parallel computing
1100,Robotics,Discrete mathematics
1101,Combinatorial optimization,Robotics
1102,Robotics,Artificial intelligence
1103,Robotics,Analysis of algorithms
1104,Test automation,Robotics
1118,Broadband networks,Information security
1119,Broadband networks,Operating system
1120,Broadband networks,Theory of computation
1121,Broadband networks,Network security
1122,Broadband networks,Computer security
1123,Broadband networks,Computer graphics
1124,Broadband networks,Computer architecture
1125,Broadband networks,Computer vision
1126,Broadband networks,Modeling language
1127,Broadband networks,Algorithm
1128,Broadband networks,Programming language
1129,Broadband networks,Machine learning
1130,Broadband networks,Parallel computing
1131,Broadband networks,Discrete mathematics
1132,Broadband networks,Combinatorial optimization
1133,Broadband networks,Artificial intelligence
1134,Broadband networks,Analysis of algorithms
1158,Computational linguistics,Information security
1159,Software engineering,Information security
1160,Information security,Operating system
1161,Data integration,Information security
1162,Software architecture,Information security
1163,Network security,Information security
1164,Computer security,Information security
1165,Computer-aided software engineering,Information security
1166,Information security,Computer graphics
1167,Information security,Computer architecture
1168,Computer vision,Information security
1169,Software project management,Information security
1170,Modeling language,Information security
1171,Information security,Algorithm
1172,Microarchitecture,Information security
1173,Programming language,Information security
1174,Object-oriented analysis and design,Information security
1175,Machine learning,Information security
1176,Software analytics,Information security
1177,Internet protocol suite,Information security
1178,Knowledge management,Information security
1179,Data warehouse,Information security
1180,Parallel computing,Information security
1181,Discrete mathematics,Information security
1182,Combinatorial optimization,Information security
1183,Artificial intelligence,Information security
1184,Data structure,Information security
1185,Analysis of algorithms,Information security
1186,Test automation,Information security
1208,Computational linguistics,Software engineering
1209,Computational linguistics,Operating system
1210,Computational linguistics,Data integration
1211,Computational linguistics,Theory of computation
1212,Computational linguistics,Software architecture
1213,Computational linguistics,Network security
1214,Computational linguistics,Computer security
1215,Computational linguistics,Computer-aided software engineering
1216,Computational linguistics,Computer graphics
1217,Computational linguistics,Computer architecture
1218,Computational linguistics,Computer vision
1219,Computational linguistics,Software project management
1220,Computational linguistics,Modeling language
1221,Computational linguistics,Algorithm
1222,Computational linguistics,Microarchitecture
1223,Computational linguistics,Programming language
1224,Computational linguistics,Machine learning
1225,Software analytics,Computational linguistics
1226,Computational linguistics,Internet protocol suite
1227,Computational linguistics,Knowledge management
1228,Computational linguistics,Data warehouse
1229,Computational linguistics,Parallel computing
1230,Information management,Computational linguistics
1231,Computational linguistics,Discrete mathematics
1232,Combinatorial optimization,Computational linguistics
