,topic_a,topic_b
515,Object-oriented analysis and design,Data mining
516,Object-oriented analysis and design,Discrete mathematics
517,Object-oriented analysis and design,Test automation
518,Object-oriented analysis and design,Computer security
519,Object-oriented analysis and design,Software engineering
520,Object-oriented analysis and design,Information retrieval
521,Object-oriented analysis and design,Database
522,Object-oriented analysis and design,Robotics
523,Data-intensive computing,Computer graphics
524,Parallel computing,Computer graphics
525,Modeling language,Computer graphics
526,Mobile app development,Computer graphics
527,Cloud computing,Computer graphics
528,Software testing,Computer graphics
529,Wireless network,Computer graphics
530,Computer graphics,Data structure
531,Assembly language,Computer graphics
532,Network security,Computer graphics
533,Parallel processing (DSP implementation),Computer graphics
534,Knowledge management,Computer graphics
535,Object-oriented analysis and design,Computer graphics
536,Computer graphics,Algorithm
537,Object-oriented programming,Computer graphics
538,Machine learning,Computer graphics
539,Software project management,Computer graphics
540,Graphical model,Computer graphics
541,Data integration,Computer graphics
542,Software architecture,Computer graphics
543,Compiler,Computer graphics
544,Distributed object,Computer graphics
545,Information security,Computer graphics
546,Distributed computing,Computer graphics
547,Cryptography,Computer graphics
548,Broadband networks,Computer graphics
549,Natural language processing,Computer graphics
550,Computer vision,Computer graphics
551,Combinatorial optimization,Computer graphics
552,Social network analysis,Computer graphics
553,Computational linguistics,Computer graphics
554,Network service,Computer graphics
555,Operating system,Computer graphics
556,Game theory,Computer graphics
557,Computer-aided software engineering,Computer graphics
558,Data warehouse,Computer graphics
559,Systems programming,Computer graphics
560,Computer architecture,Computer graphics
561,Software development,Computer graphics
562,Computer graphics,Programming language
563,Computer graphics,Theory of computation
564,Computer graphics,Computer network
565,Software metric,Computer graphics
566,Analysis of algorithms,Computer graphics
567,Internet protocol suite,Computer graphics
568,Data mining,Computer graphics
569,Software analytics,Computer graphics
570,Discrete mathematics,Computer graphics
571,Test automation,Computer graphics
572,Computer security,Computer graphics
573,Software engineering,Computer graphics
574,Information retrieval,Computer graphics
575,Database,Computer graphics
576,Robotics,Computer graphics
577,Microarchitecture,Computer graphics
578,Data-intensive computing,Computational geometry
579,Computational geometry,Modeling language
580,Cloud computing,Computational geometry
581,Software testing,Computational geometry
582,Wireless network,Computational geometry
583,Data structure,Computational geometry
584,Assembly language,Computational geometry
585,Network security,Computational geometry
586,Knowledge management,Computational geometry
587,Object-oriented analysis and design,Computational geometry
588,Computational geometry,Algorithm
589,Object-oriented programming,Computational geometry
590,Machine learning,Computational geometry
591,Software project management,Computational geometry
592,Graphical model,Computational geometry
593,Data integration,Computational geometry
594,Software architecture,Computational geometry
595,Computational geometry,Compiler
596,Distributed object,Computational geometry
597,Information security,Computational geometry
598,Distributed computing,Computational geometry
599,Cryptography,Computational geometry
600,Broadband networks,Computational geometry
601,Natural language processing,Computational geometry
602,Computer vision,Computational geometry
603,Computational geometry,Object-oriented design
604,Combinatorial optimization,Computational geometry
605,Social network analysis,Computational geometry
606,Computational linguistics,Computational geometry
607,Network service,Computational geometry
608,Game theory,Computational geometry
609,Computational geometry,Information management
610,Computer-aided software engineering,Computational geometry
611,Data warehouse,Computational geometry
612,Computer architecture,Computational geometry
613,Computational geometry,Software development
614,Computational geometry,Programming language
615,Computational geometry,Theory of computation
616,Computational geometry,Computer network
617,Software metric,Computational geometry
618,Analysis of algorithms,Computational geometry
619,Internet protocol suite,Computational geometry
620,Data mining,Computational geometry
621,Software analytics,Computational geometry
622,Discrete mathematics,Computational geometry
623,Test automation,Computational geometry
624,Computer security,Computational geometry
625,Software engineering,Computational geometry
626,Information retrieval,Computational geometry
627,Computational geometry,Database
628,Robotics,Computational geometry
629,Microarchitecture,Computational geometry
630,Data-intensive computing,Algorithm
631,Parallel computing,Algorithm
632,Modeling language,Algorithm
633,Mobile app development,Algorithm
634,Cloud computing,Algorithm
635,Software testing,Algorithm
636,Wireless network,Algorithm
637,Data structure,Algorithm
638,Assembly language,Algorithm
639,Network security,Algorithm
640,Parallel processing (DSP implementation),Algorithm
641,Knowledge management,Algorithm
642,Object-oriented analysis and design,Algorithm
643,Computer graphics,Algorithm
644,Computational geometry,Algorithm
645,Object-oriented programming,Algorithm
646,Machine learning,Algorithm
647,Software project management,Algorithm
648,Graphical model,Algorithm
649,Data integration,Algorithm
650,Software architecture,Algorithm
651,Compiler,Algorithm
652,Distributed object,Algorithm
653,Information security,Algorithm
654,Distributed computing,Algorithm
655,Cryptography,Algorithm
656,Broadband networks,Algorithm
657,Artificial intelligence,Algorithm
658,Natural language processing,Algorithm
659,Computer vision,Algorithm
660,Object-oriented design,Algorithm
661,Combinatorial optimization,Algorithm
662,Social network analysis,Algorithm
663,Computational linguistics,Algorithm
664,Network service,Algorithm
665,Operating system,Algorithm
666,Game theory,Algorithm
667,Computer-aided software engineering,Algorithm
668,Data warehouse,Algorithm
669,Systems programming,Algorithm
670,Computer architecture,Algorithm
671,Software development,Algorithm
672,Algorithm,Programming language
673,Theory of computation,Algorithm
674,Computer network,Algorithm
675,Software metric,Algorithm
676,Analysis of algorithms,Algorithm
677,Internet protocol suite,Algorithm
678,Data mining,Algorithm
679,Software analytics,Algorithm
680,Discrete mathematics,Algorithm
681,Test automation,Algorithm
682,Computer security,Algorithm
683,Software engineering,Algorithm
684,Information retrieval,Algorithm
685,Database,Algorithm
686,Robotics,Algorithm
687,Microarchitecture,Algorithm
688,Data-intensive computing,Object-oriented programming
689,Object-oriented programming,Parallel computing
690,Modeling language,Object-oriented programming
691,Cloud computing,Object-oriented programming
692,Object-oriented programming,Software testing
693,Data structure,Object-oriented programming
694,Assembly language,Object-oriented programming
695,Object-oriented programming,Network security
696,Knowledge management,Object-oriented programming
697,Object-oriented analysis and design,Object-oriented programming
698,Object-oriented programming,Computer graphics
699,Object-oriented programming,Computational geometry
700,Object-oriented programming,Algorithm
701,Object-oriented programming,Machine learning
702,Software project management,Object-oriented programming
703,Object-oriented programming,Graphical model
704,Data integration,Object-oriented programming
705,Software architecture,Object-oriented programming
706,Object-oriented programming,Compiler
707,Distributed object,Object-oriented programming
708,Object-oriented programming,Information security
709,Translator (computing),Object-oriented programming
710,Distributed computing,Object-oriented programming
711,Object-oriented programming,Cryptography
712,Object-oriented programming,Artificial intelligence
713,Object-oriented programming,Natural language processing
714,Object-oriented programming,Computer vision
715,Object-oriented design,Object-oriented programming
716,Combinatorial optimization,Object-oriented programming
717,Computational linguistics,Object-oriented programming
718,Object-oriented programming,Network service
719,Object-oriented programming,Operating system
720,Object-oriented programming,Game theory
721,Object-oriented programming,Information management
722,Computer-aided software engineering,Object-oriented programming
723,Data warehouse,Object-oriented programming
724,Object-oriented programming,Computer architecture
725,Object-oriented programming,Software development
726,Programming language,Object-oriented programming
727,Object-oriented programming,Theory of computation
728,Object-oriented programming,Computer network
729,Software metric,Object-oriented programming
730,Object-oriented programming,Analysis of algorithms
731,Object-oriented programming,Data mining
732,Software analytics,Object-oriented programming
733,Test automation,Object-oriented programming
734,Object-oriented programming,Computer security
735,Object-oriented programming,Software engineering
736,Object-oriented programming,Information retrieval
737,Object-oriented programming,Database
738,Object-oriented programming,Robotics
739,Microarchitecture,Object-oriented programming
740,Data-intensive computing,Machine learning
741,Machine learning,Modeling language
742,Cloud computing,Machine learning
743,Software testing,Machine learning
744,Wireless network,Machine learning
745,Data structure,Machine learning
746,Assembly language,Machine learning
747,Network security,Machine learning
748,Knowledge management,Machine learning
749,Object-oriented analysis and design,Machine learning
750,Machine learning,Computer graphics
751,Machine learning,Computational geometry
752,Machine learning,Algorithm
753,Object-oriented programming,Machine learning
754,Software project management,Machine learning
755,Graphical model,Machine learning
756,Data integration,Machine learning
757,Software architecture,Machine learning
758,Machine learning,Compiler
759,Distributed object,Machine learning
760,Information security,Machine learning
761,Translator (computing),Machine learning
762,Distributed computing,Machine learning
763,Cryptography,Machine learning
764,Broadband networks,Machine learning
765,Natural language processing,Machine learning
766,Computer vision,Machine learning
767,Machine learning,Object-oriented design
768,Combinatorial optimization,Machine learning
769,Social network analysis,Machine learning
770,Computational linguistics,Machine learning
771,Network service,Machine learning
772,Game theory,Machine learning
773,Machine learning,Information management
774,Computer-aided software engineering,Machine learning
775,Data warehouse,Machine learning
776,Computer architecture,Machine learning
777,Machine learning,Software development
778,Machine learning,Programming language
779,Machine learning,Theory of computation
780,Machine learning,Computer network
781,Software metric,Machine learning
782,Analysis of algorithms,Machine learning
783,Internet protocol suite,Machine learning
784,Data mining,Machine learning
785,Software analytics,Machine learning
786,Discrete mathematics,Machine learning
787,Test automation,Machine learning
788,Software engineering,Machine learning
789,Information retrieval,Machine learning
790,Machine learning,Database
791,Robotics,Machine learning
792,Microarchitecture,Machine learning
793,Data-intensive computing,Software project management
794,Software project management,Parallel computing
795,Software project management,Modeling language
796,Cloud computing,Software project management
797,Software project management,Software testing
798,Software project management,Data structure
799,Software project management,Network security
800,Object-oriented analysis and design,Software project management
801,Software project management,Computer graphics
802,Software project management,Computational geometry
803,Software project management,Algorithm
804,Software project management,Object-oriented programming
805,Software project management,Machine learning
806,Software project management,Software architecture
807,Software project management,Compiler
808,Software project management,Information security
809,Software project management,Distributed computing
810,Software project management,Cryptography
811,Software project management,Artificial intelligence
812,Software project management,Natural language processing
813,Software project management,Computer vision
814,Combinatorial optimization,Software project management
815,Computational linguistics,Software project management
816,Software project management,Network service
817,Software project management,Operating system
818,Software project management,Computer-aided software engineering
819,Software project management,Computer architecture
820,Software project management,Software development
821,Software project management,Programming language
822,Software project management,Theory of computation
823,Software project management,Computer network
824,Software metric,Software project management
825,Software project management,Analysis of algorithms
826,Software project management,Data mining
827,Software analytics,Software project management
828,Software project management,Discrete mathematics
829,Test automation,Software project management
830,Software project management,Computer security
831,Software project management,Software engineering
832,Software project management,Information retrieval
833,Software project management,Database
834,Software project management,Robotics
835,Data-intensive computing,Graphical model
836,Graphical model,Parallel computing
837,Graphical model,Modeling language
838,Mobile app development,Graphical model
839,Cloud computing,Graphical model
840,Software testing,Graphical model
841,Graphical model,Network security
842,Parallel processing (DSP implementation),Graphical model
843,Graphical model,Computer graphics
844,Graphical model,Computational geometry
845,Graphical model,Algorithm
846,Object-oriented programming,Graphical model
847,Graphical model,Machine learning
848,Data integration,Graphical model
849,Compiler,Graphical model
850,Graphical model,Information security
851,Graphical model,Distributed computing
852,Graphical model,Cryptography
853,Graphical model,Artificial intelligence
854,Graphical model,Natural language processing
855,Graphical model,Computer vision
856,Combinatorial optimization,Graphical model
857,Social network analysis,Graphical model
858,Graphical model,Computational linguistics
859,Graphical model,Network service
860,Graphical model,Operating system
861,Graphical model,Game theory
862,Graphical model,Data warehouse
863,Systems programming,Graphical model
864,Graphical model,Computer architecture
865,Graphical model,Software development
866,Graphical model,Programming language
867,Graphical model,Theory of computation
868,Graphical model,Computer network
869,Graphical model,Analysis of algorithms
870,Graphical model,Data mining
871,Software analytics,Graphical model
872,Graphical model,Discrete mathematics
873,Graphical model,Computer security
874,Graphical model,Software engineering
875,Graphical model,Information retrieval
876,Graphical model,Database
877,Microarchitecture,Graphical model
878,Data-intensive computing,Data integration
879,Data integration,Parallel computing
880,Data integration,Modeling language
881,Data integration,Cloud computing
882,Software testing,Data integration
883,Data integration,Data structure
884,Data integration,Network security
885,Data integration,Knowledge management
886,Data integration,Computer graphics
887,Data integration,Computational geometry
888,Data integration,Algorithm
889,Data integration,Object-oriented programming
890,Data integration,Machine learning
891,Data integration,Graphical model
892,Data integration,Compiler
893,Data integration,Information security
894,Data integration,Distributed computing
895,Data integration,Cryptography
896,Data integration,Artificial intelligence
897,Data integration,Natural language processing
898,Data integration,Computer vision
899,Social network analysis,Data integration
900,Computational linguistics,Data integration
901,Data integration,Network service
902,Data integration,Operating system
903,Information management,Data integration
904,Data integration,Data warehouse
905,Data integration,Computer architecture
906,Data integration,Software development
907,Data integration,Programming language
908,Data integration,Theory of computation
909,Data integration,Computer network
910,Data integration,Analysis of algorithms
911,Data integration,Data mining
912,Software analytics,Data integration
913,Data integration,Discrete mathematics
914,Data integration,Computer security
915,Software engineering,Data integration
916,Data integration,Information retrieval
917,Data integration,Database
918,Data-intensive computing,Software architecture
919,Software architecture,Parallel computing
920,Modeling language,Software architecture
921,Cloud computing,Software architecture
922,Software architecture,Software testing
923,Software architecture,Data structure
924,Assembly language,Software architecture
925,Software architecture,Network security
926,Software architecture,Knowledge management
927,Object-oriented analysis and design,Software architecture
928,Software architecture,Computer graphics
