,topic_a,topic_b
272,Data integration,Database
273,Data integration,Computer vision
274,Game theory,Algorithm design
275,Game theory,Computer network
276,Game theory,Programming language
277,Game theory,Modeling language
278,Game theory,Discrete mathematics
279,Game theory,Operating system
280,Game theory,Software development
281,Game theory,Parallel computing
282,Game theory,Analysis of algorithms
283,Computational linguistics,Game theory
284,Game theory,Software engineering
285,Game theory,Social network analysis
286,Software testing,Game theory
287,Game theory,Network security
288,Game theory,Computer graphics
289,Game theory,Theory of computation
290,Game theory,Compiler construction
291,Combinatorial optimization,Game theory
292,Robotics,Game theory
293,Game theory,Computer architecture
294,Game theory,Computational geometry
295,Game theory,Distributed computing
296,Game theory,Network service
297,Natural language processing,Game theory
298,Game theory,Machine learning
299,Game theory,Data structure
300,Game theory,Computer security
301,Game theory,Information retrieval
302,Graphical model,Game theory
303,Software analytics,Game theory
304,Game theory,Information security
305,Game theory,Data mining
306,Game theory,Cryptography
307,Object-oriented programming,Game theory
308,Game theory,Artificial intelligence
309,Game theory,Algorithm
310,Game theory,Database
311,Algorithm design,Modeling language
312,Modeling language,Computer network
313,Broadband networks,Modeling language
314,Modeling language,Programming language
315,Data integration,Modeling language
316,Game theory,Modeling language
317,Discrete mathematics,Modeling language
318,Microarchitecture,Modeling language
319,Distributed object,Modeling language
320,Assembly language,Modeling language
321,Modeling language,Software architecture
322,Software project management,Modeling language
323,Modeling language,Software development
324,Internet protocol suite,Modeling language
325,Cloud computing,Modeling language
326,Object-oriented analysis and design,Modeling language
327,Modeling language,Parallel computing
328,Analysis of algorithms,Modeling language
329,Computational linguistics,Modeling language
330,Object-oriented design,Modeling language
331,Modeling language,Software engineering
332,Social network analysis,Modeling language
333,Software metric,Modeling language
334,Modeling language,Software testing
335,Network security,Modeling language
336,Modeling language,Computer graphics
337,Modeling language,Theory of computation
338,Compiler construction,Modeling language
339,Computer-aided software engineering,Modeling language
340,Combinatorial optimization,Modeling language
341,Robotics,Modeling language
342,Modeling language,Computer architecture
343,Computational geometry,Modeling language
344,Test automation,Modeling language
345,Network service,Modeling language
346,Data-intensive computing,Modeling language
347,Natural language processing,Modeling language
348,Machine learning,Modeling language
349,Computer security,Modeling language
350,Information retrieval,Modeling language
351,Data warehouse,Modeling language
352,Graphical model,Modeling language
353,Software analytics,Modeling language
354,Information security,Modeling language
355,System programming,Modeling language
356,Data mining,Modeling language
357,Cryptography,Modeling language
358,Modeling language,Object-oriented programming
359,Modeling language,Algorithm
360,Modeling language,Database
361,Modeling language,Computer vision
362,Wireless network,Modeling language
363,Mobile application development,Modeling language
364,Discrete mathematics,Algorithm design
365,Discrete mathematics,Computer network
366,Broadband networks,Discrete mathematics
367,Discrete mathematics,Programming language
368,Data integration,Discrete mathematics
369,Game theory,Discrete mathematics
370,Discrete mathematics,Modeling language
371,Microarchitecture,Discrete mathematics
372,Distributed object,Discrete mathematics
373,Assembly language,Discrete mathematics
374,Operating system,Discrete mathematics
375,Software architecture,Discrete mathematics
376,Software project management,Discrete mathematics
377,Software development,Discrete mathematics
378,Internet protocol suite,Discrete mathematics
379,Cloud computing,Discrete mathematics
380,Object-oriented analysis and design,Discrete mathematics
381,Discrete mathematics,Analysis of algorithms
382,Computational linguistics,Discrete mathematics
383,Discrete mathematics,Object-oriented design
384,Software engineering,Discrete mathematics
385,Social network analysis,Discrete mathematics
386,Software metric,Discrete mathematics
387,Software testing,Discrete mathematics
388,Network security,Discrete mathematics
389,Discrete mathematics,Computer graphics
390,Discrete mathematics,Theory of computation
391,Discrete mathematics,Compiler construction
392,Computer-aided software engineering,Discrete mathematics
393,Combinatorial optimization,Discrete mathematics
394,Robotics,Discrete mathematics
395,Computer architecture,Discrete mathematics
396,Discrete mathematics,Computational geometry
397,Test automation,Discrete mathematics
398,Distributed computing,Discrete mathematics
399,Network service,Discrete mathematics
400,Knowledge management,Discrete mathematics
401,Natural language processing,Discrete mathematics
402,Discrete mathematics,Machine learning
403,Discrete mathematics,Data structure
404,Information retrieval,Discrete mathematics
405,Data warehouse,Discrete mathematics
406,Graphical model,Discrete mathematics
407,Software analytics,Discrete mathematics
408,Information security,Discrete mathematics
409,System programming,Discrete mathematics
410,Data mining,Discrete mathematics
411,Discrete mathematics,Cryptography
412,Object-oriented programming,Discrete mathematics
413,Discrete mathematics,Artificial intelligence
414,Discrete mathematics,Algorithm
415,Database,Discrete mathematics
416,Discrete mathematics,Computer vision
417,Wireless network,Discrete mathematics
418,Mobile application development,Discrete mathematics
419,Microarchitecture,Algorithm design
420,Microarchitecture,Computer network
421,Microarchitecture,Programming language
422,Microarchitecture,Modeling language
423,Microarchitecture,Discrete mathematics
424,Microarchitecture,Assembly language
425,Microarchitecture,Operating system
426,Microarchitecture,Software architecture
427,Microarchitecture,Software development
428,Microarchitecture,Cloud computing
429,Microarchitecture,Parallel computing
430,Microarchitecture,Analysis of algorithms
431,Computational linguistics,Microarchitecture
432,Software engineering,Microarchitecture
433,Software testing,Microarchitecture
434,Microarchitecture,Network security
435,Microarchitecture,Computer graphics
436,Microarchitecture,Theory of computation
437,Microarchitecture,Compiler construction
438,Microarchitecture,Computer architecture
439,Microarchitecture,Computational geometry
440,Microarchitecture,Distributed computing
441,Microarchitecture,Network service
442,Microarchitecture,Natural language processing
443,Microarchitecture,Machine learning
444,Microarchitecture,Data structure
445,Microarchitecture,Computer security
446,Microarchitecture,Information retrieval
447,Microarchitecture,Graphical model
448,Microarchitecture,Information security
449,Microarchitecture,Data mining
450,Microarchitecture,Cryptography
451,Microarchitecture,Object-oriented programming
452,Microarchitecture,Artificial intelligence
453,Microarchitecture,Algorithm
454,Microarchitecture,Database
455,Microarchitecture,Computer vision
456,Computer network,Translator (computing)
457,Translator (computing),Programming language
458,Translator (computing),Assembly language
459,Translator (computing),Operating system
460,Software development,Translator (computing)
461,Analysis of algorithms,Translator (computing)
462,Translator (computing),Computational linguistics
463,Software engineering,Translator (computing)
464,Software testing,Translator (computing)
465,Translator (computing),Computer architecture
466,Computational geometry,Translator (computing)
467,Network service,Translator (computing)
468,Translator (computing),Machine learning
469,Translator (computing),Data structure
470,Computer security,Translator (computing)
471,Translator (computing),Information retrieval
472,Information security,Translator (computing)
473,Data mining,Translator (computing)
474,Translator (computing),Object-oriented programming
475,Translator (computing),Artificial intelligence
476,Database,Translator (computing)
477,Distributed object,Algorithm design
478,Distributed object,Computer network
479,Distributed object,Programming language
480,Distributed object,Modeling language
481,Distributed object,Discrete mathematics
482,Distributed object,Assembly language
483,Distributed object,Operating system
484,Distributed object,Software architecture
485,Distributed object,Software development
486,Distributed object,Internet protocol suite
487,Distributed object,Cloud computing
488,Distributed object,Object-oriented analysis and design
489,Distributed object,Parallel computing
490,Distributed object,Analysis of algorithms
491,Distributed object,Object-oriented design
492,Distributed object,Software engineering
493,Distributed object,Social network analysis
494,Distributed object,Software testing
495,Distributed object,Network security
496,Distributed object,Computer graphics
497,Distributed object,Theory of computation
498,Distributed object,Compiler construction
499,Distributed object,Combinatorial optimization
500,Distributed object,Computer architecture
501,Distributed object,Computational geometry
502,Distributed object,Distributed computing
503,Distributed object,Network service
504,Distributed object,Natural language processing
505,Distributed object,Machine learning
506,Distributed object,Data structure
507,Distributed object,Computer security
508,Distributed object,Information retrieval
509,Distributed object,Information security
510,Distributed object,Data mining
511,Distributed object,Cryptography
512,Distributed object,Object-oriented programming
513,Distributed object,Artificial intelligence
514,Distributed object,Algorithm
515,Distributed object,Database
516,Distributed object,Computer vision
517,Distributed object,Wireless network
518,Assembly language,Algorithm design
519,Assembly language,Computer network
520,Assembly language,Programming language
521,Assembly language,Modeling language
522,Assembly language,Discrete mathematics
523,Microarchitecture,Assembly language
524,Translator (computing),Assembly language
525,Distributed object,Assembly language
526,Assembly language,Operating system
527,Assembly language,Software architecture
528,Assembly language,Software development
529,Assembly language,Cloud computing
530,Assembly language,Object-oriented analysis and design
531,Assembly language,Parallel computing
532,Assembly language,Analysis of algorithms
533,Computational linguistics,Assembly language
534,Object-oriented design,Assembly language
535,Assembly language,Software engineering
536,Assembly language,Software testing
537,Assembly language,Network security
538,Assembly language,Computer graphics
539,Assembly language,Theory of computation
540,Compiler construction,Assembly language
541,Assembly language,Computer architecture
542,Assembly language,Computational geometry
543,Test automation,Assembly language
544,Assembly language,Distributed computing
545,Assembly language,Network service
546,Data-intensive computing,Assembly language
547,Assembly language,Natural language processing
548,Assembly language,Machine learning
549,Assembly language,Computer security
550,Assembly language,Information retrieval
551,Data warehouse,Assembly language
552,Assembly language,Information security
553,System programming,Assembly language
554,Assembly language,Data mining
555,Assembly language,Cryptography
556,Assembly language,Object-oriented programming
557,Assembly language,Artificial intelligence
558,Assembly language,Algorithm
559,Assembly language,Database
560,Assembly language,Computer vision
561,Mobile application development,Assembly language
562,Operating system,Algorithm design
563,Operating system,Computer network
564,Broadband networks,Operating system
565,Operating system,Programming language
566,Operating system,Information management
567,Data integration,Operating system
568,Game theory,Operating system
569,Operating system,Discrete mathematics
570,Microarchitecture,Operating system
571,Translator (computing),Operating system
572,Distributed object,Operating system
573,Assembly language,Operating system
574,Software architecture,Operating system
575,Software project management,Operating system
576,Operating system,Software development
577,Internet protocol suite,Operating system
578,Cloud computing,Operating system
579,Object-oriented analysis and design,Operating system
580,Parallel computing,Operating system
581,Analysis of algorithms,Operating system
582,Computational linguistics,Operating system
583,Operating system,Object-oriented design
584,Software engineering,Operating system
585,Social network analysis,Operating system
586,Software metric,Operating system
587,Software testing,Operating system
588,Network security,Operating system
589,Operating system,Computer graphics
590,Operating system,Theory of computation
591,Computer-aided software engineering,Operating system
592,Combinatorial optimization,Operating system
593,Robotics,Operating system
594,Test automation,Operating system
595,Distributed computing,Operating system
596,Network service,Operating system
597,Data-intensive computing,Operating system
598,Knowledge management,Operating system
599,Natural language processing,Operating system
600,Data structure,Operating system
601,Computer security,Operating system
602,Information retrieval,Operating system
603,Data warehouse,Operating system
604,Graphical model,Operating system
605,Software analytics,Operating system
606,Information security,Operating system
607,System programming,Operating system
608,Data mining,Operating system
609,Cryptography,Operating system
610,Object-oriented programming,Operating system
611,Operating system,Algorithm
612,Operating system,Database
613,Operating system,Computer vision
614,Wireless network,Operating system
615,Mobile application development,Operating system
616,Software architecture,Algorithm design
617,Software architecture,Computer network
618,Software architecture,Programming language
619,Software architecture,Information management
620,Modeling language,Software architecture
621,Software architecture,Discrete mathematics
622,Microarchitecture,Software architecture
623,Distributed object,Software architecture
624,Assembly language,Software architecture
625,Software architecture,Operating system
626,Software project management,Software architecture
627,Software architecture,Software development
628,Cloud computing,Software architecture
629,Object-oriented analysis and design,Software architecture
630,Software architecture,Parallel computing
631,Software architecture,Analysis of algorithms
632,Computational linguistics,Software architecture
633,Object-oriented design,Software architecture
634,Software architecture,Software engineering
635,Software architecture,Social network analysis
636,Software metric,Software architecture
637,Software architecture,Software testing
638,Software architecture,Network security
639,Software architecture,Computer graphics
640,Software architecture,Theory of computation
641,Compiler construction,Software architecture
642,Computer-aided software engineering,Software architecture
643,Combinatorial optimization,Software architecture
644,Software architecture,Robotics
645,Software architecture,Computer architecture
646,Software architecture,Computational geometry
647,Test automation,Software architecture
648,Software architecture,Distributed computing
649,Software architecture,Network service
650,Data-intensive computing,Software architecture
651,Software architecture,Knowledge management
652,Software architecture,Natural language processing
653,Software architecture,Machine learning
654,Software architecture,Data structure
655,Software architecture,Computer security
656,Software architecture,Information retrieval
657,Software architecture,Data warehouse
658,Software analytics,Software architecture
659,Software architecture,Information security
660,System programming,Software architecture
661,Software architecture,Data mining
662,Software architecture,Cryptography
663,Software architecture,Object-oriented programming
664,Software architecture,Artificial intelligence
665,Software architecture,Algorithm
666,Software architecture,Database
667,Software architecture,Computer vision
668,Mobile application development,Software architecture
669,Software project management,Algorithm design
670,Software project management,Computer network
671,Software project management,Programming language
672,Software project management,Modeling language
673,Software project management,Discrete mathematics
674,Software project management,Operating system
675,Software project management,Software architecture
676,Software project management,Software development
677,Cloud computing,Software project management
678,Object-oriented analysis and design,Software project management
679,Software project management,Parallel computing
680,Software project management,Analysis of algorithms
681,Computational linguistics,Software project management
682,Software project management,Software engineering
683,Software metric,Software project management
684,Software project management,Software testing
685,Software project management,Network security
686,Software project management,Computer graphics
687,Software project management,Theory of computation
688,Software project management,Compiler construction
689,Software project management,Computer-aided software engineering
690,Combinatorial optimization,Software project management
691,Software project management,Robotics
692,Software project management,Computer architecture
693,Software project management,Computational geometry
694,Test automation,Software project management
695,Software project management,Distributed computing
696,Software project management,Network service
697,Data-intensive computing,Software project management
698,Software project management,Natural language processing
699,Software project management,Machine learning
700,Software project management,Data structure
701,Software project management,Computer security
702,Software project management,Information retrieval
703,Software analytics,Software project management
704,Software project management,Information security
705,Software project management,Data mining
706,Software project management,Cryptography
707,Software project management,Object-oriented programming
708,Software project management,Artificial intelligence
709,Software project management,Algorithm
710,Software project management,Database
711,Software project management,Computer vision
712,Mobile application development,Software project management
713,Software development,Algorithm design
714,Software development,Computer network
715,Broadband networks,Software development
716,Software development,Programming language
717,Software development,Information management
718,Data integration,Software development
719,Game theory,Software development
720,Modeling language,Software development
721,Software development,Discrete mathematics
722,Microarchitecture,Software development
723,Software development,Translator (computing)
724,Distributed object,Software development
725,Assembly language,Software development
726,Operating system,Software development
727,Software architecture,Software development
728,Software project management,Software development
729,Internet protocol suite,Software development
730,Cloud computing,Software development
731,Object-oriented analysis and design,Software development
732,Parallel computing,Software development
733,Analysis of algorithms,Software development
734,Computational linguistics,Software development
735,Object-oriented design,Software development
736,Software engineering,Software development
737,Social network analysis,Software development
738,Software metric,Software development
739,Software testing,Software development
740,Network security,Software development
741,Software development,Computer graphics
742,Software development,Theory of computation
743,Computer-aided software engineering,Software development
744,Combinatorial optimization,Software development
745,Robotics,Software development
746,Computer architecture,Software development
747,Test automation,Software development
748,Distributed computing,Software development
749,Network service,Software development
750,Data-intensive computing,Software development
751,Knowledge management,Software development
752,Natural language processing,Software development
753,Machine learning,Software development
754,Data structure,Software development
755,Computer security,Software development
756,Information retrieval,Software development
757,Data warehouse,Software development
758,Graphical model,Software development
759,Software analytics,Software development
760,Information security,Software development
761,System programming,Software development
762,Data mining,Software development
763,Cryptography,Software development
764,Object-oriented programming,Software development
765,Software development,Algorithm
766,Software development,Database
767,Software development,Computer vision
768,Wireless network,Software development
769,Mobile application development,Software development
770,Internet protocol suite,Algorithm design
771,Internet protocol suite,Computer network
772,Internet protocol suite,Programming language
773,Internet protocol suite,Modeling language
774,Internet protocol suite,Discrete mathematics
775,Distributed object,Internet protocol suite
776,Internet protocol suite,Operating system
777,Internet protocol suite,Software development
778,Internet protocol suite,Parallel computing
779,Internet protocol suite,Analysis of algorithms
780,Computational linguistics,Internet protocol suite
781,Software engineering,Internet protocol suite
782,Internet protocol suite,Social network analysis
783,Software testing,Internet protocol suite
784,Internet protocol suite,Network security
785,Internet protocol suite,Computer graphics
786,Internet protocol suite,Theory of computation
787,Internet protocol suite,Compiler construction
788,Internet protocol suite,Combinatorial optimization
789,Internet protocol suite,Computer architecture
790,Internet protocol suite,Computational geometry
791,Internet protocol suite,Distributed computing
792,Internet protocol suite,Network service
793,Internet protocol suite,Natural language processing
794,Internet protocol suite,Machine learning
795,Internet protocol suite,Computer security
796,Internet protocol suite,Information retrieval
797,Internet protocol suite,Information security
798,Internet protocol suite,Data mining
799,Internet protocol suite,Cryptography
800,Internet protocol suite,Artificial intelligence
801,Internet protocol suite,Algorithm
802,Internet protocol suite,Database
803,Internet protocol suite,Computer vision
804,Internet protocol suite,Wireless network
805,Cloud computing,Algorithm design
806,Cloud computing,Computer network
807,Cloud computing,Programming language
808,Data integration,Cloud computing
809,Cloud computing,Modeling language
810,Cloud computing,Discrete mathematics
811,Microarchitecture,Cloud computing
812,Distributed object,Cloud computing
813,Assembly language,Cloud computing
814,Cloud computing,Operating system
815,Cloud computing,Software architecture
816,Cloud computing,Software project management
817,Cloud computing,Software development
818,Object-oriented analysis and design,Cloud computing
819,Cloud computing,Parallel computing
820,Cloud computing,Analysis of algorithms
821,Computational linguistics,Cloud computing
822,Cloud computing,Object-oriented design
823,Cloud computing,Software engineering
824,Cloud computing,Social network analysis
825,Cloud computing,Software testing
826,Cloud computing,Network security
827,Cloud computing,Computer graphics
828,Cloud computing,Theory of computation
829,Cloud computing,Compiler construction
830,Computer-aided software engineering,Cloud computing
831,Cloud computing,Combinatorial optimization
832,Cloud computing,Robotics
833,Cloud computing,Computer architecture
834,Cloud computing,Computational geometry
835,Test automation,Cloud computing
836,Cloud computing,Distributed computing
837,Cloud computing,Network service
838,Data-intensive computing,Cloud computing
839,Knowledge management,Cloud computing
840,Cloud computing,Natural language processing
841,Cloud computing,Machine learning
842,Cloud computing,Data structure
843,Cloud computing,Computer security
844,Cloud computing,Information retrieval
845,Data warehouse,Cloud computing
846,Cloud computing,Graphical model
847,Cloud computing,Information security
848,System programming,Cloud computing
849,Cloud computing,Data mining
850,Cloud computing,Cryptography
851,Cloud computing,Object-oriented programming
852,Cloud computing,Artificial intelligence
853,Cloud computing,Algorithm
854,Cloud computing,Database
855,Cloud computing,Computer vision
856,Cloud computing,Wireless network
857,Object-oriented analysis and design,Algorithm design
858,Object-oriented analysis and design,Computer network
859,Object-oriented analysis and design,Programming language
860,Object-oriented analysis and design,Modeling language
861,Object-oriented analysis and design,Discrete mathematics
862,Distributed object,Object-oriented analysis and design
863,Assembly language,Object-oriented analysis and design
864,Object-oriented analysis and design,Operating system
865,Object-oriented analysis and design,Software architecture
866,Object-oriented analysis and design,Software project management
867,Object-oriented analysis and design,Software development
868,Object-oriented analysis and design,Cloud computing
869,Object-oriented analysis and design,Parallel computing
870,Object-oriented analysis and design,Analysis of algorithms
871,Object-oriented design,Object-oriented analysis and design
872,Object-oriented analysis and design,Software engineering
873,Object-oriented analysis and design,Software metric
874,Object-oriented analysis and design,Software testing
875,Object-oriented analysis and design,Network security
876,Object-oriented analysis and design,Computer graphics
877,Object-oriented analysis and design,Theory of computation
878,Object-oriented analysis and design,Compiler construction
879,Object-oriented analysis and design,Computer-aided software engineering
880,Object-oriented analysis and design,Robotics
881,Object-oriented analysis and design,Computer architecture
882,Object-oriented analysis and design,Computational geometry
883,Object-oriented analysis and design,Test automation
884,Object-oriented analysis and design,Distributed computing
885,Object-oriented analysis and design,Network service
886,Object-oriented analysis and design,Knowledge management
887,Object-oriented analysis and design,Natural language processing
888,Object-oriented analysis and design,Machine learning
889,Object-oriented analysis and design,Data structure
890,Object-oriented analysis and design,Computer security
891,Object-oriented analysis and design,Information retrieval
892,Object-oriented analysis and design,Information security
893,Object-oriented analysis and design,Data mining
894,Object-oriented analysis and design,Cryptography
895,Object-oriented analysis and design,Object-oriented programming
896,Object-oriented analysis and design,Artificial intelligence
897,Object-oriented analysis and design,Algorithm
898,Object-oriented analysis and design,Database
899,Object-oriented analysis and design,Computer vision
900,Parallel computing,Algorithm design
901,Parallel computing,Computer network
902,Broadband networks,Parallel computing
903,Parallel computing,Programming language
904,Data integration,Parallel computing
905,Game theory,Parallel computing
906,Modeling language,Parallel computing
907,Microarchitecture,Parallel computing
908,Distributed object,Parallel computing
909,Assembly language,Parallel computing
910,Parallel computing,Operating system
911,Software architecture,Parallel computing
912,Software project management,Parallel computing
913,Parallel computing,Software development
914,Internet protocol suite,Parallel computing
915,Cloud computing,Parallel computing
916,Object-oriented analysis and design,Parallel computing
917,Computational linguistics,Parallel computing
918,Object-oriented design,Parallel computing
919,Software engineering,Parallel computing
920,Social network analysis,Parallel computing
921,Software metric,Parallel computing
922,Software testing,Parallel computing
923,Network security,Parallel computing
924,Parallel computing,Computer graphics
925,Parallel computing,Theory of computation
926,Parallel computing,Compiler construction
927,Computer-aided software engineering,Parallel computing
928,Combinatorial optimization,Parallel computing
929,Robotics,Parallel computing
930,Computer architecture,Parallel computing
931,Parallel computing,Computational geometry
932,Test automation,Parallel computing
933,Network service,Parallel computing
934,Data-intensive computing,Parallel computing
935,Knowledge management,Parallel computing
936,Natural language processing,Parallel computing
937,Parallel computing,Machine learning
938,Data structure,Parallel computing
939,Information retrieval,Parallel computing
940,Data warehouse,Parallel computing
941,Graphical model,Parallel computing
942,Software analytics,Parallel computing
943,Information security,Parallel computing
