,topic_a,topic_b
172,Software analytics,Parallel computing
173,Object-oriented programming,Parallel computing
174,Parallel computing,Operating system
175,Broadband networks,Parallel computing
176,Data warehouse,Parallel computing
177,Modeling language,Parallel computing
178,System programming,Parallel computing
179,Parallel computing,Algorithm
180,Software architecture,Parallel computing
181,Parallel computing,Computer network
182,Data structure,Parallel computing
183,Cryptography,Parallel computing
184,Social network analysis,Parallel computing
185,Computational linguistics,Parallel computing
186,Parallel computing,Theory of computation
187,Internet protocol suite,Parallel computing
188,Data integration,Parallel computing
189,Wireless network,Parallel computing
190,Object-oriented analysis and design,Parallel computing
191,Computer architecture,Parallel computing
192,Parallel computing,Data mining
193,Test automation,Network service
194,Test automation,Software development
195,Test automation,Parallel computing
196,Test automation,Information security
197,Test automation,Software project management
198,Test automation,Distributed computing
199,Software metric,Test automation
200,Test automation,Computer graphics
201,Test automation,Cloud computing
202,Test automation,Network security
203,Test automation,Software testing
204,Test automation,Information retrieval
205,Test automation,Compiler construction
206,Test automation,Analysis of algorithms
207,Test automation,Software engineering
208,Test automation,Computational geometry
209,Test automation,Natural language processing
210,Test automation,Object-oriented design
211,Test automation,Robotics
212,Test automation,Assembly language
213,Test automation,Database
214,Test automation,Programming language
215,Test automation,Algorithm design
216,Test automation,Computer-aided software engineering
217,Test automation,Machine learning
218,Test automation,Object-oriented programming
219,Test automation,Discrete mathematics
220,Test automation,Operating system
221,Test automation,Computer vision
222,Test automation,Modeling language
223,Test automation,Algorithm
224,Test automation,Software architecture
225,Test automation,Computer network
226,Test automation,Data structure
227,Test automation,Cryptography
228,Test automation,Theory of computation
229,Test automation,Artificial intelligence
230,Object-oriented analysis and design,Test automation
231,Test automation,Computer architecture
232,Test automation,Data mining
233,Test automation,Computer security
234,Network service,Information security
235,Information security,Information management
236,Information security,Software development
237,Information security,Parallel computing
238,Test automation,Information security
239,Software project management,Information security
240,Information security,Distributed computing
241,Software metric,Information security
242,Information security,Computer graphics
243,Cloud computing,Information security
244,Network security,Information security
245,Software testing,Information security
246,Information retrieval,Information security
247,Knowledge management,Information security
248,Microarchitecture,Information security
249,Information security,Compiler construction
250,Game theory,Information security
251,Software engineering,Information security
252,Distributed object,Information security
253,Information security,Computational geometry
254,Natural language processing,Information security
255,Information security,Object-oriented design
256,Robotics,Information security
257,Assembly language,Information security
258,Information security,Database
259,Mobile application development,Information security
260,Information security,Programming language
261,Combinatorial optimization,Information security
262,Information security,Algorithm design
263,Computer-aided software engineering,Information security
264,Graphical model,Information security
265,Information security,Machine learning
266,Software analytics,Information security
267,Object-oriented programming,Information security
268,Information security,Discrete mathematics
269,Information security,Operating system
270,Broadband networks,Information security
271,Data warehouse,Information security
272,Information security,Computer vision
273,Information security,Modeling language
274,System programming,Information security
275,Information security,Algorithm
276,Software architecture,Information security
277,Information security,Computer network
278,Information security,Data structure
279,Cryptography,Information security
280,Social network analysis,Information security
281,Computational linguistics,Information security
282,Information security,Theory of computation
283,Internet protocol suite,Information security
284,Data integration,Information security
285,Information security,Artificial intelligence
286,Wireless network,Information security
287,Object-oriented analysis and design,Information security
288,Information security,Translator (computing)
289,Information security,Computer security
290,Software project management,Network service
291,Software project management,Software development
292,Software project management,Parallel computing
293,Test automation,Software project management
294,Software project management,Information security
295,Data-intensive computing,Software project management
296,Software project management,Distributed computing
297,Software metric,Software project management
298,Software project management,Computer graphics
299,Cloud computing,Software project management
300,Software project management,Network security
301,Software project management,Software testing
302,Software project management,Information retrieval
303,Software project management,Compiler construction
304,Software project management,Analysis of algorithms
305,Software project management,Software engineering
306,Software project management,Computational geometry
307,Software project management,Natural language processing
308,Software project management,Robotics
309,Software project management,Database
310,Mobile application development,Software project management
311,Software project management,Programming language
312,Combinatorial optimization,Software project management
313,Software project management,Algorithm design
314,Software project management,Computer-aided software engineering
315,Software project management,Machine learning
316,Software analytics,Software project management
317,Software project management,Object-oriented programming
318,Software project management,Discrete mathematics
319,Software project management,Operating system
320,Software project management,Computer vision
321,Software project management,Modeling language
322,Software project management,Algorithm
323,Software project management,Software architecture
324,Software project management,Computer network
325,Software project management,Data structure
326,Software project management,Cryptography
327,Computational linguistics,Software project management
328,Software project management,Theory of computation
329,Software project management,Artificial intelligence
330,Object-oriented analysis and design,Software project management
331,Software project management,Computer architecture
332,Software project management,Data mining
333,Software project management,Computer security
334,Data-intensive computing,Software development
335,Data-intensive computing,Parallel computing
336,Data-intensive computing,Software project management
337,Data-intensive computing,Distributed computing
338,Data-intensive computing,Computer graphics
339,Data-intensive computing,Cloud computing
340,Data-intensive computing,Software testing
341,Data-intensive computing,Knowledge management
342,Data-intensive computing,Analysis of algorithms
343,Data-intensive computing,Software engineering
344,Data-intensive computing,Computational geometry
345,Data-intensive computing,Assembly language
346,Data-intensive computing,Database
347,Data-intensive computing,Programming language
348,Data-intensive computing,Algorithm design
349,Data-intensive computing,Graphical model
350,Data-intensive computing,Machine learning
351,Data-intensive computing,Object-oriented programming
352,Data-intensive computing,Operating system
353,Data-intensive computing,Data warehouse
354,Data-intensive computing,Modeling language
355,Data-intensive computing,System programming
356,Data-intensive computing,Algorithm
357,Data-intensive computing,Software architecture
358,Data-intensive computing,Computer network
359,Data-intensive computing,Data structure
360,Data-intensive computing,Cryptography
361,Data-intensive computing,Theory of computation
362,Data-intensive computing,Data integration
363,Data-intensive computing,Artificial intelligence
364,Data-intensive computing,Computer architecture
365,Data-intensive computing,Data mining
366,Data-intensive computing,Computer security
367,Network service,Distributed computing
368,Distributed computing,Software development
369,Test automation,Distributed computing
370,Information security,Distributed computing
371,Software project management,Distributed computing
372,Data-intensive computing,Distributed computing
373,Software metric,Distributed computing
374,Distributed computing,Computer graphics
375,Cloud computing,Distributed computing
376,Network security,Distributed computing
377,Software testing,Distributed computing
378,Information retrieval,Distributed computing
379,Knowledge management,Distributed computing
380,Microarchitecture,Distributed computing
381,Distributed computing,Compiler construction
382,Distributed computing,Analysis of algorithms
383,Game theory,Distributed computing
384,Software engineering,Distributed computing
385,Distributed object,Distributed computing
386,Distributed computing,Computational geometry
387,Natural language processing,Distributed computing
388,Distributed computing,Object-oriented design
389,Robotics,Distributed computing
390,Assembly language,Distributed computing
391,Distributed computing,Database
392,Mobile application development,Distributed computing
393,Distributed computing,Programming language
394,Combinatorial optimization,Distributed computing
395,Distributed computing,Algorithm design
396,Computer-aided software engineering,Distributed computing
397,Graphical model,Distributed computing
398,Distributed computing,Machine learning
399,Software analytics,Distributed computing
400,Distributed computing,Discrete mathematics
401,Distributed computing,Operating system
402,Broadband networks,Distributed computing
403,Data warehouse,Distributed computing
404,Distributed computing,Computer vision
405,System programming,Distributed computing
406,Parallel processing,Distributed computing
407,Distributed computing,Algorithm
408,Software architecture,Distributed computing
409,Distributed computing,Computer network
410,Distributed computing,Data structure
411,Distributed computing,Cryptography
412,Social network analysis,Distributed computing
413,Computational linguistics,Distributed computing
414,Distributed computing,Theory of computation
415,Internet protocol suite,Distributed computing
416,Data integration,Distributed computing
417,Distributed computing,Artificial intelligence
418,Wireless network,Distributed computing
419,Object-oriented analysis and design,Distributed computing
420,Distributed computing,Computer architecture
421,Distributed computing,Data mining
422,Distributed computing,Computer security
423,Software metric,Network service
424,Software metric,Software development
425,Software metric,Parallel computing
426,Software metric,Test automation
427,Software metric,Information security
428,Software metric,Software project management
429,Software metric,Distributed computing
430,Software metric,Computer graphics
431,Software metric,Network security
432,Software metric,Software testing
433,Software metric,Information retrieval
434,Software metric,Compiler construction
435,Software metric,Analysis of algorithms
436,Software metric,Software engineering
437,Software metric,Computational geometry
438,Software metric,Natural language processing
439,Software metric,Object-oriented design
440,Software metric,Robotics
441,Software metric,Database
442,Software metric,Programming language
443,Software metric,Algorithm design
444,Software metric,Computer-aided software engineering
445,Software metric,Machine learning
446,Software metric,Object-oriented programming
447,Software metric,Discrete mathematics
448,Software metric,Operating system
449,Software metric,Computer vision
450,Software metric,Modeling language
451,Software metric,Algorithm
452,Software metric,Software architecture
453,Software metric,Computer network
454,Software metric,Data structure
455,Software metric,Cryptography
456,Software metric,Theory of computation
457,Software metric,Artificial intelligence
458,Object-oriented analysis and design,Software metric
459,Software metric,Computer architecture
460,Software metric,Data mining
461,Software metric,Computer security
462,Network service,Computer graphics
463,Software development,Computer graphics
464,Parallel computing,Computer graphics
465,Test automation,Computer graphics
466,Information security,Computer graphics
467,Software project management,Computer graphics
468,Data-intensive computing,Computer graphics
469,Distributed computing,Computer graphics
470,Software metric,Computer graphics
471,Cloud computing,Computer graphics
472,Network security,Computer graphics
473,Software testing,Computer graphics
474,Information retrieval,Computer graphics
475,Knowledge management,Computer graphics
476,Microarchitecture,Computer graphics
477,Analysis of algorithms,Computer graphics
478,Game theory,Computer graphics
479,Software engineering,Computer graphics
480,Distributed object,Computer graphics
481,Computer graphics,Computational geometry
482,Natural language processing,Computer graphics
483,Robotics,Computer graphics
484,Assembly language,Computer graphics
485,Database,Computer graphics
486,Mobile application development,Computer graphics
487,Computer graphics,Programming language
488,Combinatorial optimization,Computer graphics
489,Algorithm design,Computer graphics
490,Computer-aided software engineering,Computer graphics
491,Graphical model,Computer graphics
492,Machine learning,Computer graphics
493,Software analytics,Computer graphics
494,Object-oriented programming,Computer graphics
495,Discrete mathematics,Computer graphics
496,Operating system,Computer graphics
497,Broadband networks,Computer graphics
498,Data warehouse,Computer graphics
499,Computer vision,Computer graphics
500,Modeling language,Computer graphics
501,System programming,Computer graphics
502,Parallel processing,Computer graphics
503,Computer graphics,Algorithm
504,Software architecture,Computer graphics
505,Computer graphics,Computer network
506,Computer graphics,Data structure
507,Cryptography,Computer graphics
508,Social network analysis,Computer graphics
509,Computational linguistics,Computer graphics
510,Computer graphics,Theory of computation
511,Internet protocol suite,Computer graphics
512,Data integration,Computer graphics
513,Wireless network,Computer graphics
514,Object-oriented analysis and design,Computer graphics
515,Computer architecture,Computer graphics
516,Data mining,Computer graphics
517,Computer security,Computer graphics
518,Cloud computing,Network service
519,Cloud computing,Software development
520,Cloud computing,Parallel computing
521,Test automation,Cloud computing
522,Cloud computing,Information security
523,Cloud computing,Software project management
524,Data-intensive computing,Cloud computing
525,Cloud computing,Distributed computing
526,Cloud computing,Computer graphics
527,Cloud computing,Network security
528,Cloud computing,Software testing
529,Cloud computing,Information retrieval
530,Knowledge management,Cloud computing
531,Microarchitecture,Cloud computing
532,Cloud computing,Compiler construction
533,Cloud computing,Analysis of algorithms
534,Cloud computing,Software engineering
535,Distributed object,Cloud computing
536,Cloud computing,Computational geometry
537,Cloud computing,Natural language processing
538,Cloud computing,Object-oriented design
539,Cloud computing,Robotics
540,Assembly language,Cloud computing
541,Cloud computing,Database
542,Cloud computing,Programming language
543,Cloud computing,Combinatorial optimization
544,Cloud computing,Algorithm design
545,Computer-aided software engineering,Cloud computing
546,Cloud computing,Graphical model
547,Cloud computing,Machine learning
548,Cloud computing,Object-oriented programming
549,Cloud computing,Discrete mathematics
550,Cloud computing,Operating system
551,Data warehouse,Cloud computing
552,Cloud computing,Computer vision
553,Cloud computing,Modeling language
554,System programming,Cloud computing
555,Parallel processing,Cloud computing
556,Cloud computing,Algorithm
557,Cloud computing,Software architecture
558,Cloud computing,Computer network
559,Cloud computing,Data structure
560,Cloud computing,Cryptography
561,Cloud computing,Social network analysis
562,Computational linguistics,Cloud computing
563,Cloud computing,Theory of computation
564,Data integration,Cloud computing
565,Cloud computing,Artificial intelligence
566,Cloud computing,Wireless network
567,Object-oriented analysis and design,Cloud computing
568,Cloud computing,Computer architecture
569,Cloud computing,Data mining
570,Cloud computing,Computer security
571,Network security,Network service
572,Network security,Software development
573,Network security,Parallel computing
574,Test automation,Network security
575,Network security,Information security
576,Software project management,Network security
577,Network security,Distributed computing
578,Software metric,Network security
579,Network security,Computer graphics
580,Cloud computing,Network security
581,Software testing,Network security
582,Network security,Information retrieval
583,Knowledge management,Network security
584,Microarchitecture,Network security
585,Network security,Compiler construction
586,Network security,Analysis of algorithms
587,Game theory,Network security
588,Software engineering,Network security
589,Distributed object,Network security
590,Network security,Computational geometry
591,Network security,Natural language processing
592,Robotics,Network security
593,Assembly language,Network security
594,Network security,Database
595,Mobile application development,Network security
596,Network security,Programming language
597,Combinatorial optimization,Network security
598,Network security,Algorithm design
599,Computer-aided software engineering,Network security
600,Graphical model,Network security
601,Network security,Machine learning
602,Software analytics,Network security
603,Object-oriented programming,Network security
604,Network security,Discrete mathematics
605,Network security,Operating system
606,Broadband networks,Network security
607,Data warehouse,Network security
608,Network security,Computer vision
609,Network security,Modeling language
610,System programming,Network security
611,Network security,Algorithm
612,Software architecture,Network security
613,Network security,Computer network
614,Data structure,Network security
615,Network security,Cryptography
616,Social network analysis,Network security
617,Computational linguistics,Network security
618,Network security,Theory of computation
619,Internet protocol suite,Network security
620,Data integration,Network security
621,Network security,Artificial intelligence
622,Wireless network,Network security
623,Object-oriented analysis and design,Network security
624,Network security,Computer architecture
625,Network security,Data mining
626,Network security,Computer security
627,Software testing,Network service
628,Software testing,Information management
629,Software testing,Software development
630,Software testing,Parallel computing
631,Test automation,Software testing
632,Software testing,Information security
633,Software project management,Software testing
634,Data-intensive computing,Software testing
635,Software testing,Distributed computing
636,Software metric,Software testing
637,Software testing,Computer graphics
638,Cloud computing,Software testing
639,Software testing,Network security
640,Software testing,Information retrieval
641,Software testing,Knowledge management
642,Software testing,Microarchitecture
643,Software testing,Compiler construction
644,Software testing,Analysis of algorithms
645,Software testing,Game theory
646,Software testing,Software engineering
647,Distributed object,Software testing
648,Software testing,Computational geometry
649,Software testing,Natural language processing
650,Object-oriented design,Software testing
651,Software testing,Robotics
652,Assembly language,Software testing
653,Software testing,Database
654,Mobile application development,Software testing
655,Software testing,Programming language
656,Combinatorial optimization,Software testing
657,Software testing,Algorithm design
658,Computer-aided software engineering,Software testing
659,Software testing,Graphical model
660,Software testing,Machine learning
661,Software analytics,Software testing
662,Object-oriented programming,Software testing
663,Software testing,Discrete mathematics
664,Software testing,Operating system
665,Software testing,Data warehouse
666,Software testing,Computer vision
667,Modeling language,Software testing
668,Software testing,System programming
669,Software testing,Algorithm
670,Software architecture,Software testing
671,Software testing,Computer network
672,Software testing,Data structure
673,Software testing,Cryptography
674,Software testing,Social network analysis
675,Software testing,Theory of computation
676,Software testing,Internet protocol suite
677,Software testing,Data integration
678,Software testing,Artificial intelligence
679,Software testing,Wireless network
680,Object-oriented analysis and design,Software testing
681,Software testing,Computer architecture
682,Software testing,Data mining
683,Software testing,Translator (computing)
684,Software testing,Computer security
685,Information retrieval,Network service
686,Information management,Information retrieval
687,Information retrieval,Software development
688,Information retrieval,Parallel computing
689,Test automation,Information retrieval
690,Information retrieval,Information security
691,Software project management,Information retrieval
692,Information retrieval,Distributed computing
693,Software metric,Information retrieval
694,Information retrieval,Computer graphics
695,Cloud computing,Information retrieval
696,Network security,Information retrieval
697,Software testing,Information retrieval
698,Knowledge management,Information retrieval
699,Microarchitecture,Information retrieval
700,Information retrieval,Compiler construction
701,Information retrieval,Analysis of algorithms
702,Game theory,Information retrieval
703,Software engineering,Information retrieval
704,Distributed object,Information retrieval
705,Information retrieval,Computational geometry
706,Natural language processing,Information retrieval
707,Robotics,Information retrieval
708,Assembly language,Information retrieval
709,Information retrieval,Database
710,Mobile application development,Information retrieval
711,Information retrieval,Programming language
712,Combinatorial optimization,Information retrieval
713,Information retrieval,Algorithm design
714,Computer-aided software engineering,Information retrieval
715,Graphical model,Information retrieval
716,Information retrieval,Machine learning
717,Software analytics,Information retrieval
718,Object-oriented programming,Information retrieval
719,Information retrieval,Discrete mathematics
720,Information retrieval,Operating system
721,Broadband networks,Information retrieval
722,Information retrieval,Data warehouse
723,Information retrieval,Computer vision
724,Information retrieval,Modeling language
725,System programming,Information retrieval
726,Information retrieval,Algorithm
727,Software architecture,Information retrieval
728,Information retrieval,Computer network
729,Information retrieval,Data structure
730,Information retrieval,Cryptography
731,Social network analysis,Information retrieval
732,Computational linguistics,Information retrieval
733,Information retrieval,Theory of computation
734,Internet protocol suite,Information retrieval
735,Data integration,Information retrieval
736,Information retrieval,Artificial intelligence
737,Wireless network,Information retrieval
738,Object-oriented analysis and design,Information retrieval
739,Information retrieval,Computer architecture
740,Information retrieval,Data mining
741,Translator (computing),Information retrieval
742,Information retrieval,Computer security
743,Knowledge management,Network service
744,Information management,Knowledge management
745,Knowledge management,Software development
746,Knowledge management,Parallel computing
747,Knowledge management,Information security
748,Data-intensive computing,Knowledge management
749,Knowledge management,Distributed computing
750,Knowledge management,Computer graphics
751,Knowledge management,Cloud computing
752,Knowledge management,Network security
753,Software testing,Knowledge management
754,Knowledge management,Information retrieval
755,Knowledge management,Compiler construction
756,Knowledge management,Analysis of algorithms
757,Software engineering,Knowledge management
758,Knowledge management,Computational geometry
759,Knowledge management,Natural language processing
760,Knowledge management,Database
761,Knowledge management,Programming language
762,Knowledge management,Combinatorial optimization
763,Knowledge management,Algorithm design
764,Computer-aided software engineering,Knowledge management
765,Knowledge management,Machine learning
766,Knowledge management,Object-oriented programming
767,Knowledge management,Discrete mathematics
768,Knowledge management,Operating system
769,Knowledge management,Data warehouse
770,Knowledge management,Computer vision
771,Knowledge management,Algorithm
772,Software architecture,Knowledge management
773,Knowledge management,Computer network
774,Knowledge management,Data structure
775,Knowledge management,Cryptography
776,Knowledge management,Social network analysis
777,Computational linguistics,Knowledge management
778,Knowledge management,Theory of computation
779,Data integration,Knowledge management
780,Knowledge management,Artificial intelligence
781,Object-oriented analysis and design,Knowledge management
782,Knowledge management,Computer architecture
783,Knowledge management,Data mining
784,Knowledge management,Computer security
785,Microarchitecture,Network service
786,Microarchitecture,Software development
787,Microarchitecture,Parallel computing
788,Microarchitecture,Information security
789,Microarchitecture,Distributed computing
790,Microarchitecture,Computer graphics
791,Microarchitecture,Cloud computing
792,Microarchitecture,Network security
793,Software testing,Microarchitecture
794,Microarchitecture,Information retrieval
795,Microarchitecture,Compiler construction
796,Microarchitecture,Analysis of algorithms
797,Software engineering,Microarchitecture
798,Microarchitecture,Computational geometry
799,Microarchitecture,Natural language processing
800,Microarchitecture,Assembly language
801,Microarchitecture,Database
802,Microarchitecture,Programming language
803,Microarchitecture,Algorithm design
804,Microarchitecture,Graphical model
805,Microarchitecture,Machine learning
806,Microarchitecture,Object-oriented programming
807,Microarchitecture,Discrete mathematics
808,Microarchitecture,Operating system
809,Microarchitecture,Computer vision
810,Microarchitecture,Modeling language
811,Microarchitecture,Algorithm
812,Microarchitecture,Software architecture
813,Microarchitecture,Computer network
814,Microarchitecture,Data structure
815,Microarchitecture,Cryptography
816,Computational linguistics,Microarchitecture
817,Microarchitecture,Theory of computation
818,Microarchitecture,Artificial intelligence
819,Microarchitecture,Computer architecture
820,Microarchitecture,Data mining
821,Microarchitecture,Computer security
822,Network service,Compiler construction
823,Parallel computing,Compiler construction
824,Test automation,Compiler construction
825,Information security,Compiler construction
826,Software project management,Compiler construction
827,Distributed computing,Compiler construction
828,Software metric,Compiler construction
829,Cloud computing,Compiler construction
830,Network security,Compiler construction
831,Software testing,Compiler construction
832,Information retrieval,Compiler construction
833,Knowledge management,Compiler construction
834,Microarchitecture,Compiler construction
835,Analysis of algorithms,Compiler construction
836,Game theory,Compiler construction
837,Software engineering,Compiler construction
838,Distributed object,Compiler construction
839,Computational geometry,Compiler construction
840,Natural language processing,Compiler construction
841,Compiler construction,Object-oriented design
842,Robotics,Compiler construction
843,Compiler construction,Assembly language
844,Database,Compiler construction
845,Mobile application development,Compiler construction
846,Compiler construction,Programming language
847,Combinatorial optimization,Compiler construction
848,Algorithm design,Compiler construction
849,Computer-aided software engineering,Compiler construction
850,Graphical model,Compiler construction
851,Machine learning,Compiler construction
852,Software analytics,Compiler construction
853,Compiler construction,Object-oriented programming
854,Discrete mathematics,Compiler construction
855,Broadband networks,Compiler construction
856,Data warehouse,Compiler construction
857,Computer vision,Compiler construction
858,Compiler construction,Modeling language
859,System programming,Compiler construction
860,Compiler construction,Algorithm
861,Compiler construction,Software architecture
862,Computer network,Compiler construction
863,Compiler construction,Data structure
864,Cryptography,Compiler construction
865,Social network analysis,Compiler construction
866,Computational linguistics,Compiler construction
867,Compiler construction,Theory of computation
868,Internet protocol suite,Compiler construction
869,Data integration,Compiler construction
870,Artificial intelligence,Compiler construction
871,Wireless network,Compiler construction
872,Object-oriented analysis and design,Compiler construction
873,Computer architecture,Compiler construction
874,Data mining,Compiler construction
875,Computer security,Compiler construction
876,Network service,Analysis of algorithms
877,Analysis of algorithms,Information management
878,Analysis of algorithms,Software development
879,Test automation,Analysis of algorithms
880,Software project management,Analysis of algorithms
881,Data-intensive computing,Analysis of algorithms
882,Distributed computing,Analysis of algorithms
883,Software metric,Analysis of algorithms
884,Analysis of algorithms,Computer graphics
885,Cloud computing,Analysis of algorithms
886,Network security,Analysis of algorithms
887,Software testing,Analysis of algorithms
888,Information retrieval,Analysis of algorithms
889,Knowledge management,Analysis of algorithms
890,Microarchitecture,Analysis of algorithms
891,Analysis of algorithms,Compiler construction
892,Game theory,Analysis of algorithms
893,Software engineering,Analysis of algorithms
894,Distributed object,Analysis of algorithms
895,Analysis of algorithms,Computational geometry
896,Natural language processing,Analysis of algorithms
897,Analysis of algorithms,Object-oriented design
898,Robotics,Analysis of algorithms
899,Assembly language,Analysis of algorithms
900,Analysis of algorithms,Database
901,Mobile application development,Analysis of algorithms
902,Analysis of algorithms,Programming language
903,Combinatorial optimization,Analysis of algorithms
904,Analysis of algorithms,Algorithm design
905,Computer-aided software engineering,Analysis of algorithms
906,Graphical model,Analysis of algorithms
907,Analysis of algorithms,Machine learning
908,Software analytics,Analysis of algorithms
909,Object-oriented programming,Analysis of algorithms
910,Discrete mathematics,Analysis of algorithms
911,Analysis of algorithms,Operating system
912,Broadband networks,Analysis of algorithms
913,Data warehouse,Analysis of algorithms
914,Computer vision,Analysis of algorithms
915,Analysis of algorithms,Modeling language
916,System programming,Analysis of algorithms
917,Analysis of algorithms,Algorithm
918,Software architecture,Analysis of algorithms
919,Analysis of algorithms,Computer network
920,Data structure,Analysis of algorithms
921,Cryptography,Analysis of algorithms
922,Social network analysis,Analysis of algorithms
923,Computational linguistics,Analysis of algorithms
924,Theory of computation,Analysis of algorithms
925,Internet protocol suite,Analysis of algorithms
926,Data integration,Analysis of algorithms
927,Analysis of algorithms,Artificial intelligence
928,Wireless network,Analysis of algorithms
929,Object-oriented analysis and design,Analysis of algorithms
930,Data mining,Analysis of algorithms
931,Analysis of algorithms,Translator (computing)
932,Game theory,Network service
933,Game theory,Software development
934,Game theory,Parallel computing
935,Game theory,Information security
936,Game theory,Distributed computing
937,Game theory,Computer graphics
938,Game theory,Network security
939,Software testing,Game theory
940,Game theory,Information retrieval
941,Game theory,Compiler construction
942,Game theory,Analysis of algorithms
943,Game theory,Software engineering
944,Game theory,Computational geometry
945,Natural language processing,Game theory
946,Robotics,Game theory
947,Game theory,Database
948,Game theory,Programming language
949,Combinatorial optimization,Game theory
950,Game theory,Algorithm design
951,Graphical model,Game theory
952,Game theory,Machine learning
953,Software analytics,Game theory
954,Object-oriented programming,Game theory
955,Game theory,Discrete mathematics
956,Game theory,Operating system
957,Game theory,Modeling language
958,Game theory,Algorithm
959,Game theory,Computer network
960,Game theory,Data structure
961,Game theory,Cryptography
962,Game theory,Social network analysis
963,Computational linguistics,Game theory
964,Game theory,Theory of computation
