,topic_a,topic_b,relation,refd_equal,refd_tfidf
28,Function (mathematics),Periodic function,0,-0.2263814616755793,-0.8933726654968126
29,Addition,Rational number,0,-0.04561403508771933,-0.13897942206304942
30,Exponentiation,Quadratic equation,0,-0.16790254237288135,-0.31790897174741234
31,Law of sines,Sine,1,0.34210526315789475,0.5633285649220328
32,Constant function,Even and odd functions,0,-0.2,0.6828186139034494
33,Linear equation,Quadratic equation,0,0.13541666666666669,-0.4181502210894903
34,Multiplication,Rational number,0,-0.14285714285714285,-0.1254051132514591
35,Linear equation,Mathematics,1,0.4791666666666666,0.6616591957101363
36,Mathematics,Continuous function,0,-0.5055147058823529,-0.6779728748731115
37,Algebra,Mathematics,1,0.28125,0.42061191311795615
38,Real line,Geometry,1,0.3416666666666667,0.3839090134871072
39,Position (vector),Vector (mathematics and physics),1,0.024561403508771926,0.0
40,Sine,Law of sines,0,-0.34210526315789475,-0.5633285649220328
41,Multiplicative inverse,Multiplication,1,0.0906832298136646,0.5593499347536233
42,Polynomial,Circle,0,-0.0064102564102564005,-0.12079022983053316
43,Function (mathematics),Nth root,0,-0.25404944586530265,-0.14495306905699235
44,Arithmetic,Algebraic expression,0,-0.2310344827586207,-0.7564634431694077
45,Conic section,Mathematics,1,0.4547413793103449,0.6171755138615498
46,Addition,Linear inequality,0,-0.6666666666666666,-0.9623574392697368
47,Trigonometric functions,Inverse trigonometric functions,0,-0.30429732868757264,-0.5297036618368836
48,Arithmetic,Exponentiation,0,0.3646990064289889,0.2267711498500952
49,Coordinate system,Complex number,0,0.2156862745098039,0.38847422501238
50,Secant line,Curve,1,0.40259740259740256,0.7077377604709993
51,Unit circle,Nth root,0,0.10054347826086957,-0.5746294164600183
52,Geometry,Vector (mathematics and physics),0,-0.3083333333333333,-0.2909427423826184
53,Vector (mathematics and physics),Euclidean vector,0,0.45106382978723397,0.7729790233185297
54,Binomial,Binomial theorem,0,0.375,0.2977895775929937
55,Multiplicative inverse,Mathematics,1,0.2527173913043478,0.6530584323403518
56,Complex number,Zero of a function,0,-0.5269607843137255,-0.8799094194960985
57,System of linear equations,Mathematics,1,0.5144230769230769,0.6779360996879528
58,Right triangle,Line (geometry),1,0.10649350649350653,0.16466964803170825
59,Exponentiation,Multiplicative inverse,0,0.07074428887251291,0.10076067779383983
60,Spherical law of cosines,Geometry,1,0.575,-0.0005534442090270597
61,Mathematics,Common logarithm,0,-0.56875,-0.8657905464014645
62,Multiplication,Binomial,0,-0.3125,-0.07953792048580056
63,Logarithm,Mathematics,1,0.5104166666666666,0.5762637462187368
64,Geometry,System of linear equations,0,-0.15576923076923074,-0.015007324304596004
65,Exponential growth,Number,1,0.1411764705882353,0.8028514802102527
66,Geometry,Polar coordinate system,0,-0.23125,-0.37564526435314577
67,Line (geometry),Real line,0,-0.37142857142857133,-0.4192431172114667
68,Linear inequality,Calculus,1,0.3333333333333333,0.031694613794918385
69,Injective function,Function (mathematics),1,0.7294117647058824,0.9908362398660968
70,Exponentiation,Real number,0,0.4716101694915254,0.36766458893235227
71,Geometric series,Geometry,0,0.2,0.014867587817967888
72,Mathematics,Cross product,0,-0.4402173913043478,-0.777236160831104
73,Exponentiation,Imaginary number,0,-0.4646892655367232,0.1058882579260882
74,Series (mathematics),Calculus,1,0.04004329004329005,0.1718993104011734
75,Dot product,Arithmetic,1,0.00912778904665315,-0.06329167958776204
76,Multiplication,Function (mathematics),0,-0.03697478991596642,0.305222366813007
77,Addition,Mathematics,1,0.2203947368421053,0.4482628958055582
78,Mathematics,Algebraic equation,0,-0.5729166666666666,-0.8806961801624867
79,Logarithm,Number,1,0.0232843137254902,-0.0882627086138889
80,Polynomial,Number,1,-0.2194570135746606,-0.22736179064253945
81,Exponential function,Mathematics,1,0.4769021739130434,0.6331781209378561
82,Real number,Nth root,0,-0.7630434782608695,-0.6097061716688719
83,Even and odd functions,Mathematics,1,0.68875,0.9649748200447072
84,Trigonometry,Geometry,1,0.2730769230769231,0.17281419849427387
85,Polynomial,Function (mathematics),0,0.12858220211161386,0.07310919044931917
86,Coordinate system,Real number,0,0.3666666666666667,0.4231050989854384
87,Mathematics,Inverse trigonometric functions,0,-0.6845238095238095,-0.9249713842742512
88,Plane curve,Geometry,1,0.2333333333333333,-0.12112024857964004
89,Line (geometry),Transformation (function),0,-0.08571428571428573,0.0
90,Function composition,Even and odd functions,0,-0.16,-0.5495978552278821
91,Binomial,Arithmetic,1,0.125,0.030954685971980932
92,Circle,Quadratic equation,0,-0.045138888888888895,-0.4335203705220004
93,Partial fraction decomposition,Multiplication,1,0.4615384615384616,-0.0009329525144765099
94,Function (mathematics),Equation solving,0,-0.392156862745098,-0.8854688001041165
95,Addition,Multiplication,0,0.007518796992481258,-0.0557831678501165
96,Arithmetic,Common logarithm,0,-0.1310344827586207,0.02508557157330217
97,Exponentiation,Algebraic expression,0,-0.4322033898305085,-0.7116627201373777
98,Inverse trigonometric functions,Trigonometry,1,0.16849816849816845,0.2655047171016939
99,Unit circle,Complex number,0,0.5073529411764706,0.5204530541025162
100,Geometry,Line–line intersection,0,-0.5714285714285714,0.0
101,Mathematics,Simultaneous equations,0,-0.5,-0.2966908026268586
102,Inverse trigonometric functions,Geometry,1,0.2107142857142857,0.7155556581810708
103,Circle,Real line,0,-0.2388888888888889,-0.3443941716705972
104,Number,Exponentiation,0,0.2333000997008973,0.0420288641810358
105,Secant line,Derivative,0,0.24598930481283424,0.6221691688134015
106,Linear equation,Geometry,1,0.07500000000000001,-0.0329966596295867
107,Multiplication,Linear inequality,0,-0.6666666666666666,-0.9638826185101579
108,Polynomial,Mathematics,1,0.4423076923076923,0.3732714610233566
109,Real line,Rational number,1,0.33333333333333337,0.44442465685093613
110,Common logarithm,Mathematics,1,0.56875,0.8657905464014645
111,Addition,Number,1,-0.1284829721362229,-0.11874368439941956
112,Spherical law of cosines,Mathematics,1,0.76875,0.0035653263505232373
113,Exponentiation,Fundamental theorem of algebra,0,-0.231638418079096,-0.12733302601871846
114,Euclidean vector,Geometry,0,0.29308510638297874,0.5907096563542533
115,Limit of a function,Calculus,1,0.1942959001782532,0.6087087742372468
116,Mathematics,Complex plane,0,-0.31875,-0.5565807905084034
117,Mathematics,Angle,0,-0.25,-0.2684512674325901
118,Addition,Sum,0,-0.5769230769230769,-0.3091411667764501
119,Geometry,Trigonometry,0,-0.2730769230769231,-0.17281419849427387
120,Equation,Parametric equation,0,0.00888888888888889,0.08511788402361879
121,Complex number,Number,1,-0.5686274509803921,-0.19258852232819254
122,Quadratic function,Graph of a function,0,0.2962962962962963,0.7406992060949424
123,Number,Algebra,0,0.13419117647058826,0.0549693031691085
124,Geometry,Mathematics,1,0.13749999999999996,0.22584378348299936
125,Position (vector),Euclidean vector,1,0.3986562150055991,0.0
126,Mathematics,Even and odd functions,0,-0.68875,-0.9649748200447072
127,Monotonic function,Mathematics,1,0.8465909090909091,0.941658842144768
128,Mathematics,Real line,0,-0.5770833333333333,-0.8386751303691125
129,Periodic function,Mathematics,1,0.5113636363636364,0.945954508488632
130,Mathematics,Line segment,0,-0.2952586206896552,-0.03733806393712838
131,Exponential growth,Function (mathematics),1,0.3411764705882353,0.8394886009770739
132,Polar coordinate system,Geometry,1,0.23125,0.37564526435314577
133,Function (mathematics),Domain of a function,0,-0.2745098039215686,0.12845291956745453
134,Equation,Inequality (mathematics),0,-0.032631578947368414,0.0
135,Polynomial,Equation,0,-0.2646153846153846,-0.2525742281211164
136,Equation solving,Number,1,0.2058823529411765,0.4694040818915934
137,Addition,Binomial theorem,0,-0.17105263157894735,-0.06459146798711893
138,Mathematics,Product (mathematics),0,-0.5426136363636364,-0.6661130067150051
139,Complex number,Multiplicative inverse,0,-0.5038363171355498,-0.3994839021614344
140,Linear inequality,Mathematics,1,0.6666666666666666,0.03230951884856987
141,Fundamental theorem of algebra,Mathematics,1,0.65625,0.34630576387350576
142,Logarithm,Sine,0,0.09320175438596492,0.10471081414046618
143,Mathematics,Geometric series,0,-0.7395833333333334,-0.8995482784114374
144,Rational function,Real number,0,0.5113636363636364,0.7569738433638
145,Trigonometry,Sine,0,0.13360323886639675,0.15252074639782404
146,Mathematics,Algebraic expression,0,-0.6708333333333333,-0.8773729024354903
147,Algebraic equation,Number,1,0.30392156862745096,0.19305005054072333
148,Arithmetic,Formula,0,-0.5977011494252873,-0.07037076938914996
149,Equation,Linear inequality,0,-0.14666666666666667,0.005599608848231928
150,Multiplication,Multiplicative inverse,0,-0.0906832298136646,-0.5593499347536233
151,Algebraic expression,Polynomial,1,0.3230769230769231,0.495497401764562
152,Line segment,Right triangle,0,0.15047021943573669,-0.3891421424919024
153,Rational number,Sine,0,-0.156140350877193,-0.18830009766860764
154,Line (geometry),Equation,0,-0.1085714285714286,-0.04307077611700333
155,Dot product,Multiplication,1,0.18235294117647052,-0.15118734457339955
156,Linear function,Equation,0,0.2,-0.0015685336496132074
157,Real line,Mathematics,1,0.5770833333333333,0.8386751303691125
158,Cross product,Number,1,0.0856777493606138,-0.030785757572130982
159,Geometry,Pythagorean trigonometric identity,0,-0.2833333333333333,-0.07956673286631166
160,Geometric series,Calculus,1,0.4545454545454545,0.3573592493011314
161,Number,Extended real number line,0,-0.18067226890756305,-0.2048508911048835
162,Matrix ring,Number,1,0.5411764705882353,0.01220313940539164
163,Parametric equation,Mathematics,1,0.6041666666666666,0.8649651139419696
164,Calculus,Linear function,0,-0.3090909090909091,-0.31122198241856497
165,Mathematics,Circle,0,-0.34375,-0.332885185846038
166,Addition,Binomial,0,-0.25,-0.07953792048580056
167,Expression (mathematics),Mathematics,1,0.7638888888888888,0.9226587179661934
168,Algebraic expression,Rational number,0,0.4,0.7340752019383968
169,Common logarithm,Multiplication,1,0.5428571428571428,0.1252574507534029
170,Function (mathematics),Even and odd functions,0,-0.3011764705882353,-0.5495978552278821
171,Inequality (mathematics),Equation,1,0.032631578947368414,0.0
172,Number,Addition,0,0.1284829721362229,0.11874368439941956
173,Geometry,Inverse trigonometric functions,0,-0.2107142857142857,-0.7155556581810708
174,Real number,Domain of a function,0,-0.5,-0.7240848710283186
175,Transformation (function),Geometry,0,0.11785714285714285,0.0
176,Rationalisation (mathematics),Nth root,0,0.11304347826086958,0.0
177,Trigonometry,Law of sines,0,-0.4567307692307692,-0.4927462724927442
178,Number,Differential equation,0,-0.05429864253393665,-0.08280245692150938
179,Mathematics,Series (mathematics),0,-0.40625,-0.8029728143508476
180,Secant line,Calculus,0,0.1818181818181818,-0.05480491752092687
181,Vertical line test,Function (mathematics),1,0.6666666666666666,1.0
182,Exponentiation,Common logarithm,0,-0.5322033898305084,-0.19390337694809567
183,Mathematics,Formula,0,-0.6041666666666666,-0.6324769943294158
184,Exponential function,Exponentiation,1,0.01621223286661755,0.4401526116022248
185,Number,Common logarithm,0,-0.1411764705882353,0.05082581256781835
186,Angle,Mathematics,1,0.25,0.2684512674325901
187,Plane (geometry),Polar coordinate system,0,-0.15992647058823528,-0.2908347018895405
188,Real line,Number,1,0.11176470588235296,-0.06562751641706369
189,Subtraction,Arithmetic,1,-0.2505747126436782,-0.2098256421466344
190,Product (mathematics),Dot product,0,0.25935828877005346,0.3157931737794513
191,Number,Polar coordinate system,0,-0.0974264705882353,-0.26121016022632515
192,Exponential function,Logarithm,0,-0.028985507246376774,-0.032908559510338
193,Plane curve,Plane (geometry),1,0.3411764705882353,0.7165404270617141
194,Even and odd functions,Graph of a function,0,0.28,0.5495978552278821
195,Exponentiation,Exponential growth,0,-0.6652542372881356,-0.7140927177823564
196,Function (mathematics),Real number,0,0.2843137254901961,-0.540368684332192
197,Function (mathematics),Monotonic function,0,-0.7397504456327986,-0.7026585704467432
198,Quadratic equation,Mathematics,1,0.625,0.256650116216092
199,Equation,Differential equation,0,-0.18461538461538465,-0.2667747030804518
200,Geometry,Rotation of axes,0,-0.3365384615384616,-0.1366146845504036
201,Vector (mathematics and physics),Calculus,0,0.303030303030303,0.6444353160468194
202,Function (mathematics),Inverse function,0,-0.2647058823529412,0.34618594113347945
203,Polynomial,Multiplication,1,0.04120879120879123,-0.15816514667512588
204,Coordinate system,Rotation of axes,0,-0.16410256410256413,-0.4313918555784745
205,Matrix ring,Mathematics,1,0.56875,0.06003529192114534
206,Exponential function,Multiplication,1,0.1763975155279503,0.0675138800860097
207,Cubic function,Function (mathematics),1,0.3790849673202614,0.9051425263018658
208,Number,Coordinate system,0,-0.3117647058823529,-0.30628751401363474
209,Coordinate system,Equation,0,0.16666666666666666,0.008851678191183779
210,Number,System of linear equations,0,-0.21945701357466066,-0.009538763734247502
211,Mathematics,Unit circle,0,-0.3125,-0.7104685077700027
212,Geometry,Line segment,0,-0.3112068965517241,-0.31372386987616424
213,Zero of a function,Mathematics,1,0.6875,0.9416558580154618
214,Exponentiation,Rational number,0,-0.11073446327683616,0.05912484941378859
215,Number,Binomial,0,-0.3125,-0.06735202132365818
216,Trigonometry,Inverse trigonometric functions,0,-0.16849816849816845,-0.2655047171016939
217,Exponentiation,Exponential function,0,-0.01621223286661755,-0.4401526116022248
218,Logarithm,Addition,0,0.09649122807017543,0.14228220778380524
219,Algebra,Algebraic expression,0,-0.14166666666666666,-0.7810687584618198
220,Secant line,Line (geometry),1,0.5506493506493506,0.7603132356591983
221,Line (geometry),Conic section,0,-0.116256157635468,-0.13581149222581249
222,Mathematics,Differential equation,0,-0.43990384615384615,-0.5596657937521415
223,Complex number,Identity (mathematics),0,-0.4600301659125188,-0.3220222972918139
224,Equation solving,Domain of a function,0,0.17647058823529413,0.7302627846025044
225,Addition,Matrix ring,0,-0.5473684210526315,-0.014510494637078257
226,Logarithm,Identity (mathematics),0,-0.266025641025641,-0.6073677426356426
227,Mathematics,Cubic function,0,-0.6597222222222222,-0.8935284322221001
228,Mathematics,Identity (mathematics),0,-0.3990384615384616,-0.957607585243582
229,Equation,System of linear equations,0,-0.15076923076923074,0.12860040020127705
230,Mathematics,Logarithm,0,-0.5104166666666666,-0.5762637462187368
231,Geometry,Unit circle,0,-0.3375,-0.034412745282266684
232,Rotation (mathematics),Mathematics,1,0.65,0.9489618370161076
233,Quadratic equation,Nth root,0,-0.1046195652173913,0.3462310538176508
234,Transformation (function),Coordinate system,0,-0.06666666666666668,0.0
235,Equation,Geometry,0,0.15999999999999998,0.13661737909379806
236,Trigonometry,Pythagorean trigonometric identity,0,-0.3846153846153846,-0.28123885277457544
237,Mathematics,Rotation (mathematics),0,-0.65,-0.9489618370161076
238,Algebraic expression,Arithmetic,1,0.2310344827586207,0.7564634431694077
239,Linear function,Mathematics,1,0.65625,0.7020416493714641
240,Complex number,Subtraction,0,-0.4784313725490196,-0.13072187362970705
241,Vertical line test,Geometry,1,0.0,-0.0068452004383222865
242,Binomial theorem,Polynomial,1,0.3365384615384616,0.10510251435370392
243,Matrix (mathematics),Vector (mathematics and physics),0,-0.3575757575757576,-0.9568936573241194
244,Polynomial,Addition,1,0.018218623481781385,-0.06814123216115402
245,Binomial,Number,1,0.3125,0.06735202132365818
246,Linear equation,Line (geometry),1,-0.004761904761904773,0.2130123276133998
247,Zero of a function,Graph of a function,0,0.0902777777777778,0.9701374048154384
248,Circle,Conic section,0,-0.13601532567049807,-0.4133204856570872
249,Imaginary number,Real number,1,0.6833333333333333,0.8481842215236841
250,Line segment,Transformation (function),0,-0.1083743842364532,0.0
251,Arithmetic,Product (mathematics),0,-0.009404388714733536,-0.21409407229267144
252,Matrix ring,Addition,1,0.5473684210526315,0.014510494637078257
253,Geometry,Sine,0,-0.11184210526315788,-0.09826130850760184
254,Linear equation,Graph of a function,0,0.3055555555555556,0.3591502227621564
255,Geometry,Line (geometry),0,0.01428571428571429,-0.4046961447235561
256,Triangle,Geometry,1,0.016304347826086973,0.05974554272518118
257,Equation,Algebraic equation,0,-0.11809523809523807,-0.5855380405443579
258,Addition,Equation,0,-0.09578947368421056,-0.08436390353954007
259,Infinity,Limit (mathematics),0,0.1772727272727273,0.2764918324625764
260,Vector (mathematics and physics),Position (vector),0,-0.024561403508771926,0.0
261,Law of sines,Spherical law of cosines,0,-0.275,0.40823335502525177
262,Number,Product (mathematics),0,-0.2005347593582888,-0.2061644610544588
263,Polynomial,Fundamental theorem of algebra,0,-0.3846153846153846,-0.7529992903042559
264,Polynomial,Linear function,0,-0.4961538461538462,-0.5166498375995077
265,Function (mathematics),Limit of a function,0,-0.3725490196078432,-1.0
266,Fundamental theorem of algebra,Real number,1,0.6,0.4690780918944496
267,Algebraic expression,Subtraction,0,0.3666666666666667,0.6989316214731245
268,Cross product,Real number,0,0.5521739130434783,0.3072366879876661
269,Number,Linear inequality,0,-0.16666666666666666,0.0011538919187777939
270,Mathematics,Summation,0,-0.5745192307692307,-0.8370895607923902
271,Linear function,Derivative,0,0.40294117647058825,-0.05952962202173245
272,Linear equation,Complex number,0,0.3799019607843137,0.6777025806050329
273,Transformation (function),Circle,0,0.11507936507936507,0.0
274,Graph of a function,Vertical line test,0,-0.4444444444444444,-0.968103425221298
275,Cross product,Arithmetic,1,0.03598200899550225,-0.03981851595641151
276,Product (mathematics),Arithmetic,1,0.009404388714733536,0.21409407229267144
277,Binomial theorem,Mathematics,1,0.5625,0.09374240269218943
278,Trigonometry,Mathematics,1,0.6754807692307693,0.4504735943539352
279,Unit circle,Curve,1,0.2023809523809524,-0.016548597618134625
280,Law of sines,Circle,0,0.2569444444444444,0.06176513981425012
281,Arithmetic,Exponential function,0,0.05097451274362818,0.09938814951036604
282,Injective function,Inverse function,0,0.3568627450980392,0.5001289133143336
283,Right triangle,Geometry,1,0.4363636363636363,0.3086104830825012
284,Mathematics,Transformation (function),0,-0.5714285714285714,0.0
285,Function (mathematics),Inverse trigonometric functions,0,-0.3025210084033613,-0.19590231007037776
286,Algebraic expression,Real number,0,0.7333333333333334,0.18685250434654496
287,Rational number,Equation solving,0,-0.4705882352941176,-0.4684913043282564
288,Plane (geometry),Plane curve,0,-0.3411764705882353,-0.7165404270617141
289,Geometric progression,Geometry,0,0.016666666666666663,0.008176155994677105
290,Multiplication,Polynomial,0,-0.04120879120879123,0.15816514667512588
291,Linear equation,Vertical line test,0,0.04166666666666666,0.0
292,Mathematics,Multiplicative inverse,0,-0.2527173913043478,-0.6530584323403518
293,Function (mathematics),Inequality (mathematics),0,-0.2961816305469556,0.0
294,Even and odd functions,Function (mathematics),1,0.3011764705882353,0.5495978552278821
295,Circle,Line (geometry),1,-0.0134920634920635,-0.7103005692865572
296,Identity (mathematics),Mathematics,1,0.3990384615384616,0.957607585243582
297,Coordinate system,Number,1,0.3117647058823529,0.30628751401363474
298,Equation,Function (mathematics),0,0.2227450980392157,0.4064554105529713
299,Matrix (mathematics),Matrix ring,0,-0.7818181818181819,-0.9283024218722704
300,Binomial,Calculus,0,0.3125,0.5795415923056406
301,Cross product,Mathematics,1,0.4402173913043478,0.777236160831104
302,Sum,Arithmetic,1,0.19230769230769232,0.08906521863249729
303,Multiplication,Product (mathematics),0,-0.40259740259740256,-0.7754685371503499
304,Exponentiation,Identity (mathematics),0,-0.14602346805736638,-0.1891103938129889
305,Arithmetic,Matrix ring,0,0.03448275862068965,0.008730206446542788
306,Floor and ceiling functions,Series (mathematics),0,0.25,0.0
307,Real number,Graph of a function,0,-0.44166666666666665,-0.2788690253530931
308,Polynomial,Binomial,0,-0.375,-0.40693839926678704
309,Mathematics,Exponential function,0,-0.4769021739130434,-0.6331781209378561
310,Number,Cross product,0,-0.0856777493606138,0.030785757572130982
311,Complex number,Rational number,0,-0.6000000000000001,-0.2341886784609714
312,Absolute value,Real number,1,0.5,0.5130990383548818
313,Mathematics,Sine,0,-0.5279605263157895,-0.488218786851904
314,Matrix (mathematics),Determinant,0,-0.1744107744107744,-0.02296057723916578
315,Function (mathematics),Transformation (function),0,-0.6946778711484594,0.0
316,Number,Multiplication,0,0.18571428571428567,0.16225746644608804
317,Mathematics,Calculus,0,-0.2272727272727273,-0.3565623233877349
318,Product (mathematics),Cross product,0,0.18774703557312253,0.6653274010391358
319,Exponentiation,Number,1,-0.2333000997008973,-0.0420288641810358
320,Plane (geometry),Complex plane,0,0.07647058823529412,0.11115378460750433
321,Limit (mathematics),Limit of a function,0,0.042780748663101616,0.95558228779162
322,Fundamental theorem of algebra,Equation,1,0.09,0.3070180245526806
323,Addition,Inequality (mathematics),0,-0.3947368421052632,0.0
324,Hyperbola,Rotation of axes,0,-0.2482517482517483,-0.3420151400616536
325,Number,Absolute value,0,0.2622549019607843,0.1413051101045502
326,Geometry,Linear equation,0,-0.07500000000000001,0.0329966596295867
327,Complex number,Equation,0,-0.4623529411764705,-0.43929233197005824
328,Number,Parametric equation,0,-0.1111111111111111,-0.07608809261893791
329,Invertible matrix,Matrix (mathematics),1,0.5,0.01608144007304424
330,Addition,Algebraic expression,0,-0.5210526315789473,-0.7305336935259422
331,Complex number,Rational function,0,-0.5383244206773619,-0.7486916185153649
332,Line segment,Spherical law of cosines,0,-0.16551724137931034,-0.007800444033405291
333,Polynomial,Zero of a function,0,-0.4711538461538462,-0.9083277678703088
334,Addition,Arithmetic,1,-0.367513611615245,-0.210412961184698
335,Exponential growth,Mathematics,1,0.61875,0.039760023818910736
336,System of linear equations,Geometry,1,0.15576923076923074,0.015007324304596004
337,Mathematics,Exponentiation,0,-0.23781779661016944,-0.42305197088475577
338,Euclidean vector,Position (vector),0,-0.3986562150055991,0.0
339,Spherical law of cosines,Trigonometry,1,0.3230769230769231,0.9414951099912566
340,Linear inequality,Algebra,1,0.3020833333333333,-0.001554501957772871
341,System of linear equations,Equation,1,0.15076923076923074,-0.12860040020127705
342,Calculus,Limit of a function,0,-0.1942959001782532,-0.6087087742372468
343,Unit circle,Line (geometry),1,0.23214285714285715,0.0039926220835799645
344,Function (mathematics),Injective function,0,-0.7294117647058824,-0.9908362398660968
345,Mathematics,Curve,0,-0.5104166666666666,-0.3338871420269689
346,Triangle,Mathematics,1,0.3586956521739131,0.35554081861309883
347,Exponentiation,Function (mathematics),0,0.13492854769026258,0.4921819218003534
348,Number,Rational number,0,0.09999999999999998,0.024211722998966345
349,Function (mathematics),Constant function,0,-0.4705882352941176,-0.6409429795486989
350,Multiplication,Number,1,-0.18571428571428567,-0.16225746644608804
351,Function composition,Function (mathematics),1,0.32470588235294123,-0.16536537422174113
352,Circle,Rational number,0,0.04444444444444444,0.11215441670257277
353,Algebraic expression,Addition,1,0.5210526315789473,0.7305336935259422
354,Logarithm,Complex number,0,0.38602941176470573,0.4817384159702674
355,Exponential function,Real number,0,0.4271739130434783,0.7023797930549542
356,Linear equation,Number,1,-0.02205882352941177,0.05373916949403286
357,Polynomial,Real number,0,0.3557692307692307,0.26380722512856153
358,Mathematics,Floor and ceiling functions,0,-0.5714285714285714,-0.989062243398842
359,Circle,Curve,1,0.1785714285714286,-0.12597701487508056
360,Number,Binomial theorem,0,-0.3125,-0.04564910037020777
361,Multiplication,Dot product,0,-0.18235294117647052,0.15118734457339955
362,Mathematics,Constant function,0,-0.7157738095238095,-0.8651660835439846
363,Differential equation,Equation,1,0.18461538461538465,0.2667747030804518
364,Multiplication,Real line,0,-0.37142857142857133,-0.042317403790706455
365,Line (geometry),Vertical line test,0,0.028571428571428567,0.0
366,Number,Equation solving,0,-0.2058823529411765,-0.4694040818915934
367,Fundamental theorem of algebra,Addition,1,0.1973684210526316,0.038120668516205006
368,Polynomial,Partial fraction decomposition,0,-0.673076923076923,-0.9681265103300782
369,Function (mathematics),Zero of a function,0,-0.4215686274509804,-1.0
370,Partial fraction decomposition,Mathematics,1,0.6923076923076923,0.13399351602369194
371,Absolute value,Number,1,-0.2622549019607843,-0.1413051101045502
372,Mathematics,Trigonometric functions,0,-0.4954268292682927,-0.6399373810891948
373,Zero (complex analysis),Number,1,0.2727272727272727,0.0
374,Multiplication,Equation,0,-0.1942857142857143,-0.05620194425385257
375,Linear function,Function (mathematics),1,0.4911764705882353,0.6243534380011411
376,Addition,Geometry,0,-0.014473684210526331,0.1990114188042044
377,Linear equation,Real number,0,0.4083333333333334,0.6628142141213259
378,Inequality (mathematics),Linear inequality,0,0.0,0.0
379,Mathematics,Conic section,0,-0.4547413793103449,-0.6171755138615498
380,Equation,Real number,0,0.555,0.4894826448265343
381,Exponential function,Identity (mathematics),0,-0.2976588628762542,-0.53752389707819
382,Exponential growth,Exponentiation,1,0.6652542372881356,0.7140927177823564
383,Inequality (mathematics),Algebra,1,0.2845394736842105,0.0
384,Matrix ring,Matrix (mathematics),1,0.7818181818181819,0.9283024218722704
385,Real number,Number,1,-0.5529411764705883,-0.4784808860916222
386,Line (geometry),Right triangle,0,-0.10649350649350653,-0.16466964803170825
387,Inverse function,Function (mathematics),1,0.2647058823529412,-0.34618594113347945
388,Number,Quadratic equation,0,-0.04411764705882354,-0.009344164712124334
389,Rotation of axes,Number,1,0.15384615384615385,0.053787597741035365
390,Real number,Zero (complex analysis),0,-0.9090909090909092,0.0
391,Extended real number line,Number,1,0.18067226890756305,0.2048508911048835
392,Pythagorean trigonometric identity,Mathematics,1,0.5729166666666666,0.6197350547632509
393,Addition,Partial fraction decomposition,0,-0.4615384615384616,0.00046830167952531483
394,Polynomial,Binomial theorem,0,-0.3365384615384616,-0.10510251435370392
395,Mathematics,Monotonic function,0,-0.8465909090909091,-0.941658842144768
396,Unit circle,Sine,0,0.1743421052631579,0.25678552090377393
397,Calculus,Series (mathematics),0,-0.04004329004329005,-0.1718993104011734
398,Sum,Addition,1,0.5769230769230769,0.3091411667764501
399,Line segment,Triangle,0,0.2218890554722639,0.3246070277356905
400,Plane (geometry),Geometry,1,-0.029411764705882363,0.316981341530692
401,Rational function,Function (mathematics),1,0.20677361853832446,0.4307863045174531
402,Line (geometry),Circle,0,0.0134920634920635,0.7103005692865572
403,Complex number,Imaginary number,0,-0.6764705882352942,-0.6722745934745264
