,Parent Class,Sub Class,Reference
219,dynamics,dynamics,
220,dynamics,epidemic,
221,dynamics,matrix,
222,dynamics,supply chain,
223,edge,edge,
224,ehr,ehr,
225,elastic deformation,elastic deformation,
226,elasticity,elasticity,
227,elasticity,matrix,
228,electronic health record,electronic health record,ehr
229,energy use patterns,energy use patterns,
230,epidemic dynamics,epidemic dynamics,
231,equality,equality,
232,equality,matrices,
233,equality,vectors,
234,equalization,equalization,
235,equations,equations,
236,equations,homogeneous,
237,equations,kkt,
238,equations,nonlinear,
239,equations,normal,
240,equilibrium,equilibrium,
241,equilibrium,chemical,
242,equilibrium,linear dynamical system,
243,equilibrium,mechanical,
244,equilibrium,nash,
245,equilibrium,prices,
246,error rate,error rate,
247,euclidean,euclidean,
248,euclidean,distance,
249,euclidean,norm,
250,euler,euler,
251,exogenous ﬂow,exogenous ﬂow,
252,expansion in a basis,expansion in a basis,
253,expected value,expected value,
254,exponential weighting,exponential weighting,
255,factor-solve method,factor-solve method,
256,false alarm rate,false alarm rate,
257,fast fourier transform,fast fourier transform,fft
258,feature,feature,
259,feature,categorical,
260,feature,distance,
261,feature,engineering,
262,feature,likert,
263,feature,matrix,
264,feature,neural network,
265,feature,random,
266,feature,standardized,
267,feature,tfidf,
268,feature,vector,
269,feature,winsorized,
270,fft,fft,
271,fibonacci sequence,fibonacci sequence,
272,fibonacci,fibonacci,
273,fisher,fisher,
274,ﬂoating point,ﬂoating point,
275,ﬂoating point,number,
276,ﬂoating point,operation,ﬂop
277,ﬂoating point,round-oﬀ error,
278,ﬂop,ﬂop,
279,ﬂow conservation,ﬂow conservation,
280,ﬂow conservation,with sources,
281,forgetting factor,forgetting factor,
282,forward substitution,forward substitution,
283,fourier,fourier,
284,fourier,approximation,
285,fourier,transform,
286,fourier,fourier,
287,friend relation,friend relation,
288,frobenius norm,frobenius norm,
289,frobenius,frobenius,
290,function,function,
291,function,aﬃne,
292,function,argument,
293,function,basis,
294,function,composition,
295,function,inner product,
296,function,linear,
297,function,notation,
298,function,objective,
299,function,rational,
300,function,reversal,
301,function,running sum,
302,function,sigmoid,
303,function,sum,
304,galton,galton,
305,game of thrones,game of thrones,
306,gauss,gauss,
307,gauss–newton algorithm,gauss–newton algorithm,
308,generalization,generalization,
309,generalized additive model,generalized additive model,
310,gigabyte,gigabyte,
311,gigaﬂop,gigaﬂop,
312,global positioning system,global positioning system,gps
313,gone bust,gone bust,
314,gps,gps,
315,gradient,gradient,
316,gram matrix,gram matrix,
317,gram,gram,
318,gram–schmidt algorithm,gram–schmidt algorithm,
319,gram–schmidt algorithm,complexity,
320,gram–schmidt algorithm,modiﬁed,
321,graph,graph,
322,graph,chain,
323,graph,circle,
324,graph,cycle,
325,graph,social network,
326,graph,tree,
327,grayscale,grayscale,
328,group representative,group representative,
329,handwritten digits,handwritten digits,
330,heat ﬂow,heat ﬂow,
331,hedging,hedging,
332,hestenes,hestenes,
333,histogram vector,histogram vector,
334,homogeneous equations,homogeneous equations,
335,house price regression,house price regression,
336,identity matrix,identity matrix,
337,illumination,illumination,
338,image,image,
339,image,matrix,
340,image,vector,
341,impulse response,impulse response,
342,imputing missing entries,imputing missing entries,
343,incidence matrix,incidence matrix,
344,independence-dimension inequality,independence-dimension inequality,
345,independent vectors,independent vectors,
346,index,index,
347,index,column,
348,index,range,
349,index,row,
350,index,vector,
351,inequality,inequality,
352,inequality,cauchy–schwarz,
353,inequality,chebyshev,
354,inequality,independence-dimension,
355,inequality,triangle,
356,inner product,inner product,
357,inner product,function,
358,inner product,matrices,
359,input,input,
360,input-output,input-output,
361,input-output,matrix,
362,input-output,system,
363,intercept,intercept,
364,interpolation,interpolation,
365,inverse,inverse,
366,inverse,left,
367,inverse,matrix,
368,inverse,moore–penrose,
369,inverse,pseudo,
370,inverse,right,
371,inversion,inversion,
372,inversion,tikhonov,
373,invertible matrix,invertible matrix,
374,iris ﬂower classiﬁcation,iris ﬂower classiﬁcation,
375,iterative method for least squares,iterative method for least squares,
376,jacobi,jacobi,
377,jacobian,jacobian,
378,k-means,k-means,
379,k-means,algorithm,
380,k-means,complexity,
381,k-means,features,
382,kalman,kalman,
383,karush,karush,
384,karush–kuhn–tucker,karush–kuhn–tucker,kkt
385,kirchhoﬀ’s current law,kirchhoﬀ’s current law,
386,kirchhoﬀ,kirchhoﬀ,
387,kkt,kkt,
388,kkt,conditions,
389,kkt,matrix,
390,kuhn,kuhn,
391,kyoto prize,kyoto prize,
392,label,label,
393,lagrange,lagrange,
394,lagrange,multipliers,
395,lagrange,polynomial,
396,lagrange,lagrange,
397,lambert function,lambert function,
398,lambert,lambert,
399,laplace,laplace,
400,laplacian matrix,laplacian matrix,
401,laplacian regularization,laplacian regularization,
402,least squares,least squares,
403,least squares,bi-criterion,
404,least squares,boolean,
405,least squares,classiﬁer,
406,least squares,data ﬁtting,
407,least squares,iterative method,
408,least squares,multi-objective,
409,least squares,nonlinear,
410,least squares,recursive,
411,least squares,residual,
412,least squares,solution method,
413,least squares,sparse,
414,lecun,lecun,
415,left inverse,left inverse,
416,legendre,legendre,
417,leonardo of pisa,leonardo of pisa,
418,leontief input-output model,leontief input-output model,
419,leontief,leontief,
420,levenberg,levenberg,
421,levenberg–marquardt algorithm,levenberg–marquardt algorithm,
422,leverage,leverage,
423,likert scale,likert scale,
424,likert,likert,
425,line,line,
426,line,segment,
427,linear,linear,
428,linear,combination,
429,linear,dynamical system,
430,linear,equations,
431,linear,function,
432,linear,least squares problem,
433,linear,quadratic control,
434,linear,sparse equations,
435,linear,versus aﬃne,
436,linear dynamical system,linear dynamical system,
437,linear dynamical system,closed-loop,
438,linear dynamical system,state feedback,
439,linearity,linearity,
440,linearly independent,linearly independent,
441,linearly independent,row vectors,
442,linearly independent,vectors,
443,link,link,
444,lloyd,lloyd,
445,loan,loan,
446,location vector,location vector,
447,logarithmic spacing,logarithmic spacing,
448,logistic regression,logistic regression,
449,long-only portfolio,long-only portfolio,
450,look-ahead,look-ahead,
451,loss function,loss function,
452,loss leader,loss leader,
453,lower triangular matrix,lower triangular matrix,
454,market,market,
455,market,clearing,
456,market,return,
457,market,segmentation,
458,markov model,markov model,
459,markov,markov,
460,markowitz,markowitz,
461,marquardt,marquardt,
462,mass,mass,
463,matrix,matrix,
464,matrix,addition,
465,matrix,adjacency,
466,matrix,asset return,
467,matrix,block,
468,matrix,cancellation,
469,matrix,circular diﬀerence,
470,matrix,coeﬃcients,
471,matrix,compliance,
472,matrix,computer representation,
473,matrix,confusion,
474,matrix,controllability,
475,matrix,covariance,
476,matrix,data,
477,matrix,demand elasticity,
478,matrix,diagonal,
479,matrix,diﬀerence,
480,matrix,dimensions,
481,matrix,document-term,
482,matrix,dynamics,
483,matrix,elasticity,
484,matrix,elements,
485,matrix,equality,
486,matrix,feature,
487,matrix,gram,
488,matrix,graph,
489,matrix,identity,
490,matrix,image,
491,matrix,incidence,
492,matrix,inner product,
493,matrix,inverse,
494,matrix,invertible,
495,matrix,jacobian,
496,matrix,kkt,
497,matrix,laplacian,
498,matrix,least squares,
499,matrix,left inverse,
500,matrix,leontief input-output,
501,matrix,lower triangular,
502,matrix,multiplication,
503,matrix,negative power,
504,matrix,nonsingular,
505,matrix,norm,
506,matrix,orthogonal,
507,matrix,permutation,
508,matrix,population dynamics,
509,matrix,power,
510,matrix,projection,
511,matrix,pseudo-inverse,
512,matrix,relation,
513,matrix,resistance,
514,matrix,return,
515,matrix,reverser,
516,matrix,rotation,
517,matrix,running sum,
518,matrix,second diﬀerence,
519,matrix,singular,
520,matrix,sparse,
521,matrix,square,
522,matrix,squareroot,
523,matrix,stacked,
524,matrix,state feedback gain,
525,matrix,subtraction,
526,matrix,sum,
527,matrix,symmetric,
528,matrix,tall,
529,matrix,toeplitz,
530,matrix,trace,
531,matrix,transpose,
532,matrix,triangular,
533,matrix,triple product,
534,matrix,upper triangular,
535,matrix,vandermonde,
536,matrix,vector multiplication,
537,matrix,wide,
538,matrix,zero,
539,matrix-vector product,matrix-vector product,
540,mean,mean,
541,mean return,mean return,
542,mechanical equilibrium,mechanical equilibrium,
543,minimum mean square error,minimum mean square error,mmse
544,missing entries,missing entries,
545,mixing audio,mixing audio,
546,mixture of vectors,mixture of vectors,
547,mmse,mmse,
548,mnist,mnist,
549,model,model,
550,model,nonlinear,
551,model,over-ﬁt,
552,model,parameter,
553,model,stratiﬁed,
554,model,validation,
555,modiﬁed gram–schmidt algorithm,modiﬁed gram–schmidt algorithm,
556,monochrome image,monochrome image,
557,moore’s law,moore’s law,
558,moore,moore,
559,moore,moore,
560,moore–penrose inverse,moore–penrose inverse,
561,motion,motion,
562,moving average,moving average,
563,µ (mu),µ (mu),
564,multi-class classiﬁcation,multi-class classiﬁcation,
565,multi-objective least squares,multi-objective least squares,
566,multiplication,multiplication,
567,multiplication,matrix-matrix,
568,multiplication,matrix-vector,
569,multiplication,scalar-matrix,
570,multiplication,scalar-vector,
571,multiplication,sparse matrix,
572,nash equilibrium,nash equilibrium,
573,nash,nash,
574,navigation,navigation,
575,nearest neighbor,nearest neighbor,
576,net present value,net present value,npv
577,netﬂix,netﬂix,
578,network,network,
579,neural network,neural network,
580,newton algorithm,newton algorithm,
581,newton’s law of motion,newton’s law of motion,
582,newton,newton,
583,nnz (number of nonzeros),nnz (number of nonzeros),
584,nobel prize,nobel prize,
585,nobel prize,leontief,
586,nobel prize,markowitz,
587,nobel prize,nash,
588,node,node,
589,nonlinear,nonlinear,
590,nonlinear,control,
591,nonlinear,equations,
592,nonlinear,least squares,
593,nonlinear,model ﬁtting,
594,nonnegative vector,nonnegative vector,
595,nonsingular matrix,nonsingular matrix,
596,norm,norm,
597,norm,euclidean,
598,norm,frobenius,
599,norm,matrix,
600,norm,weighted,
601,normal equations,normal equations,
602,notation,notation,
603,notation,function,
604,notation,overloading,
605,npv,npv,
606,number,number,
607,number,ﬂoating point,
608,number,of nonzeros,
609,nutrients,nutrients,
610,objective,objective,
611,objective,clustering,
612,objective,function,
613,observations,observations,
614,obtuse angle,obtuse angle,
615,occurrence vector,occurrence vector,
616,oﬀset,oﬀset,
617,one-hot encoding,one-hot encoding,
618,one-versus-others classiﬁer,one-versus-others classiﬁer,
619,ones vector,ones vector,
620,open-loop,open-loop,
621,optimal clustering,optimal clustering,
622,optimal trade-oﬀ curve,optimal trade-oﬀ curve,
623,optimality condition,optimality condition,
624,optimality condition,least squares,
625,optimality condition,nonlinear least squares,
626,optimization,optimization,
627,optimization,constrained,
628,order,order,
629,orthogonal,orthogonal,
630,orthogonal,distance regression,
631,orthogonal,matrix,
632,orthogonal,vectors,
633,orthogonality principle,orthogonality principle,
634,orthonormal,orthonormal,
635,orthonormal,basis,
636,orthonormal,expansion,
637,orthonormal,row vectors,
638,orthonormal,vectors,
639,out-of-sample validation,out-of-sample validation,
640,outcome,outcome,
641,outer product,outer product,
642,over-determined,over-determined,
643,over-ﬁt,over-ﬁt,
644,overloading,overloading,
645,parallelogram law,parallelogram law,
646,parameter,parameter,
647,parameter,model,
648,parameter,regularization,
649,pareto optimal,pareto optimal,
650,pareto,pareto,
651,partial derivative,partial derivative,
652,path,path,
653,penalty algorithm,penalty algorithm,
654,penrose,penrose,
655,permutation matrix,permutation matrix,
656,pharmaco-kinetics,pharmaco-kinetics,
657,phugoid mode,phugoid mode,
658,piecewise-linear ﬁt,piecewise-linear ﬁt,
659,pixel,pixel,
660,polynomial,polynomial,
661,polynomial,evaluation,
662,polynomial,ﬁt,
663,polynomial,interpolation,
664,polynomial,lagrange,
665,population dynamics,population dynamics,
666,portfolio,portfolio,
667,portfolio,gone bust,
668,portfolio,leverage,
669,portfolio,long-only,
670,portfolio,optimization,
671,portfolio,return,
672,portfolio,risk,
673,portfolio,sector exposure,
674,portfolio,trading,
675,portfolio,value,
676,portfolio,vector,
677,portfolio,weights,
678,potential,potential,
679,powell,powell,
680,power of matrix,power of matrix,
681,precision,precision,
682,prediction error,prediction error,
683,price,price,
684,price,elasticity,
685,price,equilibrium,
686,price,vector,
687,probability,probability,
688,product,product,
689,product,block matrix,
690,product,cross,
691,product,dot,
692,product,inner,
693,product,matrix-matrix,
694,product,matrix-vector,
695,product,outer,
696,projection,projection,
697,proportions,proportions,
698,pseudo-inverse,pseudo-inverse,
699,push-through identity,push-through identity,
700,pythagoras of samos,pythagoras of samos,
701,qr factorization,qr factorization,
702,quadrature,quadrature,
703,random features,random features,
704,raphson,raphson,
705,rational function,rational function,
706,recall rate,recall rate,
707,receiver operating characteristic,receiver operating characteristic,roc
708,recommendation engine,recommendation engine,
709,recursive least squares,recursive least squares,
710,regression,regression,
711,regression,house price,
712,regression,logistic,
713,regression,model,
714,regression,to the mean,
715,regressors,regressors,
716,regularization,regularization,
717,regularization,parameter,
718,regularization,path,
719,regularization,terms,
720,relation,relation,
721,relation,friend,
722,residual,residual,
723,residual sum of squares,residual sum of squares,rss
724,resistance matrix,resistance matrix,
725,return,return,
726,return,annualized,
727,return,matrix,
728,return,vector,
729,reversal function,reversal function,
730,reverser matrix,reverser matrix,
731,rgb,rgb,
732,richardson,richardson,
733,ridge regression,ridge regression,
734,right inverse,right inverse,
735,right-hand side,right-hand side,
736,risk,risk,
737,risk-free asset,risk-free asset,
738,rms,rms,
739,rms,deviation,
740,rms,prediction error,
741,rms (root-mean-square),rms (root-mean-square),
742,roc,roc,
743,root-mean-square,root-mean-square,rms
744,rotation,rotation,
745,round-oﬀ error,round-oﬀ error,
746,row vector,row vector,
747,row vector,linearly independent,
748,running sum,running sum,
749,samples,samples,
750,sampling interval,sampling interval,
751,scalar,scalar,
752,scalar-matrix multiplication,scalar-matrix multiplication,
753,scalar-vector multiplication,scalar-vector multiplication,
754,scaling,scaling,
755,schmidt,schmidt,
756,schwarz,schwarz,
757,score,score,
758,seasonal component,seasonal component,
759,seasonally adjusted time series,seasonally adjusted time series,
760,second diﬀerence matrix,second diﬀerence matrix,
761,sector exposure,sector exposure,
762,segment,segment,
763,sensitivity,sensitivity,
764,shaping demand,shaping demand,
765,short position,short position,
766,shrinkage,shrinkage,
767,σ (sigma),σ (sigma),
768,sigmoid function,sigmoid function,
769,sign function,sign function,
770,signal,signal,
771,signal,ﬂow graph,
772,simpson’s rule,simpson’s rule,
773,simpson,simpson,
774,singular matrix,singular matrix,
775,sink,sink,
776,skewed classiﬁer,skewed classiﬁer,
777,slice,slice,
778,social network graph,social network graph,
779,source,source,
780,sparse,sparse,
781,sparse,constrained least squares,
782,sparse,least squares,
783,sparse,linear equations,
784,sparse,matrix,
785,sparse,matrix multiplication,
786,sparse,qr factorization,
787,sparse,vector,
788,speciﬁcity,speciﬁcity,
789,spherical distance,spherical distance,
790,spline,spline,
791,square,square,
792,square,matrix,
793,square,system of equations,
794,squareroot of matrix,squareroot of matrix,
795,stacked,stacked,
796,stacked,matrix,
797,stacked,vector,
798,standard deviation,standard deviation,
799,standardization,standardization,
800,standardized features,standardized features,
801,state,state,
802,state feedback control,state feedback control,
803,std (standard deviation),std (standard deviation),
804,steganography,steganography,
805,steinhaus,steinhaus,
806,stemming,stemming,
807,stoichiometry,stoichiometry,
808,stop words,stop words,
809,straight-line ﬁt,straight-line ﬁt,
810,stratiﬁed model,stratiﬁed model,
811,subadditivity,subadditivity,
812,submatrix,submatrix,
813,subset vector,subset vector,
814,subtraction,subtraction,
815,subtraction,matrix,
816,subtraction,vector,
817,subvector,subvector,
818,sum,sum,
819,sum,linear function,
820,sum,matrix,
821,sum,of squares,
822,sum,vector,
823,superposition,superposition,
824,supply chain dynamics,supply chain dynamics,
825,support vector machine,support vector machine,
826,survey response,survey response,
827,symmetric matrix,symmetric matrix,
828,tall matrix,tall matrix,
829,taylor approximation,taylor approximation,
830,taylor,taylor,
831,term frequency inverse document frequency,term frequency inverse document frequency,tfidf
832,test data set,test data set,
833,tfidf,tfidf,
834,thermal resistance,thermal resistance,
835,tikhonov,tikhonov,
836,time series,time series,
837,time series,auto-regressive model,
838,time series,de-trended,
839,time series,prediction validation,
840,time series,seasonally-adjusted,
841,time series,smoothing,
842,time series,vector,
843,time-invariant,time-invariant,
844,toeplitz matrix,toeplitz matrix,
845,toeplitz,toeplitz,
846,topic discovery,topic discovery,
847,trace,trace,
848,tracking,tracking,
849,trade list,trade list,
850,trade-oﬀ curve,trade-oﬀ curve,
851,training data set,training data set,
852,trajectory,trajectory,
853,transpose,transpose,
854,tree,tree,
855,trend line,trend line,
856,triangle inequality,triangle inequality,
857,triangular matrix,triangular matrix,
858,trim conditions,trim conditions,
859,true negative rate,true negative rate,
860,true positive rate,true positive rate,
861,tucker,tucker,
862,uncorrelated,uncorrelated,
863,under-determined,under-determined,
864,unit vector,unit vector,
865,units for vector entries,units for vector entries,
866,up-conversion,up-conversion,
867,upper triangular matrix,upper triangular matrix,
868,validation,validation,
869,validation,classiﬁcation,
870,validation,limitations,
871,validation,set,
872,validation,time series prediction,
873,vandermonde matrix,vandermonde matrix,
874,vandermonde,vandermonde,
875,variable,variable,
876,vector,vector,
877,vector,addition,
878,vector,aﬃne combination,
879,vector,aligned,
880,vector,angle,
881,vector,anti-aligned,
882,vector,ar model,
883,vector,basis,
884,vector,block,
885,vector,boolean,
886,vector,cash ﬂow,
887,vector,clustering,
888,vector,coeﬃcients,
889,vector,color,
890,vector,components,
891,vector,computer representation,
892,vector,correlation coeﬃcient,
893,vector,customer purchase,
894,vector,de-meaned,
895,vector,dependent,
896,vector,diﬀerence,
897,vector,dimension,
898,vector,distance,
899,vector,entries,
900,vector,equality,
901,vector,feature,
902,vector,histogram,
903,vector,image,
904,vector,independence,
905,vector,inner product,
906,vector,large,
907,vector,linear combination,
908,vector,linear dependence,
909,vector,linear independence,
910,vector,location,
911,vector,matrix multiplication,
912,vector,missing entry,
913,vector,mixture,
914,vector,nonnegative,
915,vector,occurrence,
916,vector,ones,
917,vector,orthogonal,
918,vector,orthonormal,
919,vector,outer product,
920,vector,portfolio,
921,vector,price,
922,vector,probability,
923,vector,proportions,
924,vector,quantities,
925,vector,return,
926,vector,rms deviation,
927,vector,rms value,
928,vector,row,
929,vector,slice,
930,vector,small,
931,vector,sparse,
932,vector,stacked,
933,vector,standardization,
934,vector,subset,
935,vector,sum,
936,vector,time series,
937,vector,unit,
938,vector,units for entries,
939,vector,weight,
940,vector,word count,
941,vector,zero,
942,vertex,vertex,
943,video,video,
944,warm start,warm start,
945,way-point constraint,way-point constraint,
946,weather zones,weather zones,
947,weight vector,weight vector,
948,weighted,weighted,
949,weighted,average,
950,weighted,gram matrix,
951,weighted,norm,
952,weighted,sum,
953,weighted,sum of squares,
954,wide matrix,wide matrix,
955,wikipedia,wikipedia,
956,wilkinson,wilkinson,
957,winsor,winsor,
958,winsorized feature,winsorized feature,
959,word count,word count,
960,word count,tfidf,
961,word count,vector,
962,z-score,z-score,
963,zero,zero,
964,zero,matrix,
965,zero,vector,
966,zip code,zip code,
