,concept,key_terms
142,Series and parallel circuits,series circuit|circuit in series|series and parallel circuits|parallel circuit|circuit in parallel
143,Kinetic energy,ke|kinetic energy|k.e.
144,Curved mirror,|curved mirror|convex mirror|spherical mirror|concave mirror
145,Physics,physics
146,Free body diagram,fbd|free body diagram
147,Electric current,current|electric current
148,Ammeter,current measurment|measure current|ammeter
149,Magnification,magnification
150,Scalar multiplication,dot product|scalar product|scalar multiplication|dot multiplication
151,Compression (physics),compression
152,Total internal reflection,total internal reflection|tir
