,concept,wiki_terms
23,Free fall,Free-falling|Freefall (physics)|Free Fall|Freefalling|Freefall|Freeflight|Falling (physics)|Free-f+all|Free-fall|Highest sky dive|Free falling|Falling from a plane
24,Huygens–Fresnel principle,Huygens principle|Huygen's principle|Huygens's Principle|Huyghens principle|Diffraction losses|Huygens-fresnel principle|Huygens' wave theory|Huygens' Principle|Huygens Principle|Huygens-Fresnel Principle|Difraction losses|Huygens' principle|Huygens'-Fresnel principle|Huygens-Fresnel principle|Huygen principle|Huygens's principle|Huygen's Principle|Huygens Fresnel principle|Fresnel principle|Fresnel's principle|Huygens' construction|Huygens–Fresnel equation
25,Scalar (mathematics),Basefield|Base field
26,Electrical resistance and conductance,Electric conductance|Electrical conductance|Electrical Resistance|Electric resistance|Resistance (electricity)|Electrical-resistance|Electrical resistence|Resistive|Resistance (physics)|Electrical Conductance|Electric resistnace|Resistance (electronics)|Resistance in Wires|Ac resistance|AC resistance|Electrical resistance|Electrical resistance & conductance
27,Temperature,Absolute scale of temperature|Temperture|Temperature measure|Surface temperature|Temperatures|Air temperature|Temparature|Tempurature|Temporature|Static temperature|Hottest|Outside temperature
28,Displacement (vector),Displacement (of location)|Displacement (distance)|Displacement vector|Pop (physics)
29,Power (physics),
30,Speed,Speeds|Average speed|Swiftness|Slowing|Slowness|Instantaneous speed|Promptness|Promptitude|Hastiness|Speedful|Speedfully|Speedfulness|Speedless|Tangential velocity|Constant Speed|Pokiness|Pokily|Instantaneous speeds|Slow|Tangential speed|Speeed
31,Normal force,Normal Force|Normal reaction
32,Le Sage's theory of gravitation,Gravity (LeSage)|Kinetic theory of gravity|LeSage (gravity)|LeSage gravity|Le Sages theory of gravitation|LeSage's theory of gravitation|LeSage Gravity|Le Sage theory of gravitation|Pushing gravity|Shadow gravity|Push gravity|Mock gravity
33,Newton's laws of motion,
34,Shock wave,
35,Electromagnetic radiation,Electromagnectic radiation|Electromagnetic wave|Electromagnetic waves|EM radiation|E.M. radiation|E. M. radiation|RF radiation|Electro-magnetic radiation|Magnetoelectric wave|Theory of radiation|Electromagnetic Radiation|Radiation emission|Radiation emissions|Em wave|EM wave|EM Waves|E-M Waves|Em waves|Electronic smog|Electromagnetic Wave|Electromagnetic wave theory|Electro magnetic waves|Emag waves|User:Jason Patton/Micrometeorology|Electrical smog|Electromagnetic resonance|Electromagnetic Waves|Electro magnetic energy|Electromagnetic emission|Electromagnetic emissions|Photon radiation
36,Gravitational field,Gravitational fields|Gravitational Field|Newtonian gravitational field|Gravitation field
37,Direction (geometry),"Direction (geometry, geography)"
38,Specular reflection,Law of reflection|Specularly reflected|Specular|Law of Reflection|Specular Reflection|Regular reflection|The law of reflection|Specular refrector
39,Subtractive color,
40,Refractive index,Index of refraction|Refractive indices|Complex index of refraction|Index of Refraction|Refraction index|Refracting index|Refractivity|Refractive Index|Negative index of refraction|Index Of Refraction|Absolute refractive index|Optical extinction coefficient|Complex refractive index
41,Electrical polarity,Electrical Polarity|Negative (electricity)|Positive (electricity)
42,Photoelectric effect,PhotoElectricEffect|Photo electric effect|Photoemission|Photoelectric Effect|Photoelectron|Photoelectric emission|Photoeffect|Hertz effect|Hertz Effect|Photoelectric|Photo-Electric Effect|Photo-electric effect|The Photoelectric effect|Photoelectricity|Photo-Eletric Effect|Photoelectron effect|Photoelectric effect equation|Threshold Frequency|Photoelectrons
43,Coulomb,Petacoulomb|Zettacoulomb|Exacoulomb|Picocoulomb|Teracoulomb|Attocoulomb|Femtocoulomb|Gigacoulomb|Kilocoulomb|Megacoulomb|Nanocoulomb|Yoctocoulomb|Yottacoulomb|Zeptocoulomb|Millicoulomb|Coulomb (unit)|Columb|Picocoulombs|Q=it|Coloumb|Microcoulomb|Ampere-second
44,Magnetism,Magnetic|Magnetic ordering|Nonmagnetic|Magnetically|Magneticism|Magnetics|Repulsive force (magnetism)|Magnetize|Magnetic Attraction|Magnetisim|Magneticist|Magnetician|Non-magnetic|Magnetic influence|Magnetic attraction|Magnetic properties|Magnetic property|Speed of magnetism
45,Acceleration,Accelerate|Centripetal acceleration|Deceleration|Accelerative|Accelerating|Accelerations|Centripetal Acceleration|Accelleration|Uniform acceleration|Constant acceleration|Tangental acceleration|Accelerated motion|Accelerated Motion|Radial acceleration|Tangential acceleration|Second temporal derivative of displacement|Uniform Acceleration|Exceleration|Sluther|Sluthers|Sluthered|Sluthering|Accelerates|Accelerated|Decelerating|Constant acceleration formulae|Instantaneous acceleration|Aceleration
46,Electroscope,Leaf electroscope|Capacitance electroscope|Gold-leaf electroscope|Pith ball electroscope|Pith-ball electroscope|Gold leaf electroscope
47,Electric potential energy,Coulomb potential energy|Electric Potential Energy|Electrostatic energy|Electrical potential energy|Electrostatic potential energy|Coulomb energy
48,Refracting telescope,Refractor|Refractor telescope|Refractive telescope|Galilean Telescope|Refracting Telescope|Galilean telescope|Keplerian telescope|Keplerian Telescope|Refractor Telescope|Kepler refractor|Galileo Telescope
49,Mirror image,Mirror images|Mirror Image|Mirror reflection|Mirror plane of symmetry
50,Metre,Meter|Meters|Metres|Terameter|Petameter|Exameter|Zettameter|Attometer|Meter (unit of length)|Measurement System in Meters|Meter (m)|Meter (unit)|Femtometres|Metrical form|Metre (unit)|Meter (distance)|Standard metre
51,Wavelength,Wave length|Wavelengths|Subwavelength|Wavelenght|Vacuum wavelength|Wave lenght|Wavelength of light|Angular wavelength|Optical wavelength|Spatial period
52,Geometrical optics,Geometric optics|Ray optics|Geometric Optics
53,Dispersion (optics),Disperion (optics)|Optical dispersion|Group velocity dispersion|Dispersion of light|Chromatic dispersion|Pulse dispersion|Chromatic dispertion|Dispersion (physics)|Dispersion (radiation)|Dispersive and nondispersive media|Anomalous dispersion|Anomalous Dispersion|Angular dispersion|Angular Dispersion|Material dispersion|Pulse dispersion in fibre optics|Dispersion measure|Normal dispersion
54,Sound intensity,Sound intensity level|Acoustic intensity|Intensity level|Sound Intensity|Acoustic intensity level
55,Plasticity (physics),
56,Electric potential,Electrical potential|Electrostatic potential|Electric scalar potential|Electrical scalar potential|Electrical potential difference|Electric Scalar Potential|Coulomb potential|Coulomb Potential|Electric Potential|Electrical Potential|Potential electric|Scalar potential difference|Vector potential difference
57,Field (physics),Field theory (physics)|Internal group|Physical field|Classical field|Field physics|Relativistic field theory|Internal symmetries|Static field
58,Contact force,
59,Position (vector),Radius vector|Position Vector|Location vector|Position vector|Position function|Position (geometry)|Point vector
60,Physical quantity,Physical quantities
61,Virtual image,Virtual object
62,Real image,Real object
63,Deformation (engineering),Plastic deformation|Elastic deformation|Elastic Deformation|Plastic flow|Plastic deformation in solids|Deformation (geology)|Strain (engineering)
64,Gravitational constant,Newton's constant|Universal gravitational constant|Gravitation constant|Gravitational field strength|Universal Gravitational Constant|Gravitational Constant|Newtonian constant|Gravity constant|Newton constant|Newtonian constant of gravitation|Gravity's constant|Constant of gravitation|Newtonian gravitational constant|Constant of gravity|Newton's Universal Gravitation Constant|Grav const
65,Euclidean vector,Vector (classical mechanics)|Three-vector|Vector sum|Vector addition|Spatial vector|Vector (physics)|Vector subtraction|Relative vector|Spacial vector|Physical vector|Vector methods (physics)|Vector component|Component (vector)|Bound vector|Vector (spatial)|Vector (geometry)|Free vector|Vector (geometric)|Triangle law|Euclidean vectors|Vector components|3d vector|Euclid vector|3D vector|Geometric vector|Magnitude of resultant vector|Euclidian vector
66,Phase velocity,Phase Velocity|Phase velocity vector|Propagation velocity|Propagation speed|Phase speed|Phase velocities
67,Scattering,Radiation scattering|Coherent Scattering|Multiple scattering|Scattered radiation|Deflection angle|Deflection Angle|Coherent scattering|Scattering: Optical Imaging|Scattering state|Scatterer
68,Newton's law of universal gravitation,Law of gravitation|Newtons Laws of Gravity|Law of universal gravitation|Newton's Law of Universal Gravitation|Universal gravitation|Newton Laws of Gravity|Newton's Law of Gravitation|Law of Universal Gravitation|Newton's law of gravitation|Newtonian gravity|Newton's law of gravity|Newton's gravitational law|Newton's theory of gravitation|Gravitational Force|Newton’s law of gravitation|Newtonian Gravitational field|Newton's Law of Gravity|Newton law of gravitation|Newton law of gravity|Newton theory of gravitation|Newtonian gravitation|Newton's Universal Law of Gravitation|Gravitation law|Newtons law of gravity|Newton’s law of universal gravitation|Law of gravitational attraction|Law of universal gravity|Universal gravity|Universal Gravitation|Gravity Inverse Square Law|Newtonian attraction|Law of Gravitation|Newton's theory of gravity|Classical gravitation|Newton's theory
69,Motion graphs and derivatives,Position vs. time graph|Velocity vs. time graph|Displacement vs. time graph|D-t graph|V-t graph|Position vs. time curves
70,Torque,Torque/Proofs|Principal of moments|Principle of moments|Torques|Torque curve|Moment arm|Moment of force|Lever arm|Rotation moment|Torqued|Rotational force|External torque|Force moment
71,Ray (optics),Leaky ray|Refracted ray|Light ray|Incident ray|Incident light|Meridional ray|Reflected ray|Leaky rays|Tunneling rays|Tunneling ray|Marginal ray|Chief ray|Tangential ray|Sagittal ray|Transverse ray|Skew ray|Chief Ray|Light rays|Ray of light
72,Fracture,
73,Lever,Second-class lever|First-class lever|Fulcrum (mechanics)|Third-class lever|Levers
74,Electric charge,Electric Charge|Electrical charge|Positive charge|Negative charge|Positive static charge|Electric polarity|Electric charges|Electrically charged|Electrostatic charge|Negative Charge|Positive Charge|Q (electricity)|Electrically neutral|Positive electricity|Positively charged|Negatively charged|Electrification by friction|Specific charge|Elementary electrostatic charge
75,Wave,Wave theory|Wave Motion|Undulatory Theory|Traveling Wave|Traveling wave|Waving|Wave (physics)|Wave (the earth sciences)|Billow|Wave motion|Wave motion in fluids|Wave motion in liquids|Travelling wave|Waves|Periodic wave|Progressive wave|Traveling waves
76,Standing wave,Standing waves|Stationary wave|Standing Wave|Standing-wave|Stationary vibration|Standing Waves|Stationary Waves|Stationary waves
77,Angle of incidence,Glancing angle|Rigging angle|Incidence angle|Angle of Incidence|Grazing angle|Incident angle|Incident angles|Normal incidence|Grazing ange|Grazing incidence|Angles of incidence
78,Hertz,Hz|MHz|Kilohertz|KHz|Mhz|1 E3 Hz|Gigahertz|GHz|Petahertz|Exahertz|KHZ|MHZ|THZ|Zettahertz|Yottahertz|EHz|Field rate|PHz|㎐|㎑|㎒|㎓|㎔|Gihz|Khz|DaHz|MegaHertz|Picohertz|Femtohertz|Attohertz|Yoctohertz|Zeptohertz|Nanohertz|Microhertz|Millihertz|Decahertz|Decihertz|Centihertz|Hectohertz|Tetrahertz|Reciprocal seconds|ZHz|Megacycles|Hertz (unit)|Hertez|Khertz|Megahertz|Hertz (frequency)
79,Intensity (physics),Intensity/version 2|Specific intensity|Specific Intensity
80,Transmission medium,Transmission media|Unguided transmission media
81,Insulator (electricity),Electrical insulators|Glass insulators|Glass insulator|Nonconductor|Nonconductors|Non-conductor|Insulator (power engineering)|Insulator string|Telegraph insulators|Electrical insulator|Electric insulator|Weathershed|Insulator chain|Insulation (electric)|Insulation (electrical)|Electric insulation|Electrical insulation|Insulator (Electrical)|Creepage|Insulator (electric)|Non-conductors|Nonconducting|Non-conducting|Insulator (electrical)|Electrical Insulator|Electricity insulation|Creepage distance
82,Friction,Friction coefficient|Frictional coefficient|Coefficient of friction|Static friction|Kinetic friction|Coefficient of static friction|Sliding friction|Sliding Friction|Kinetic Friction|Static Friction|Frictional force|Force of friction|Frictional Force|Coulomb friction|Frictionless|Angle of friction|Friction coefficients|Coefficient of kinetic friction|Dynamic friction|Dry friction|Starting friction|Friction angle|Internal friction|Friction physics|Limiting friction|Starting Friction|Coefficient of sliding friction|Coulomb's law of friction|Contact friction
83,Refraction,Refracted|Refract|Refractive|Apparent depth|Refringence|Refracting|Refraction of waves|Light refraction|Refrection of light|Refractions|Light Refraction|Refraction of light|Optical surfaces|Refracts|Wave refraction
84,Non-inertial reference frame,Accelerated reference frame|Accelerated frame|Non-inertial frame|Noninertial frame|Non inertial frame|Noninertial reference frames|Non-inertial frame of reference|Non-Inertial frames of reference
85,Tension (physics),Tensile|Tension (mechanics)|Unbalanced forces|Tensile force|Unbalanced force|Uniaxial tension|Slacken|Slackens|Slackening|Slackened|Slackener|Slackeners|Tensility
86,Potential energy,Potential Energy|Magnetic potential energy|Gravitation energy|-GMm/r|Potential gravitational energy|Nuclear potential energy|Potential energy function|Potential Energy Function|Magnetic Potential Energy
87,Gravity of Earth,Little g|Gravity (earth)|Gravity (Earth)|Earth’s gravity|Earths Gravity|Earth's Gravity|Gravity earth|Earths gravitation force|Earth's gravity|Gravity on Earth|Earth gravity|Earth's gravitation
88,Force,Force (physics)|Forces|Force vector|Pull (physics)|Fource|Amain|Nonconservative Force|Attractive (force)|Forc|Physical force|Elastic force|Unit of force
89,Field line,Fieldline|Field Lines|Line of flux|Flux line
90,Elasticity (physics),Elasticity theory|Elastostatics|Elasticity (solid mechanics)|Elastic (solid mechanics)|Elasticity of materials|Elastic solid|Elastic body
91,Interference (wave propagation),Wave interference|Interference pattern|Constructive interference|Phase cancellation|Constructive Interference|Interference Pattern|Interference (wave motion)|Interference fringe|Destructive interference|Quantum Interference|Destructive Interference|Interference Fringe|Interference of waves|Quantum interference|Interferogram|Antisound|Optical interference|Interference (Physics)|Interference (physics)|Light interference|Interference (optics)|Interference pattern (disambiguation)|Interference (light)|Complete Destructive interference
92,Reflection (physics),Reflective|Angle of reflection|Reflection of light|Angle of Reflection|Reflection of sound|Reflection of electromagnetic radiation|Reflection of Light|Reflected light|Abnormal reflection|Reflection (optics)|Sound reflection|Laws of reflection|Reflection (physics
93,Gravitational acceleration,Acceleration of free fall|Gravitational Acceleration|Gravitational acceleration of a ball
94,Crystallinity,Crystalline|Crystaline|Holocrystalline|Hypocrystalline|Hypohyaline|Holohyaline|Semi-crystalline|Crystalline powder|Semicrystalline|Crystallinely|Crystalinely|Crystallinities|Crystalinities|Crystallineness|Crystalineness
95,Creep (deformation),
96,Electromagnetic spectrum,Electromagentic spectra|Light spectrum|Spectrum of light|EM spectrum|EM Spectrum|Stellar Specta|Electromagnetic Spectrum|IR spectrum|Electrocmagnetic spectrum|Em spectrum|Solar Light|Radiation spectrum|Electomagnetic spectrum|Electro-magnetic spectrum|Electro magnetic spectrum|Electromagnetic frequency spectrum|Spectral range
97,Voltage,Potential difference|Electric Potential Difference|Voltages|Potential Difference|Electric tension|Electric potential difference|Difference of electric potential|Difference of electrical potential|Difference in electrical potential|Difference in electric potential|Difference of potential|Voltage difference|Electrical tension|Electrical voltage|Terminal potential difference
98,Distance,Distances|Distance formula|Equi-distant|Distance Formula|Distance in time|Time distance|Proximities|Algebraic distance|Directed distance|Proximity
99,Dielectric,Dielectric level|Paraelectricity|Dielectric dispersion|Dipolar polarization|Ionic polarization|Dielectric media|Dielectric medium|Dielectric relaxation|Debye relaxation|Debye equation|Dielectrics|Dialectric|Dielectric materials|Relaxation time of electrons|Dielectric relaxation as a chemical rate process|Dielectric relaxation asa chemical rate process|Paraelectric|Dielectric polarization|Dielectric properties|Dielectric response|Dielectric material|Perfect dielectric
100,Gravity,Gravity (old version)|Gravitational interaction|Gravitational force|Gravitational attraction|Gravitational|Gravitaiton|Gravitational theory|Theory of gravitation|Force of gravity|Theories of gravitation|Gravitational motion|Law of gravity|Fg (physics)|Gravitation (astronomy)|Gravitational pull|Laws of gravity|Gravitational physics|Theory of Gravitation|Acceleration of gravity|Vertical Circular Motion|Theory of gravity|Gravitate|Gravitates|Gravitated|Gravitating|Gravitationally|Gravity (astronomy)|Formulae of gravity|Gravity and motion|Apparent gravity|Law of Gravity|Laws of Gravity|Newtonian theory of gravitation|Physics/Gravity|Theory of Gravity|Gravitation
101,Electrical conductor,Conductor current capacity|Conductor (science)|Printed Circuits/Conductor Current Capacity|Conductor (electrical)|Conductive|Transportation of electricity or heath|Transportation of electricity|Conductor (power engineering)|Conductor (electricity)|Conductor (material)|Conductor material|Conductor of electricity|Electrical conductors|Electricity conductor|Electrical Conductor
102,Mechanical energy,Conservation of mechanical energy|Mechanical Energy
103,Electromotive force,
104,Electrostatics,Electrostatic|Coulombic attraction|Electrostatic repulsion|Static eliminator|Electrostatic interactions|Classical electrostatics|Charge-charge interaction
105,Equations of motion,Uniformly accelerated motion|SUVAT equations|Suvat equations|Uvast|Equations of Motion|SUVAT|DAVTU|DAVTU equations|DAVTU Equations|Equation of motion|Motion equation|Rotational form|Vusat equations|Vuxat|Vusat|Vuxat equations|Formulas for constant acceleration
106,Rarefaction,Rarefraction|Rarefied|Rarefied air|Rarefy|Rarify|Rarifies|Rarefies|Rarified|Rarifying|Rarefying|Rarifaction|Rarefactions|Rarifactions
107,Coulomb's law,
108,Electron,Electrons|Beta minus particle|Mass of electron|Electron theory|Electron Mass|Mass of an electron|Electron lepton|Electron movement|Negative electron|Antipositron|Negaton|Mass of the electron
109,Stiffness,Torsional rigidity|Flexibility|Compliance (mechanics)
110,Tangential and normal components,Tangential component|Normal component|Tangent component|Perpendicular component|Paralel component|Parallel component
111,Magnet,Permanent magnet|Magnets|Magnetic material|10 uses of magnets|Bar magnet|Magnetic materials|Permanent magnets|Magnetic polarity|Magnetic Sweeper|MAGNETS|Horseshoe magnet|Ampere model|Ampère model|Horse shoe magnet|Magnetized material
112,Emission spectrum,Energy spectrum|Emission spectra|Emission coefficient|Line-emission spectrum|Atomic Emission Spectrum|Emission spectroscopy|Emission spectrometry|Molecular radiation|Atomic Spectra|Molecular emission|Spectral emissions|Atomic spectrum|Emission (electromagnetic radiation)|Molecular band emission|Molecular spectra|Molecular Spectra|Energy spectra|Bright-line spectrum|Flame emmission spectrometer|Line spectrum|Emission Spectroscopy|Emission (light)
113,Fatigue (material),
114,Crest (physics),Crest (Physics)|Trough (physics)|Wave crest
115,Length,Width|Lengths|Breadth|Legnth|Lenght|Length dimension
116,Diffraction,Diffracted|Diffractive optics|Diffraction of light|Diffraction pattern|Light bend|Diffraction Pattern|Diffract|Defraction|Laser Light Diffraction|Single slit diffraction|Diffracts|Diffraction of Light|Difraction|Single slit|Single-slit|Singleslit|Single slits|Single-slits|Singleslits|Single slitted|Single-slitted|Singleslitted|Single-slit diffraction|Singleslit diffraction|Single slit diffractions|Single-slit diffractions|Singleslit diffractions|Wedge fringe|Wedge fringes|Diffractogram|Diffractive|Diffractions
117,Mass,Inertial mass|Gravitational mass|Metric unit of weight|Metric mass|Metric weight|Mass (physics)|Inertial Mass|Gravitational Mass|Mass properties|Units of mass|Active gravitational mass|Mass Properties|Maſs|Massed|Massingly|Massedly|Massiveness|Massivenesses|Massives|Passive gravitational mass|Weight (mass)|Gravitic mass|Unit of mass
118,Color,Colour|Color science|Colours|Colourful|Color list|Colors|Black (Colour)|Colo(u)r|Structural colour|Colur|COLORS|Colour science|Incomplete list of colors and shades|Shades of Color|Färg|List colors|Colorful|Talk:List of colors: N–Z|Talk:List of colors: G–M|Talk:List of colors: A–F|Colour or Color|User:OfficialMrCoda/sandbox|Wikipedia:Colour or Color
119,Magnetic field,Magnetic flux density|B-Field|B-field|Magnetic field density|Magnetic Field|Magnetic field strength|Magnetic force field|Nonlinear magnetic field|Magnetic fields|Magnetic Flux Density|H-field|Magnatic field|B-fields|Magnetic field lines|Magnetic field line|Magnetizing field|Auxiliary magnetic field|H field|Effective magnetic field|Magnetic field intensity|Strong magnetic field|Magnetic field energy density|Magnetic Field Energy Density|Magnetic field vector|Magnetic lines of force|Amperes per meter|Amperes per metre|Applied magnetic field
120,Absorption spectroscopy,Absorption spectrum|Absorbtion spectroscopy|Absorption spectra|Crystal absorption spectra|Excitation wavelength|Dark-line spectrum|Absorption spectrometry|Absorption curve|Absorption Spectrum|Transmission spectroscopy|Absorption maxima|Absorption maximum
121,Strength of materials,Mechanical strength|Materials strength|Mechanics of materials|Strength (material)|Stress-strain relations|Strength of Materials|Material strength|Resistance of materials
122,Projectile motion,Projectile Motion
123,Plane mirror,Flat mirror
124,Laser,
125,Kilogram,Kilograms|Milligram|Kg|International prototype of the kilogram|Kilogramme|Milligramme|Milligrams|Gram (unit)|Gigagrams|㎏|Kilogram prototype|Prototype kilogram|Micrograms|Yactogram|IPK|International Prototype Kilogram|Kilogrammes|International prototype kilogram|Avogadro project|Avogadro Project|Project Avogadro|Le Grand K|Kilogramme des Archives|Teragram|Killogram|Kilagram|Killagram|Standard kilogram
126,Ohm,Megaohm|Megohm|Kilohm|Megaohms|Gigaohm|Ohm (unit)|㏀|㏁|KΩ|ΚΩ|Teraohm|Gohm|Kiloohm|Milli-ohm|Milliohm|International ohm
127,Inelastic collision,Inelastic interaction|Inelastic interactions|Inelastic Collision|Plastic Collision|Inelastic collisions|Perfectly inelastic collision|Perfectly Inelastic Collision
128,Hardness,Hardness (materials science)|Indent test|Softness|Indent Test|Hardness tests|Dynamic hardness|Rebound hardness|Hardness tester|Hard matter|Absolute hardness|Softness (disambiguation)|Durezza|Hardness testing|Surface hardness
129,Collision,Colliding|Collisions|Closing speed|Jostle|Collision of bodies|💥|Allision
130,Frequency,Wave period|Frequencies|Frequency range|Period (physics)|Frequency (wave motion)|Frequency band|Frequency dependence|Oscillation frequency|Frekvens|Periodic time|Waveband|Frequency measurement|Period (frequency)|Temporal frequency
131,Total internal reflection,
132,Curved mirror,
133,Musical tone,
134,Series and parallel circuits,
135,Electric current,
136,Magnification,
137,Ammeter,
138,Frame of reference,
139,Ohmmeter,
140,Motion,
141,Resultant force,
142,Scalar multiplication,
143,Compression (physics),
144,Voltmeter,
145,Compass,
146,Pitch (music),
147,Free body diagram,
148,Capacitor,
149,Kinetic energy,
150,Physics,
151,Ohm's law,
