,concept,type,rank,filter_concept_list,filter_freq_list
123,Newton's law of universal gravitation,1,79.0,Newton's laws of motion|Mass|Force|Direction (geometry)|Distance|Gravitational constant|Kilogram|Metre|Gravity|Length,1|17|12|1|3|1|7|1|3|1
124,Field line,2,80.0,Electric charge|Position (vector)|Electric field|Magnet|Field (physics)|Direction (geometry),8|3|3|1|5|2
125,Capacitance,1,81.0,Electrical resistance and conductance|Frequency,1|8
126,Capacitor,1,81.0,Electrical resistance and conductance|Frequency,1|8
127,Dielectric,1,82.0,Electric field|Capacitor|Field (physics)|Voltage|Capacitance|Electric charge,3|8|2|5|3|4
128,Color,1,83.0,Light|Wave|Amplitude|Frequency|Wavelength|Velocity|Speed|Refraction|Work (physics)|Hardness|Electron|Reflection (physics)|Plasticity (physics),64|3|1|21|9|3|6|4|1|1|1|7|1
129,Projectile motion,2,84.0,Motion|Direction (geometry)|Position (vector)|Velocity|Motion graphs and derivatives,3|1|1|2|1
130,Elastic collision,1,85.0,Energy|Collision,14|4
131,Inelastic collision,1,86.0,Energy|Collision|Force|Physics|Work (physics)|Laser|Electric current|Field (physics)|Metre|Optical microscope|Electron,24|4|2|5|4|1|2|2|1|1|1
132,Elasticity (physics),2,87.0,Plasticity (physics)|Force,8|3
133,Relative velocity,1,88.0,Velocity,4
134,Hooke's law,1,89.0,Force|Compression (physics)|Tension (physics)|Direction (geometry)|Elasticity (physics)|Metre,6|4|2|1|1|1
135,Fracture,2,90.0,Plasticity (physics)|Elasticity (physics)|Force,9|5|8
136,Creep (deformation),2,91.0,Plasticity (physics)|Elasticity (physics)|Fracture|Force,1|1|3|5
137,Fatigue (material),2,91.0,Plasticity (physics)|Elasticity (physics)|Fracture|Force,1|1|3|5
138,Deformation (engineering),2,91.0,Force|Compression (physics)|Tension (physics)|Direction (geometry)|Hooke's law|Elasticity (physics)|Metre|Work (physics)|Fracture|Plasticity (physics),14|4|2|1|11|4|1|1|3|3
139,Doppler effect,1,92.0,Pitch (music)|Frequency|Wavelength|Wave|Sound|Amplitude|Direction (geometry)|Speed|Velocity|Distance|Reflection (physics)|Hertz|Metre|Light|Color|Telescope|Position (vector),4|25|19|25|19|1|4|5|4|3|3|1|4|23|4|2|1
140,Electromagnetic radiation,1,93.0,Wave|Magnet|Direction (geometry)|Frequency|Light|Ray (optics)|Energy|Energy level|Electric charge|Electric field|Field (physics)|Sound|Speed|Physics|Reflection (physics)|Color|Wavelength|Joule|Hertz|Metre|Work (physics)|Plasticity (physics)|Interference (wave propagation),18|4|1|4|31|6|12|1|1|4|5|1|3|3|3|1|13|1|2|1|1|2|1
141,Dispersion (optics),2,94.0,Light|Wavelength|Color|Speed|Frequency|Refraction,22|1|4|3|5|4
142,Subtractive color,2,95.0,Color|Light,6|2
143,Pigment,2,96.0,Color|Light,6|1
144,Huygens–Fresnel principle,1,97.0,Wave|Light,4|1
145,Sonic boom,2,98.0,Speed|Sound|Wave|Direction (geometry)|Work (physics),14|16|5|1|1
146,Shock wave,2,99.0,Wave|Speed|Sound|Direction (geometry)|Wavelength|Doppler effect|Frequency|Work (physics)|Sonic boom|Distance,14|23|34|4|2|2|1|2|3|1
147,Electromagnetic spectrum,1,100.0,Field (physics)|Light|Physics|Electromagnetic radiation|Reflection (physics)|Color|Wavelength|Wave|Ray (optics),1|7|2|3|1|1|11|3|1
148,Scattering,2,101.0,Electron|Energy level|Energy|Light|Wavelength|Strength of materials|Direction (geometry)|Reflection (physics)|Geometrical optics|Ray (optics)|Refraction|Optical microscope|Color|Specular reflection|Plasticity (physics),12|10|15|32|18|1|5|10|2|3|2|1|5|1|1
149,Photoelectric effect,1,102.0,Hertz|Light|Electron|Wave|Energy|Color|Wavelength|Frequency|Work (physics)|Diffraction|Energy level|Electrical conductor|Electrical resistance and conductance|Electric current|Voltage|Reflection (physics)|Scattering,2|21|26|7|22|1|2|1|8|2|2|1|1|4|1|1|1
150,Emission spectrum,1,103.0,Electron|Energy|Energy level|Temperature|Color|Light|Wavelength|Voltage|Electrical conductor|Electric current|Electromagnetic radiation|Frequency,10|11|12|2|5|5|5|2|1|3|2|2
151,Absorption spectroscopy,1,104.0,Energy|Electron|Energy level|Scattering|Light|Wavelength|Emission spectrum,3|2|5|1|3|2|4
