,Unnamed: 0,topic_a,topic_b,relation,tfidf_score,wiki_tfidf_score
34,34,Snell's law,Speed,1,0.2147575114246372,0.2147575114246372
35,35,Electric potential,Joule,0,0.05997393081426194,0.05997393081426194
36,36,Temperature,Physics,0,0.0,0.0
37,37,Energy level,Temperature,0,0.08549917699419342,0.08549917699419342
38,38,Velocity,Doppler effect,0,0.0,0.0
39,39,Normal force,Velocity,0,0.09175569326869364,0.09175569326869364
40,40,Electromagnetic radiation,Velocity,0,0.14087662296870773,0.14087662296870773
41,41,Magnetism,Electric current,0,0.0,0.0
42,42,Electric potential,Magnetic field,0,0.0,0.0
43,43,Newton's law of universal gravitation,Physics,1,1.0,1.0
44,44,Position (vector),Acceleration,0,0.0,0.0
45,45,Refractive index,Wave,1,0.14685324593568627,0.14685324593568627
46,46,Physics,Snell's law,0,0.0,0.0
47,47,Energy,Joule,0,0.09337713278676228,0.09337713278676228
48,48,Electromotive force,Voltage,1,0.7504305995354984,0.7504305995354984
49,49,Diffraction,Scattering,0,0.0,0.0
50,50,Plane mirror,Length,0,0.039337773071130205,0.039337773071130205
51,51,Capacitance,Coulomb,0,0.1949814008940187,0.1949814008940187
52,52,Dielectric,Voltage,0,0.3631115804204025,0.3631115804204025
53,53,Refractive index,Refraction,1,0.0,0.0
54,54,Magnetism,Field line,0,0.0,0.0
55,55,Energy level,Energy,1,0.5762033707338443,0.5762033707338443
56,56,Distance,Optical microscope,0,0.0,0.0
57,57,Elastic collision,Kinetic energy,1,0.12261526381100175,0.12261526381100175
58,58,Electrostatics,Electric current,0,0.0,0.0
59,59,Displacement (vector),Mass,0,0.042435647301508464,0.042435647301508464
60,60,Projectile motion,Speed,1,0.15450609849716948,0.15450609849716948
61,61,Electron,Electroscope,0,0.0,0.0
62,62,Electroscope,Electrostatics,0,0.2409086437499815,0.2409086437499815
63,63,Intensity (physics),Light,0,0.1049103502731737,0.1049103502731737
64,64,Electron,Frequency,0,0.16224246582974208,0.16224246582974208
65,65,Angle of incidence,Ray (optics),0,0.0,0.0
66,66,Temperature,Absorption spectroscopy,0,0.0,0.0
67,67,Newton's laws of motion,Collision,0,0.0,0.0
68,68,Mirror image,Reflection (physics),1,0.1831162477495396,0.1831162477495396
69,69,Laser,Absorption spectroscopy,0,0.0,0.0
70,70,Work (physics),Potential energy,0,0.0,0.0
71,71,Voltage,Electromotive force,0,0.0,0.0
72,72,Absorption spectroscopy,Wavelength,1,0.13824349238735578,0.13824349238735578
73,73,Position (vector),Force,0,0.0,0.0
74,74,Acceleration,Work (physics),0,0.031548141243083784,0.0
75,75,Reflection (physics),Total internal reflection,0,0.0,0.0
76,76,Power (physics),Energy,1,0.13252677526878415,0.13252677526878415
77,77,Absorption spectroscopy,Planet,0,0.17509962094421413,0.17509962094421413
78,78,Refractive index,Laser,0,0.0,0.0
79,79,Gravity,Doppler effect,0,0.0,0.0
80,80,Amplitude,Doppler effect,0,0.0,0.0
81,81,Wave,Tension (physics),0,0.05572622502790037,0.0
82,82,Intensity (physics),Velocity,0,0.14087662296870773,0.14087662296870773
83,83,Gravity of Earth,Torque,0,0.0,0.0
84,84,Deformation (engineering),Elasticity (physics),0,0.22078033661376315,0.22078033661376315
85,85,Acceleration,Electric potential,0,0.0,0.0
86,86,Work (physics),Position (vector),1,0.0,0.0
87,87,Magnetic field,Mirror image,0,0.04677318641660515,0.0
88,88,Electromagnetic spectrum,Wavelength,1,0.5940150063519194,0.5940150063519194
89,89,Emission spectrum,Frequency,1,0.06283676454358264,0.06283676454358264
90,90,Potential energy,Power (physics),0,0.0,0.0
91,91,Specular reflection,Wave,1,0.10489517566834733,0.10489517566834733
92,92,Energy,Power (physics),0,0.0,0.0
93,93,Le Sage's theory of gravitation,Collision,0,0.0,0.0
94,94,Specular reflection,Euclidean vector,0,0.08832740646450722,0.08832740646450722
95,95,Electron,Absorption spectroscopy,0,0.0,0.0
96,96,Total internal reflection,Light,1,0.10625921887954416,0.10625921887954416
97,97,Physics,Rarefaction,0,0.0,0.0
98,98,Plasticity (physics),Hardness,0,0.07819142063167947,0.0
99,99,Physics,Gravitational acceleration,0,0.0,0.0
100,100,Speed,Magnetic field,0,0.0,0.0
101,101,Energy level,Physics,1,1.0,1.0
102,102,Magnetic field,Magnet,1,0.9459699172502534,0.9459699172502534
103,103,Elasticity (physics),Wave,0,0.07819142063167947,0.0
104,104,Phase velocity,Dispersion (optics),0,0.0,0.0
105,105,Physics,Wavelength,0,0.0,0.0
106,106,Fracture,Strength of materials,0,0.09175569326869364,0.0
107,107,Diffraction,Wave,1,0.5632727241368788,0.5632727241368788
108,108,Free fall,Displacement (vector),1,0.1559581156259877,0.0
109,109,Force,Sound intensity,0,0.0,0.0
110,110,Wavelength,Dispersion (optics),0,0.0,0.0
111,111,Temperature,Electrical resistance and conductance,0,0.0,0.0
112,112,Magnetic field,Absorption spectroscopy,0,0.0,0.0
113,113,Field (physics),Planet,0,0.09936833227257064,0.09936833227257064
114,114,Le Sage's theory of gravitation,Speed,1,0.09336231186093497,0.09336231186093497
115,115,Inelastic collision,Physics,1,1.0,1.0
116,116,Energy,Sound intensity,0,0.0,0.0
117,117,Energy level,Wavelength,0,0.0,0.0
118,118,Electromagnetic radiation,Magnet,1,0.06443138755264884,0.06443138755264884
119,119,Euclidean vector,Electrostatics,0,0.0,0.0
120,120,Friction,Hooke's law,0,0.0,0.0
121,121,Le Sage's theory of gravitation,Elastic collision,0,0.0,0.0
122,122,Hertz,Velocity,0,0.0,0.0
123,123,Doppler effect,Speed,1,0.05416515284738633,0.05416515284738633
124,124,Newton's law of universal gravitation,Gravitational constant,0,0.06876853301315365,0.06876853301315365
125,125,Wave,Transverse wave,0,0.0,0.0
126,126,Refractive index,Speed,1,0.5885946609415981,0.5885946609415981
127,127,Laser,Doppler effect,0,0.0,0.0
128,128,Acceleration,Non-inertial reference frame,0,0.1128432831581456,0.1128432831581456
129,129,Magnetic field,Electric current,1,0.0,0.0
130,130,Newton's law of universal gravitation,Gravitational field,0,0.09160413655981066,0.09160413655981066
131,131,Potential energy,Torque,0,0.0,0.0
132,132,Gravitational acceleration,Force,1,0.16800844432645395,0.16800844432645395
133,133,Free fall,Physics,1,1.0,1.0
134,134,Photoelectric effect,Kinetic energy,0,0.12261526381100175,0.12261526381100175
135,135,Position (vector),Motion,0,0.07063135931299178,0.07063135931299178
136,136,Energy,Electromotive force,0,0.0,0.0
137,137,Dispersion (optics),Light,1,0.6993128080106752,0.6993128080106752
138,138,Newton's laws of motion,Gravity of Earth,0,0.0,0.0
139,139,Light,Wavelength,0,0.0,0.0
140,140,Force,Plasticity (physics),0,0.0,0.0
141,141,Newton's law of universal gravitation,Kilogram,0,0.4209913107355404,0.4209913107355404
142,142,Doppler effect,Physics,1,1.0,1.0
143,143,Total internal reflection,Laser,0,0.0,0.0
144,144,Electrical conductor,Metre,0,0.13522359493201008,0.13522359493201008
145,145,Telescope,Reflection (physics),0,0.19368064665816684,0.0
146,146,Energy,Hertz,0,0.048269491461744925,0.0
147,147,Wavelength,Interference (wave propagation),0,0.0,0.0
148,148,Magnet,Electric field,0,0.0,0.0
149,149,Work (physics),Joule,0,0.09337713278676228,0.09337713278676228
150,150,Non-inertial reference frame,Motion,1,0.06114974293696655,0.06114974293696655
151,151,Photoelectric effect,Hertz,0,0.05165682419590247,0.05165682419590247
152,152,Inertial frame of reference,Collision,0,0.0,0.0
153,153,Light,Plane mirror,0,0.0,0.0
154,154,Speed,Snell's law,0,0.0,0.0
155,155,Electromotive force,Physics,1,1.0,1.0
156,156,Magnification,Refracting telescope,0,0.0,0.0
157,157,Force,Projectile motion,0,0.0,0.0
158,158,Force,Hardness,0,0.0,0.0
159,159,Snell's law,Velocity,0,0.2147575114246372,0.2147575114246372
160,160,Velocity,Elastic collision,0,0.0,0.0
161,161,Power (physics),Kilogram,0,0.13252677526878415,0.13252677526878415
162,162,Magnetic field,Energy,0,0.09936833227257064,0.09936833227257064
163,163,Joule,Mechanical energy,0,0.0,0.0
164,164,Speed,Motion,1,0.0,0.0
165,165,Mass,Electron,0,0.0,0.0
166,166,Force,Potential energy,0,0.0,0.0
167,167,Virtual image,Ray (optics),1,0.0,0.0
168,168,Electric field,Mass,0,0.12183137451078235,0.12183137451078235
169,169,Refractive index,Temperature,0,0.09014906328800673,0.09014906328800673
170,170,Field line,Magnetic field,0,0.0,0.0
171,171,Newton's laws of motion,Work (physics),0,0.01087131894187347,0.0
172,172,Equations of motion,Motion,1,0.5020715735877253,0.5020715735877253
173,173,Electrostatics,Field line,0,0.0,0.0
174,174,Diffraction,Huygens–Fresnel principle,0,0.0,0.0
175,175,Force,Elasticity (physics),0,0.0,0.0
176,176,Energy,Potential energy,0,0.2852779630402557,0.2852779630402557
177,177,Electric field,Coulomb,0,0.0,0.0
178,178,Electric field,Electric current,0,0.0,0.0
179,179,Wave,Total internal reflection,0,0.0,0.0
180,180,Frequency,Energy,0,0.09936833227257064,0.0
181,181,Lever,Length,0,0.017637860208523055,0.017637860208523055
182,182,Physics,Transmission medium,0,0.0,0.0
183,183,Intensity (physics),Laser,0,0.03981205554239517,0.03981205554239517
184,184,Magnetism,Length,0,0.09014906328800673,0.09014906328800673
185,185,Light,Refracting telescope,0,0.0,0.0
186,186,Physics,Shock wave,0,0.0,0.0
187,187,Photoelectric effect,Electromagnetic radiation,0,0.055369339595873125,0.055369339595873125
188,188,Dielectric,Hertz,0,0.048269491461744925,0.0
189,189,Magnetic field,Voltage,0,0.0,0.0
190,190,Tension (physics),Mass,0,0.039547357171039306,0.039547357171039306
191,191,Interference (wave propagation),Electron,0,0.0,0.0
192,192,Euclidean vector,Force,0,0.0,0.0
193,193,Contact force,Force,1,0.8190411660914629,0.8190411660914629
194,194,Standing wave,Frequency,1,0.03881094280633046,0.03881094280633046
195,195,Magnetic field,Dielectric,0,0.0,0.0
196,196,Interference (wave propagation),Huygens–Fresnel principle,0,0.0,0.0
197,197,Amplitude,Refractive index,0,0.0,0.0
198,198,Specular reflection,Refractive index,0,0.0,0.0
199,199,Speed,Electron,0,0.0,0.0
200,200,Gravitational acceleration,Planet,0,0.1081169981224719,0.1081169981224719
201,201,Distance,Free fall,0,0.0,0.0
202,202,Acceleration,Velocity,1,0.6901488543445583,0.6901488543445583
203,203,Velocity,Metre,0,0.09014906328800673,0.09014906328800673
204,204,Capacitance,Voltage,1,0.09902102579427788,0.09902102579427788
205,205,Refractive index,Mass,0,0.039755501156150036,0.039755501156150036
206,206,Electrostatics,Electrical conductor,0,0.04024498464441235,0.0
207,207,Sonic boom,Physics,1,1.0,0.0
208,208,Frame of reference,Electromagnetic spectrum,0,0.0,0.0
209,209,Capacitor,Laser,0,0.03981205554239517,0.03981205554239517
210,210,Ohm,Coulomb,0,0.0,0.0
211,211,Electric field,Physics,1,1.0,1.0
212,212,Magnetic field,Torque,0,0.0,0.0
213,213,Physics,Displacement (vector),0,0.0,0.0
214,214,Intensity (physics),Wave,0,0.25382042507402564,0.25382042507402564
215,215,Wave,Energy,0,0.08832740646450722,0.08832740646450722
216,216,Capacitor,Dielectric,0,0.0,0.0
217,217,Geometrical optics,Snell's law,0,0.0,0.0
218,218,Wave,Doppler effect,0,0.0,0.0
219,219,Ohm's law,Voltage,1,0.48414877389387,0.48414877389387
220,220,Power (physics),Intensity (physics),0,0.0,0.0
221,221,Le Sage's theory of gravitation,Energy,0,0.3297467157161692,0.3297467157161692
222,222,Capacitance,Electric current,0,0.09902102579427788,0.09902102579427788
223,223,Hooke's law,Stiffness,0,0.13147236946558405,0.13147236946558405
224,224,Electromagnetic spectrum,Electric field,1,0.17278784491563454,0.0
225,225,Physics,Emission spectrum,0,0.0,0.0
226,226,Total internal reflection,Physics,1,1.0,1.0
227,227,Snell's law,Motion,1,0.08832740646450722,0.08832740646450722
228,228,Motion,Energy,0,0.0,0.0
229,229,Energy,Sonic boom,0,0.0,0.0
230,230,Magnetic field,Gravity of Earth,0,0.0,0.0
231,231,Electron,Electromagnetic radiation,0,0.0,0.0
232,232,Acceleration,Torque,0,0.0,0.0
233,233,Physics,Electric field,0,0.0,0.0
234,234,Diffraction,Interference (wave propagation),0,0.0,0.0
235,235,Fatigue (material),Deformation (engineering),1,0.2308158064598433,0.0
236,236,Force,Stiffness,0,0.0,0.0
237,237,Distance,Gravity of Earth,0,0.0,0.0
238,238,Electric potential,Force,1,0.13898880394279373,0.13898880394279373
239,239,Electric charge,Capacitance,0,0.0,0.0
240,240,Friction,Mass,0,0.0,0.0
241,241,Elastic collision,Physics,1,1.0,1.0
242,242,Free fall,Gravitational field,0,0.3938977872071859,0.3938977872071859
243,243,Energy,Laser,0,0.0,0.0
244,244,Electric field,Wavelength,0,0.1049103502731737,0.0
245,245,Elasticity (physics),Hardness,0,0.07819142063167947,0.0
246,246,Force,Elastic collision,0,0.0,0.0
247,247,Refraction,Absorption spectroscopy,0,0.0,0.0
248,248,Refraction,Electromagnetic spectrum,0,0.0,0.0
249,249,Electric potential energy,Field (physics),1,0.0,0.0
250,250,Newton's laws of motion,Contact force,0,0.0,0.0
251,251,Coulomb's law,Dielectric,0,0.0,0.0
252,252,Projectile motion,Velocity,1,0.3281826719960137,0.3281826719960137
253,253,Electron,Distance,0,0.012501786189630831,0.012501786189630831
254,254,Le Sage's theory of gravitation,Wavelength,0,0.0,0.0
255,255,Collision,Le Sage's theory of gravitation,0,0.0,0.0
256,256,Gravity of Earth,Force,1,0.16800844432645395,0.16800844432645395
257,257,Magnetic field,Potential energy,0,0.09936833227257064,0.09936833227257064
258,258,Intensity (physics),Physics,1,1.0,1.0
259,259,Electric field,Force,0,0.134636904015035,0.134636904015035
260,260,Physics,Wave,0,0.0,0.0
261,261,Refractive index,Snell's law,0,0.0,0.0
262,262,Amplitude,Huygens–Fresnel principle,0,0.0,0.0
263,263,Motion,Electrostatics,0,0.0,0.0
264,264,Acceleration,Field (physics),0,0.0,0.0
265,265,Scattering,Velocity,0,0.14087662296870773,0.14087662296870773
266,266,Hardness,Deformation (engineering),1,0.0,0.0
267,267,Electron,Specular reflection,0,0.19368064665816684,0.0
268,268,Standing wave,Voltage,0,0.0,0.0
269,269,Doppler effect,Wavelength,1,0.20142840148464414,0.20142840148464414
270,270,Diffraction,Dispersion (optics),0,0.0,0.0
271,271,Inelastic collision,Elastic collision,0,0.0,0.0
272,272,Magnetism,Coulomb,0,0.0,0.0
273,273,Gravitational acceleration,Gravity,1,0.08205802934423508,0.08205802934423508
274,274,Refractive index,Telescope,0,0.10913959925317562,0.10913959925317562
275,275,Energy,Mechanical energy,0,0.0,0.0
276,276,Elastic collision,Energy,1,1.054190257819874,1.054190257819874
277,277,Wave,Intensity (physics),0,0.0,0.0
278,278,Mass,Distance,0,0.044046990877420256,0.044046990877420256
279,279,Equations of motion,Field (physics),0,0.0,0.0
280,280,Displacement (vector),Work (physics),0,0.02383637338366331,0.0
281,281,Kinetic energy,Mechanical energy,0,0.0,0.0
282,282,Gravitational field,Newton's law of universal gravitation,1,0.0,0.0
283,283,Velocity,Wave,0,0.0,0.0
284,284,Mirror image,Distance,0,0.061220868128616435,0.061220868128616435
285,285,Gravity,Gravitational acceleration,0,0.0,0.0
286,286,Potential energy,Euclidean vector,1,0.122946558169237,0.0
287,287,Wave,Elasticity (physics),0,0.0,0.0
288,288,Pitch (music),Hertz,0,0.368054872395805,0.368054872395805
289,289,Speed,Shock wave,0,0.0,0.0
290,290,Doppler effect,Frequency,1,0.30358252808632724,0.30358252808632724
291,291,Speed,Electromagnetic spectrum,0,0.0,0.0
292,292,Electron,Electrostatics,0,0.0,0.0
293,293,Electric potential,Coulomb's law,1,0.0,0.0
294,294,Euclidean vector,Gravitational acceleration,0,0.0,0.0
295,295,Frequency,Doppler effect,0,0.0,0.0
296,296,Fracture,Elasticity (physics),0,0.33407550934977315,0.0
297,297,Temperature,Kilogram,0,0.0,0.0
298,298,Distance,Elastic collision,0,0.0,0.0
299,299,Gravitational acceleration,Motion,1,0.3057487146848327,0.3057487146848327
300,300,Physics,Doppler effect,0,0.0,0.0
301,301,Potential energy,Metre,0,0.08549917699419342,0.08549917699419342
302,302,Displacement (vector),Distance,1,0.15031909585151354,0.15031909585151354
303,303,Displacement (vector),Projectile motion,0,0.0,0.0
304,304,Electric potential,Capacitance,0,0.0,0.0
305,305,Motion,Newton's laws of motion,0,0.0,0.0
306,306,Speed,Rarefaction,0,0.0,0.0
307,307,Pigment,Wavelength,0,0.1437660045647232,0.1437660045647232
308,308,Wave,Physics,1,1.0,1.0
309,309,Temperature,Wavelength,0,0.0,0.0
310,310,Interference (wave propagation),Crest (physics),0,0.9996595449253092,0.0
311,311,Wave,Electromagnetic spectrum,0,0.0,0.0
312,312,Electrical conductor,Electric current,1,0.0,0.0
313,313,Motion,Elastic collision,0,0.0,0.0
314,314,Inertial frame of reference,Velocity,0,0.0694232575376183,0.0694232575376183
315,315,Work (physics),Electrostatics,0,0.0,0.0
316,316,Force,Magnet,0,0.0,0.0
317,317,Force,Torque,0,0.0,0.0
318,318,Absorption spectroscopy,Energy,1,0.19879016290317628,0.19879016290317628
319,319,Motion,Inertial frame of reference,0,0.0,0.0
320,320,Capacitance,Distance,0,0.17278784491563454,0.17278784491563454
321,321,Coulomb's law,Emission spectrum,0,0.0,0.0
322,322,Position (vector),Free fall,0,0.0,0.0
323,323,Deformation (engineering),Creep (deformation),0,0.21079050336640576,0.21079050336640576
324,324,Shock wave,Energy,1,0.09936833227257064,0.09936833227257064
325,325,Electrical resistance and conductance,Energy,0,0.13999307246702555,0.13999307246702555
326,326,Motion,Mass,0,0.042435647301508464,0.042435647301508464
327,327,Magnet,Euclidean vector,0,0.11645191586955328,0.0
328,328,Voltage,Electric current,0,0.0,0.0
329,329,Snell's law,Light,1,0.16688146554800204,0.16688146554800204
330,330,Magnetism,Physics,1,1.0,1.0
331,331,Force,Creep (deformation),0,0.0,0.0
332,332,Dielectric,Velocity,0,0.13999307246702555,0.13999307246702555
333,333,Velocity,Speed,0,0.15450609849716948,0.15450609849716948
334,334,Energy,Temperature,0,0.08549917699419342,0.08549917699419342
335,335,Euclidean vector,Gravity of Earth,0,0.0,0.0
336,336,Electrical conductor,Electroscope,0,0.0,0.0
337,337,Electrical resistance and conductance,Ohm,0,0.0,0.0
338,338,Amplitude,Voltage,0,0.0,0.0
339,339,Energy,Dielectric,0,0.0,0.0
340,340,Wave,Mass,0,0.07362598626043566,0.07362598626043566
341,341,Energy,Equations of motion,0,0.008722818293729258,0.008722818293729258
342,342,Physics,Contact force,0,0.0,0.0
343,343,Energy,Transverse wave,0,0.0,0.0
344,344,Magnet,Mass,0,0.12183137451078235,0.12183137451078235
345,345,Speed,Gravity of Earth,0,0.0,0.0
346,346,Energy,Electrostatics,0,0.0,0.0
347,347,Gravitational acceleration,Physics,1,1.0,1.0
348,348,Gravity,Physics,1,1.0,1.0
349,349,Mirror image,Length,0,0.039337773071130205,0.039337773071130205
350,350,Diffraction,Specular reflection,0,0.18513591224677714,0.0
351,351,Projectile motion,Motion,1,0.4336072680984901,0.4336072680984901
352,352,Potential energy,Work (physics),1,0.13804872423831685,0.0
353,353,Motion,Temperature,0,0.06670739490671446,0.06670739490671446
354,354,Photoelectric effect,Color,0,0.02091950167746507,0.02091950167746507
355,355,Deformation (engineering),Hardness,0,0.1081169981224719,0.0
356,356,Intensity (physics),Speed,0,0.08684183522089152,0.08684183522089152
357,357,Electric potential energy,Coulomb,0,0.0,0.0
358,358,Specular reflection,Refraction,0,0.0,0.0
359,359,Refractive index,Frequency,0,0.16224246582974208,0.16224246582974208
360,360,Lever,Energy,0,0.10599288775740867,0.10599288775740867
361,361,Electromagnetic radiation,Laser,0,0.03981205554239517,0.03981205554239517
362,362,Emission spectrum,Magnet,1,0.1949814008940187,0.1949814008940187
363,363,Snell's law,Telescope,0,0.10913959925317562,0.10913959925317562
364,364,Velocity,Equations of motion,0,0.0,0.0
365,365,Electron,Electrical conductor,0,0.0,0.0
366,366,Interference (wave propagation),Ray (optics),0,0.0,0.0
367,367,Energy,Energy level,0,0.0,0.0
368,368,Refraction,Length,0,0.09014906328800673,0.09014906328800673
369,369,Joule,Coulomb,0,0.0,0.0
370,370,Dielectric,Coulomb's law,1,0.0,0.0
371,371,Magnetism,Force,1,0.021841097762439008,0.021841097762439008
372,372,Sonic boom,Wave,1,0.18356655741960784,0.18356655741960784
373,373,Series and parallel circuits,Ohm's law,1,0.0,0.0
374,374,Wave,Frequency,0,0.0,0.0
375,375,Creep (deformation),Force,1,0.2481942927549888,0.2481942927549888
376,376,Telescope,Optical microscope,0,0.10913959925317562,0.0
377,377,Stiffness,Hooke's law,0,0.0,0.0
378,378,Ohm,Electromotive force,0,0.0,0.0
379,379,Kinetic energy,Physics,1,1.0,1.0
380,380,Electrostatics,Electric field,1,0.1340130528916536,0.1340130528916536
381,381,Physics,Electromagnetic spectrum,0,0.0,0.0
382,382,Electron,Potential energy,0,0.09936833227257064,0.09936833227257064
383,383,Torque,Speed,0,0.07063135931299178,0.07063135931299178
384,384,Scattering,Wavelength,1,0.24300613896214884,0.24300613896214884
385,385,Electric potential,Motion,1,0.13999307246702555,0.13999307246702555
386,386,Electrostatics,Motion,1,0.09936833227257064,0.09936833227257064
387,387,Emission spectrum,Magnetic field,1,0.0,0.0
388,388,Force,Emission spectrum,0,0.0,0.0
389,389,Hooke's law,Mass,0,0.07362598626043566,0.07362598626043566
390,390,Sonic boom,Hertz,0,0.054526647762341486,0.054526647762341486
391,391,Photoelectric effect,Light,1,0.2283641107498975,0.2283641107498975
392,392,Displacement (vector),Free fall,0,0.0,0.0
393,393,Electron,Le Sage's theory of gravitation,0,0.0,0.0
394,394,Force,Electrostatics,0,0.0,0.0
395,395,Elasticity (physics),Energy,0,0.07819142063167947,0.07819142063167947
396,396,Energy,Emission spectrum,0,0.0,0.0
397,397,Elastic collision,Distance,1,0.08549917699419342,0.08549917699419342
398,398,Torque,Lever,1,0.0,0.0
399,399,Amplitude,Distance,0,0.140297822794746,0.140297822794746
400,400,Frequency,Interference (wave propagation),0,0.0,0.0
401,401,Tension (physics),Physics,1,1.0,1.0
402,402,Color,Dispersion (optics),0,0.0,0.0
403,403,Physics,Newton's law of universal gravitation,0,0.0,0.0
404,404,Diffraction,Wavelength,0,0.26039013977070435,0.26039013977070435
405,405,Gravitational constant,Newton's law of universal gravitation,1,0.0,0.0
406,406,Motion,Gravity of Earth,0,0.0,0.0
407,407,Field (physics),Dielectric,0,0.0,0.0
408,408,Magnetic field,Temperature,0,0.09014906328800673,0.09014906328800673
409,409,Tension (physics),Compression (physics),0,0.0,0.0
410,410,Electric potential,Gravity,0,0.1081169981224719,0.0
411,411,Specular reflection,Light,1,0.0885493490662868,0.0885493490662868
412,412,Ray (optics),Light,1,0.4132302956426717,0.4132302956426717
413,413,Distance,Lever,0,0.0,0.0
414,414,Force,Length,0,0.033982892967206725,0.033982892967206725
415,415,Physics,Refractive index,0,0.0,0.0
416,416,Refractive index,Color,0,0.0,0.0
417,417,Total internal reflection,Wave,1,0.14685324593568627,0.14685324593568627
418,418,Total internal reflection,Reflection (physics),1,0.4855850498358326,0.0
419,419,Sound,Sound intensity,0,0.0,0.0
420,420,Torque,Energy,0,0.10599288775740867,0.10599288775740867
421,421,Electrical resistance and conductance,Metre,0,0.08549917699419342,0.08549917699419342
422,422,Field (physics),Electrostatics,0,0.0,0.0
423,423,Gravity of Earth,Free fall,0,0.3261526088665451,0.0
424,424,Position (vector),Electric potential,0,0.0,0.0
425,425,Diffraction,Transverse wave,0,0.0,0.0
426,426,Dielectric,Reflection (physics),0,0.1049103502731737,0.0
427,427,Interference (wave propagation),Energy,0,0.09936833227257064,0.09936833227257064
428,428,Force,Inelastic collision,0,0.0,0.0
429,429,Mirror image,Physics,1,1.0,1.0
430,430,Energy,Electromagnetic radiation,0,0.0,0.0
431,431,Magnetism,Field (physics),0,0.4638437134407447,0.0
432,432,Friction,Deformation (engineering),0,0.0,0.0
433,433,Temperature,Velocity,0,0.0,0.0
434,434,Elasticity (physics),Strength of materials,0,0.09175569326869364,0.0
435,435,Gravity of Earth,Motion,1,0.3057487146848327,0.3057487146848327
436,436,Displacement (vector),Position (vector),1,0.1949814008940187,0.0
437,437,Intensity (physics),Power (physics),1,0.18344793778700136,0.0
438,438,Physics,Motion graphs and derivatives,0,0.0,0.0
439,439,Magnetic field,Physics,1,1.0,1.0
440,440,Curved mirror,Geometrical optics,0,0.02980522622284533,0.0
441,441,Interference (wave propagation),Standing wave,0,0.3793825120457973,0.0
442,442,Physics,Elastic collision,0,0.0,0.0
443,443,Speed,Inelastic collision,0,0.0,0.0
444,444,Energy,Mirror image,0,0.0,0.0
445,445,Wave,Dispersion (optics),0,0.0,0.0
446,446,Distance,Physics,0,0.0,0.0
447,447,Force,Fatigue (material),0,0.0,0.0
448,448,Mass,Collision,0,0.0,0.0
449,449,Electromotive force,Magnetic field,1,0.0,0.0
450,450,Electromagnetic radiation,Energy,1,0.1461692374288061,0.1461692374288061
451,451,Normal force,Physics,1,1.0,1.0
452,452,Electric field,Wave,0,0.11645191586955328,0.11645191586955328
453,453,Speed,Refraction,0,0.0,0.0
454,454,Gravity of Earth,Newton's law of universal gravitation,0,0.0,0.0
455,455,Refraction,Snell's law,0,0.11535279082473568,0.11535279082473568
456,456,Dielectric,Energy,1,0.13999307246702555,0.13999307246702555
457,457,Sound intensity,Velocity,0,0.14087662296870773,0.14087662296870773
458,458,Electromagnetic radiation,Transverse wave,0,0.0,0.0
