,concept,type,concept_list,freq_list
65,Emission spectrum,1,Electron|Energy|Energy level|Temperature|Color|Light|Wavelength|Voltage|Electrical conductor|Electric current|Electromagnetic radiation|Emission spectrum|Frequency,10|11|12|2|5|5|5|2|1|3|2|3|2
66,Electric current,1,Electric charge|Electric current|Coulomb|Direction (geometry)|Position (vector)|Series and parallel circuits|Electron|Voltage|Electrical |Electrical resistance and conductance,26|14|1|6|3|1|3|1|1|1
67,Ammeter,1,Ammeter|Electric current,2|2
68,Refraction,1,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Refraction|Geometrical optics|Angle of incidence|Snell's law|Wavelength,44|2|1|18|18|46|6|7|5|1
69,Magnification,1,Geometrical optics|Magnification|Plane mirror,1|4|1
70,Scalar multiplication,1,Euclidean vector|Scalar (mathematics)|Work (physics),2|1|1
71,Absorption spectroscopy,1,Energy|Electron|Energy level|Scattering|Absorption spectroscopy|Light|Wavelength|Emission spectrum,3|2|5|1|5|3|2|4
72,Physics,1,,
73,Work (physics),1,Work (physics)|Force|Displacement (vector)|Distance|Direction (geometry)|Motion|Euclidean vector|Physical quantity|Joule|Position (vector)|Energy|Physics,20|19|8|1|10|7|3|1|3|3|2|2
74,Resonance (particle physics),1,Resonance (particle physics)|Amplitude|Frequency|Speed|Sound|Length,4|1|4|1|2|1
75,Ohm's law,1,Voltage|Potential energy|Work (physics)|Electric charge|Electrical |Electrical resistance and conductance|Ohm|Electric current|Electrical conductor|Temperature|Light,20|2|3|2|19|19|12|10|13|10|2
76,Frame of reference,1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force|Speed|Light|Work (physics),19|5|3|1|2|6|1|2|1|2|2|1
77,Laser,1,Laser|Light|Wavelength|Frequency|Amplitude|Color|Direction (geometry)|Distance|Energy|Energy level|Emission spectrum|Electron|Work (physics)|Geometrical optics|Strength of materials|Curved mirror|Reflection (physics)|Physics|Length|Sound,69|17|7|5|1|2|2|2|19|12|25|20|4|5|1|1|3|2|1|1
78,Dielectric,1,Electric field|Capacitor|Dielectric|Field (physics)|Voltage|Capacitance|Electric charge,3|8|6|2|5|3|4
79,Sound,1,Wave|Sound|Pitch (music)|Musical tone|Frequency|Amplitude|Hertz|Energy|Standing wave|Physics|Speed|Temperature|Power (physics)|Joule|Compression (physics)|Distance|Reflection (physics)|Ray (optics)|Geometrical optics|Optical microscope|Work (physics),28|63|9|2|13|8|3|5|1|2|7|2|1|1|1|3|9|1|1|1|1
80,Photoelectric effect,1,Hertz|Light|Electron|Photoelectric effect|Wave|Energy|Color|Wavelength|Frequency|Work (physics)|Diffraction|Energy level|Electrical conductor|Electrical |Electrical resistance and conductance|Electric current|Voltage|Reflection (physics)|Scattering,2|21|26|11|7|22|1|2|1|8|2|2|1|1|1|4|1|1|1
81,Musical tone,1,Musical tone|Sound|Wave|Standing wave|Physics,1|6|3|1|1
82,Torque,1,Force|Motion|Distance|Torque|Euclidean vector|Tangential and normal components|Direction (geometry)|Position (vector),9|2|2|11|1|1|3|1
83,Doppler effect,1,Pitch (music)|Doppler effect|Frequency|Wavelength|Wave|Sound|Amplitude|Direction (geometry)|Speed|Velocity|Distance|Reflection (physics)|Hertz|Metre|Light|Color|Telescope|Position (vector),4|16|25|19|25|19|1|4|5|4|3|3|1|4|23|4|2|1
84,Standing wave,1,Reflection (physics)|Wave|Direction (geometry)|Frequency|Wavelength|Standing wave|Amplitude|Position (vector)|Crest (physics)|Motion,5|24|1|1|2|10|3|1|1|3
85,Force,1,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3
86,Pitch (music),1,Frequency|Sound|Wave|Pitch (music)|Hertz,7|7|1|6|3
87,Electroscope,1,Electroscope|Electric charge|Position (vector)|Electrical conductor|Force,9|24|5|1|1
88,Transverse wave,1,Wave|Direction (geometry)|Displacement (vector)|Position (vector)|Motion|Crest (physics)|Amplitude|Wavelength|Length|Distance|Metre|Frequency|Speed,33|2|5|5|3|14|7|12|1|16|2|4|3
89,Diffraction,1,Wave|Diffraction|Sound|Light|Wavelength|Huygens–Fresnel principle|Distance|Mirror image|Position (vector)|Work (physics),28|14|6|8|11|1|2|1|1|1
90,Gravitational acceleration,1,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1
91,Refracting telescope,1,Refraction|Telescope|Length|Light|Ray (optics),3|4|1|1|1
92,Sound intensity,1,Amplitude|Energy|Power (physics)|Joule|Sound|Compression (physics)|Distance,1|2|1|1|6|1|1
93,Length,2,Metre|Length|Physical quantity|Temperature|Distance,2|2|4|2|2
94,Dispersion (optics),2,Light|Wavelength|Color|Speed|Frequency|Refraction,22|1|4|3|5|4
95,Field (physics),2,Field (physics)|Mass|Force|Gravitational field|Electric charge|Position (vector)|Electric field|Magnet|Direction (geometry)|Velocity,6|2|2|2|8|3|3|1|2|2
96,Fatigue (material),2,Plasticity (physics)|Elasticity (physics)|Fracture|Force|Creep (deformation)|Deformation (engineering)|Fatigue (material),1|1|3|5|6|2|4
97,Compass,2,Compass|Direction (geometry)|Magnet|Field (physics)|Work (physics)|Electric current|Electric charge|Electron|Collision|Light|Euclidean vector,10|14|23|14|1|1|3|1|1|1|6
98,Crest (physics),2,Wave|Crest (physics)|Displacement (vector),4|6|2
99,Field line,2,Electric charge|Position (vector)|Electric field|Magnet|Field (physics)|Direction (geometry),8|3|3|1|5|2
100,Projectile motion,2,Projectile motion|Motion|Direction (geometry)|Position (vector)|Velocity|Motion graphs and derivatives,3|3|1|1|2|1
101,Motion,2,Position (vector)|Displacement (vector)|Speed|Velocity|Motion|Direction (geometry)|Frame of reference|Length|Euclidean vector|Physics|Distance|Scalar (mathematics)|Physical quantity|Acceleration|Work (physics)|Metre|Force|Friction|Newton's laws of motion|Gravity|Free fall|Projectile motion|Gravitational field|Equations of motion|Motion graphs and derivatives|Elasticity (physics)|Energy|Collision|Deformation (engineering)|Laser|Electric current|Field (physics)|Optical microscope|Electron|Inertial frame of reference|Non-inertial reference frame|Light,66|30|17|80|49|32|20|1|9|7|17|7|2|2|8|7|13|1|2|2|3|5|1|1|1|6|39|8|1|1|2|2|1|1|2|2|2
102,Resultant force,2,Force|Free body diagram|Length|Euclidean vector|Direction (geometry)|Motion|Frame of reference|Position (vector)|Work (physics),14|3|2|6|8|1|1|3|1
103,Electrical conductor,2,Electric charge|Position (vector)|Electron|Electrical conductor|Plasticity (physics)|Insulator (electricity)|Electroscope|Force|Temperature|Ohm|Electrical |Electrical resistance and conductance|Light|Voltage|Electric current,43|7|10|14|1|3|9|1|8|4|6|6|2|4|5
104,Ray (optics),2,Ray (optics)|Light,4|2
105,Gravity of Earth,2,Field (physics)|Mass|Force|Gravitational field|Free fall|Motion|Friction|Gravity|Electrical |Electrical resistance and conductance,1|4|4|4|3|5|3|1|1|1
106,Sonic boom,2,Speed|Sound|Wave|Direction (geometry)|Work (physics)|Sonic boom,14|16|5|1|1|3
107,Wave,2,Reflection (physics)|Wave|Direction (geometry)|Frequency|Wavelength|Standing wave|Amplitude|Position (vector)|Crest (physics)|Motion|Light|Sound|Electric charge|Electric field|Magnet|Field (physics)|Speed,5|43|3|1|2|10|3|1|1|5|1|2|1|4|3|4|1
108,Le Sage's theory of gravitation,2,Force|Mass|Kilogram|Gravity|Work (physics)|Planet|Scalar (mathematics)|Euclidean vector|Field (physics)|Gravitational field|Free fall|Motion|Friction|Electrical |Electrical resistance and conductance|Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Kinetic energy|Velocity|Mechanical energy|Energy level|Tension (physics)|Distance|Metre,18|13|9|6|3|3|1|1|1|5|4|10|9|3|3|39|42|3|1|2|4|8|21|1|1|2|1
109,Coulomb's law,2,Electric charge|Force|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor,27|14|9|7|9|2|2|1|1|4|1|2
110,Electric field,2,Electric charge|Force|Electric field|Direction (geometry)|Position (vector)|Magnet|Field (physics)|Euclidean vector|Length|Work (physics)|Distance|Reflection (physics)|Electron|Strength of materials|Coulomb,97|27|22|14|20|1|24|3|1|1|2|1|1|3|2
111,Elasticity (physics),2,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering),8|4|3|1
112,Strength of materials,2,Strength of materials|Force|Metre|Stiffness|Hardness|Deformation (engineering)|Electrical |Electrical resistance and conductance|Energy|Plasticity (physics)|Fracture,2|2|2|4|4|4|1|1|1|3|2
113,Speed,2,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry)|Wave|Frequency|Hertz|Wavelength,19|9|5|3|4|3|9|2|3|1|1|1|1
114,Amplitude,2,Amplitude|Displacement (vector)|Position (vector)|Length|Wavelength|Wave|Distance|Compression (physics)|Rarefaction,7|3|3|2|3|2|3|2|2
115,Mass,2,Mass|Kilogram|Planet|Scalar (mathematics)|Force|Euclidean vector|Gravitational field|Field (physics)|Strength of materials|Gravity|Direction (geometry)|Newton's laws of motion|Distance|Gravitational constant|Metre|Length,24|10|2|1|22|2|3|5|4|4|2|1|3|1|1|1
116,Intensity (physics),2,Amplitude|Energy|Power (physics)|Joule|Sound|Compression (physics)|Distance,1|2|1|1|6|1|1
117,Frequency,2,Wave|Crest (physics)|Frequency|Wavelength,10|3|7|5
118,Light,2,Physics|Light|Ray (optics)|Direction (geometry)|Reflection (physics)|Wave|Sound|Doppler effect|Frequency|Color|Wavelength|Telescope|Position (vector)|Velocity|Distance,1|43|10|1|2|8|7|6|7|4|16|2|1|3|1
119,Velocity,2,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry)|Wave|Motion graphs and derivatives,26|12|6|3|4|5|7|2|4|8|3
120,Plasticity (physics),2,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering),8|4|3|1
121,Energy level,2,Electron|Energy level|Energy|Light|Wavelength,6|4|8|3|2
122,Wavelength,2,Wave|Amplitude|Wavelength|Length|Displacement (vector)|Position (vector)|Distance|Crest (physics)|Metre|Compression (physics)|Rarefaction|Energy|Speed|Light|Mass|Velocity|Physics|Work (physics)|Electron|Diffraction,9|10|21|1|2|6|13|4|2|2|2|2|1|2|2|4|1|1|6|4
123,Electric potential energy,2,Electric potential|Electric potential energy|Electric charge|Potential energy|Position (vector)|Electric field|Energy|Field (physics)|Work (physics)|Voltage|Joule|Coulomb,2|2|14|3|4|4|1|1|4|4|1|1
124,Gravity,2,Force|Mass|Kilogram|Gravity|Work (physics)|Planet|Scalar (mathematics)|Euclidean vector,3|5|4|2|1|3|1|1
125,Magnet,2,Magnet|Direction (geometry)|Field (physics)|Electric field|Position (vector)|Electric charge|Electron|Strength of materials|Compass|Electrical polarity,38|4|27|1|1|3|1|1|2|1
126,Motion graphs and derivatives,2,Motion|Wave|Position (vector)|Velocity|Motion graphs and derivatives|Work (physics)|Direction (geometry)|Displacement (vector)|Projectile motion,12|13|5|8|7|1|2|1|3
127,Scalar (mathematics),2,Scalar (mathematics)|Euclidean vector|Direction (geometry)|Physics|Velocity|Speed,7|8|6|1|2|1
128,Lever,2,Force|Motion|Distance|Torque|Euclidean vector|Tangential and normal components|Direction (geometry)|Position (vector)|Mass|Kilogram|Lever|Metre|Work (physics)|Friction|Length,17|2|8|12|1|1|4|2|4|3|31|2|2|2|1
129,Distance,2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity,17|14|10|4|2|10|3|1|2
130,Subtractive color,2,Color|Light,6|2
131,Electric charge,2,Electric charge|Position (vector)|Force|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Electrical conductor,50|9|14|9|7|9|2|2|1|1|4|2
132,Collision,2,Elasticity (physics)|Energy|Collision|Deformation (engineering)|Force|Physics|Work (physics)|Laser|Electric current|Field (physics)|Metre|Optical microscope|Electron,6|39|8|1|2|5|4|1|2|2|1|1|1
133,Scattering,2,Electron|Energy level|Energy|Light|Wavelength|Strength of materials|Scattering|Direction (geometry)|Reflection (physics)|Geometrical optics|Ray (optics)|Refraction|Optical microscope|Color|Specular reflection|Plasticity (physics),12|10|15|32|18|1|10|5|10|2|3|2|1|5|1|1
134,Metre,2,Metre|Length|Physical quantity|Temperature|Distance,2|2|4|2|2
135,Electron,2,Wave|Electron|Optical microscope|Magnification|Power (physics)|Light|Work (physics)|Magnet|Geometrical optics|Wavelength|Diffraction|Distance|Position (vector)|Field (physics)|Scattering|Crystallinity,1|40|26|3|1|13|2|3|1|3|3|1|1|1|1|1
136,Displacement (vector),2,Displacement (vector)|Position (vector)|Direction (geometry)|Euclidean vector|Physics|Distance|Scalar (mathematics)|Frame of reference|Physical quantity|Wave|Motion|Velocity|Motion graphs and derivatives,18|17|11|4|2|10|3|1|2|8|2|3|3
137,Deformation (engineering),2,Deformation (engineering)|Force|Compression (physics)|Tension (physics)|Direction (geometry)|Hooke's law|Elasticity (physics)|Metre|Work (physics)|Fracture|Plasticity (physics),2|14|4|2|1|11|4|1|1|3|3
138,Compression (physics),2,Compression (physics)|Wave|Rarefaction,3|1|1
139,Fracture,2,Plasticity (physics)|Elasticity (physics)|Force|Deformation (engineering)|Fracture|Creep (deformation)|Fatigue (material),9|5|8|3|3|6|4
140,Rarefaction,2,Wave|Wavelength|Amplitude|Frequency|Speed|Crest (physics)|Compression (physics)|Rarefaction|Distance|Displacement (vector)|Position (vector)|Hertz,17|10|4|5|3|1|8|6|3|1|2|1
141,Pigment,2,Pigment|Color|Light,4|6|1
142,Creep (deformation),2,Plasticity (physics)|Elasticity (physics)|Fracture|Force|Creep (deformation)|Deformation (engineering)|Fatigue (material),1|1|3|5|6|2|4
143,Shock wave,2,Wave|Speed|Sound|Direction (geometry)|Wavelength|Doppler effect|Frequency|Work (physics)|Sonic boom|Distance,14|23|34|4|2|2|1|2|3|1
144,Mirror image,3,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4
145,Normal force,3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3
146,Non-inertial reference frame,3,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,11|4|3|1|2|1|1|2|1
147,Phase velocity,3,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1
148,Transmission medium,3,Wave|Sound|Position (vector),10|1|1
149,Contact force,3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation,27|2|1|1|2|2|1
150,Inertial frame of reference,3,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,11|4|3|1|2|1|1|2|1
151,Tension (physics),3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3
