,Unnamed: 0,concept,type,book1_title,book1_content,book2_title,book2_content,book3_title,book3_content,book1_fs,book1_fo
76,133,Frame of reference,1,3.2.1,3.2.1,,12.2.6,21.5,21.5.1,3.2.1,3.2.1
77,39,Laser,1,,7.6.2,,,31.5,31.5,,7.6.2
78,42,Dielectric,1,,,17.5.2,17.5.2,,,,
79,37,Sound,1,,5.2,15,14.5,,24.2,,5.2
80,36,Photoelectric effect,1,,,,,31.3,31.3,,
81,132,Musical tone,1,,,15.2.3,16.2,,,,
82,35,Torque,1,,,12.6.1,12.6.1,,28.2.2,,
83,44,Doppler effect,1,,,,,24,24.1,,
84,45,Standing wave,1,6.4.3,6.4.3,,16.1,,,6.4.3,6.4.3
85,46,Force,1,,3.9,12.2,11.6.1,,21.3,,3.9
86,135,Pitch (music),1,,,15.2.1,15.2,,24.1,,
87,33,Electroscope,1,9.6.1,9.6.1,,,,,9.6.1,9.6.1
88,32,Transverse wave,1,6.2,,,,,,6.2,6.2
89,31,Diffraction,1,,,,14.5,26.5,26.5,,
90,30,Gravitational acceleration,1,4.2,,,,,,4.2,4.2
91,47,Refracting telescope,1,,,13.5.1,,,,,
92,41,Sound intensity,1,,,15.4.1,,,,,
93,129,Length,2,5.3.1,2.1,,11.5,,23.4,2.1,2.1
94,109,Dispersion (optics),2,,,,,25.2.1,,,
95,122,Field (physics),2,4.2.1,8.1,17.3.1,12.4,21.2.1,21.4.2,4.2.1,4.2.1
96,111,Fatigue (material),2,,,,,22.3.2,22.3.2,,
97,136,Compass,2,8.4,8.3.3,11.4.2,11.4.2,,,8.4,8.4
98,125,Crest (physics),2,6.2.1,6.2.1,,14.3,,26.2,6.2.1,6.2.1
99,124,Field line,2,,,17.3.1,,,,,
100,115,Projectile motion,2,,,,,21.2.3,21.2.3,,
101,139,Motion,2,3,3.1,12.3.2,12.1,21,21.1,3,3
102,138,Resultant force,2,,,12.2.6,,,,,
103,120,Electrical conductor,2,9.6,9.5,19.2.2,17.2,,28.1,9.6,9.6
104,110,Ray (optics),2,7.2.2,7.1,,13.2,30.6.3,30.6.1,7.2.2,7.2.2
105,130,Gravity of Earth,2,4.2,,,,,,4.2,4.2
106,0,Sonic boom,2,,,,,26.6,26.6.2,,
107,53,Wave,2,6.4.3,5.1,14,14.1,30.3,24.2,6.4.3,6.4.3
108,49,Le Sage's theory of gravitation,2,4,,,,,,4,4
109,43,Coulomb's law,2,,,17.2,,,,,
110,40,Electric field,2,,8.2,17.3,17.3,,30.3,,8.2
111,38,Elasticity (physics),2,,,,,22.3.1,21.4,,
112,34,Strength of materials,2,,8.3.3,,12.4,22.4,22.4.1,,8.3.3
113,28,Speed,2,3.4,2.5.3,14.3.4,14.3.4,,21.5.3,3.4,3.4
114,26,Amplitude,2,5.3.1,5.3.1,14.3.2,14.3.2,,24.2,5.3.1,5.3.1
115,23,Mass,2,4.1.1,2.9,12.4,12.2.2,,23.3.2,4.1.1,4.1.1
116,52,Intensity (physics),2,,,15.4.1,,,,,
117,20,Frequency,2,6.2.4,6.2.4,14.3.3,14.3.3,,24.2,6.2.4,6.2.4
118,16,Light,2,7.2,2.5.3,,13.2,24.3,21.5.3,7.2,7.2
119,15,Velocity,2,3.4,3.1,14.4,11.2,21.5.4,21.2.1,3.4,3.4
120,13,Plasticity (physics),2,,8.2,,20.1,22.3.1,22.2.2,,8.2
121,11,Energy level,2,,4.5.1,,20.2,31.2.1,31.2.1,,4.5.1
122,8,Wavelength,2,6.2.2,6.2.2,14.3.2,14.3.2,27.2,24.2,6.2.2,6.2.2
123,7,Electric potential energy,2,,4.3,17.4,17.4.1,,,,4.3
124,4,Gravity,2,4.2,4.1,,12.2.2,,21.2.2,4.1,4.1
125,3,Magnet,2,8.3,8.1,,12.2.1,,27.3,8.3,8.3
126,18,Motion graphs and derivatives,2,6.3,6.3,14.4,14.4,21.2.3,21.2.3,6.3,6.3
127,103,Scalar (mathematics),2,,3.3.2,11.2,11.2,,,,3.3.2
128,75,Lever,2,,,12.6,12.6.2,,,,
129,77,Distance,2,3.3,2.1,,12.4.1,,24.2,3.3,3.3
130,88,Subtractive color,2,,,,,25.3.2,,,
131,95,Electric charge,2,9.2,8.3.1,17.2,12.2.2,,28.2.2,9.2,9.2
132,84,Collision,2,,10.4.1,,12.5.8,21.4,21.4.1,,10.4.1
133,54,Scattering,2,,,,,31.2,31.2.2,,
134,79,Metre,2,10.5.4,2.1,,12.6.2,,22.4.1,2.1,2.1
135,78,Electron,2,,8.2,,17.6.1,27.3,27.2,,8.2
136,94,Displacement (vector),2,3.3,3.1,14.4,11.6,,21.2,3.3,3.3
137,91,Deformation (engineering),2,,,,,22.2,22.3.2,,
138,150,Compression (physics),2,,,14.3.1,12.5.9,,22.2.1,,
139,70,Fracture,2,,,,,22.3,22.2.2,,
140,67,Rarefaction,2,,,14.3.1,14.3,,,,
141,97,Pigment,2,,,,,25.4.3,25.3.4,,
142,63,Creep (deformation),2,,,,,22.3.2,22.3.2,,
143,76,Shock wave,2,,,,,26.6,,,
144,96,Mirror image,3,7.5,7.3,,,,26.4,7.5,7.5
145,61,Normal force,3,,,12.2,,,,,
146,81,Non-inertial reference frame,3,3.2.1,,,,21.5.2,21.5.2,3.2.1,3.2.1
147,114,Phase velocity,3,,,11,,,,,
148,121,Transmission medium,3,5.2,,,,,,5.2,5.2
149,65,Contact force,3,,,12.2.1,,,,,
150,12,Inertial frame of reference,3,3.2.1,,,,21.5.2,21.5.2,3.2.1,3.2.1
151,98,Tension (physics),3,,4.5.1,12.2,12.3.6,,22.2.1,,4.5.1
