,concept,key_terms
108,Equations of motion,rotational form|equation of motion|davtu equations|equations of motion|suvat|vuxat|vuxat equations|suvat equations|davtu|vusat equations|uvast|motion equation|uniformly accelerated motion|formulas for constant acceleration|vusat
109,Dispersion (optics),dispersion|disperion
110,Ray (optics),ray
111,Fatigue (material),fatigue
112,Ohm,ohm
113,Friction,friction
114,Phase velocity,phase velocity vector|phase velocity
115,Projectile motion,projectile motion
116,Power (physics),power
117,Reflection (physics),reflection
118,Euclidean vector,euclidean vector|vector|euclidian vector
119,Free fall,free fall|free-falling|freefall
120,Electrical conductor,electrical conductor|conductor
121,Transmission medium,transmission media|transmission medium
122,Field (physics),field
123,Interference (wave propagation),interference
124,Field line,field line|field lines|fieldline
125,Crest (physics),crest|trough|wave crest
126,Electrical resistance and conductance,resistive|electric resistnace|electric conductance|electrical conductance|resistance|electric resistance|electrical resistance and conductance|electrical resistance|ac resistance|electrical resistence|resistance in wires|electrical-resistance|electrical resistance & conductance
127,Acceleration,acceleration
128,Gravitational constant,newtonian gravitational constant|constant of gravity|gravity constant|newton's constant|gravity's constant|newtonian constant|gravitation constant|universal gravitational constant|newton constant|constant of gravitation|gravitational constant|newton's universal gravitation constant|grav const|newtonian constant of gravitation
129,Length,width|lengths|length|lenght|breadth|length dimension|legnth
130,Gravity of Earth,gravity|gravity on earth|earth gravity|earths gravitation force|earths gravity|earth’s gravity|gravity earth|earth's gravity|earth's gravitation|gravity of earth|little g
131,Ohmmeter,measure resistance|resistance measurment|ohmmeter
132,Musical tone,musical tone|tone
133,Frame of reference,frame of reference
134,Ohm's law,ohm’s law|ohm's law
135,Pitch (music),pitch
136,Compass,compass|magnetic compass
137,Capacitor,capacitor|capacitance
138,Resultant force,total force|resultant force|net force
139,Motion,motion
140,Voltmeter,voltage measurment|measure voltage|voltmeter
141,Series and parallel circuits,series and parallel circuits|series circuit|parallel circuit|circuit in series|circuit in parallel
142,Kinetic energy,kinetic energy|ke|k.e.
143,Curved mirror,|curved mirror|spherical mirror|convex mirror|concave mirror
144,Physics,physics
145,Free body diagram,fbd|free body diagram
146,Electric current,current|electric current
147,Ammeter,ammeter|current measurment|measure current
148,Magnification,magnification
149,Scalar multiplication,scalar multiplication|dot product|dot multiplication|scalar product
150,Compression (physics),compression
151,Total internal reflection,total internal reflection|tir
