,Parent Class,Sub Class,Reference
266,k-nearest neighbors,k-nearest neighbors,
267,karush-kuhn-tucker conditions,karush-kuhn-tucker conditions,
268,karush–kuhn–tucker,karush–kuhn–tucker,
269,kernel (convolution),kernel (convolution),
270,kernel machine,kernel machine,
271,kernel trick,kernel trick,
272,kkt,kkt,karush–kuhn–tucker
273,kkt conditions,kkt conditions,karush-kuhn-tucker conditions
274,kl divergence,kl divergence,kullback-leibler divergence
275,knowledge base,knowledge base,
276,krylov methods,krylov methods,
277,kullback-leibler divergence,kullback-leibler divergence,
278,label smoothing,label smoothing,
279,lagrange multipliers,lagrange multipliers,
280,lagrangian,lagrangian,generalized lagrangian
281,lapgan,lapgan,
282,laplace distribution,laplace distribution,
283,latent variable,latent variable,
284,layer (neural network),layer (neural network),
285,lcn,lcn,local contrast normalization
286,leaky relu,leaky relu,
287,leaky units,leaky units,
288,learning rate,learning rate,
289,line search,line search,
290,linear combination,linear combination,
291,linear dependence,linear dependence,
292,linear factor models,linear factor models,
293,linear regression,linear regression,
294,link prediction,link prediction,
295,lipschitz constant,lipschitz constant,
296,lipschitz continuous,lipschitz continuous,
297,liquid state machine,liquid state machine,
298,local conditional probability distribution,local conditional probability distribution,
299,local contrast normalization,local contrast normalization,
300,logistic regression,logistic regression,
301,logistic sigmoid,logistic sigmoid,
302,long short-term memory,long short-term memory,
303,loop,loop,
304,loopy belief propagation,loopy belief propagation,
305,loss function,loss function,objective function
306,lp norm,lp norm,
307,lstm,lstm,long short-term memory
308,m-step,m-step,
309,machine learning,machine learning,
310,machine translation,machine translation,
311,main diagonal,main diagonal,
312,manifold,manifold,
313,manifold hypothesis,manifold hypothesis,
314,manifold learning,manifold learning,
315,manifold tangent classiﬁer,manifold tangent classiﬁer,
316,map approximation,map approximation,
317,marginal probability,marginal probability,
318,markov chain,markov chain,
319,markov chain monte carlo,markov chain monte carlo,
320,markov network,markov network,undirected model
321,markov random ﬁeld,markov random ﬁeld,undirected model
322,matrix,matrix,
323,matrix inverse,matrix inverse,
324,matrix product,matrix product,
325,max norm,max norm,
326,max pooling,max pooling,
327,maximum likelihood,maximum likelihood,
328,maxout,maxout,
329,mcmc,mcmc,markov chain monte carlo
330,mean ﬁeld,mean ﬁeld,
331,mean squared error,mean squared error,
332,measure theory,measure theory,
333,measure zero,measure zero,
334,memory network,memory network,
335,method of steepest descent,method of steepest descent,gradient descent
336,minibatch,minibatch,
337,missing inputs,missing inputs,
338,mixing (markov chain),mixing (markov chain),
339,mixture density networks,mixture density networks,
340,mixture distribution,mixture distribution,
341,mixture model,mixture model,
342,mixture of experts,mixture of experts,
343,mlp,mlp,multilayer perception
344,mnist,mnist,
345,model averaging,model averaging,
346,model compression,model compression,
347,model identiﬁability,model identiﬁability,
348,model parallelism,model parallelism,
349,moment matching,moment matching,
350,moore-penrose pseudoinverse,moore-penrose pseudoinverse,
351,moralized graph,moralized graph,
352,mp-dbm,mp-dbm,multi-prediction dbm
353,mrf (markov random field),mrf (markov random field),undirected model
354,mse,mse,mean squared error
355,multi-modal learning,multi-modal learning,
356,multi-prediction dbm,multi-prediction dbm,
357,multi-task learning,multi-task learning,
358,multilayer perception,multilayer perception,
359,multilayer perceptron,multilayer perceptron,
360,multinomial distribution,multinomial distribution,
361,multinoulli distribution,multinoulli distribution,
362,n-gram,n-gram,
363,nade,nade,
364,naive bayes,naive bayes,
365,nat,nat,
366,natural image,natural image,
367,natural language processing,natural language processing,
368,nearest neighbor regression,nearest neighbor regression,
369,negative deﬁnite,negative deﬁnite,
370,negative phase,negative phase,
371,neocognitron,neocognitron,
372,nesterov momentum,nesterov momentum,
373,netﬂix grand prize,netﬂix grand prize,
374,neural language model,neural language model,
375,neural network,neural network,
376,neural turing machine,neural turing machine,
377,neuroscience,neuroscience,
378,newton’s method,newton’s method,
379,nlm,nlm,neural language model
380,nlp,nlp,natural language processing
381,no free lunch theorem,no free lunch theorem,
382,noise-contrastive estimation,noise-contrastive estimation,
383,non-parametric model,non-parametric model,
384,norm,norm,
385,normal distribution,normal distribution,
386,normal equations,normal equations,
387,normalized initialization,normalized initialization,
388,numerical diﬀerentiation,numerical diﬀerentiation,ﬁnite diﬀerences
389,object detection,object detection,
390,object recognition,object recognition,
391,objective function,objective function,
392,omp-,omp-,e orthogonal matching pursuit
393,one-shot learning,one-shot learning,
394,operation,operation,
395,optimization,optimization,
396,orthodox statistics,orthodox statistics,frequentist statistics
397,orthogonal matching pursuit,orthogonal matching pursuit,
398,orthogonal matrix,orthogonal matrix,
399,orthogonality,orthogonality,
400,output layer,output layer,
401,parallel distributed processing,parallel distributed processing,
402,parameter initialization,parameter initialization,
403,parameter sharing,parameter sharing,
404,parameter tying,parameter tying,parameter sharing
405,parametric model,parametric model,
406,parametric relu,parametric relu,
407,partial derivative,partial derivative,
408,partition function,partition function,
409,pca,pca,principal components analysis
410,pcd,pcd,stochastic maximum likelihood
411,perceptron,perceptron,
412,persistent contrastive divergence,persistent contrastive divergence,stochastic maximum likelihood
413,perturbation analysis,perturbation analysis,reparametrization trick
414,point estimator,point estimator,
415,policy,policy,
416,pooling,pooling,
417,positive deﬁnite,positive deﬁnite,
418,positive phase,positive phase,
419,precision,precision,
420,precision (of a normal distribution),precision (of a normal distribution),
421,predictive sparse decomposition,predictive sparse decomposition,
422,preprocessing,preprocessing,
423,pretraining,pretraining,
424,primary visual cortex,primary visual cortex,
425,principal components analysis,principal components analysis,
426,prior probability distribution,prior probability distribution,
427,probabilistic max pooling,probabilistic max pooling,
428,probabilistic pca,probabilistic pca,
429,probability density function,probability density function,
430,probability distribution,probability distribution,
431,probability mass function,probability mass function,
432,probability mass function estimation,probability mass function estimation,
433,product of experts,product of experts,
434,product rule of probability,product rule of probability,chain rule of probability
435,psd,psd,predictive sparse decomposition
436,pseudolikelihood,pseudolikelihood,
437,quadrature pair,quadrature pair,
438,quasi-newton methods,quasi-newton methods,
439,radial basis function,radial basis function,
440,random search,random search,
441,random variable,random variable,
442,ratio matching,ratio matching,
443,rbf,rbf,
444,rbm,rbm,restricted boltzmann machine
445,recall,recall,
446,receptive ﬁeld,receptive ﬁeld,
447,recommender systems,recommender systems,
448,rectiﬁed linear unit,rectiﬁed linear unit,
449,recurrent network,recurrent network,
450,recurrent neural network,recurrent neural network,
451,regression,regression,
452,regularization,regularization,
453,regularizer,regularizer,
454,reinforce,reinforce,
455,reinforcement learning,reinforcement learning,
456,relational database,relational database,
457,reparametrization trick,reparametrization trick,
458,representation learning,representation learning,
459,representational capacity,representational capacity,
460,restricted boltzmann machine,restricted boltzmann machine,
461,ridge regression,ridge regression,weight decay
462,risk,risk,
463,rnn-rbm,rnn-rbm,
464,saddle points,saddle points,
465,sample mean,sample mean,
466,scalar,scalar,
467,score matching,score matching,
468,second derivative,second derivative,
469,second derivative test,second derivative test,
470,self-information,self-information,
471,semantic hashing,semantic hashing,
472,semi-supervised learning,semi-supervised learning,
473,separable convolution,separable convolution,
474,separation (probabilistic modeling),separation (probabilistic modeling),
475,set,set,
476,sgd,sgd,stochastic gradient descent
477,shannon entropy,shannon entropy,
478,shortlist,shortlist,
479,sigmoid,sigmoid,
480,sigmoid belief network,sigmoid belief network,
481,simple cell,simple cell,
482,singular value,singular value,singular value decomposition
483,singular value decomposition,singular value decomposition,
484,singular vector,singular vector,singular value decomposition
485,slow feature analysis,slow feature analysis,
486,sml,sml,stochastic maximum likelihood
487,softmax,softmax,
488,softplus,softplus,
489,spam detection,spam detection,
490,sparse coding,sparse coding,
491,sparse initialization,sparse initialization,
492,sparse representation,sparse representation,
493,spearmint,spearmint,
494,spectral radius,spectral radius,
495,speech recognition,speech recognition,automatic speech recognition
496,sphering,sphering,whitening
497,spike and slab restricted boltzmann machine,spike and slab restricted boltzmann machine,
498,spn,spn,sum-product network
499,square matrix,square matrix,
500,ssrbm,ssrbm,spike and slab restricted boltzmann machine
501,standard deviation,standard deviation,
502,standard error,standard error,
503,standard error of the mean,standard error of the mean,
504,statistic,statistic,
505,statistical learning theory,statistical learning theory,
506,steepest descent,steepest descent,gradient descent
507,stochastic back-propagation,stochastic back-propagation,reparametrization trick
508,stochastic gradient descent,stochastic gradient descent,
509,stochastic maximum likelihood,stochastic maximum likelihood,
510,stochastic pooling,stochastic pooling,
511,structure learning,structure learning,
512,structured output,structured output,
513,structured probabilistic model,structured probabilistic model,
514,sum rule of probability,sum rule of probability,
515,sum-product network,sum-product network,
516,supervised ﬁne-tuning,supervised ﬁne-tuning,
517,supervised learning,supervised learning,
518,support vector machine,support vector machine,
519,surrogate loss function,surrogate loss function,
520,svd,svd,singular value decomposition
521,symmetric matrix,symmetric matrix,
522,tangent distance,tangent distance,
523,tangent plane,tangent plane,
524,tangent prop,tangent prop,
525,tdnn,tdnn,time-delay neural network
526,teacher forcing,teacher forcing,
527,tempering,tempering,
528,template matching,template matching,
529,tensor,tensor,
530,test set,test set,
531,tikhonov regularization,tikhonov regularization,weight decay
532,tiled convolution,tiled convolution,
533,time-delay neural network,time-delay neural network,
534,toeplitz matrix,toeplitz matrix,
535,topographic ica,topographic ica,
536,trace operator,trace operator,
537,training error,training error,
538,transcription,transcription,
539,transfer learning,transfer learning,
540,transpose,transpose,
541,triangle inequality,triangle inequality,
542,triangulated graph,triangulated graph,chordal graph
543,trigram,trigram,
544,unbiased,unbiased,
545,undirected graphical model,undirected graphical model,
546,undirected model,undirected model,
547,uniform distribution,uniform distribution,
548,unigram,unigram,
549,unit norm,unit norm,
550,unit vector,unit vector,
551,universal approximation theorem,universal approximation theorem,
552,universal approximator,universal approximator,
553,unnormalized probability distribution,unnormalized probability distribution,
554,unsupervised learning,unsupervised learning,
555,unsupervised pretraining,unsupervised pretraining,
556,v-structure,v-structure,explaining away
557,v1,v1,
558,vae,vae,variational autoencoder
559,vapnik-chervonenkis dimension,vapnik-chervonenkis dimension,
560,variance,variance,
561,variational autoencoder,variational autoencoder,
562,variational derivatives,variational derivatives,functional derivtives
563,variational free energy,variational free energy,evidence lower bound
564,vc dimension,vc dimension,vapnik-chervonenkis dimension
565,vector,vector,
566,virtual adversarial examples,virtual adversarial examples,
567,visible layer,visible layer,
568,volumetric data,volumetric data,
569,wake-sleep,wake-sleep,
570,weight decay,weight decay,
571,weight space symmetry,weight space symmetry,
572,weights,weights,
573,whitening,whitening,
574,wikibase,wikibase,
575,wikibase,wikibase,
576,word embedding,word embedding,
577,word-sense disambiguation,word-sense disambiguation,
578,wordnet,wordnet,
579,zero-data learning,zero-data learning,zero-shot learning
580,zero-shot learning,zero-shot learning,
581,acceptance criterion,acceptance criterion,
582,activation function,activation function,
583,active constraint,active constraint,
584,adaboost,adaboost,
585,adaline,adaline,
586,adaptive rejection sampling,adaptive rejection sampling,
587,adf,adf,assumed density ﬁltering
588,aic,aic,akaike information criterion
589,akaike information criterion,akaike information criterion,
590,ancestral sampling,ancestral sampling,
591,annular ﬂow,annular ﬂow,
592,ar model,ar model,autoregressive model
593,arc,arc,
594,ard,ard,automatic relevance determination
595,arma,arma,autoregressive moving average
596,assumed density ﬁltering,assumed density ﬁltering,
597,autoassociative networks,autoassociative networks,
598,automatic relevance determination,automatic relevance determination,
599,autoregressive hidden markov model,autoregressive hidden markov model,
600,autoregressive model,autoregressive model,
601,autoregressive moving average,autoregressive moving average,
602,back-tracking,back-tracking,
603,backgammon,backgammon,
604,backpropagation,backpropagation,
605,bagging,bagging,
606,basis function,basis function,
607,batch training,batch training,
608,baum-welch algorithm,baum-welch algorithm,
609,bayes’ theorem,bayes’ theorem,
610,bayes,bayes,
611,bayesian analysis,bayesian analysis,
612,bayesian analysis,hierarchical,
613,bayesian analysis,model averaging,
614,bayesian information criterion,bayesian information criterion,
615,bayesian model comparison,bayesian model comparison,
616,bayesian network,bayesian network,
617,bayesian probability,bayesian probability,
618,belief propagation,belief propagation,
619,bernoulli distribution,bernoulli distribution,
620,bernoulli distribution,mixture model,
621,bernoulli,bernoulli,
622,beta distribution,beta distribution,
623,beta recursion,beta recursion,
624,between-class covariance,between-class covariance,
625,bias,bias,
626,bias parameter,bias parameter,
627,bias-variance trade-off,bias-variance trade-off,
628,bic,bic,bayesian information criterion
629,binary entropy,binary entropy,
630,binomial distribution,binomial distribution,
631,biological sequence,biological sequence,
632,bipartite graph,bipartite graph,
633,bits,bits,
634,blind source separation,blind source separation,
635,blocked path,blocked path,
636,boltzmann distribution,boltzmann distribution,
637,boltzmann,boltzmann,
638,boolean logic,boolean logic,
639,boosting,boosting,
640,bootstrap,bootstrap,
641,bootstrap ﬁlter,bootstrap ﬁlter,
642,box constraints,box constraints,
643,box-muller method,box-muller method,
644,calculus of variations,calculus of variations,
645,canonical correlation analysis,canonical correlation analysis,
646,canonical link function,canonical link function,
647,cart,cart,classiﬁcation and regression trees
648,cauchy distribution,cauchy distribution,
649,causality,causality,
650,cca,cca,canonical correlation analysis
651,central differences,central differences,
652,central limit theorem,central limit theorem,
653,chain graph,chain graph,
654,chaining,chaining,
655,chapman-kolmogorov equations,chapman-kolmogorov equations,
656,child node,child node,
657,cholesky decomposition,cholesky decomposition,
658,chunking,chunking,
659,circular normal,circular normal,von mises distribution
660,classical probability,classical probability,
661,classiﬁcation,classiﬁcation,
662,classiﬁcation and regression trees,classiﬁcation and regression trees,
663,clique,clique,
664,clustering,clustering,
665,clutter problem,clutter problem,
666,co-parents,co-parents,
667,code-book vectors,code-book vectors,
668,combining models,combining models,
669,committee,committee,
670,complete data set,complete data set,
671,completing the square,completing the square,
672,computational learning theory,computational learning theory,
673,concave function,concave function,
674,concentration parameter,concentration parameter,
675,condensation algorithm,condensation algorithm,
676,conditional entropy,conditional entropy,
677,conditional expectation,conditional expectation,
678,conditional independence,conditional independence,
679,conditional mixture model,conditional mixture model,mixture model
680,conditional probability,conditional probability,
681,conjugate prior,conjugate prior,
682,convex duality,convex duality,
683,convex function,convex function,
684,convolutional neural network,convolutional neural network,
685,correlation matrix,correlation matrix,
686,cost function,cost function,
687,covariance,covariance,
688,covariance,between-class,
689,covariance,within-class,
690,covariance matrix,covariance matrix,
691,covariance matrix,diagonal,
692,covariance matrix,isotropic,
693,covariance matrix,partitioned,
694,covariance matrix,positive deﬁnite,
695,cox’s axioms,cox’s axioms,
696,credit assignment,credit assignment,
697,cross-entropy error function,cross-entropy error function,
698,cross-validation,cross-validation,
699,cumulative distribution function,cumulative distribution function,
700,curse of dimensionality,curse of dimensionality,
701,curve ﬁtting,curve ﬁtting,
702,dag,dag,directed acyclic graph
703,dagsvm,dagsvm,
704,data augmentation,data augmentation,
705,data compression,data compression,
706,decision boundary,decision boundary,
707,decision region,decision region,
708,decision surface,decision surface,decision boundary
709,decision theory,decision theory,
710,decision tree,decision tree,
711,decomposition methods,decomposition methods,
712,degrees of freedom,degrees of freedom,
713,degrees-of-freedom parameter,degrees-of-freedom parameter,
714,density estimation,density estimation,
715,density network,density network,
716,dependency map,dependency map,
717,descendant node,descendant node,
718,design matrix,design matrix,
719,differential entropy,differential entropy,
720,digamma function,digamma function,
721,directed acyclic graph,directed acyclic graph,
722,directed cycle,directed cycle,
723,directed factorization,directed factorization,
724,dirichlet distribution,dirichlet distribution,
725,dirichlet,dirichlet,
726,discriminant function,discriminant function,
727,discriminative model,discriminative model,
728,distortion measure,distortion measure,
729,distributive law of multiplication,distributive law of multiplication,
730,dna,dna,
731,document retrieval,document retrieval,
732,dual representation,dual representation,
733,dual-energy gamma densitometry,dual-energy gamma densitometry,
734,dynamic programming,dynamic programming,
735,dynamical system,dynamical system,
736,early stopping,early stopping,
737,ecm,ecm,expectation conditional maximization
738,edge,edge,
739,effective number of observations,effective number of observations,
740,effective number of parameters,effective number of parameters,
741,elliptical k-means,elliptical k-means,
742,em,em,expectation maximization
743,emission probability,emission probability,
744,empirical bayes,empirical bayes,evidence approximation
745,energy function,energy function,
746,entropy,entropy,
747,entropy,conditional,
748,entropy,differential,
749,entropy,relative,
750,ep,ep,expectation propagation
751,equality constraint,equality constraint,
752,equivalent kernel,equivalent kernel,
753,erf function,erf function,
754,error backpropagation,error backpropagation,backpropagation
755,error function,error function,
756,error-correcting output codes,error-correcting output codes,
757,euler,euler,
758,euler-lagrange equations,euler-lagrange equations,
759,evidence approximation,evidence approximation,
760,evidence function,evidence function,
761,expectation,expectation,
762,expectation conditional maximization,expectation conditional maximization,
763,expectation maximization,expectation maximization,
764,expectation maximization,gaussian mixture,
765,expectation maximization,generalized,
766,expectation maximization,sampling methods,
767,expectation propagation,expectation propagation,
768,expectation step,expectation step,
769,explaining away,explaining away,
770,exploitation,exploitation,
771,exploration,exploration,
772,exponential distribution,exponential distribution,
773,exponential family,exponential family,
774,extensive variables,extensive variables,
775,face detection,face detection,
776,face tracking,face tracking,
777,factor analysis,factor analysis,
778,factor analysis,mixture model,
779,factor graph,factor graph,
780,factor loading,factor loading,
781,factorial hidden markov model,factorial hidden markov model,
782,factorized distribution,factorized distribution,
783,feature extraction,feature extraction,
784,feature map,feature map,
785,feature space,feature space,
786,fisher information matrix,fisher information matrix,
787,fisher kernel,fisher kernel,
788,fisher’s linear discriminant,fisher’s linear discriminant,
789,forward kinematics,forward kinematics,
790,forward problem,forward problem,
791,forward propagation,forward propagation,
792,forward-backward algorithm,forward-backward algorithm,
793,fractional belief propagation,fractional belief propagation,
794,frequentist probability,frequentist probability,
795,fuel system,fuel system,
796,function interpolation,function interpolation,
797,functional,functional,
798,functional,derivative,
799,gamma densitometry,gamma densitometry,
800,gamma distribution,gamma distribution,
801,gamma function,gamma function,
802,gating function,gating function,
803,gauss,gauss,
804,gaussian,gaussian,
805,gaussian,conditional,
806,gaussian,marginal,
807,gaussian,maximum likelihood,
808,gaussian,mixture,
809,gaussian,sequential estimation,
810,gaussian,sufﬁcient statistics,
811,gaussian,wrapped,
812,gaussian kernel,gaussian kernel,
813,gaussian process,gaussian process,
814,gaussian random ﬁeld,gaussian random ﬁeld,
815,gaussian-gamma distribution,gaussian-gamma distribution,
816,gaussian-wishart distribution,gaussian-wishart distribution,
817,gem,gem,expectation maximization
818,generalization,generalization,
819,generalized linear model,generalized linear model,
820,generalized maximum likelihood,generalized maximum likelihood,evidence approximation
821,generative model,generative model,
822,generative topographic mapping,generative topographic mapping,
823,generative topographic mapping,directional curvature,
824,generative topographic mapping,magniﬁcation factor,
825,geodesic distance,geodesic distance,
826,gibbs sampling,gibbs sampling,
827,gibbs sampling,blocking,
828,gibbs,gibbs,
829,gini index,gini index,
830,global minimum,global minimum,
831,gradient descent,gradient descent,
832,gram matrix,gram matrix,
833,graph-cut algorithm,graph-cut algorithm,
834,graphical model,graphical model,
835,graphical model,bipartite,
836,graphical model,directed,
837,graphical model,factorization,
838,graphical model,fully connected,
839,graphical model,inference,
840,graphical model,tree,
841,graphical model,treewidth,
842,graphical model,triangulated,
843,graphical model,undirected,
844,green’s function,green’s function,
845,gtm,gtm,generative topographic mapping
846,hamilton,hamilton,
