,concept,substitution,wiki_terms
46,Standing wave,,Standing waves|Stationary wave|Standing Wave|Standing-wave|Stationary vibration|Standing Waves|Stationary Waves|Stationary waves
47,Force,,Force
48,Refracting telescope,,Galilean Telescope|Refracting Telescope|Galilean telescope|Keplerian telescope|Keplerian Telescope|Refractor Telescope|Kepler refractor|Galileo Telescope
49,Telescope,,TeleScope
50,Le Sage's theory of gravitation,,Gravity (LeSage)|Kinetic theory of gravity|LeSage (gravity)|LeSage gravity|Le Sages theory of gravitation|LeSage's theory of gravitation|LeSage Gravity|Le Sage theory of gravitation|Pushing gravity|Shadow gravity|Push gravity|Mock gravity
51,Hardness,,Hardness|hard
52,Newton's law of universal gravitation,,Law of gravitation|Newtons Laws of Gravity|Law of universal gravitation|Newton's Law of Universal Gravitation|Universal gravitation|Newton Laws of Gravity|Newton's Law of Gravitation|Law of Universal Gravitation|Newton's law of gravitation|Newtonian gravity|Newton's law of gravity|Newton's gravitational law|Newton's theory of gravitation|Gravitational Force|Newton’s law of gravitation|Newtonian Gravitational field|Newton's Law of Gravity|Newton law of gravitation|Newton law of gravity|Newton theory of gravitation|Newtonian gravitation|Newton's Universal Law of Gravitation|Gravitation law|Newtons law of gravity|Newton’s law of universal gravitation|Law of gravitational attraction|Law of universal gravity|Universal gravity|Universal Gravitation|Gravity Inverse Square Law|Newtonian attraction|Law of Gravitation|Newton's theory of gravity
53,Intensity (physics),,Intensity
54,Wave,,Wave
55,Scattering,,Scatter
56,Elastic collision,,Elastic interaction|Elastic interactions|Elastic Collisions|Elastic Collision|Why balls bounce?
57,Position (vector),,Position
58,Optical microscope,,Compound microscope|Light microscope|Optical microscopy|Optical Microscope|Binocular microscope|Optical Microscopy|Optical light microscope|Transmitted light microscope|Visible light microscope|Optic microscopy|microscope
59,Virtual image,,Virtual object
60,Geometrical optics,,Geometric optics|Ray optics|Geometric Optics|Optics
61,Snell's law,,Angle of refraction|Snell's Law|Law of refraction|Snell's law of refraction|Law of Refraction|Angle of Refraction|Snel's law|Snell’s law|Laws of Refraction|Snell law|Snells law|Descartes law|Snells Law|Snells' Law|Snell Law
62,Normal force,,Normal Force|Normal reaction
63,Insulator (electricity),,Insulator
64,Creep (deformation),added,Creep
65,Inelastic collision,,Inelastic interaction
66,Contact force,added,
67,Electromotive force,added,EMF|EM Force|Electromagnetic Force|electro motive force|electro magnetic force
68,Rarefaction,,Rarefraction\
69,Electrical polarity,,Electrical Polarity,polarity
70,Hertz,,Hz
71,Fracture,added,
72,Huygens–Fresnel principle,,Huygens principle|Huygen's principle|Huygens's Principle|Huyghens principle|Diffraction losses|Huygens-fresnel principle|Huygens' wave theory|Huygens' Principle|Huygens Principle|Huygens-Fresnel Principle|Difraction losses|Huygens' principle|Huygens'-Fresnel principle|Huygens-Fresnel principle|Huygen principle|Huygens's principle|Huygen's Principle|Huygens Fresnel principle|Fresnel principle|Fresnel's principle|Huygens' construction|Huygens–Fresnel equation
73,Color,,Colour|Color
74,Magnetic field,,Magnetic flux density|B-Field|B-field|Magnetic field density|Magnetic Field|Magnetic field strength|Magnetic force field|Nonlinear magnetic field|Magnetic fields|Magnetic Flux Density
75,Voltage,,Potential difference|Electric Potential Difference|Voltages|Potential Difference|Electric tension|Electric potential difference|Difference of electric potential|Difference of electrical potential|Difference in electrical potential|Difference in electric potential|Difference of potential|Voltage difference|Electrical tension|Electrical voltage|Terminal potential difference
76,Lever,,Second-class lever|First-class lever|Fulcrum (mechanics)|Third-class lever|Levers
77,Shock wave,added,
78,Distance,,Distance
79,Electron,,Electron
80,Metre,,Meter
81,Stiffness,,Torsional rigidity|Flexibility|Compliance (mechanics)
82,Non-inertial reference frame,,Accelerated reference frame|Accelerated frame|Non-inertial frame|Noninertial frame|Non inertial frame|Noninertial reference frames|Non-inertial frame of reference|Non-Inertial frames of reference
83,Plane mirror,,Flat mirror
84,Gravitational field,,Gravitational fields|Gravitational Field|Newtonian gravitational field|Gravitation field
85,Collision,,Colliding|Collisions
86,Magnetism,,Magnetic
87,Tangential and normal components,,Tangential component|Normal component|Tangent component|Perpendicular component|Paralel component|Parallel component
88,Electromagnetic radiation,,Electromagnectic radiation|EM radiation
89,Subtractive color,,subtractive colour
90,Capacitance,,capacitance
91,Specular reflection,,Law of reflection|Specularly reflected|Specular|Law of Reflection|Specular Reflection|Regular reflection|The law of reflection|Specular refrector
92,Deformation (engineering),added,Deformation
93,Joule,,Joules
94,Electromagnetic spectrum,,Electromagentic spectra|EM spectrum|EM Spectrum|Stellar Specta|Electromagnetic Spectrum|IR spectrum|Electrocmagnetic spectrum|Em spectrum|Electomagnetic spectrum|Electro-magnetic spectrum|Electro magnetic spectrum
95,Displacement (vector),,Displacement
96,Electric charge,,Electric Charge|Electrical charge|Positive charge|Negative charge|Positive static charge|Electric polarity|Electric charges|Electrically charged|Electrostatic charge|Negative Charge|Positive Charge|Q (electricity)|Electrically neutral|Positive electricity|Positively charged|Negatively charged|Electrification by friction|Specific charge|Elementary electrostatic charge|charge
97,Mirror image,,Mirror images|Mirror Image|Mirror reflection|Mirror plane of symmetry
98,Pigment,,Pigments
99,Tension (physics),,Tensile|Tension (mechanics)|Unbalanced forces|Tensile force|Unbalanced force|Uniaxial tension|Slacken|Slackens|Slackening|Slackened|Slackener|Slackeners|Tensility|Tension
100,Refractive index,,Index of refraction|Refractive indices|Complex index of refraction|Index of Refraction|Refraction index|Refracting index|Refractivity|Refractive Index|Negative index of refraction|Index Of Refraction|Absolute refractive index|Optical extinction coefficient|Complex refractive index
101,Physical quantity,,Physical quantities
102,Direction (geometry),,"Direction (geometry, geography)|Direction"
103,Planet,,Planets|Major Planets|Planetary mass object
104,Scalar (mathematics),,Scalar
105,Temperature,,Temperature
106,Electrostatics,,Electrostatic|Coulombic attraction|Electrostatic repulsion|Static eliminator|Electrostatic interactions|Classical electrostatics|Charge-charge interaction
107,Kilogram,,Kilograms|Milligram|Kg
108,Energy,,Energy
109,Equations of motion,,Uniformly accelerated motion|SUVAT equations|Suvat equations|Uvast|Equations of Motion|SUVAT|DAVTU|DAVTU equations|DAVTU Equations|Equation of motion|Motion equation|Rotational form|Vusat equations|Vuxat|Vusat|Vuxat equations|Formulas for constant acceleration
110,Dispersion (optics),,Disperion
111,Ray (optics),,Ray
112,Fatigue (material),,Fatigue
113,Ohm,,Ohm
114,Friction,,Friction
115,Phase velocity,,Phase Velocity|Phase velocity vector
116,Projectile motion,,Projectile Motion
117,Power (physics),,Power
118,Reflection (physics),,Reflection
119,Euclidean vector,,Vector|Euclidian vector
120,Free fall,,Free-falling|Freefall
121,Electrical conductor,,Conductor
122,Transmission medium,,Transmission media
123,Field (physics),,Field
124,Interference (wave propagation),,interference
125,Field line,,Fieldline|Field Lines
126,Crest (physics),,Crest (Physics)|Trough (physics)|Wave crest
127,Electrical resistance and conductance,,Electric conductance|Electrical conductance|Electrical Resistance|Electric resistance|Resistance|Electrical-resistance|Electrical resistence|Resistive|Electrical Conductance|Electric resistnace|Resistance (electronics)|Resistance in Wires|Ac resistance|AC resistance|Electrical resistance|Electrical resistance & conductance
128,Acceleration,,
129,Gravitational constant,,Newton's constant|Universal gravitational constant|Gravitation constant|Universal Gravitational Constant|Gravitational Constant|Newtonian constant|Gravity constant|Newton constant|Newtonian constant of gravitation|Gravity's constant|Constant of gravitation|Newtonian gravitational constant|Constant of gravity|Newton's Universal Gravitation Constant|Grav const
130,Length,,Length
131,Gravity of Earth,,Little g|Gravity (earth)|Gravity (Earth)|Earth’s gravity|Earths Gravity|Earth's Gravity|Gravity earth|Earths gravitation force|Earth's gravity|Gravity on Earth|Earth gravity|Earth's gravitation
132,Ohmmeter,added,Resistance measurment|measure resistance
133,Musical tone,added,tone
134,Frame of reference,,
135,Ohm's law,,ohm’s law
136,Pitch (music),,pitch
137,Compass,,magnetic compass
138,Capacitor,,capacitor|capacitance
139,Resultant force,,Net Force|Total Force
140,Motion,,
141,Voltmeter,,voltage measurment|measure voltage
142,Series and parallel circuits,,circuit in series|circuit in parallel|series circuit|parallel circuit
143,Kinetic energy,,KE|K.E.
144,Curved mirror,,spherical mirror|concave mirror|convex mirror
145,Physics,,
146,Free body diagram,,FBD
147,Electric current,,current
148,Ammeter,,current measurment|measure current
149,Magnification,,
150,Scalar multiplication,,dot product|scalar product|dot multiplication
151,Compression (physics),,compression
152,Total internal reflection,,TIR
