concept,Inertial frame of reference,Elastic collision,Reflection (physics),Displacement (vector),Relative velocity,Fatigue (material),Torque,Non-inertial reference frame,Acceleration,Frequency,Insulator (electricity),Gravitational field,Electrostatics,Hardness,Speed,Euclidean vector,Compression (physics),Subtractive color,Wavelength,Refraction,Laser,Ohmmeter,Amplitude,Temperature,Hertz,Sonic boom,Optical microscope,Ammeter,Magnetic field,Lever,Sound,Gravitational constant,Work (physics),Elasticity (physics),Frame of reference,Electric potential,Field (physics),Pigment,Ohm's law,Plane mirror,Electromotive force,Normal force,Gravity of Earth,Ray (optics),Angle of incidence,Electromagnetic radiation,Free body diagram,Tangential and normal components,Mechanical energy,Newton's laws of motion,Ohm,Telescope,Newton's law of universal gravitation,Distance,Sound intensity,Phase velocity,Interference (wave propagation),Color,Capacitor,Compass,Contact force,Resultant force,Mirror image,Dielectric,Energy,Diffraction,Hooke's law,Transmission medium,Equations of motion,Snell's law,Planet,Electrical conductor,Scalar (mathematics),Electromagnetic spectrum,Kinetic energy,Plasticity (physics),Magnetism,Friction,Series and parallel circuits,Standing wave,Motion,Gravity,Creep (deformation),Physical quantity,Electrical polarity,Emission spectrum,Metre,Electric charge,Inelastic collision,Gravitational acceleration,Field line,Geometrical optics,Total internal reflection,Magnification,Refractive index,Le Sage's theory of gravitation,Position (vector),Mass,Dispersion (optics),Direction (geometry),Power (physics),Huygens–Fresnel principle,Electroscope,Fracture,Light,Kilogram,Doppler effect,Physics,Potential energy,Crystallinity,Voltage,Transverse wave,Rarefaction,Strength of materials,Refracting telescope,Energy level,Musical tone,Photoelectric effect,Pitch (music),Voltmeter,Projectile motion,Coulomb's law,Collision,Electric current,Virtual image,Electric potential energy,Electron,Scattering,Electrical resistance and conductance,Velocity,Specular reflection,Coulomb,Shock wave,Tension (physics),Curved mirror,Intensity (physics),Stiffness,Force,Magnet,Resonance (particle physics),Absorption spectroscopy,Electric field,Scalar multiplication,Free fall,Deformation (engineering),Real image,Crest (physics),Motion graphs and derivatives,Capacitance,Length,Wave,Joule
Insulator (electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005886394294548891,0.0,0.0,0.009328112544057651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040829378274402514,0.005679969488478991,0.0,0.0,0.0,0.01967760453906591,0.0,0.0,0.0,0.0,0.0,0.0,0.00893807058535385,0.0,0.0,0.010978941801189447,0.0,0.01070897709388655,0.0,0.0,0.0,0.0,0.006325244867912318,0.0,0.0,0.0,0.0,0.008753379428452428,0.0,0.0,0.019946775846981957,0.0,0.0,0.0,0.03212693128165965,0.031356560268458095,0.0,0.0,0.0,0.0,0.07785753359781787,0.04278806224803208,0.0,0.0,0.0,0.0,0.0,0.0,0.009973387923490978,0.0,0.0,0.0,0.0,0.027388437716654314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007471157940780057,0.016146635367641635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015869782589325573,0.0,0.0,0.014010050447382676,0.007615363068085923,0.0,0.5764691647446822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008753379428452428,0.0,0.038076815340429615,0.0,0.0,0.084078317936601,0.0,0.0,0.006440923324326924,0.0,0.014661597491221574,0.0,0.0,0.0,0.0,0.0,0.03173956517865115,0.09699949108460161,0.0,0.0,0.05903281361719773,0.0,0.0,0.0,0.0,0.0,0.0,0.00912947923888477,0.03469301964215084,0.0065654597276650776,0.0
Gravitational field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060207749383796805,0.0,0.0,0.28572289783315086,0.0,0.0,0.018766613412635184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974808893922802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03147477318711349,0.0,0.0,0.0,0.0,0.0,0.0,0.016624903466635508,0.0,0.0,0.048870940313488445,0.0,0.0,0.0,0.0,0.062286907586891156,0.0,0.0,0.0,0.0,0.0,0.0,0.036869532095809954,0.0,0.0,0.0,0.019336160259829444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06386538851398811,0.18476605001692495,0.0,0.0698163267134354,0.0,0.0,0.0,0.0,0.0,0.05567046588568142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16815494214307802,0.0,0.0,0.0,0.0,0.0,0.0,0.030767945836447538,0.016970837667407767,0.0,0.06337879964292162,0.029528958835435208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17435169307320272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006364476266614106,0.0
Electrostatics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09692491940309902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007076414439547792,0.0,0.0,0.007575763547008279,0.004215602354730501,0.0,0.0,0.0,0.034077101610621954,0.0,0.0,0.0,0.0,0.0,0.0,0.0663372426256731,0.0,0.0,0.008148433368070293,0.0,0.007948068936868924,0.0,0.0,0.0,0.0,0.004694517675403674,0.0,0.0,0.0,0.0,0.006496648794554537,0.0,0.0,0.02220637154839788,0.0,0.0,0.0,0.02384420681060677,0.00775748235808208,0.0,0.0,0.0,0.0,0.01926162940571015,0.05998500046056581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047430497608268535,0.01601808135073581,0.0,0.0,0.006112117260127769,0.005440827194008006,0.0,0.0,0.0,0.0,0.0,0.0479353237476861,0.0,0.0,0.04270480734694389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023556708531030146,0.0,0.0,0.09704878695322373,0.033912163662570126,0.0,0.04278482082089439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011067239625219594,0.0,0.04547654156188176,0.0,0.022608109108380084,0.0,0.014152828879095584,0.03612740223838324,0.0,0.0,0.014341118339321668,0.0,0.06528992632809608,0.0,0.0,0.0,0.0,0.0,0.07459624368159547,0.11367127861476752,0.0,0.0,0.1411765638154338,0.0,0.0,0.0,0.0,0.0,0.0,0.013551570745219581,0.0,0.0024364010708132124,0.005762069765246179
Hardness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012025966838325693,0.0,0.0,0.0,2.3174516189717753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020853714710044297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06563566605930465,0.0,0.0,0.0,0.0,0.0,0.0,0.01942588250209342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146975943576644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011813035362022687,0.0,0.0,0.0,0.0,0.0,0.11322764079974475,0.0,0.0,0.0,0.02862268370970654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14713978533154132,0.10807378824271896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Speed,0.0067574754983767225,0.0,0.0,0.0,0.013205182616468891,0.0,0.010083059114538852,0.006454299968796131,0.025698429615035222,0.011690748250497799,0.0,0.0,0.0,0.0,0.45177188873831536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009892125496503212,0.0,0.0,0.0,0.012350811033943927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011353592611360836,0.0,0.0,0.0055625460519417745,0.2046803305552678,0.0,0.0,0.0,0.021268700151621373,0.0,0.0,0.0,0.0,0.0,0.0,0.015736995406748153,0.0,0.0,0.0,0.0066025913082344454,0.0,0.009871823498453714,0.0,0.0,0.0,0.0,0.0,0.0,0.004762635105445258,0.0,0.0,0.07087500432649901,0.0,0.0,0.0,0.0,0.0,0.09397519221678051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01148375214635655,0.0,0.0,0.0,0.0,0.0,0.0,0.01751021307765307,0.0,0.0,0.021641541341485434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12365675093045768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021012255693183688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076558347642376985,0.0,0.0
Euclidean vector,0.0,0.0,0.0,0.0,0.0,0.0,0.019552959228869262,0.0,0.08970141039950809,0.0,0.0,0.0,0.0,0.0,0.012426541313771949,0.10012886978618864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01684119307397533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053132778820599,0.0,0.0,0.0,0.0,0.0,0.0896257157989392,0.0,0.0,0.0,0.041244033402130634,0.0,0.0,0.0,0.0,0.0,0.0,0.012206804545234378,0.0,0.0,0.0,0.0,0.0,0.019143333405785244,0.0,0.0,0.0,0.0,0.0,0.01172027740127099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007423056004514256,0.0,0.0,0.0,0.0,0.0,0.0,0.0067911231801167996,0.0,0.0,0.11391054530416994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009776479614434631,0.0,0.0,0.0,0.0,0.0,0.140568799578216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0814934781614016,0.019662059003635463,0.0,0.0,0.008420596536987665,0.2080337843285474,0.0,0.0,0.0,0.0,0.0,0.0,0.6532289283972545,0.004214315365730963,0.0
Compression (physics),0.0,0.0,0.0,0.0,0.0,0.0,0.04521621821676017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04436000027338159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19075365448485415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314089447080402,0.0,0.0,0.05545644968755642,0.0,0.0,0.0,0.0,0.22775897251703406,0.22775897251703406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038242982238191114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34549839178844216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13732653608351372,0.1169472513990342,0.0
Subtractive color,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10558642002957824,0.008931598660100773,0.0,0.0,0.0,0.0,0.011971576963173577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08032019890430536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67046821705255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01476160859121714,0.0,0.0,0.0,0.0,0.0,0.0,0.009658654435757462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006781557337457467,0.0,0.0,0.0,0.0,0.0,0.0,0.06824659590882808,0.0,0.0,0.005477180216054955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005190019625716111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005987622906456889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013563114674914934,0.0038501152723961875,0.0
Wavelength,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026354401554386786,0.0,0.0,0.0,0.0,0.02708583379143223,0.0,0.0,0.0,0.21948844660153388,0.005849530143354971,0.0,0.0,0.023276795867553136,0.0028562525302417074,0.0,0.0,0.0,0.0,0.0018354172127749253,0.0,0.020906038420444934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005309852098247454,0.0,0.0,0.0,0.0,0.0024493992509660696,0.012607164438858738,0.0,0.022326288135060806,0.0,0.0038770878477084906,0.0036310582679394683,0.017979725901370643,0.0,0.0,0.0,0.0,0.0,0.0,0.005321375766405561,0.06274644196468816,0.0,0.0,0.0,0.0038770878477084906,0.004172626427181467,0.0,0.0,0.01408766180722932,0.0,0.0,0.0,0.0,0.0,0.037553637844633204,0.006913263705122425,0.0,0.0,0.0,0.0,0.005038291618495339,0.002090603842044493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009216490171837975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04736783413996047,0.0,0.0,0.015681352488970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007429600995870486,0.011631263543125471,0.0,0.016220882009718763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014802448168737647,0.018571331135490737,0.0,0.0,0.0018354172127749253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3462489392856782,0.23975047709492725,0.0
Refraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007821083328421604,0.0,0.0,0.0,0.0,0.07395095565048901,0.0,0.0,0.0,0.020236629131976578,0.3819068237825024,0.006334133204630192,0.0,0.0,0.033905515175421674,0.0,0.0,0.0,0.0,0.0,0.0,0.03970685339155835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05392531070519445,0.0,0.0,0.0,0.0,0.0,0.0,0.014965497646827069,0.0,0.019877031875489014,0.0,0.027614083726511172,0.0,0.03557177706011267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012953734902409019,0.0,0.0,0.0,0.027614083726511172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004870111054776398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010785062141038889,0.017241178768747544,0.010318169159834264,0.06564332335676208,0.0,0.0,0.0038413017086297544,0.0,0.0,0.0,0.011324050532043288,0.0,0.0,0.16868580094947463,0.0,0.0,0.01240983489511752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017638807958727482,0.018409389151007448,0.0,0.01711574030240721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02374113418154585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038413017086297546,0.15920092031943117,0.0
Laser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011806683373903245,0.0,0.0,0.0,0.0,0.0017649981904397775,0.0,0.0,0.0,0.05137812127509025,0.0,1.043125967288427,0.0,0.004333683683594346,0.007444896230457272,0.0031070850368839008,0.0,0.0,0.0,0.0011960156309732959,0.0,0.0027246065427029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003460066770355107,0.0,0.0,0.0,0.0,0.0,0.002053806298940759,0.0,0.007274256067037565,0.0,0.0,0.0,0.019526925603056088,0.001905868986246653,0.0029601993976363936,0.0,0.0,0.0,0.0,0.03987712348558332,0.010666319142290728,0.0,0.0,0.0,0.0,0.0027190147255817814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015016334151561506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002366111865576678,0.0,0.0,0.0,0.0,0.0010543304113897407,0.0,0.0,0.0,0.0,0.0,0.0,0.10128028235989929,0.0,0.0,0.023843080095993546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021986354553205294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013885978722997364,0.0,0.0,0.030661958556533954,0.005052864968510681,0.0,0.0,0.0,0.0,0.0032831094135876535,0.0,0.0,0.0,0.0,0.004822870588566633,0.0046544861364971974,0.0,0.0032831094135876535,0.0023920312619465918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08434643291117924,0.038907594835251295,0.0028312665257255697
Ohmmeter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013314463285289157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0411838743635842,0.0,0.0,0.0,0.0,0.0,0.08145238116567464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024833320740785654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5741800077472962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023088041286120468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016899047723192985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22352885979895842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033728730286383526,0.0,0.0,0.0,0.017225225987337205,0.0,0.0,0.05004661781940535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023930624539459197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020650012564144123,0.0,0.02227566693314937,0.0
Amplitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050837041634740426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009395577811274841,0.0,0.0,0.0,1.2022313917566079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092176623944689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01560774707666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012304829256255104,0.0,0.0,0.0,0.03963712300983983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036794978494236574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006526533965307054,0.0,0.0,0.011523418116894842,0.0,0.0,0.03048120815440342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036794978494236574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794659371183192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018896004756740574,0.0,0.0,0.008092521347234899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014267692060624804,0.12960388033832362,0.0
Temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01958695124280717,0.0,0.0,0.0,0.0,0.014494004404504584,0.0,0.0,0.0,0.027874095993519404,0.0,0.0031726131287639838,0.0,0.003954201749829517,1.029136299149454,0.0018900073604395942,0.0,0.0,0.0,0.0,0.0,0.014916147202257908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021047224604261654,0.0,0.0,0.004961844735650116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014253629757187001,0.0,0.0,0.0,0.0,0.0,0.0,0.11864757482670892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03760950094389383,0.0,0.0,0.0,0.0,0.0,0.05754595865227126,0.0,0.0,0.0,0.0,0.0,0.0024860245337096514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023088174192674813,0.0,0.0,0.0,0.0,0.0,0.0,0.008801105347261702,0.005825366344679375,0.0,0.040402597320531475,0.010136034906734329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340316474833385,0.002534008726683582,0.0,0.0,0.014724749200805779,0.0,0.0,0.006429643248452447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014081768555618723,0.005096295503569262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615684645137995,0.0142002500239341,0.007750034290208521
Hertz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15708074662419794,0.0,0.0,0.0,0.0,0.01549827062728861,0.0,0.0,0.0,0.00812875833110295,0.0,0.0,0.0,0.0,0.0,0.5153455462861556,0.0,0.0,0.0,0.007001394873450417,0.0,0.047848989058928454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04050999522146091,0.0,0.0,0.0,0.0,0.009343494895539109,0.0,0.0,0.0,0.0,0.0,0.0,0.034292791817501875,0.0,0.0,0.0,0.0,0.0,0.0,0.02029895587297402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013434722425714477,0.0,0.0,0.009744949749371384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007974831509821409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006171979149820842,0.0,0.0,0.0,0.0,0.0,0.0,0.022586207430500816,0.009343494895539109,0.0,0.0,0.0,0.0,0.008790460778610724,0.0,0.0,0.0,0.0,0.0,0.020472716630744636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023617505038371067,0.0,0.0,0.027500571497126192,0.0,0.007825009897000279,0.0,0.0,0.0,0.0,0.0,0.0,0.05449409611494472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012343958299641683,0.031536337455919335,0.016574043369696874
Sonic boom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006735570136543478,0.015320752273483415,0.0,0.0,0.0,0.0,0.10917198852829783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061989809480542626,0.004927827410095928,0.8486361715703187,0.0,0.0,0.0,0.0,0.20093662224289743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05191626590310372,0.0,0.0,0.0,0.02787268010737595,0.0,0.0,0.0,0.0,0.0,0.0,0.012374021045854026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007144758075765794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005016494468804154,0.0,0.0,0.0,0.0,0.0,0.0,0.11014643623641493,0.0,0.014084601700169508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055880156695073775,0.0,0.0,0.2030730598925039,0.0,0.0,0.0,0.0,0.009178869686367911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050164944688041536,0.11107318854337495,0.0
Optical microscope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046795603178422145,0.0,0.0,0.0,0.014313807568863326,0.0,0.0,0.0,0.0,0.06054054321909311,0.008309269806146494,0.03031903090417129,0.0,0.0,0.0,0.0,0.0,0.26321845239995484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08954251730109919,0.0,0.05550044325624687,0.0,0.0,0.0,0.05959388926723477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10075729365513962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010315851731928448,0.5062378726703622,0.00872802904697069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31960901058558056,0.0,0.0,0.022275394016759063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023708898276621055,0.0,0.035179212525774474,0.044059291189858824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004205381718231323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012905973942833146,0.0,0.0,0.0,0.11032089928047964,0.036535821915458386,0.0
