,concept,key_terms
52,Cylinder (geometry),volume of a cylinder|cylindre|oblique cylinder|elliptic cylinder|cylindrical|right circular cylinder|right cylinder|zylinder|cylinder|⌭|cylindricity|rod|pi r cubed|circular cylinder|cylindrical surface|polyhedral cylinder|parabolic cylinder
53,Imaginary number,fake number|imaginary number|square root of negative numbers|powers of i|imaginary axis|purely imaginary number|imaginary nubers|imaginary numbers|j number|the imaginary number
54,Pythagorean theorem,gougu|pythagorus's theorum|pythagoras theory|a^2+b^2=c^2|a2+b2=c2|pythagoreantheorem|gougu theorem|pythagoras's theorem|pyth. thm|pythagoras' theorem proof|pythagoras's law|straight line distance|a2 + b2 = c2|pyth. theorem|converse of pyth. theorem|pythagorean formula|pythagorean thm|47th problem of euclid|pythagorean theory|pythagorean theorem proof|the pythagorean theorem|pythagoras' theorem|theorem of pythagoras|pythagoras's theorum|pythagorean theorum|a² + b² = c²|pythagorus' theorum|pythagorean equation|pythagorus's theorem|pythagorean theorem|a²+b²=c²|converse of pyth. thm|pythagoras theorem|pythagorean theorm|pythagoras’ theorem
55,Complex conjugate,conjugate complex|complex conjugation|complex conjugacy|complex conjugate
56,Matrix ring,ring of matrices|matrix ring|matrix algebra
57,Set-builder notation,set abstraction|set-builder|set comprehension|set-builder notation|set builder|set builder notation
58,Open set,open region|open set|open sets|open subset|open superset|open|open subsets
59,Binomial,binomial|binomials
60,Rotation (mathematics),rotation|coordinate rotation|rotation operator
61,Constant function,constant function|identically zero|constant functions and continuity|constant polynomial|constant map
62,Circle,360 degrees|circle geometry|nexua|secant-secant theorem|cirlce|circle|area circle|circles|equation of a circle|circum|1-sphere
63,Binomial theorem,catalon series|binomial expansion|negative binomial theorem|binomial theory|binomial formula|binomial theorem|binomial expansions|multi-binomial theorem|binomial expansion theorem
64,Monomial,simple expression|power product|mononomial|degree of a monomial|monomial|monomials
65,Closed set,closed subset|closed|closed sets|closed set
66,Identity (mathematics),identity|mathematical identities|equiv|mathematical identity|identities|algebraic identities|identically equal|algebraic identity
67,Square (algebra),square
68,Maxima and minima,maximum|local maximum|local minimum|local extrema|absolute extreme|local maxima|maximize|maxima and minima|relative extrema|relative maximum|minimize|relative maxima|extreme record|extreme value|extremum|minima and maxima|minimum|absolute extremum|maxima & minima|miminum|global extremum|min and max|max and min|minima|global minimum|global maximum|local minima|local extremum
69,Dot product,standard inner product|dot-product|dot products|scalar product|dotproduct|hermitian inner product|dot product|vector dot product|scaler product
70,Mathematical proof,skipped step|derivation|mathematical proof|maths proofs|mathematical proofs|demonstration|computer proof|mathing|theorem-proving|theoremproving|proof|proving|essential step|proof techniques|methods of proof|proof method|two-column proof
71,Series (mathematics),series term|partial sums|infinite series|absolut convergence|summable sequence|partial sum|infinite sum|sum of series|mathematical series|remainder term|series|sequence of series
72,Natural number,von neumann natural number|ℕ|natural number|nonnegative integer|unnatural numbers|counting numbers|von neumann natural numbers|natural integer|ottffssent|natural numbers|positive integers|positive integer|counting number|unnatural number|whole number|non-negative integer|whole numbers|history of numbers
73,Base (exponentiation),base
74,Sum,sum
75,Summation,∑|algebraic sum|sumation|⅀|summation identities|mathematical sum|sum symbol|sum identities|⎲|sum|capital-sigma notation|summation sign|sumtotal|⎳|capital sigma notation|sums|summation|sigma notation|sum of|summation number
76,Angle,positive angle|obtuse angle|negative angle|acute angle|angulate|plane angle measure|∠|complementary angles|vertical angles|∢|angular measure|∡|complementary angle|oblique angle|vertically opposite angle|vertical|supplementary angles|opposite angles|adjacent angles|suplementary angles|supplementary angle|vertical angle|vertically opposite angles|ajacent angels|angle measure|ângulo|bow tie angle|supplemental angle|reflex angle|angular measurement|ángulo|types of angles|angle|coterminal angles|straight angle|vinkel|complamentary angle|plane angle
77,Semi-minor axis,semiminor axis|conjugate axis|semi-conjugate axis|semi-axis|minor axis|semi-minor axis
78,Law of sines,law of sines|sine theorem|sin rule|sines law|spherical law of sines|sine formula|sine law|law of the sines|ambiguous case|sine rule
79,Line segment,line segments|open line segment|segment|line segment|half-open line segment|closed line segment|1-ball|linestring
80,Graph (mathematics),undirected|multiple edge|size|edge-weighted graph|finite undirected graph|adjacency relation|undirected graph|edge|graph|incident|non-adjacent|trivial graph|simple graph|finite graph|graph node|points and lines|nonadjacent|order
81,Multiplicative inverse,reciprocal function|multiplicative inverse|reciprocal|inverse seconds
82,Empty set,non-empty|non-empty set|void set|nonempty|empty set|empty subset|non empty
83,Division (mathematics),⊘|divided|dividend|matrix division|left divide|short divison|delen|divided by|division|integer division
84,Slope,steepnesses|slope|gradient of a line|steeply|δy/δx|steepness|x slope|slope formula|steep|rise over run|slope of a graph|steeper|slopes|⌳|steepest|rise and run|slope of a line
85,Interval (mathematics),half-closed interval|semi-open interval|dyadic interval|range notation|interval notation|interval of the real line|half-open interval|interval|interval on the real line|closed interval|open interval|bounded interval
86,Zero of a function,real root|root of a function|root of a polynomial|vanishing function|roots of a function|x-intercept|zero of a function|polynomial roots|real zero|vanish|zeros of a function
87,Perpendicular,perpendiculars|perpendicular|foot of the perpendicular|⦹|perpendicularity symbol|perpendicular line|perpendicular lines|perpendicularly|⟂|perpendicularity|perpendicular symbol
88,System of linear equations,linear system of equations|system of linear equations|vector equation|homogeneous equation|systems of linear equations|homogeneous linear equation|linear equation system|ax=0|homogeneous system|inconsistent equations|ax=b|simultaneous linear equations|consistent equations|linear simultaneous equations
89,Polynomial,multivariate polynomial|zero polynomial|linear polynomial|polynomial function|simple root|univariate polynomial|polynomial notation|polynomial map|polynomial|complex polynomial|quadnomial|quadranomial|standard form of a polynomial|polynomial functions|polynomial expression|order and degree of polynomial|real polynomial|polynomial curve|polynomials
90,Negative number,antinumber|negative number|negative negative number|positive data|negative and nonnegative numbers|negative numbers|negative and non-negative numbers|history of negative numbers|negative negative|negative negative numbers|directed number
91,Mathematical analysis,classical analysis|math analysis|hard analysis|mathematical analysis|analysis
92,Geometric series,infinite geometric series|geometric sequence|geometric series|geometric sum
93,Conic section,conic|dual conic|semilatus rectum|latus rectum|directrix of a conic section|quadratic plane curve|semi-latus rectum|focal parameter|directrix|conic equation|conic sections|conics intersection|conic section|conic sections in polar coordinates|conics
94,Operation (mathematics),mathematical operations|mathematical operation|operation|math operation|math operations
95,Extended real number line,affine infinity|extended real line|minus infinity|extended real numbers|extended real|extended real number line|affinely extended real number system|positive infinity|upper-extended real line|extended number|exended real|affinely extended real numbers|extended reals|negative infinity|affinely extended real number line|extended real number
96,Set (mathematics),basic set operations|set logic|number set|number sets|set|crisp set|finite subset|conventional set|mathematical set
97,Invertible matrix,invert of matrix|inverse of matrix|matrix inversion|matrix invertible|invertible matrix
98,Length,lengths|lenght|width|legnth|length|breadth|length dimension
99,Norm (mathematics),euclidean distance|norm
100,Binary logarithm,binary logarithm|log2|logarithm of the base 2
101,Division by zero,one over zero|zero denominator|1/0|/0|divide with zero|divide-by-zero|zero divided by zero|a/0|divide by zero error|x÷0|divide by 0 error|zero division|÷ 0|division by zero|divide by 0|÷0|x/0|dividing by zero|dividing by 0|division by 0
102,Sign (mathematics),signed|nonnegative number|positive|positive and negative|non-negative|negative and positive numbers|sign|signs|positivity|sign of zero|nonnegative|non-positive number|nonpositive|signed number|positive number|negativity|non-negative number|positive and negative numbers|non-positive
103,Algebraic expression,algebraic formula|rational equation|algebraic expression|rational expression
104,Square matrix,square matrice|square matrices|square matrix
105,Polynomial long division,polynomial long division|long division of polynomials
106,Equation,equation
107,Binomial coefficient,binomial coefficient|n choose r|binomial coefficients|combinatorial coefficients|vandermonde convolution formula|choose operator|choose function|vandermonde's convolution formula|choose notation|n choose k|combinatorial coefficient|generalised binomial coefficient|generalized binomial coefficient|choose operation
108,Zero (complex analysis),order of vanishing|zero|complex zero
109,Universal quantification,upside down a|for all|for any|universal operator|universal quantifier|universally quantified|universally quantify|∀|universal closure|all|given any|forall|logical universal|upside-down a|universal quantification|for every
110,Image (mathematics),pre-image|preimage|image|function image|inverse image|image of
111,Plane curve,complex plane curve|plane curves|plane curve
112,Exponential function,natural exponent|e^x|cb^x|exponential equations|natural exponential function|e to the x|e**x|real exponential function|exponential function|complex exponential function|exponential equation|ⅇ|exponentials|exp
113,Origin (mathematics),coordinate origin|origin|⌱
114,Symmetry,⌯|symettry|symmetric property|symmetry and asymmetry|musical symmetry|symetrical|symmetrical|helical symmetry|quadrilateral symmetry|symmetry principles|symmetries|chemical symmetry elements|symmetry transformation|symmetric|symmetry|scale symmetry
115,Coordinate system,coördinate system|coordinate transformation|coordinate lines|coordinate|coordinate axis|coordinate system|coord|spatial coordinates|change of coordinates|coördinates|cooerdinate|coordiante|cartesian/polar|coordinate systems|negative distance|co-ordinate system|coordinate transformations|coordinate change|coordinate surface|coordinate frame|system of coordinates|origin of coordinates|coördinate|co-ordinate|coordinate surfaces|spheroidal coordinates|coordinate line|coordinates|coordinate hypersurface|co-ordinates
116,Descartes' rule of signs,descartes's rule of signs|rule of signs|descartes rule of signs|descartes rule of sign|descartes' rule of signs|descartes' sign rule|descartes' law of signs|descartes' rule of sign
117,Function (mathematics),⁡|function specification|function theory|f of x|ambiguous function|funktion|mathematical functions|overriding|h|functional relationship|functions|mathematical function|overriding union|function|function of x|funktionen|g|y=f|ƒ|function notation|domain and range|output
118,Square root,principle square root|kvadratrot|square-root|sqrt|double radicals|square root of polynomial|principal square root|√ ̅|square root function|squareroot|second root|square roots|√|⎷|square root|sq root|power 1/2|complex square root
119,Radius,sirius b|curve radii|radii|radius
120,Trigonometry,soh cah toa|trigonometric ratios|trigonomy|pretrigonometry|trigometry|trigonometry|classical trigonometry|trignonmetric ratios|triangle identities|sohcahtoa|choshacao|trig.|allied angles|sine squared|soh-cah-toa|trigonometery|trignometry|adjacent side|trigonometric|trig|tigonometry
121,Vector field,field of vector|vector field
122,Rationalisation (mathematics),rationalisation|rational expression
123,Existential quantification,there exists|∃|existential quantifier|existential proposition|existential quantification|there exist
124,Circular motion,circular motion|radial motion|angular motion|uniform circular motion|turning motion|non-uniform circular motion
125,Circular sector,sector area|sector|circle sector|circular sector
126,Displacement (vector),displacement|displacement vector|pop
127,Pythagorean trigonometric identity,pythagorean trigonometric identity|pythagorean trigonometric identities|pythagorean identity
128,Nth root,surds and indices|radicand|nth root|complex zero
129,Product (mathematics),mathematical product|product
130,Cartesian coordinate system,cartesian plain|cartesian coordinate system|cartesian|cartesian coordinates|rectangular coordinate system|cartesian coordinate
131,Rational number,rationalnumbers|rational numbers|rational number|rational field|rational expressions
132,Position (vector),position|position vector|position function|point vector|radius vector|location vector
133,Equation solving,solving equations|solving an equation|equation solving|mathematical solution
134,Algebraic operation,algebraic operations|algebraic operation|algebra operations
135,Even and odd functions,odd functions|even/odd function|even function|odd and even functions|even functions|even and odd functions|odd function
136,Number,number
137,Multiplication,multiply|multiplication|product
138,Union (set theory),set theoretic union|⋃|finite unions|infinite unions|union of sets|union|union sign|∪|finite union|infinite union|set-theoretic union|set union
139,Prime number,prime|uncompound number|odd prime|prime numbers in nature|infinity of primes|primalities|primes|prime-number|ℙ|euclidean prime number theorem|1 no longer prime|even primes|primality|prime number|odd prime number|prime-numbers|prime numbers|table of primes list
140,Secant line,secant|secant line|secantial
141,Addition,addition|add
142,Trigonometric substitution,hyperbolic substitution|trig substitution|trigonometric substitution|trigonometric substitutions|trig sub|inverse trigonometric substitution|integration by trigonometric substitution
143,Arithmetic mean,mean|arithmetical mean|x̄|standard mean|mean average|arithmetic mean|statistical mean|sample means|averaged
144,Synthetic division,synthetic division
145,Piecewise,piecewise
146,Inverse function,inverse function|inverse of function|function inverse
147,Scalar (mathematics),base field|scalar|basefield
148,Rotation of axes,rotation of axes
149,Quadratic equation,quadform|quadratic factoring formula|second degree equation|quadratic solution formula|the quadratic equation|abc formula|quadratic model|bhaskarachārya's formula|second-degree equation|quadratic equation|bhaskaracharya's formula|quadratic equations
150,Absolute value,complex abs|absolute square|math.fabs|abs|modulus of complex number|absolute value of number|absolute value|module of a complex number|absolute values|modulus function|fabs
151,Limit of a sequence,limit of a sequence|limit of sequence
152,Linear equation,equation of a line|point-slope|point slope formula|slope intercept form|y-b=m|y=mx+b|first degree equation|point-slope formula|point-slope equation|linear equality|point-slope form|slope-intercept|equation of the straight line|intercept terms|y=mx+c|linear equation|y=x|point slope form|linear equations|equation of a straight line|ax+by=c|slope-intercept form|first-degree equation|line equation
153,Polar coordinate system,polar coordinate system|polar geometry|polar coordinates|radial distance|polar coordinate|circular coordinates|polar graph
154,Infinity,infinity point|complex infinity|unendlichkeit|infinite|infinity|infinitely large|poland's flow|taylor archibald|infinitude|mathematical infinity|illimitability|sideways 8|the infinite|sideways eight|infinite + 1|illimitably|infinate|history of infinity|infinitely
155,Determinant,matrix determinant|determenant|determinant|determinant expansion by minors|determinant mathematics|determinant theorem|determinant of a matrix|determinants|determanent
156,Identity matrix,identity matrix|unit matrix|identity matrices|unity matrix
157,Quadratic formula,derivation of the quadratic formula|derivation of quadratic formula|quadratic formula
158,Transformation (function),trans-shapes|transhaped|trans shape|mathematical transformations|trans shaping|transshapes|transshape|partial transformation|transformation|discrete transformation|trans-shaping|trans shaped|transhape|mathematical transformation|trans-shaped|transhapes|transform|trans-shape|trans shapes|continuous transformation|transhaping|transshaping|transshaped
159,Complex number,real and imaginary parts|imaginary part|a+ib|complex arithmetic|ℜ|ℂ|complex number field|complex getal|complex numbers|negative square roots|complex division|principal argument|nombre complexe|complex-valued|real part|complex number|non real numbers|c number|wessel diagram|complex field|imaginary plane|polar form|argand diagram|complex addition|history of complex numbers|c numbers|ℑ|mod-arg form|classification of complex numbers|complex domain
160,Orientation (geometry),spatial orientation|attitude vector|attitude quaternion|orientation vector|attitude matrix|attitude|orientation quaternion|orientation matrix|orientation
161,Cubic function,cubic polynomial|general cubic formula|chebyshev cube root|cardano's formulae|cubic formula|cardanic formulae|cubic equation|cubic model|cardan formula|the special cubic formula|cubic equations|cardan's solution|cubic function|cubical equation|cardano's method|bipartite cubic|cubic functions|cardano formulae|cardano's formula|cardano formula|third-degree equation|third degree equation
162,Trigonometric tables,trigonometric tables
163,Matrix (mathematics),matrix math|matrix index|matrix operation|submatrix|infinite matrix|square|matrix notation|equal matrix|square submatrix|matrix|matrix element|submatrices|real matrix|matrix equation|principal submatrix|matrix theory and linear algebra|real matrices|empty matrix|matrix theory
164,Derivative,deriviative|derivation|strong derivative|derivative|differentiation|differentation|f'|instantaneous rates of change|derative|first derivative|definition of the derivative|derivative of a function|fifth derivative|instantaneous rate of change|dydx|derviative of a function|instantaneous velocities|order of derivation|dy dx|derivitive|derivitives|d/dx|higher derivative|alternate definition of derivative|derivied|fourth derivative|prime notation|2nd derivative|differentiabillity|ordinary derivative
165,Force,forces|nonconservative force|amain|elastic force|force|physical force|attractive|force vector|fource|pull|unit of force|forc
166,Monotonic function,order-reversing|monotonically nondecreasing|monotone function|absolute monotonic sequence|decreasing function|monotonic sequence|monotone operator|increasing|monotonic function|strictly increasing function|monotonicity|increasing operator|non-decreasing function|order-preserving|monotonically nonincreasing|monotonically increasing|monotonic transformation|monotonically non-decreasing|strictly monotone|decreasing operator|decreasing|strictly decreasing|monotone sequence|weakly decreasing|monotone decreasing|nondecreasing function|order morphism|monotonic series|absolutely monotonic function|nonincreasing function|montone decreasing|monotonic predicate|monotone increasing|antitonic|monotone transformation|monotonically decreasing|increasing function|antitone|weakly increasing|monotone boolean function|strictly increasing|monotone map|monotonicity theorem|absolutely monotonic sequence|monotonic
167,Vector (mathematics and physics),vectors|vectors in mathematics and physics|vector in mathematics and physics|vector
168,E (mathematical constant),base of natural logarithm|e|napier's constant|eulers number|euler's number
169,Equality (mathematics),substitution property of equality|identity relation|≟|≣|equality|addition and subtraction properties of equality|⊜|multiplication and division properties of equality|transitive property of equality|symmetric property of equality|equality mathematics|mathematical equality|reflexive property of equality|division property of equality|equal
170,Inverse element,inverse of element|inverse element
171,Geometric progression,geometrical progression|geometric sequence|larn-1|geometric sequences|finite geometric series|geometric progression
172,Real line,real line|real number line|the real number line
173,Formula,scientific formula|formulae|formula|formulas in mathematics|mathematical formula|gf formula|formulæ|formulas|mathematical formulas
174,Parallel (geometry),parallel lines and parallel planes|parallela|parallel lines in hyperbolic geometry|parallel lines|not parallel|⋕|parallel plane|non parallel|non-parallel|parallel propagation|nonparallel|parallel line|∦|parallel|∥|parallel planes|parellel lines|⦷
175,Basis (linear algebra),basis of a vector space|affine basis|ordered basis|linear basis|basis vectors|hamel bases|algebraic basis|coordinate|basis|convex basis|basis element|vector space basis|vector basis|basis vector|component of a vector|cone basis|hamel basis|linear algebra/basis for a vector space
176,Right triangle,right angled triangle|right angle triangle|right-angled triangle|rectangular triangle|right triangle
177,Linear inequality,set of linear inequalities|systems of linear inequalities|linear inequality|system of linear inequalities|linear inequalities
178,Vertical line test,vertical line test
179,Real number,real|field of reals|real number field|reall numbers|real axis|real number system|complete ordered field|bounded real-valued data|set of real numbers|the complete ordered field|real number|set of rational numbers|axiomatic real number|number axis|real numbers|ℝ
180,Scalar multiplication,scalar multiple|scalar multiplication
181,Work (physics),work energy theorem|work-energy theorem|physics work|work kinetic energy theorem|work done|work physics|w=fd|work|mechanical work|rotational work|work-kinetic energy theorem
182,Triangular matrix,back-substitution|lower triangular|unitriangular|upper triangular|strictly lower triangular matrix|unitriangular matrix|upper triangular form|triangular form|right triangular matrix|triangular factor|lower triangular form|upper triangular matrix|triangularizable|left triangular matrix|lower triangular matrix|upper-triangular|triangular matrices|unit triangular matrix|strictly upper triangular matrix|back substitution|gauss matrix|simultaneously triangularizable|trapezoidal matrix|lower-triangular matrix|forward substitution|triangular matrix|upper triangular matrices|upper-triangular matrix|backsubstitution|strictly upper triangular
183,Degree of a polynomial,polynomial degree|degree of polynomial|degree of a polynomial
184,Integer,integer value|z|integar|intergar|ℤ|negative integer|integers|integernumbers|rational integer|interger|discrete number|integer|entier relatif|zahlen|construction of the integers|integer-valued|signed numbers|set of integers|integer number
185,Periodic function,periodic signal|periodic waveform period|period of a function|periodic functions|aperiodic function|periodic solution|periodic function|non-periodic|antiperiodic function|period|periodicity condition|periodic motion|aperiodic|periodical function|period length
186,Expression (mathematics),algebraical quantity|expression|arithmetic expression|compound expression|finite expression|mathematical expressions|mathematical expression
187,Empty sum,empty sum|sum|nullary sum
