concept,Complex plane,Maxima and minima,Addition,Function composition,Partial fraction decomposition,Quadrant (plane geometry),Division (mathematics),Angle,Amplitude,Rectangle,Cross product,Graph of a function,Algebra,Sum,Rotation of axes,Sine wave,Simultaneous equations,Polar coordinate system,Minute and second of arc,Multiplicative inverse,Existential quantification,Natural logarithm,Sine,Empty set,Monotonic function,Geometry,Rationalisation (mathematics),Right angle,Dot product,Determinant,Operation (mathematics),Homogeneous polynomial,Solution of triangles,Set (mathematics),Graph (mathematics),Interval (mathematics),Absolute value,Distributive property,Analytic geometry,Change of variables,E (mathematical constant),Inverse function,Basis (linear algebra),List of mathematical symbols,Piecewise,Real number,Force,System of linear equations,Euclidean vector,Equation solving,Binary logarithm,Sign (mathematics),Exponential function,Constant function,Imaginary number,Polynomial,Linear equation,Multiplication,Minor (linear algebra),Binary number,Empty sum,Degree of a polynomial,Geometric progression,Integer,Degree (angle),Semi-major axis,Logarithm,Function (mathematics),Equality (mathematics),Real line,Factorization,Vector field,Norm (mathematics),Trigonometric substitution,Periodic function,Even and odd functions,Natural number,Polygon,Number,Invertible matrix,Mathematical induction,Right triangle,Pythagorean theorem,Scalar (mathematics),Radius,Trigonometric tables,Cone,Trigonometric functions,Square (algebra),Triangle,Identity (mathematics),Line segment,Product (mathematics),Zero of a function,Base (exponentiation),Simple harmonic motion,Complex conjugate,Asymptote,Commutative property,Conic section,Work (physics),Mathematics,Inverse trigonometric functions,Identity matrix,Quadratic formula,Slope,Perpendicular,Square matrix,Parity (mathematics),Focus (geometry),Quadratic equation,Extended real number line,Matrix multiplication,Cartesian coordinate system,Descartes' rule of signs,Calculus,Inverse element,Arithmetic mean,Floor and ceiling functions,Cylinder (geometry),Circular motion,Line (geometry),Synthetic division,Nth root,Distance,Rational number,Hyperbola,Parallel (geometry),Binomial theorem,Mereology,Binomial,Plane curve,Ellipse,Binomial coefficient,Parametric equation,Transformation (function),Summation,Equality,Complex number,Elementary matrix,Subtraction,Vector space,Secant line,Associative property,Vector (mathematics and physics),Continuous function,Triangular matrix,Image (mathematics),Symmetry,Coordinate system,Line–line intersection,Mathematical proof,Equation,Scalar multiplication,Fundamental theorem of algebra,Length,Series (mathematics),Linear function,Exponential growth,Displacement (vector),Linear inequality,Differential equation,Infinity,Area,Main diagonal,Limit of a sequence,Open set,Union (set theory),Spherical law of cosines,Polynomial long division,Arithmetic,Universal quantification,Edge,Position (vector),Point (geometry),Exponentiation,Matrix (mathematics),Monomial,Mathematical analysis,Rational function,Pythagorean trigonometric identity,Rotation (mathematics),Product topology,Range (mathematics),Limit of a function,Algebraic equation,Circular sector,Injective function,Closed set,Curve,Set-builder notation,Dependent and independent variables,Origin (mathematics),Rational root theorem,Zero (complex analysis),Chord (geometry),Prime number,Trigonometry,Unit circle,Geometric series,Algebraic operation,Vertical line test,Common logarithm,Logistic function,Law of sines,Cubic function,Circle,Quadratic function,Expression (mathematics),Division by zero,Eccentricity (mathematics),Plane (geometry),Semi-minor axis,Limit (mathematics),Orientation (geometry),Inequality (mathematics),Domain of a function,Scientific notation,Derivative,Formula,Square root,Matrix ring,Negative number,Algebraic expression
Inverse function,0.0,0.0,0.0,0.016258227399470644,0.0,0.0,0.0,0.011003178863908208,0.0,0.0,0.0,0.0,0.005144986925899258,0.012862343851505824,0.0,0.0,0.0,0.0,0.0,0.05841000633910188,0.0,0.0,0.1988890703963171,0.0,0.0,0.018818592709041987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028252269248141334,0.0,0.0,0.3421401220533833,0.0,0.0,0.0,0.02534419226785727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076274330714382575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014011846471596088,0.0,0.0,0.0,0.0,0.0,0.03770081899450369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09145684319726348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891189232148501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018493847514757338,0.057934196801846354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08257575000921095,0.02152679127897621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022006357727816415,0.0,0.0,0.04614748958214767,0.0,0.0,0.0,0.05303708543901789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011624688699548419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011153560358178436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02152679127897621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03132528895695484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03451305397572926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012862343851505824,0.0,0.03579322767129623,0.2033354781709645,0.08613832988705518,0.0,0.0,0.0
Basis (linear algebra),0.0,0.0,0.025532333151063628,0.0,0.0,0.0,0.0,0.049691775514424164,0.0,0.0,0.022359586469675653,0.0,0.05808856206660453,0.1258573430631215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01996019344479168,0.023578174483729453,0.0,0.0495758625130676,0.0,0.0,0.01013594369483268,0.018258860055384216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015896894791666744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057410786559212695,0.011789087241864726,0.04031244748459392,0.0,0.0,0.0,0.0,0.0,0.026366377769132424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008873365248179986,0.012476363432778087,0.13767696825394504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058141846252749034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01392010027992488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02762390681311717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00735803647322844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009110729681582837,0.0,0.0,0.3062133924605962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013862541439778624,0.0,0.0,0.03992038688958336,0.05305821661695913,0.0,0.05090588417487349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017915078011694646,0.0,0.0,0.0,0.0,0.02711047627912769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02161772763648263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02694113910742727,0.09182892562559687,0.0,0.0,0.0,0.0
List of mathematical symbols,0.0037615784226315433,0.0,0.009771633675098425,0.004683439991617059,0.0,0.0,0.0,0.19968732012277857,0.0,0.0,0.021393431498763743,0.0,0.05780170496997932,0.10745085604344372,0.0,0.0,0.0,0.0,0.0,0.0,0.007448326301701616,0.0,0.0,0.009023745790069298,0.0,0.016262981353493074,0.0,0.0,0.019395941638260066,0.01048193817994279,0.0,0.0,0.0,0.0,0.0,0.0,0.006425919547921734,0.0,0.0,0.0,0.0,0.0,0.0,0.020569163643056814,0.012044195070234732,0.013384792898662618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017577623539116974,0.0,0.021599508899152794,0.0,0.0,0.0,0.0044311718391637,0.0,0.05045417968167316,0.0,0.0,0.0,0.0,0.0,0.005430159114434689,0.0,0.0,0.0,0.0,0.0,0.0,0.020375875755079965,0.0,0.22832846998493767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05671659581040671,0.0,0.0,0.0,0.0,0.0,0.0,0.02864942714193486,0.0,0.0,0.0,0.0,0.010062953151605504,0.0,0.0,0.0,0.0053054170942362635,0.0217675842165711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964542181512186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004003930347850439,0.011264154600991685,0.0,0.0,0.0,0.0,0.007089574476300839,0.0,0.0,0.013228071911600085,0.0,0.0,0.009191737537066232,0.07441359948288072,0.010460467412187698,0.0,0.007410403865065085,0.012019772290317799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007639086380105458,0.0,0.0,0.02435312360217713,0.0,0.0044311718391637,0.0,0.0,0.0,0.0,0.019482498881741705,0.016743378785357806,0.0,0.0,0.0,0.0,0.0,0.0,0.029267599173134737,0.00828261664760319,0.10284581821528406,0.0,0.0,0.0,0.0,0.0,0.0036503289961494945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028957079611831672,0.007131143832921249,0.0,0.0,0.0,0.0,0.0,0.019099618094623246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02126872342890251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036087822137726655,0.029287003028739746,0.014179148952601677,0.0,0.005430159114434689,0.0
Piecewise,0.0,0.0,0.06088479443715173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09008644904682583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6885035011925227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04552160796406956,0.0,0.08214158692318124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05471776943426021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04068863818943675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005532347547149632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04141441372756842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06408085596490777,0.0,0.0,0.0,0.0,0.0,0.0341165363870895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313012687963661,0.050751102492601126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481831910959757,0.0,0.0,0.0,0.050751102492601126,0.0
Real number,0.006587845453689838,0.0,0.017113563841794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02855235987706255,0.01946733123471152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033446810637218494,0.0039509373459222326,0.0,0.004747032395073654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002813510720981948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14171437238063134,0.0,0.0,0.0,0.0,0.0,0.0,0.0039509373459222326,0.0,0.00527340432804872,0.009620185855868072,0.0,0.008106070521226454,0.0,0.0,0.0,0.0,0.0,0.02474163881471021,0.0,0.0,0.0,0.0,0.0,0.03804046601247219,0.0,0.0,0.0,0.0,0.0,0.0,0.03271154107707432,0.0,0.5895716418322091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004871343875230324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004181267745039142,0.0,0.0,0.0,0.0,0.0108852676062836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007901874691844465,0.004995655355386993,0.0,0.0,0.0,0.009257741742774403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01753072206356138,0.06411435024240132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005430181583885891,0.016793290926593225,0.0,0.0,0.010525422221791801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00464582469873662,0.0,0.0,0.020068086382331096,0.0,0.005129183233141448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005864707812384788,0.0,0.0,0.0,0.0,0.0,0.0,0.011828734468310589,0.0,0.006003972090405773,0.0,0.0,0.0,0.0,0.0,0.0031965043101417193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015387549699424343,0.027936755639044925,0.0,0.004755058251559024,0.0
Force,0.0,0.0,0.021684995278985545,0.0,0.0,0.0,0.0,0.02713112596580106,0.0,0.0,0.0,0.0,0.0028191709183009637,0.03523929822330363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025778894121975325,0.0,0.0050458565710348804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9785342306800566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002934683065414665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013920371871729603,0.0,0.0,0.0,0.0,0.0,0.008001370731383819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006782262040703965,0.0,0.0,0.0,0.0,0.0,0.0011259572307310405,0.0,0.0,0.0,0.0,0.008281053564973427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005027442922935218,0.0,0.0,0.0,0.0,0.014167853552356105,0.0,0.0,0.0,0.03808043344530945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011795502070671895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012643147830725388,0.0,0.0,0.0,0.05812283335782782,0.0,0.0,0.013897007519363699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03503330840959797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013041896321625062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015737367281353304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004903181872780305,0.055708350183825896,0.0,0.0,0.0,0.0
System of linear equations,0.0,0.0,0.013082683102197892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017185467286610214,0.0,0.07738740665402191,0.0223230761059192,0.0,0.0,0.016633684672459296,0.0,0.0,0.0,0.0,0.0,0.0,0.01812206799162677,0.0,0.005443394585260079,0.0,0.0,0.007790436062970572,0.04210100789629914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08465027488980584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008825129173564927,0.20840378190370784,0.012393578896090033,0.0,0.0,0.0,0.0,0.0,0.016212053768788863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12933290957188778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005943844472144233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005655350347192107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007002461656092592,0.0,0.0,0.012069440770856301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9358196480355636,0.010195070548299998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00874301316467236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004521313794705494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01176320948096489,0.0,0.0,0.0,0.0
Euclidean vector,0.0,0.0,0.05620134871121698,0.0,0.0,0.0,0.0,0.036460237655553826,0.0,0.0,0.12919607211620282,0.0,0.04688331281588674,0.06925877458503137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06590407066386839,0.0,0.0,0.007794683370609107,0.0,0.0,0.10039982097721838,0.015071662590095255,0.0,0.0,0.0,0.0,0.0,0.0,0.009239635799674444,0.0,0.0,0.0,0.0,0.0,0.006865691119812793,0.0,0.0,0.008747995358727853,0.08951269682694231,0.0,0.04137477883373712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006487485878659287,0.062114564053184954,0.0,0.0,0.0,0.0,0.0,0.002901861695300965,0.0,0.0,0.0,0.0,0.0,0.007807861921938634,0.0,0.010253656517158954,0.0,0.0,0.0,0.0,0.0,0.0,0.050508710247009425,0.007147673900298961,0.0,0.0,0.005492005888655699,0.0,0.01814512031244289,0.0,0.0,0.0,0.0,0.0,0.0,0.025039161962730306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013618086269906786,0.0,0.0,0.0,0.0,0.03129895245341288,0.0,0.0,0.0,0.0,0.0,0.0062597904906825765,0.025119437650158758,0.0,0.030402643001418896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04029991432954791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066082610103760184,0.017832844846489167,0.0050135968070248735,0.0,0.02663799022501206,0.034565735698783726,0.0,0.0,0.00919840520373075,0.0,0.0,0.0,0.012742896531559514,0.10679898789699271,0.0,0.0,0.03295203533193419,0.06569486288224081,0.0,0.3081462692952401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01925983926552401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019717186450740852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005948072988736345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011249136507162543,0.0,0.0,0.0,0.0,0.0,0.015290827790601511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037063993150750534,0.008422179569211548,0.01019388519373434,0.0,0.0,0.0
Equation solving,0.0,0.0,0.008794470307588583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048019877975059744,0.020008090435675727,0.0,0.0,0.02236306494852861,0.0,0.0,0.0,0.0,0.0,0.0,0.0243641136331871,0.0,0.007318341609071884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059135329737621804,0.0,0.0,0.0,0.003285358256944461,0.056028317643530556,0.0,0.0,0.04022096202918873,0.0,0.0,0.0,0.0,0.0,0.053392031500067806,0.036546170449780646,0.0,0.0,0.0,0.0,0.0,0.0,0.021796205622482804,0.0,0.0,0.009169144089785987,0.0,0.0,0.0,0.025784484427741377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055325744650196435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011552453009332421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003196467471686454,0.015019976948626834,0.0,0.03080654135821979,0.0,0.0,0.0,0.0,0.0,0.036546170449780646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01218205681659355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011357501232603144,0.0,0.0,0.0,0.0,0.033486119767296325,0.004707210335484465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9694000616353826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058772477384741964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006078655212881831,0.0,0.018512247278751132,0.0,0.0,0.0,0.0,0.0,0.0,0.013706705959381107,0.0,0.0,0.0,0.0,0.0,0.01727256088256108,0.0,0.0,0.0,0.011169159278849358,0.0,0.0,0.0,0.04224675710467711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031629963271038924,0.0,0.0,0.0,0.0
Binary logarithm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004834215903529505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04139609182363422,0.006229187887132974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01190644222905137,0.0,0.0,0.0,0.01190666750838932,0.0,0.0,0.0,0.0,0.7783043506868367,0.0,0.0,0.0,0.0,0.0,0.0,0.03019375261262202,0.0,0.012759087716177649,0.0,0.0,0.0,0.06911883997733641,0.0,0.0,0.5593793273567423,0.0,0.0,0.0,0.007787260397640013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22915361159045886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009653760820529558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004310441834932712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004592599946377483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04045303059136469,0.005686562821390628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006229187887132974,0.0,0.0,0.007943367832656433,0.0,0.0,0.0,0.0,0.0,0.0,0.007943367832656433,0.02184505258975542,0.0,0.0,0.0,0.0,0.0,0.0,0.011015012801866403,0.0,0.04472757731778797,0.0,0.0,0.010479855370100544,0.0,0.0,0.01190644222905137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023259972502011585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03821069388447655,0.0,0.0,0.008855897079245834,0.0
Sign (mathematics),0.0,0.0,0.016404193319854352,0.0,0.0,0.0,0.0,0.07981580523042223,0.0,0.0,0.0,0.0,0.011196344605583879,0.009330197612491271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009618124302412571,0.0,0.0,0.006825396319341654,0.0,0.0,0.0,0.008798310803889804,0.0,0.0,0.0,0.0,0.0,0.0,0.05663465881354853,0.0,0.01024693703300463,0.0,0.0,0.0,0.0,0.017265308342876703,0.0,0.05208909982512979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007770067598066807,0.0,0.0,0.0,0.0,0.0,0.03049210112989822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656046209693669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008943484117671943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133110017286005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07024230966940549,0.0,0.009330197612491271,0.01513370293547785,0.0,0.0,0.0,0.0,0.0,0.0,0.011158287636443305,0.0,0.0,0.0,0.009618124302412571,0.0,0.0,0.012264889192391798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016864833346495117,0.0,0.0,0.0,0.0,0.0,0.0,0.02267684846256434,0.0,0.017265308342876703,0.0,0.0,0.0,0.0,0.0,0.01838404033293942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011361503766771187,0.011158287636443305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008926251801767376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019472999510290696,0.02949944761029537,0.0,0.0,0.06836936087086161,0.0
